variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,2042,1,2043,1.00e-03,17.2,3514,79.96,204.01,47.29,100,-61470.1,-25.634,-73.749,1992,1309,681,8.166,2656,491.1,172.9,119,0.0,0,0,28,37,412.95,333.53,382.98,13.271,0.019,0,0.0,-0.0074,20.979,0.6779,0.0105,0.1156,,,-734543.96,-309199.97,-737557.96,,,,ippo,retraso
local,2042,2,2044,9.95e-04,17.0,3550,89.05,195.56,53.14,154,-70908.4,-29.57,-70.922,2045,1445,594,7.275,2652,482.6,170.9,126,0.0147,53,4,38,38,396.47,317.28,367.37,11.734,0.012,0,0.0,-0.0144,4.6767,0.658,0.0107,0.1711,,,-725179.29,-356559.31,-734507.29,,,,ippo,retraso
local,2042,3,2045,9.90e-04,15.9,3620,71.82,173.91,43.75,126,-57535.4,-23.993,-62.917,2062,1487,566,6.734,2792,455.8,160.5,23,0.0,2,1,34,38,324.14,241.87,272.33,9.511,0.055,0,0.0,-0.0117,2.7281,0.5963,0.0077,0.0979,,,-648678.72,-289498.82,-651520.72,,,,ippo,retraso
local,2042,4,2046,9.85e-04,15.9,3620,89.02,192.31,54.96,129,-72542.6,-30.712,-70.236,2070,1566,490,6.846,2794,486.0,172.1,0,0.0006,2,1,34,38,325.33,242.46,272.08,8.908,0.085,0,0.0,-0.0061,1.9847,0.5417,0.0079,0.0897,,,-726944.08,-364510.03,-730910.08,,,,ippo,retraso
local,2042,5,2047,9.80e-04,14.6,3620,75.66,158.06,50.22,126,-62083.7,-28.22,-61.213,1959,1525,404,5.401,2845,437.3,154.4,0,0.0,0,0,33,37,278.26,195.43,220.68,6.998,0.112,0,0.0,-0.0072,1.8627,0.4639,0.0055,0.0671,,,-599580.75,-312368.38,-602528.75,,,,ippo,retraso
local,2042,6,2048,9.75e-04,15.0,3620,89.18,171.08,58.74,161,-74813.1,-33.791,-66.568,1988,1573,380,5.487,2809,458.5,162.9,0,0.0056,20,2,37,38,280.01,196.89,218.71,6.738,0.136,0,0.0,-0.0096,1.7114,0.4676,0.0076,0.0798,,,-661683.08,-375894.03,-672525.08,,,,ippo,retraso
local,2042,7,2049,9.70e-04,15.4,3620,86.65,161.58,58.18,148,-72861.1,-33.546,-63.478,1973,1598,336,5.027,2850,443.9,157.8,0,0.0014,26,6,36,38,265.67,182.73,204.93,6.048,0.228,0,0.0,-0.0043,1.3463,0.4224,0.0044,0.0578,,,-626211.51,-365954.23,-634601.51,,,,ippo,retraso
local,2042,8,2050,9.65e-04,15.2,3620,78.05,157.36,52.83,126,-64660.1,-29.991,-61.68,1950,1568,347,5.185,2858,435.8,154.2,0,0.0,0,0,28,37,272.99,190.15,205.21,6.601,0.154,0,0.0,-0.0041,1.3351,0.3774,0.0044,0.0525,,,-601383.27,-324991.92,-603789.27,,,,ippo,retraso
local,2042,9,2051,9.60e-04,14.9,3620,82.03,156.8,55.73,150,-68393.6,-31.841,-62.139,1944,1558,343,4.959,2854,436.6,154.8,0,0.0047,17,1,38,38,271.25,188.17,209.61,6.256,0.177,0,0.0,-0.0047,1.2519,0.3991,0.0056,0.0664,,,-603988.72,-343709.62,-610394.72,,,,ippo,retraso
local,2042,10,2052,9.55e-04,15.1,3620,74.07,148.14,48.66,134,-61429.4,-27.646,-56.408,2009,1610,360,4.816,2833,422.1,149.2,0,0.0033,12,1,38,38,278.5,195.73,218.99,6.579,0.216,0,0.0,-0.0046,1.5334,0.3842,0.0044,0.058,145.21,81.22,-566614.92,-308947.92,-573230.92,145.21,146.4,145.805,ippo,retraso
