variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
spill,4042,1,4043,1.00e-03,17.5,3562,82.22,201.61,49.26,115,-64467.4,-26.884,-73.994,2005,1341,660,7.929,2644,490.3,172.6,107,0.0,0,0,29,37,395.05,315.49,363.59,12.218,0.012,110,292.6,-0.0002,24.3429,0.6843,0.0058,0.0475,,,-738863.73,-324019.18,-741789.73,,,,ippo,spill
spill,4042,2,4044,9.95e-04,17.0,3581,77.55,186.96,46.74,103,-61351.7,-25.585,-68.797,2021,1381,635,7.266,2708,468.1,165.0,119,0.0,3,1,35,38,383.28,303.6,354.13,11.654,0.02,131,493.4,-0.0193,3.3488,0.6612,0.01,0.1679,,,-690258.5,-308620.34,-695192.5,,,,ippo,spill
spill,4042,3,4045,9.90e-04,16.8,3620,76.82,186.98,46.78,122,-61609.5,-25.692,-68.206,2052,1459,582,7.063,2790,474.5,167.2,13,0.0,0,0,33,37,332.08,249.28,282.53,9.748,0.095,65,224.4,-0.0128,2.9519,0.6214,0.0076,0.1,,,-697551.4,-310010.86,-699795.4,,,,ippo,spill
spill,4042,4,4046,9.85e-04,16.0,3620,66.94,173.04,42.43,117,-53275.3,-23.083,-65.491,1968,1391,572,6.656,2847,455.5,159.5,0,0.0,0,0,33,37,312.7,229.73,266.77,8.919,0.102,63,289.2,-0.0147,1.9538,0.5722,0.0102,0.1349,,,-641536.98,-268281.33,-644428.98,,,,ippo,spill
spill,4042,5,4047,9.80e-04,16.3,3620,75.55,184.46,48.68,130,-60587.9,-26.714,-70.667,1956,1415,523,7.21,2800,471.8,166.2,0,0.0,9,1,37,38,294.29,211.45,242.63,8.528,0.117,67,316.0,-0.016,1.564,0.5059,0.0126,0.1162,,,-687960.02,-304537.92,-691120.02,,,,ippo,spill
spill,4042,6,4048,9.75e-04,16.1,3620,90.42,185.53,60.55,142,-75910.6,-34.885,-74.916,1925,1472,423,6.108,2796,477.8,169.5,0,0.0089,32,3,37,38,277.33,194.35,223.04,6.839,0.147,120,697.2,-0.0136,1.9922,0.4698,0.005,0.073,,,-714099.0,-381033.74,-721071.0,,,,ippo,spill
spill,4042,7,4049,9.70e-04,16.1,3620,90.53,182.89,60.48,139,-75232.7,-34.479,-72.593,1947,1514,396,5.996,2831,473.7,167.9,0,0.0,0,0,33,37,275.63,192.78,219.98,6.675,0.173,127,583.6,-0.0078,1.5803,0.4474,0.0058,0.0805,,,-700861.42,-377702.43,-706697.42,,,,ippo,spill
spill,4042,8,4050,9.65e-04,14.8,3620,77.19,157.4,53.51,141,-64179.3,-30.475,-64.232,1891,1491,364,5.104,2895,437.9,154.6,0,0.0053,19,2,36,38,261.5,178.83,199.97,6.183,0.159,96,522.2,-0.006,1.3067,0.446,0.0067,0.0913,,,-602087.2,-322459.96,-607309.2,,,,ippo,spill
spill,4042,9,4051,9.60e-04,15.2,3620,74.77,155.59,50.1,129,-62233.8,-28.574,-61.674,1956,1547,376,5.095,2858,433.3,152.9,0,0.0108,39,4,38,38,290.71,207.92,232.27,6.969,0.138,137,817.4,-0.0074,1.7814,0.4185,0.0101,0.1077,,,-594998.94,-312804.77,-603172.94,,,,ippo,spill
spill,4042,10,4052,9.55e-04,15.0,3620,71.98,151.6,48.45,124,-59170.8,-27.268,-59.545,1946,1532,377,5.043,2837,427.1,150.5,0,0.0,0,0,32,37,277.14,194.46,220.53,6.635,0.128,108,420.2,-0.0079,1.1881,0.3911,0.0064,0.0761,162.12,95.48,-575169.76,-297744.14,-579371.76,162.12,160.82,161.47,ippo,spill
spill,4042,11,4053,9.50e-04,14.0,3620,74.89,154.44,50.75,143,-61928.1,-28.75,-61.398,1933,1529,371,5.198,2850,433.0,153.0,0,0.0042,15,2,36,38,277.9,194.8,218.29,6.831,0.155,106,503.2,-0.0059,1.1025,0.4036,0.0055,0.0693,,,-588381.91,-311275.74,-593413.91,,,,ippo,spill
spill,4042,12,4054,9.45e-04,15.4,3620,73.55,153.41,50.34,156,-60741.4,-28.49,-61.337,1922,1527,357,5.1,2863,430.7,151.9,0,0.0044,23,4,38,38,281.63,198.87,229.94,6.754,0.189,133,596.0,0.0089,1.0075,0.3833,0.0043,0.0521,,,-583487.01,-305299.91,-589447.01,,,,ippo,spill
spill,4042,13,4055,9.40e-04,14.0,3620,62.83,140.46,43.31,125,-50897.5,-23.986,-56.375,1886,1459,398,5.004,2903,411.1,144.2,0,0.0,0,0,32,37,270.78,187.94,213.22,6.901,0.2,115,489.4,-0.0074,0.7943,0.3947,0.0072,0.0909,,,-526720.77,-256147.37,-531614.77,,,,ippo,spill
spill,4042,14,4056,9.35e-04,14.8,3620,68.57,146.72,46.29,129,-56116.9,-25.932,-57.648,1937,1530,383,5.049,2881,421.4,148.3,0,0.0,0,0,30,38,281.27,198.24,222.75,6.861,0.17,106,367.0,-0.0067,0.88,0.4007,0.006,0.0802,,,-554647.78,-282356.77,-558317.78,,,,ippo,spill
spill,4042,15,4057,9.30e-04,14.3,3620,71.45,149.28,47.79,123,-58458.4,-26.791,-58.573,1951,1539,391,5.165,2873,426.5,150.2,0,0.0022,14,2,36,38,282.5,199.77,226.39,7.029,0.161,140,620.4,-0.0054,1.277,0.4169,0.0064,0.0743,,,-565172.63,-294176.17,-571376.63,,,,ippo,spill
spill,4042,16,4058,9.25e-04,13.8,3620,63.57,141.0,43.83,116,-51708.0,-24.368,-56.337,1893,1483,386,4.935,2927,413.1,144.8,0,0.0,0,0,33,37,271.5,188.65,209.61,6.709,0.173,98,312.0,-0.0071,0.8694,0.3703,0.0064,0.0843,,,-530106.71,-260692.66,-533226.71,,,,ippo,spill
spill,4042,17,4059,9.20e-04,14.3,3620,70.31,142.56,48.46,138,-58423.1,-27.558,-57.339,1918,1550,340,4.589,2907,416.5,146.7,0,0.0014,5,1,35,38,267.43,184.5,204.55,6.096,0.176,135,487.0,-0.0045,0.9,0.3188,0.0061,0.0722,,,-545013.39,-293915.68,-549883.39,,,,ippo,spill
spill,4042,18,4060,9.15e-04,14.4,3620,72.86,142.28,48.72,143,-60576.2,-27.736,-55.687,1984,1615,339,4.518,2861,415.4,146.7,0,0.0033,12,2,35,38,276.24,193.38,217.4,6.238,0.199,185,704.2,-0.0066,0.9926,0.3041,0.0073,0.0826,,,-545377.12,-304540.29,-552419.12,,,,ippo,spill
spill,4042,19,4061,9.10e-04,14.3,3620,69.88,143.18,47.07,150,-57906.4,-26.71,-56.228,1961,1580,348,4.648,2876,417.1,147.0,0,0.0014,5,1,34,37,275.88,193.06,215.45,6.501,0.196,150,547.6,-0.004,0.7922,0.3104,0.0052,0.0641,,,-545842.25,-291501.95,-551318.25,,,,ippo,spill
spill,4042,20,4062,9.05e-04,14.4,3620,76.71,147.03,51.46,165,-64584.9,-29.681,-58.654,1972,1590,343,4.446,2856,422.5,149.4,0,0.0042,15,1,38,38,273.89,191.04,212.46,5.928,0.236,186,956.2,-0.0022,1.3016,0.312,0.0052,0.0618,137.1,69.69,-568763.16,-324631.06,-578325.16,137.1,140.3,138.7,ippo,spill
spill,4042,21,4063,9.00e-04,14.4,3620,67.05,141.48,45.78,121,-54988.8,-25.696,-55.886,1929,1542,357,4.737,2900,414.2,145.6,0,0.0011,4,1,34,37,275.27,192.44,215.87,6.57,0.194,115,379.6,-0.0018,0.8821,0.3099,0.0052,0.061,,,-535222.43,-276622.63,-539018.43,,,,ippo,spill
spill,4042,22,4064,8.95e-04,14.1,3620,61.23,133.3,42.0,127,-49590.5,-23.26,-52.607,1912,1518,372,4.587,2899,401.3,140.7,0,0.0,0,0,31,37,272.86,189.79,210.98,6.623,0.189,98,310.6,-0.0025,0.7937,0.3469,0.0065,0.0747,,,-499815.37,-249598.34,-502921.37,,,,ippo,spill
spill,4042,23,4065,8.90e-04,14.9,3620,66.03,139.21,44.07,140,-54194.7,-24.746,-54.272,1962,1564,383,4.674,2861,410.4,144.2,0,0.0,0,0,32,37,283.16,200.25,226.08,6.799,0.179,159,515.0,-0.0055,0.8792,0.3064,0.0072,0.0751,,,-527256.81,-272865.51,-532406.81,,,,ippo,spill
spill,4042,24,4066,8.85e-04,13.7,3620,61.59,133.87,41.72,126,-49993.9,-23.145,-52.512,1930,1521,387,4.572,2900,402.0,140.9,0,0.0,0,0,30,37,274.46,191.46,217.61,6.548,0.226,123,362.8,-0.0008,0.8193,0.309,0.0063,0.0743,,,-503114.47,-251836.18,-506742.47,,,,ippo,spill
spill,4042,25,4067,8.80e-04,12.9,3620,67.97,139.8,46.31,139,-56245.8,-26.234,-55.843,1929,1541,364,4.635,2904,412.8,145.3,0,0.0,0,0,33,38,277.05,194.1,218.75,6.551,0.186,163,616.8,-0.0102,1.0157,0.2754,0.0078,0.077,,,-532440.35,-282818.19,-538608.35,,,,ippo,spill
spill,4042,26,4068,8.75e-04,12.6,3620,58.33,130.0,39.96,112,-47062.0,-22.033,-51.14,1913,1517,377,4.577,2909,396.0,138.7,0,0.0,1,1,34,37,269.32,186.43,210.29,6.635,0.222,95,313.0,-0.0017,0.7192,0.2836,0.0079,0.0772,,,-486026.86,-237366.53,-489156.86,,,,ippo,spill
spill,4042,27,4069,8.70e-04,12.7,3620,66.32,132.37,45.59,135,-54643.6,-25.678,-52.895,1929,1561,335,4.176,2914,401.0,140.9,0,0.0019,7,3,34,38,271.43,188.67,215.82,5.996,0.195,168,661.4,-0.0058,0.6892,0.2754,0.0069,0.0709,,,-503562.22,-275078.15,-510176.22,,,,ippo,spill
spill,4042,28,4070,8.65e-04,13.1,3620,70.49,140.5,47.33,147,-58233.7,-26.762,-55.262,1965,1586,355,4.469,2868,413.5,145.7,0,0.0,0,0,32,38,283.99,201.17,230.03,6.414,0.194,178,729.8,-0.0049,0.8414,0.2779,0.0085,0.0939,,,-535652.03,-293202.13,-542950.03,,,,ippo,spill
spill,4042,29,4071,8.60e-04,12.7,3620,63.5,131.11,43.56,129,-52529.1,-24.638,-52.679,1922,1540,355,4.172,2911,398.7,140.0,0,0.0017,7,2,35,38,263.49,180.46,201.91,5.796,0.239,148,755.6,0.0054,0.7979,0.3062,0.0046,0.0623,,,-498693.97,-264433.62,-506249.97,,,,ippo,spill
spill,4042,30,4072,8.55e-04,12.8,3620,67.73,138.92,46.13,152,-55769.3,-25.988,-55.222,1932,1543,360,4.515,2885,410.5,144.4,0,0.0011,4,1,35,38,273.73,190.72,212.77,6.241,0.209,165,625.4,-0.0097,0.9248,0.2814,0.0059,0.0669,132.7,69.86,-527187.03,-280365.67,-533441.03,132.7,127.77,130.235,ippo,spill
spill,4042,31,4073,8.50e-04,12.5,3620,61.12,126.72,42.3,121,-49707.7,-23.514,-50.482,1908,1530,349,4.253,2925,392.2,137.6,0,0.0,0,0,32,38,266.07,183.08,206.18,6.251,0.216,122,421.2,-0.0035,0.6617,0.2568,0.0078,0.0779,,,-477382.38,-250586.0,-481594.38,,,,ippo,spill
spill,4042,32,4074,8.45e-04,12.7,3620,66.01,131.07,45.01,135,-54365.6,-25.357,-51.892,1946,1586,333,4.211,2892,399.3,140.6,0,0.0,0,0,33,37,268.45,185.93,206.83,6.089,0.215,162,651.2,-0.0012,0.9521,0.2624,0.005,0.053,,,-498393.0,-273705.24,-504905.0,,,,ippo,spill
