variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,1,4043,1.00e-03,17.2,3562,82.22,201.61,49.26,115,-64467.4,-26.884,-73.702,2005,1341,660,7.929,2644,490.3,172.6,107,0.0,0,0,29,37,395.05,315.49,363.59,12.218,0.012,0,0.0,-0.0001,24.0277,0.6844,0.0057,0.0448,,,-738863.73,-324019.18,-741789.73,,,,ippo,retraso
vecinos,4042,2,4044,9.95e-04,17.0,3580,80.31,199.28,48.36,127,-63700.6,-26.564,-72.917,2019,1377,637,7.68,2707,488.4,172.0,77,0.0022,10,2,34,38,379.84,298.82,341.86,11.436,0.023,0,0.0,-0.0103,6.4763,0.6647,0.0069,0.0776,,,-736093.29,-320486.94,-741303.29,,,,ippo,retraso
vecinos,4042,3,4045,9.90e-04,15.9,3620,71.31,174.02,43.86,115,-57311.9,-24.121,-64.066,2028,1437,586,6.524,2789,457.3,160.5,0,0.0,1,1,34,37,334.56,251.59,294.79,9.555,0.044,0,0.0,-0.0125,2.4591,0.6149,0.0117,0.1783,,,-649624.72,-288782.04,-654270.72,,,,ippo,retraso
vecinos,4042,4,4046,9.85e-04,15.5,3620,71.79,168.85,45.23,129,-58433.3,-25.187,-63.752,1992,1426,552,6.223,2833,450.3,158.3,0,0.0003,3,2,34,37,289.66,206.69,241.09,7.929,0.118,0,0.0,-0.0224,1.5791,0.5402,0.0157,0.1624,,,-634970.54,-294215.59,-639738.54,,,,ippo,retraso
vecinos,4042,5,4047,9.80e-04,16.1,3620,92.54,199.01,60.66,141,-76500.6,-34.398,-77.436,1959,1483,446,6.854,2806,495.5,175.8,0,0.0,0,0,26,37,276.46,193.63,214.48,7.369,0.152,0,0.0,-0.006,1.3604,0.5015,0.0068,0.0799,,,-758488.3,-383980.74,-759378.3,,,,ippo,retraso
vecinos,4042,6,4048,9.75e-04,15.6,3620,80.86,173.76,53.33,146,-67073.9,-30.295,-67.934,1950,1484,442,5.908,2832,458.9,162.0,0,0.0019,16,2,37,38,280.42,197.43,222.03,7.015,0.131,0,0.0,-0.0113,1.9634,0.4629,0.0068,0.0927,,,-662353.96,-337030.95,-668195.96,,,,ippo,retraso
vecinos,4042,7,4049,9.70e-04,15.4,3620,84.56,179.04,55.96,136,-69395.5,-31.486,-70.033,1941,1478,442,6.307,2828,467.1,165.3,0,0.0,0,0,33,38,286.16,203.3,228.91,7.516,0.152,0,0.0,-0.0135,1.1165,0.4485,0.0083,0.1032,,,-679671.75,-348723.81,-683847.75,,,,ippo,retraso
vecinos,4042,8,4050,9.65e-04,15.7,3620,83.07,168.41,56.03,147,-69080.2,-31.952,-66.897,1929,1516,395,5.501,2822,453.0,160.4,0,0.005,18,1,38,38,275.63,192.96,213.77,6.624,0.152,0,0.0,-0.0077,1.4316,0.4432,0.0058,0.0774,,,-645219.21,-346937.53,-651383.21,,,,ippo,retraso
vecinos,4042,9,4051,9.60e-04,14.3,3620,72.8,152.05,49.89,139,-60259.4,-28.264,-60.503,1914,1516,367,5.08,2872,428.0,150.9,0,0.0,0,0,31,37,268.83,186.03,205.33,6.594,0.183,0,0.0,-0.009,0.9185,0.4049,0.0084,0.0983,,,-579009.13,-302673.89,-581527.13,,,,ippo,retraso
vecinos,4042,10,4052,9.55e-04,14.6,3620,73.57,153.0,49.1,116,-60411.5,-27.61,-58.894,1973,1585,361,5.053,2858,430.2,151.6,0,0.0014,6,2,36,37,282.53,199.84,224.53,6.789,0.148,0,0.0,-0.0051,1.321,0.3549,0.0071,0.0797,138.03,75.81,-580990.33,-304083.6,-585236.33,138.03,149.26,143.645,ippo,retraso
vecinos,4042,11,4053,9.50e-04,14.2,3620,71.67,144.53,48.01,127,-59617.7,-27.348,-56.15,1970,1589,354,4.635,2874,418.4,147.5,0,0.0083,30,5,38,38,283.93,200.84,222.87,6.653,0.134,0,0.0,-0.004,1.0652,0.3614,0.0058,0.0728,,,-553076.62,-299994.48,-561004.62,,,,ippo,retraso
vecinos,4042,12,4054,9.45e-04,14.3,3620,70.91,144.58,47.64,157,-59064.2,-27.168,-56.34,1963,1569,356,4.623,2863,417.8,147.1,0,0.0,0,0,32,37,277.64,194.88,217.9,6.366,0.175,0,0.0,-0.0043,0.9898,0.3371,0.0069,0.0828,,,-552978.76,-297092.71,-558900.76,,,,ippo,retraso
vecinos,4042,13,4055,9.40e-04,14.8,3620,74.39,145.47,49.66,136,-62191.9,-28.424,-56.308,1989,1613,335,4.516,2854,420.3,148.5,0,0.0033,12,1,38,38,287.5,204.66,232.71,6.524,0.148,0,0.0,-0.0088,1.5769,0.3222,0.0061,0.0743,,,-559983.03,-313082.84,-568353.03,,,,ippo,retraso
vecinos,4042,14,4056,9.35e-04,15.3,3620,66.37,139.86,45.64,128,-54658.2,-25.709,-55.277,1919,1534,347,4.614,2919,411.1,144.6,0,0.0,0,0,32,37,262.83,179.79,194.67,6.274,0.195,0,0.0,-0.0056,0.868,0.3183,0.0053,0.0646,,,-530384.78,-275104.32,-534068.78,,,,ippo,retraso
vecinos,4042,15,4057,9.30e-04,15.2,3620,71.08,137.35,48.4,130,-59286.6,-27.627,-53.805,1962,1606,311,4.236,2902,407.6,144.1,0,0.0,0,0,33,38,265.16,182.43,202.71,5.829,0.226,0,0.0,-0.0054,1.1015,0.3071,0.0062,0.0739,,,-527823.05,-298220.14,-533603.05,,,,ippo,retraso
vecinos,4042,16,4058,9.25e-04,15.1,3620,70.21,135.24,47.88,128,-58564.3,-27.341,-53.055,1958,1598,310,4.261,2896,404.7,142.9,0,0.0,0,0,31,37,263.93,181.08,196.81,5.956,0.244,0,0.0,-0.0034,0.8868,0.2857,0.006,0.0682,,,-519407.23,-294738.16,-525863.23,,,,ippo,retraso
vecinos,4042,17,4059,9.20e-04,14.9,3620,73.36,140.98,49.53,147,-61802.3,-28.586,-55.075,1980,1612,309,4.314,2874,412.8,146.0,0,0.0053,19,2,38,38,264.94,182.0,197.3,5.745,0.275,0,0.0,-0.0031,1.0159,0.2681,0.0058,0.0567,,,-545242.43,-310617.48,-552748.43,,,,ippo,retraso
vecinos,4042,18,4060,9.15e-04,14.5,3620,72.23,138.85,48.84,133,-60921.8,-28.205,-54.169,1981,1629,303,4.219,2853,409.5,144.7,0,0.0,0,0,31,38,270.56,187.71,210.37,5.798,0.253,0,0.0,-0.0007,0.7887,0.2774,0.0052,0.0595,,,-536546.98,-306092.18,-543238.98,,,,ippo,retraso
vecinos,4042,19,4061,9.10e-04,15.2,3620,71.82,139.58,48.21,141,-60323.5,-27.748,-54.167,1985,1614,321,4.306,2886,411.4,145.2,0,0.0014,5,1,35,38,269.53,186.7,206.1,6.018,0.201,0,0.0,0.018,0.9169,0.2583,0.006,0.0661,,,-537606.3,-303421.2,-544334.3,,,,ippo,retraso
vecinos,4042,20,4062,9.05e-04,15.2,3620,72.37,139.6,48.73,133,-60383.1,-27.852,-53.787,1994,1653,297,4.27,2881,411.4,145.2,0,0.0,0,0,29,37,274.49,191.64,212.92,6.01,0.179,0,0.0,-0.0052,0.761,0.25,0.0062,0.0696,137.62,75.3,-536260.45,-303757.31,-542086.45,137.62,138.83,138.225,ippo,retraso
vecinos,4042,21,4063,9.00e-04,15.4,3620,72.89,138.98,48.67,142,-60864.5,-27.843,-53.337,2003,1643,312,4.265,2870,410.0,145.0,0,0.0003,1,1,34,38,273.95,191.12,213.1,5.982,0.255,0,0.0,-0.0041,0.6603,0.2543,0.0055,0.0601,,,-534171.98,-305947.23,-541189.98,,,,ippo,retraso
