variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,1,43,1.00e-03,15.9,3545,80.12,207.26,47.81,103,-62194.4,-25.936,-75.454,1997,1320,674,8.186,2616,495.0,174.1,130,0.0,1,1,34,37,410.86,332.15,362.67,13.108,0.008,0,0.0,-0.0037,22.2951,0.6814,0.0079,0.0627,,,-753410.22,-313119.45,-757720.22,,,,mappo,retraso
vecinos,42,2,44,9.95e-04,15.1,3603,77.78,185.47,47.17,120,-61828.1,-25.783,-68.136,2023,1387,631,7.177,2709,469.7,165.3,97,0.0022,15,3,37,38,375.8,295.78,345.73,11.385,0.029,0,0.0,-0.0129,4.1122,0.6642,0.0088,0.1358,,,-689196.33,-311360.54,-693268.33,,,,mappo,retraso
vecinos,42,3,45,9.90e-04,15.5,3620,85.45,198.87,51.97,122,-68582.0,-28.6,-72.579,2051,1460,584,7.56,2741,494.1,174.2,24,0.0,0,0,31,37,362.33,279.72,321.06,10.828,0.035,0,0.0,-0.0016,2.1305,0.6178,0.0096,0.1313,,,-744295.02,-344446.53,-747993.02,,,,mappo,retraso
vecinos,42,4,46,9.85e-04,14.9,3607,84.46,178.5,51.18,134,-69448.5,-28.961,-65.186,2079,1526,536,6.295,2768,462.8,164.1,60,0.0011,22,4,37,37,320.99,239.8,277.99,8.69,0.079,0,0.0,-0.0085,1.4202,0.5649,0.0057,0.0807,,,-677610.31,-348992.89,-686600.31,,,,mappo,retraso
vecinos,42,5,47,9.80e-04,14.4,3620,80.42,172.83,50.55,150,-66353.9,-28.576,-64.835,2028,1515,495,5.992,2842,458.2,161.7,0,0.0022,18,3,36,38,294.96,212.32,245.21,7.712,0.106,0,0.0,-0.0119,1.1671,0.5154,0.0094,0.1073,,,-657422.14,-333552.77,-664444.14,,,,mappo,retraso
vecinos,42,6,48,9.75e-04,14.7,3620,96.61,191.24,62.74,139,-81238.0,-36.202,-74.148,1994,1541,421,6.175,2809,486.2,172.9,0,0.0011,13,4,35,38,280.19,197.15,219.79,6.948,0.124,0,0.0,-0.0108,1.2755,0.4588,0.0055,0.0768,,,-739255.12,-407848.4,-745793.12,,,,mappo,retraso
vecinos,42,7,49,9.70e-04,14.8,3620,100.18,189.16,64.58,179,-85523.8,-37.876,-73.299,2021,1568,400,5.934,2769,485.5,173.1,0,0.0064,23,4,37,38,280.91,198.05,220.13,6.661,0.139,0,0.0,-0.0105,1.0867,0.4084,0.0088,0.0851,,,-740688.6,-429147.11,-750362.6,,,,mappo,retraso
vecinos,42,8,50,9.65e-04,14.3,3620,90.9,175.66,61.19,152,-76204.7,-35.215,-69.659,1947,1539,365,5.681,2806,464.3,164.9,0,0.0044,16,2,37,38,274.37,191.49,212.48,6.671,0.185,0,0.0,-0.0035,0.8568,0.3974,0.0041,0.0657,,,-678133.93,-382374.74,-684373.93,,,,mappo,retraso
vecinos,42,9,51,9.60e-04,14.2,3620,93.05,172.57,61.74,156,-78904.5,-35.964,-67.524,1994,1606,338,5.162,2829,460.5,163.7,0,0.0,15,1,37,38,281.69,198.55,219.15,6.279,0.156,0,0.0,-0.0161,0.8196,0.3802,0.0113,0.1106,,,-673218.89,-396084.38,-682112.89,,,,mappo,retraso
vecinos,42,10,52,9.55e-04,13.8,3620,84.18,157.99,56.43,144,-71724.9,-32.962,-62.474,1977,1588,336,4.748,2862,439.3,155.7,0,0.0078,28,3,38,38,275.03,191.91,212.29,6.053,0.165,0,0.0,-0.0081,0.9111,0.3309,0.0065,0.0785,136.73,80.62,-617558.07,-360576.26,-626420.07,136.73,142.77,139.75,mappo,retraso
