modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,4043,1.0,3545,79.72,201.01,47.57,112,colas,-25.888,1993,676,7.986,2634,487.1,171.3,259,11.667,,,,,15.6,,-731228.1,-311740.1,-735506.1,qlearning,4042,-62078.6,131,0.0,0,31
train,2,4044,0.972,3574,75.6,190.39,45.49,108,colas,-24.679,2005,657,7.542,2695,472.5,166.2,341,11.4314,,,,,15.1,,-698515.3,-298017.8,-700791.3,qlearning,4042,-59180.5,128,0.0044,17,37
train,3,4045,0.944,3620,69.83,180.85,42.57,108,colas,-23.069,1999,667,7.388,2741,460.8,161.8,374,14.3019,,,,,14.8,,-669766.8,-278193.8,-672380.8,qlearning,4042,-55319.6,110,0.0028,10,36
train,4,4046,0.917,3575,73.5,189.63,44.24,100,colas,-23.872,2008,652,7.575,2665,469.0,164.9,396,10.3509,,,,,15.3,,-693374.0,-288397.4,-695858.0,qlearning,4042,-57244.0,131,0.0,0,31
train,5,4047,0.891,3613,67.59,180.37,41.17,97,colas,-22.071,1996,671,7.369,2716,459.8,161.1,416,10.5573,,,,,14.9,,-663836.2,-266821.7,-664740.2,qlearning,4042,-52925.9,81,0.0,0,28
train,6,4048,0.866,3578,70.74,186.33,42.63,106,colas,-23.027,1992,679,7.491,2669,465.3,163.4,438,12.3657,,,,,15.1,,-681050.2,-278122.8,-683666.2,qlearning,4042,-55219.0,137,0.0,0,29
train,7,4049,0.841,3620,65.27,186.71,39.83,88,colas,-21.222,1979,699,7.875,2741,468.5,163.8,462,14.8641,,,,,15.0,,-685249.6,-256431.3,-686641.6,qlearning,4042,-50889.4,79,0.0,0,31
train,8,4050,0.818,3607,68.36,191.64,41.52,102,colas,-22.188,1991,679,7.965,2702,474.5,166.2,475,15.5684,,,,,15.0,,-701341.0,-267607.5,-702477.0,qlearning,4042,-53207.9,93,0.0,0,28
train,9,4051,0.794,3620,70.42,190.11,42.95,92,colas,-23.033,1995,673,7.744,2718,474.4,166.2,490,13.7867,,,,,15.1,,-700723.6,-278176.7,-702447.6,qlearning,4042,-55233.4,81,0.0,0,29
train,10,4052,0.772,3620,65.89,183.27,40.18,127,colas,-21.578,2001,664,7.562,2731,465.4,162.9,510,15.5784,182.8,79.44,182.8,176.0,14.9,179.4,-674266.5,-260430.8,-675264.5,qlearning,4042,-51743.1,41,0.0,0,31
train,11,4053,0.75,3620,64.58,182.79,39.41,95,colas,-21.028,1992,678,7.616,2763,464.6,162.5,519,14.6607,,,,,14.8,,-670880.8,-253874.2,-671668.8,qlearning,4042,-50425.2,67,0.0,0,27
train,12,4054,0.729,3620,62.7,173.6,38.28,88,colas,-20.575,2010,648,6.959,2794,449.8,157.5,534,14.7636,,,,,14.7,,-639260.9,-248409.4,-640226.9,qlearning,4042,-49337.8,64,0.0,0,26
train,13,4055,0.708,3620,66.76,189.52,40.73,98,colas,-21.768,2001,663,7.828,2769,473.4,165.8,553,13.3305,,,,,14.9,,-696447.8,-263100.9,-697833.8,qlearning,4042,-52199.9,52,0.0,0,30
train,14,4056,0.688,3620,63.31,176.82,38.66,99,colas,-20.707,1992,677,7.243,2783,457.5,159.9,558,16.2034,,,,,14.6,,-650366.6,-250236.7,-651678.6,qlearning,4042,-49656.5,23,0.0,0,30
train,15,4057,0.668,3620,60.17,172.71,36.76,90,colas,-19.655,1994,675,7.114,2765,450.0,156.9,565,13.3181,,,,,14.6,,-634101.6,-237549.6,-635887.6,qlearning,4042,-47133.6,43,0.0,0,32
train,16,4058,0.649,3620,62.65,177.54,38.54,95,colas,-20.672,1991,650,7.13,2789,459.4,160.3,568,16.9324,,,,,14.7,,-652793.8,-248288.6,-653073.8,qlearning,4042,-49240.6,0,0.0,0,24
train,17,4059,0.631,3620,60.33,178.72,36.85,99,colas,-19.625,1986,689,7.463,2765,459.4,160.4,581,18.9875,,,,,14.7,,-654723.5,-237223.1,-655299.5,qlearning,4042,-47059.8,26,0.0,0,27
train,18,4060,0.613,3620,62.55,173.85,38.17,91,colas,-20.421,2008,651,7.223,2768,452.9,158.5,585,16.5708,,,,,14.8,,-638339.3,-246615.8,-638919.3,qlearning,4042,-48970.6,42,0.0,0,25
train,19,4061,0.596,3620,60.86,173.59,37.18,111,colas,-19.972,2002,661,7.044,2815,453.0,158.2,595,18.2079,,,,,14.6,,-637826.7,-241321.1,-638416.7,qlearning,4042,-47893.8,1,0.0,0,26
train,20,4062,0.579,3620,56.81,169.11,34.75,81,colas,-18.496,1995,674,6.891,2804,444.2,154.9,596,14.9482,189.49,81.71,189.49,188.63,14.6,189.06,-619373.1,-224066.6,-620265.1,qlearning,4042,-44353.1,36,0.0,0,33
train,21,4063,0.562,3620,60.48,180.9,37.21,96,colas,-19.782,1968,688,7.627,2803,463.8,161.9,599,15.4186,,,,,14.8,,-661743.8,-237272.9,-661869.8,qlearning,4042,-47119.7,0,0.0,0,23
train,22,4064,0.546,3620,61.54,174.55,39.98,107,colas,-21.495,1893,602,6.961,2800,455.2,158.9,609,17.9877,,,,,14.6,,-642125.8,-244233.6,-643479.8,qlearning,4042,-48449.5,0,0.0,0,32
train,23,4065,0.531,3620,59.06,171.4,37.39,97,colas,-20.063,1936,629,7.027,2827,450.7,157.2,615,20.1049,,,,,14.2,,-629301.1,-233880.1,-630181.1,qlearning,4042,-46425.0,0,0.0,0,31
train,24,4066,0.516,3620,67.74,191.66,41.33,111,colas,-22.298,2001,661,7.738,2723,478.3,167.3,625,15.3536,,,,,15.3,,-706001.1,-268693.2,-707315.1,qlearning,4042,-53471.7,0,0.0,0,29
train,25,4067,0.501,3620,64.21,180.32,39.4,110,colas,-21.207,1999,643,7.209,2794,463.2,161.8,629,19.3208,,,,,14.7,,-664097.4,-254744.3,-665815.4,qlearning,4042,-50598.8,0,0.0,1,34
