modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,3529,86.56,212.01,51.37,111,retraso,-28.016,2002,660,8.344,2641,504.1,177.8,274,28.955,,,,,19.7,,-769957.0,-337737.0,-773363.0,qlearning,42,-67183.2,122,0.0044,16,38
train,2,44,0.972,3554,79.85,196.95,47.75,109,retraso,-25.991,1995,673,7.718,2619,483.3,170.2,346,28.3338,,,,,18.3,,-719575.6,-313656.6,-725579.6,qlearning,42,-62325.6,119,0.0014,5,34
train,3,45,0.944,3580,76.03,196.25,45.82,107,retraso,-24.727,2000,665,7.863,2664,480.8,169.0,391,28.424,,,,,19.5,,-719176.1,-298859.6,-721142.1,qlearning,42,-59295.6,134,0.0,0,31
train,4,46,0.917,3599,78.55,194.58,47.57,132,retraso,-25.861,2013,643,7.632,2662,478.4,168.5,427,29.9494,,,,,23.9,,-719542.0,-312226.9,-722242.0,qlearning,42,-62013.7,127,0.0,0,31
train,5,47,0.891,3580,73.94,191.06,44.57,103,retraso,-24.018,2003,659,7.58,2709,474.7,166.8,452,44.8801,,,,,19.1,,-698669.8,-290051.3,-700171.8,qlearning,42,-57595.0,83,0.0,0,31
train,6,48,0.866,3587,75.42,193.86,45.54,102,retraso,-24.786,2000,665,7.686,2680,477.9,168.3,495,45.1947,,,,,18.0,,-713296.3,-299213.2,-715922.3,qlearning,42,-59437.6,107,0.0,0,30
train,7,49,0.841,3620,71.81,188.98,43.77,104,retraso,-23.658,2005,657,7.67,2740,472.5,166.0,520,32.4424,,,,,18.3,,-699289.4,-285617.5,-701303.4,qlearning,42,-56731.0,82,0.0019,7,35
train,8,50,0.818,3598,77.94,193.38,47.19,115,retraso,-25.633,2007,652,7.703,2702,480.0,168.9,539,50.98,,,,,18.0,,-714251.7,-309119.3,-716719.7,qlearning,42,-61467.0,101,0.0,0,30
train,9,51,0.794,3620,73.82,191.61,44.97,114,retraso,-24.412,2010,648,7.675,2708,478.5,168.0,563,44.4938,,,,,20.4,,-710157.3,-294671.4,-712041.3,qlearning,42,-58541.1,51,0.0,0,32
train,10,52,0.772,3620,70.98,192.58,43.26,130,retraso,-23.377,2002,661,7.793,2731,479.2,168.0,574,40.8545,202.77,100.39,202.77,194.87,19.1,198.82,-711611.9,-281979.5,-713717.9,qlearning,42,-56057.6,53,0.0,0,31
train,11,53,0.75,3620,59.68,165.12,36.47,90,retraso,-19.535,2011,647,6.723,2805,440.3,153.6,581,44.5036,,,,,16.8,,-607240.7,-236292.7,-608064.7,qlearning,42,-46845.4,40,0.0,0,29
train,12,54,0.729,3620,69.88,180.84,42.6,113,retraso,-22.996,2016,638,7.294,2769,464.3,163.0,586,42.0683,,,,,17.6,,-668359.1,-277729.4,-670065.1,qlearning,42,-55144.2,47,0.0,0,27
train,13,55,0.708,3620,66.07,180.65,40.3,130,retraso,-21.772,2013,643,7.199,2788,464.7,162.5,604,49.5626,,,,,17.0,,-666105.2,-262881.3,-666745.2,qlearning,42,-52209.0,1,0.0,0,26
train,14,56,0.688,3620,65.65,176.82,40.05,101,retraso,-21.631,2017,637,7.041,2789,458.4,160.5,617,45.7293,,,,,16.7,,-652158.2,-261146.1,-653694.2,qlearning,42,-51871.0,17,0.0,0,31
train,15,57,0.668,3620,69.77,182.0,42.52,111,retraso,-23.052,2029,615,7.317,2802,467.6,164.2,629,44.3371,,,,,16.8,,-673004.0,-277807.2,-674558.0,qlearning,42,-55278.1,29,0.0,0,31
train,16,58,0.649,3620,63.47,174.3,38.74,116,retraso,-20.955,2015,640,6.942,2818,455.4,159.2,632,39.919,,,,,15.5,,-643366.5,-253248.1,-645672.5,qlearning,42,-50250.4,8,0.0,0,32
train,17,59,0.631,3620,61.74,170.73,38.79,105,retraso,-20.941,1959,619,6.782,2823,449.8,157.0,636,50.0413,,,,,15.2,,-629261.4,-245582.6,-630553.4,qlearning,42,-48835.6,0,0.0,0,31
train,18,60,0.613,3620,67.9,179.86,42.48,116,retraso,-23.117,1982,594,6.981,2819,464.3,162.6,644,45.6576,,,,,17.2,,-665757.0,-271860.9,-667641.0,qlearning,42,-54047.0,0,0.0,0,31
train,19,61,0.596,3620,67.67,177.94,42.41,109,retraso,-23.023,1973,601,6.896,2823,461.5,161.7,648,48.6443,,,,,15.7,,-658380.0,-270392.9,-659570.0,qlearning,42,-53735.5,0,0.0,0,29
train,20,62,0.579,3620,72.91,179.24,44.42,142,retraso,-24.446,2038,601,6.856,2787,464.1,163.2,650,43.4488,182.98,99.06,182.98,201.75,17.5,192.365,-669030.9,-294868.9,-671612.9,qlearning,42,-58620.5,9,0.0,4,34
train,21,63,0.562,3620,61.68,162.96,39.69,120,retraso,-21.616,1939,561,6.316,2850,440.8,153.9,654,49.9544,,,,,15.0,,-603502.5,-247726.5,-605776.5,qlearning,42,-49198.2,0,0.0003,1,34
train,22,64,0.546,3620,64.1,168.18,41.15,108,retraso,-22.423,1944,557,6.532,2843,448.3,156.8,654,53.6509,,,,,17.6,,-622780.2,-257027.2,-623762.2,qlearning,42,-51079.8,0,0.0,0,28
train,23,65,0.531,3620,67.07,174.55,42.6,136,retraso,-23.305,1953,584,6.718,2826,458.2,160.5,662,47.212,,,,,17.0,,-647588.1,-269609.7,-648192.1,qlearning,42,-53648.7,0,0.0,0,27
train,24,66,0.516,3620,64.06,176.54,40.98,121,retraso,-22.237,1934,590,6.973,2791,458.6,160.3,670,53.7411,,,,,17.5,,-651902.1,-256032.7,-653740.1,qlearning,42,-50877.8,0,0.0017,6,34
train,25,67,0.501,3620,72.72,174.28,45.06,126,retraso,-24.955,2013,574,6.536,2795,458.9,161.4,673,57.9119,,,,,18.1,,-653202.2,-296036.2,-658680.2,qlearning,42,-58843.0,0,0.0,10,36
