modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,4043,1.0,3545,79.72,201.01,47.57,112,retraso,-25.888,1993,676,7.986,2634,487.1,171.3,259,30.3397,,,,,15.9,,-731228.1,-311740.1,-735506.1,sarsa,4042,-62078.6,131,0.0,0,31
train,2,4044,0.972,3565,78.1,193.26,46.85,120,retraso,-25.764,2010,648,7.482,2675,477.6,168.0,339,39.7952,,,,,15.3,,-711062.7,-310557.3,-715268.7,sarsa,4042,-61781.9,114,0.0,0,32
train,3,4045,0.944,3620,73.7,192.81,44.89,112,retraso,-24.309,2004,658,7.746,2695,479.1,168.2,385,37.2533,,,,,15.4,,-714071.8,-293611.7,-716191.8,sarsa,4042,-58292.4,87,0.0,0,31
train,4,4046,0.917,3568,75.55,193.49,45.37,108,retraso,-24.702,2010,648,7.585,2738,478.5,168.3,425,46.5888,,,,,15.2,,-708015.7,-297504.9,-711303.7,sarsa,4042,-59235.7,79,0.0,13,36
train,5,4047,0.891,3620,72.28,190.09,44.06,130,retraso,-23.8,2006,654,7.61,2686,474.6,166.5,441,42.0692,,,,,15.5,,-703366.1,-287496.4,-705322.1,sarsa,4042,-57073.5,91,0.0,0,28
train,6,4048,0.866,3612,70.48,182.13,42.89,113,retraso,-23.175,2006,655,7.29,2716,463.0,162.4,450,39.1329,,,,,15.0,,-672379.8,-279846.2,-673337.8,sarsa,4042,-55573.9,90,0.0,0,28
train,7,4049,0.841,3620,69.48,188.39,42.37,116,retraso,-22.798,1995,673,7.724,2721,470.4,165.1,466,44.643,,,,,15.4,,-694747.0,-275446.1,-697777.0,sarsa,4042,-54670.8,98,0.0,14,38
train,8,4050,0.818,3590,73.29,188.96,44.3,127,retraso,-23.916,2006,655,7.631,2705,471.7,165.5,487,49.3244,,,,,16.5,,-693311.2,-288842.9,-696205.2,sarsa,4042,-57349.4,95,0.0,0,32
train,9,4051,0.794,3586,76.68,198.75,46.25,118,retraso,-24.981,2010,648,8.028,2697,487.5,171.3,501,48.964,,,,,14.6,,-728141.3,-301286.2,-729853.3,sarsa,4042,-59903.9,69,0.0,0,29
train,10,4052,0.772,3620,68.91,178.67,42.01,115,retraso,-22.834,2012,644,7.088,2742,460.9,161.5,523,54.8387,240.58,139.28,240.58,249.86,15.7,245.22,-662133.6,-275665.4,-664289.6,sarsa,4042,-54756.6,47,0.0,0,28
train,11,4053,0.75,3620,65.01,172.91,39.68,124,retraso,-21.438,2020,632,6.865,2795,452.7,158.2,536,46.1693,,,,,14.7,,-638870.4,-259050.7,-640072.4,sarsa,4042,-51407.8,38,0.0,0,27
train,12,4054,0.729,3620,70.25,178.33,42.83,124,retraso,-23.313,2032,612,7.005,2806,463.1,162.4,558,58.2009,,,,,15.1,,-661414.6,-281078.8,-663572.6,sarsa,4042,-55904.5,14,0.0,0,31
train,13,4055,0.708,3620,62.65,168.96,39.32,108,retraso,-21.191,1973,600,6.791,2835,448.7,156.9,571,58.3787,,,,,14.5,,-623133.9,-249236.9,-623671.9,sarsa,4042,-49461.0,0,0.0,0,27
train,14,4056,0.688,3620,68.69,180.79,42.03,130,retraso,-22.831,2014,628,7.225,2791,466.1,163.3,581,47.5862,,,,,15.0,,-669233.3,-274657.2,-671841.3,sarsa,4042,-54566.7,0,0.0025,9,38
train,15,4057,0.668,3620,73.57,181.49,44.82,143,retraso,-24.871,2037,602,6.831,2806,465.7,163.6,593,52.4474,,,,,14.9,,-679572.6,-300046.2,-682862.6,sarsa,4042,-59641.2,36,0.0033,12,36
train,16,4058,0.649,3620,73.99,191.95,45.06,148,retraso,-24.629,2022,629,7.593,2776,480.3,168.7,599,61.5747,,,,,15.6,,-713379.5,-297563.3,-715413.5,sarsa,4042,-59061.3,27,0.0,15,37
train,17,4059,0.631,3620,70.09,176.17,42.73,124,retraso,-23.448,2029,617,6.704,2784,459.7,161.3,604,58.0152,,,,,14.8,,-655971.3,-283088.1,-658335.3,sarsa,4042,-56227.8,4,0.0006,2,35
train,18,4060,0.613,3620,68.03,168.39,43.15,123,retraso,-23.739,1957,581,6.26,2819,449.6,157.6,610,62.231,,,,,14.4,,-628141.7,-275725.4,-632745.7,sarsa,4042,-54742.2,0,0.0,0,33
train,19,4061,0.596,3620,72.89,181.86,45.49,136,retraso,-25.265,1989,586,6.863,2790,467.2,164.3,617,66.2172,,,,,14.9,,-680234.7,-296990.2,-684500.7,sarsa,4042,-59119.2,0,0.0022,22,36
train,20,4062,0.579,3620,61.82,167.93,38.87,121,retraso,-21.015,1960,617,6.658,2836,447.0,156.2,620,49.477,191.72,95.11,191.72,194.48,14.4,193.1,-619461.2,-246466.7,-621185.2,sarsa,4042,-48964.0,0,0.0003,1,34
train,21,4063,0.562,3620,65.56,165.6,39.99,123,retraso,-21.992,2034,607,6.297,2827,443.9,155.6,622,65.4166,,,,,14.5,,-616489.2,-265334.2,-620537.2,sarsa,4042,-52737.7,20,0.0003,1,34
train,22,4064,0.546,3620,69.8,178.07,46.1,131,retraso,-25.255,1895,531,6.766,2836,463.2,162.4,631,65.2455,,,,,14.3,,-662006.4,-281193.4,-663104.4,sarsa,4042,-55915.4,0,0.0,0,30
train,23,4065,0.531,3620,78.03,188.73,47.5,126,retraso,-26.295,2042,595,7.193,2766,475.8,167.8,636,63.3183,,,,,15.2,,-706788.2,-317100.3,-712124.2,sarsa,4042,-63055.7,59,0.0025,9,38
train,24,4066,0.516,3620,70.28,173.58,44.4,127,retraso,-24.57,1981,553,6.455,2821,457.3,160.4,640,64.5462,,,,,14.4,,-649158.4,-285973.5,-652838.4,sarsa,4042,-56805.7,0,0.0022,9,36
train,25,4067,0.501,3620,71.8,176.35,45.16,125,retraso,-24.821,1990,555,6.72,2851,462.0,162.2,648,55.3069,,,,,14.3,,-657493.9,-289826.4,-660877.9,sarsa,4042,-57683.4,0,0.0,0,33
train,26,4068,0.487,3620,76.23,177.26,46.9,147,retraso,-26.295,2035,566,6.516,2799,462.9,162.9,651,65.1692,,,,,14.7,,-668824.1,-313961.9,-673402.1,sarsa,4042,-62424.3,0,0.0003,1,34
train,27,4069,0.473,3620,68.26,166.87,43.83,146,retraso,-24.264,1958,533,6.078,2831,448.7,157.1,656,69.2426,,,,,14.2,,-623526.3,-277840.2,-626710.3,sarsa,4042,-55273.5,0,0.0,2,34
train,28,4070,0.46,3620,70.58,171.68,47.16,124,retraso,-26.219,1878,516,6.309,2839,454.6,159.7,660,74.2125,,,,,14.2,,-642978.3,-288170.0,-645722.3,sarsa,4042,-57367.2,0,0.0025,9,36
train,29,4071,0.447,3620,72.04,175.23,46.09,126,retraso,-25.825,1952,554,6.437,2811,458.7,161.0,665,69.8307,,,,,14.7,,-658880.7,-296451.8,-661974.7,sarsa,4042,-58985.0,0,0.0003,1,34
train,30,4072,0.434,3620,68.73,163.92,43.14,119,retraso,-23.842,1998,552,6.149,2846,443.5,155.6,667,68.4426,206.14,111.09,206.14,204.64,14.6,205.39,-613544.3,-279427.0,-617242.3,sarsa,4042,-55551.3,0,0.0,0,31
train,31,4073,0.422,3620,71.88,167.35,46.07,135,retraso,-25.754,1975,510,5.925,2856,449.0,157.5,668,59.6102,,,,,15.9,,-630261.5,-295515.2,-633777.5,sarsa,4042,-58718.5,0,0.0,0,32
train,32,4074,0.41,3620,80.71,183.02,51.72,142,retraso,-29.226,1969,514,6.315,2792,471.8,166.4,684,59.1597,,,,,15.1,,-693368.0,-334604.6,-698910.0,sarsa,4042,-66575.9,0,0.0042,15,37
train,33,4075,0.398,3620,69.89,161.09,44.58,124,retraso,-24.915,1972,532,5.807,2859,439.7,154.6,690,68.7563,,,,,13.5,,-606597.2,-287279.2,-612755.2,sarsa,4042,-57105.8,0,0.0,0,32
train,34,4076,0.387,3620,72.05,174.15,47.07,126,retraso,-26.298,1920,527,6.5,2811,457.8,161.0,693,71.6088,,,,,14.2,,-653820.3,-295629.5,-655856.3,sarsa,4042,-58802.2,0,0.0,0,33
train,35,4077,0.376,3620,77.13,178.67,50.42,132,retraso,-27.946,1924,514,6.715,2797,465.8,164.2,695,69.6851,,,,,13.8,,-670876.9,-313955.1,-673286.9,sarsa,4042,-62430.5,0,0.0,7,35
train,36,4078,0.365,3620,77.23,185.03,49.73,130,retraso,-27.558,1945,535,6.934,2785,473.7,166.8,698,66.2972,,,,,14.5,,-693344.2,-314022.3,-695812.2,sarsa,4042,-62445.9,0,0.0,0,31
train,37,4079,0.355,3620,72.67,176.56,47.3,121,retraso,-26.286,1943,501,6.488,2778,460.7,161.9,698,71.9365,,,,,14.9,,-661012.5,-296448.9,-664962.5,sarsa,4042,-58986.4,0,0.0,0,32
train,38,4080,0.345,3620,74.28,173.35,48.22,143,retraso,-27.003,1925,540,6.323,2791,457.1,160.6,703,64.3585,,,,,15.3,,-653144.5,-305614.8,-658434.5,sarsa,4042,-60757.8,0,0.0036,26,37
train,39,4081,0.335,3620,57.1,148.16,37.53,120,retraso,-20.829,1912,531,5.393,2889,419.1,146.3,708,59.3392,,,,,13.7,,-552462.0,-233989.1,-555764.0,sarsa,4042,-46448.8,0,0.0,31,37
train,40,4082,0.325,3620,72.6,165.0,44.34,130,retraso,-25.074,2069,540,5.803,2790,445.8,156.7,709,51.1037,188.86,93.18,188.86,209.39,14.2,199.125,-625168.3,-301773.1,-632974.3,sarsa,4042,-59977.1,0,0.0025,30,38
train,41,4083,0.316,3620,80.75,175.99,52.48,163,retraso,-29.718,1956,480,6.083,2822,462.5,163.2,711,67.4992,,,,,13.2,,-668684.9,-334875.3,-674584.9,sarsa,4042,-66688.3,0,0.0103,37,37
train,42,4084,0.307,3620,74.25,173.2,48.51,136,retraso,-27.139,1928,512,6.295,2825,456.8,160.7,718,65.8004,,,,,13.2,,-651953.6,-304815.2,-656929.6,sarsa,4042,-60682.1,0,0.0,12,38
train,43,4085,0.299,3620,72.34,161.57,48.01,144,retraso,-26.971,1914,479,5.652,2871,442.7,155.6,722,62.7858,,,,,12.7,,-611075.6,-298729.4,-618027.6,sarsa,4042,-59336.3,0,0.0031,22,37
train,44,4086,0.29,3620,78.76,171.2,50.51,138,retraso,-28.748,1976,500,5.828,2840,455.0,160.4,726,66.8545,,,,,13.3,,-652466.9,-328640.8,-660790.9,sarsa,4042,-65429.9,0,0.0022,57,38
train,45,4087,0.282,3620,77.91,172.02,52.36,132,retraso,-29.529,1882,482,6.066,2840,457.2,161.1,731,58.2848,,,,,12.9,,-651968.4,-322430.5,-656070.4,sarsa,4042,-64136.1,0,0.0,0,32
train,46,4088,0.274,3620,78.82,174.12,53.71,152,retraso,-30.148,1871,450,6.236,2843,461.8,162.8,734,69.0621,,,,,12.8,,-658025.8,-323838.2,-660091.8,sarsa,4042,-64517.6,0,0.0,0,32
train,47,4089,0.266,3620,77.59,169.84,50.96,155,retraso,-29.067,1939,472,5.873,2832,454.1,159.9,739,68.1316,,,,,14.2,,-647771.9,-324928.4,-654079.9,sarsa,4042,-64586.9,0,0.0044,16,36
train,48,4090,0.259,3620,72.97,165.15,49.39,139,retraso,-28.113,1880,462,5.671,2846,446.0,156.8,741,72.6645,,,,,13.2,,-627697.3,-305111.3,-632595.3,sarsa,4042,-60668.4,0,0.0061,27,37
train,49,4091,0.251,3620,89.36,180.06,59.81,157,retraso,-35.057,1913,442,5.874,2775,470.5,166.7,745,76.8086,,,,,13.2,,-700961.1,-383378.0,-706785.1,sarsa,4042,-76354.2,0,0.0011,18,37
train,50,4092,0.244,3620,82.04,180.68,52.23,153,retraso,-29.56,1990,500,6.297,2752,468.0,165.4,747,75.6216,201.83,113.88,201.83,200.6,13.9,201.215,-686211.0,-340244.8,-695733.0,sarsa,4042,-67692.2,0,0.0022,26,38
train,51,4093,0.237,3620,74.21,164.65,48.57,141,retraso,-27.539,1948,469,5.731,2853,446.7,157.3,747,61.3812,,,,,13.9,,-625042.5,-308747.9,-630790.5,sarsa,4042,-61412.2,0,0.0,3,34
train,52,4094,0.23,3620,71.45,162.94,46.07,139,retraso,-26.34,1969,495,5.631,2801,442.0,155.2,747,78.1517,,,,,14.0,,-620275.3,-300138.4,-625761.3,sarsa,4042,-59686.7,0,0.0047,17,36
train,53,4095,0.224,3620,84.2,178.83,55.87,161,retraso,-31.913,1919,463,5.99,2762,466.6,165.1,750,78.7955,,,,,14.4,,-683852.5,-352594.7,-688936.5,sarsa,4042,-70144.8,0,0.0,4,34
train,54,4096,0.218,3620,79.76,167.48,54.37,157,retraso,-31.056,1879,437,5.594,2816,451.6,159.3,751,77.8614,,,,,14.2,,-640123.6,-333879.0,-646337.6,sarsa,4042,-66460.9,0,0.0056,30,37
train,55,4097,0.211,3620,71.4,155.49,47.26,154,retraso,-26.755,1929,465,5.285,2816,432.5,152.2,751,64.1312,,,,,13.6,,-590590.1,-296953.6,-595902.1,sarsa,4042,-59075.8,0,0.0022,11,37
train,56,4098,0.205,3620,77.39,164.64,50.94,154,retraso,-29.491,1953,441,5.481,2844,446.6,157.6,753,75.2961,,,,,15.5,,-633400.0,-328436.3,-642320.0,sarsa,4042,-65410.3,0,0.0044,43,38
train,57,4099,0.2,3620,69.06,152.03,44.67,141,retraso,-25.544,1975,475,5.11,2803,426.6,149.9,755,58.7549,,,,,13.8,,-579664.5,-290204.4,-586240.5,sarsa,4042,-57728.8,0,0.0033,12,37
train,58,4100,0.194,3620,68.95,156.69,44.27,134,retraso,-24.988,1985,484,5.535,2770,432.6,152.1,755,64.5942,,,,,14.0,,-592360.7,-285728.2,-597160.7,sarsa,4042,-56871.8,0,0.0025,9,36
train,59,4101,0.188,3620,71.11,163.65,46.37,157,retraso,-26.131,1953,480,5.642,2857,443.7,155.9,757,66.4239,,,,,14.1,,-618372.2,-294257.4,-623218.2,sarsa,4042,-58532.8,0,0.0056,26,38
train,60,4102,0.183,3620,72.76,162.33,45.92,134,retraso,-26.001,2027,478,5.562,2782,441.1,155.1,758,55.7299,155.53,82.57,155.53,169.71,14.6,162.62,-615687.3,-302628.9,-622485.3,sarsa,4042,-60167.3,0,0.0,11,37
train,61,4103,0.178,3620,68.61,151.68,45.03,155,retraso,-25.838,1960,446,5.117,2833,427.0,149.9,758,71.6457,,,,,13.5,,-579169.8,-289630.6,-584207.8,sarsa,4042,-57566.2,0,0.0044,31,38
train,62,4104,0.173,3620,77.25,159.86,49.17,152,retraso,-28.434,2027,444,5.275,2805,439.6,155.2,758,67.0582,,,,,14.1,,-615865.7,-327614.3,-623741.7,sarsa,4042,-65227.2,0,0.005,34,38
train,63,4105,0.168,3620,82.38,167.43,52.67,140,retraso,-30.183,2012,450,5.521,2823,450.9,159.6,760,76.1143,,,,,14.8,,-643867.5,-346130.6,-655225.5,sarsa,4042,-68877.8,0,0.0089,64,38
train,64,4106,0.163,3620,71.26,155.89,46.08,149,retraso,-26.332,1989,453,5.218,2837,432.6,152.1,765,70.4099,,,,,14.0,,-595399.4,-299607.6,-604307.4,sarsa,4042,-59511.2,0,0.0114,64,38
train,65,4107,0.158,3620,85.23,172.57,55.09,143,retraso,-31.968,1990,443,5.549,2749,457.0,161.6,767,73.8452,,,,,14.3,,-667345.9,-362078.4,-678901.9,sarsa,4042,-72119.3,0,0.0175,82,38
train,66,4108,0.154,3620,74.79,167.54,50.01,139,retraso,-28.191,1918,444,5.884,2819,448.5,157.9,769,73.603,,,,,14.1,,-634640.2,-309602.8,-640258.2,sarsa,4042,-61568.3,0,0.0094,34,38
train,67,4109,0.15,3620,81.19,173.75,54.64,138,retraso,-31.311,1914,423,5.817,2838,459.4,162.0,775,78.168,,,,,14.6,,-664745.5,-340733.3,-668759.5,sarsa,4042,-67882.9,0,0.0008,13,36
train,68,4110,0.145,3620,68.19,164.49,45.09,130,retraso,-24.964,1912,496,6.073,2812,443.8,155.5,775,71.9764,,,,,14.6,,-615171.1,-277649.9,-620049.1,sarsa,4042,-55171.5,0,0.0031,15,36
train,69,4111,0.141,3620,77.01,168.28,51.62,145,retraso,-29.483,1906,453,5.728,2814,450.7,158.7,775,69.3944,,,,,14.1,,-641985.8,-322752.2,-649325.8,sarsa,4042,-64214.6,0,0.0019,9,36
train,70,4112,0.137,3620,81.3,170.95,52.01,184,retraso,-30.744,2008,453,5.486,2751,454.8,160.5,776,54.7064,169.56,86.93,169.56,146.86,14.6,158.21,-665496.5,-352230.3,-678582.5,sarsa,4042,-70095.5,0,0.0161,68,38
train,71,4113,0.133,3620,78.32,161.4,48.04,159,retraso,-28.049,2096,472,5.267,2685,441.2,155.8,776,64.1169,,,,,14.6,,-625878.0,-335544.7,-638052.0,sarsa,4042,-66756.0,0,0.0206,74,38
train,72,4114,0.13,3620,82.31,172.42,56.93,191,retraso,-33.33,1839,451,5.704,2796,458.2,161.9,778,74.8096,,,,,13.9,,-668554.3,-352957.0,-675506.3,sarsa,4042,-70326.6,0,0.0153,55,38
train,73,4115,0.126,3620,66.94,156.42,45.73,138,retraso,-25.664,1864,459,5.533,2844,433.6,152.0,781,64.6174,,,,,13.7,,-589377.0,-276677.4,-591551.0,sarsa,4042,-54920.3,0,0.0,0,30
