variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,1,4043,5.00e-04,6.9,1810,27.84,64.98,13.22,48,-11036.4,-7.039,-18.096,1311,875,434,2.672,1724,294.3,101.8,0,0.0,0,0,25,37,188.2,105.53,136.27,4.385,0.244,0,0.0,1.0,0.01134,-0.2446,312,1311,,,-118621.24,-56231.76,-118841.24,,,,dqn,retraso
vecinos,4042,2,4044,5.00e-04,9.8,1810,31.02,70.3,14.53,55,-12383.4,-7.808,-19.548,1327,889,435,2.794,1718,301.1,104.4,0,0.0,0,0,27,34,199.66,116.61,149.81,4.667,0.199,0,0.0,0.9905,0.0024,-0.4026,1639,2638,,,-129703.21,-62993.86,-129941.21,,,,dqn,retraso
vecinos,4042,3,4045,5.00e-04,9.6,1810,30.3,67.57,14.33,48,-12031.8,-7.664,-18.822,1321,899,419,2.781,1719,298.2,103.2,0,0.0,0,0,29,36,192.35,109.23,138.27,4.553,0.235,0,0.0,0.981,0.00302,-0.8183,2960,3959,,,-124320.73,-61395.26,-124998.73,,,,dqn,retraso
vecinos,4042,4,4046,5.00e-04,10.0,1810,31.74,74.85,14.49,47,-12571.3,-7.731,-20.191,1359,908,449,2.987,1708,306.4,106.3,0,0.0,0,0,22,36,205.9,122.88,159.27,4.931,0.236,0,0.0,0.9715,0.00481,-1.1799,4319,5318,,,-137195.23,-64028.45,-137309.23,,,,dqn,retraso
vecinos,4042,5,4047,5.00e-04,9.9,1810,29.67,70.27,13.74,45,-11709.2,-7.3,-19.201,1340,892,444,2.849,1704,300.0,104.0,0,0.0,0,0,25,35,197.98,115.22,149.02,4.718,0.247,0,0.0,0.962,0.00627,-1.4482,5659,6658,,,-128649.81,-59701.93,-128937.81,,,,dqn,retraso
vecinos,4042,6,4048,5.00e-04,9.4,1810,23.34,56.7,11.23,41,-9196.2,-5.903,-15.841,1300,862,436,2.376,1719,280.0,96.7,0,0.0,0,0,21,35,173.01,90.02,114.71,3.853,0.254,0,0.0,0.9525,0.00801,-1.6801,6959,7958,,,-102968.11,-47143.49,-103004.11,,,,dqn,retraso
vecinos,4042,7,4049,5.00e-04,10.3,1810,38.26,87.17,17.38,58,-15217.0,-9.347,-23.649,1361,911,448,3.491,1687,325.9,113.4,0,0.0,0,0,28,37,228.34,145.45,188.75,5.86,0.192,0,0.0,0.943,0.01017,-1.9498,8320,9319,,,-160930.41,-77284.36,-162258.41,,,,dqn,retraso
vecinos,4042,8,4050,5.00e-04,10.5,1810,31.06,79.74,13.85,44,-12239.0,-7.338,-21.031,1383,901,479,3.219,1692,312.7,108.4,0,0.0,0,0,24,36,216.35,133.66,176.92,5.411,0.276,0,0.0,0.9335,0.01224,-2.1792,9703,10702,,,-145428.31,-62237.79,-145746.31,,,,dqn,retraso
vecinos,4042,9,4051,5.00e-04,10.3,1810,33.05,76.9,14.93,53,-13094.6,-7.975,-20.613,1370,909,458,3.104,1709,310.8,107.7,0,0.0,0,0,26,36,208.83,125.97,165.23,5.115,0.204,0,0.0,0.924,0.01414,-2.3955,11073,12072,,,-141199.54,-66645.78,-141741.54,,,,dqn,retraso
vecinos,4042,10,4052,5.00e-04,9.4,1810,22.01,52.49,10.7,36,-8686.1,-5.611,-14.732,1289,851,436,2.198,1733,274.1,94.6,0,0.0,0,0,21,36,164.24,81.67,104.39,3.479,0.293,0,0.0,0.9145,0.01623,-2.5879,12362,13361,24.85,11.13,-94948.66,-44510.14,-94982.66,24.85,24.82,24.835,dqn,retraso
