variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,42,1,43,1.00e-03,8.7,1810,46.09,110.42,20.82,55,-18294.0,-11.237,-30.109,1354,889,462,4.444,1683,360.7,125.8,0,0.0,0,0,30,38,272.0,189.3,246.1,7.612,0.161,0,0.0,-0.0048,3.8027,0.6826,0.0071,0.0619,,,-203839.78,-92542.97,-205615.78,,,,ippo,retraso
local,42,2,44,9.95e-04,8.1,1810,29.4,69.27,13.89,53,-11695.3,-7.421,-19.318,1316,876,436,2.794,1722,300.4,103.8,0,0.0,0,0,24,34,196.04,113.22,146.05,4.612,0.195,0,0.0,-0.0226,0.9166,0.6586,0.0121,0.2394,,,-127115.48,-59683.36,-127471.48,,,,ippo,retraso
local,42,3,45,9.90e-04,7.3,1810,20.65,49.83,9.89,35,-8118.4,-5.171,-13.752,1309,866,440,2.088,1722,268.2,92.6,0,0.0,0,0,18,36,159.16,76.38,95.8,3.272,0.32,0,0.0,-0.0206,0.5107,0.6103,0.011,0.1976,,,-90007.79,-41703.37,-90007.79,,,,ippo,retraso
local,42,4,46,9.85e-04,6.7,1810,11.61,28.77,6.04,25,-4666.4,-3.123,-8.027,1270,885,378,1.127,1764,234.4,80.7,0,0.0,0,0,12,19,116.94,34.1,38.86,1.447,0.596,0,0.0,-0.0086,0.2377,0.5724,0.0062,0.0847,,,-50971.71,-24456.62,-50971.71,,,,ippo,retraso
local,42,5,47,9.80e-04,6.7,1810,10.48,26.26,5.52,19,-4240.8,-2.858,-7.265,1271,908,358,0.957,1764,229.5,79.1,0,0.0,0,0,9,17,110.46,27.96,30.49,1.094,0.734,0,0.0,-0.0095,0.1283,0.5291,0.0116,0.1295,,,-46171.58,-22344.04,-46171.58,,,,ippo,retraso
local,42,6,48,9.75e-04,6.5,1810,10.96,26.71,5.76,23,-4476.8,-3.025,-7.43,1273,917,349,0.975,1764,229.8,79.2,0,0.0,0,0,11,18,108.94,26.11,28.87,1.038,0.747,0,0.0,-0.0088,0.1015,0.5065,0.0077,0.1102,,,-47293.44,-23441.68,-47293.44,,,,ippo,retraso
local,42,7,49,9.70e-04,7.1,1810,8.59,23.58,4.59,16,-3405.2,-2.301,-6.498,1254,873,380,0.888,1765,225.0,77.4,0,0.0,0,0,8,16,108.24,25.5,27.04,0.989,0.767,0,0.0,-0.0021,0.0715,0.485,0.0053,0.079,,,-40741.97,-18202.08,-40741.97,,,,ippo,retraso
local,42,8,50,9.65e-04,6.9,1810,8.41,23.24,4.53,16,-3359.9,-2.27,-6.448,1249,857,389,0.871,1762,224.2,77.1,0,0.0,0,0,8,13,108.0,25.02,27.13,0.971,0.789,0,0.0,-0.0037,0.0597,0.4361,0.0049,0.0634,,,-40266.25,-17984.17,-40266.25,,,,ippo,retraso
local,42,9,51,9.60e-04,7.0,1810,8.41,23.55,4.53,16,-3370.9,-2.275,-6.531,1246,844,399,0.888,1765,225.0,77.3,0,0.0,0,0,7,13,108.2,25.1,26.87,0.96,0.792,0,0.0,-0.0029,0.0491,0.3994,0.0053,0.0548,,,-40689.68,-17986.02,-40689.68,,,,ippo,retraso
local,42,10,52,9.55e-04,7.0,1810,8.45,23.46,4.52,16,-3351.2,-2.258,-6.501,1258,872,383,0.9,1763,224.8,77.3,0,0.0,0,0,7,14,108.32,25.09,26.68,1.004,0.767,0,0.0,0.0014,0.0529,0.3889,0.0039,0.049,23.94,9.6,-40891.24,-17973.15,-40891.24,23.94,23.3,23.62,ippo,retraso
