variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
spill,2042,1,2043,1.00e-03,7.1,1810,33.69,78.83,14.98,55,-13310.5,-7.98,-20.872,1386,909,475,3.287,1697,312.8,108.6,0,0.0,0,0,23,36,214.31,131.18,171.95,5.541,0.229,6,5.4,-0.0055,2.2651,0.6855,0.0051,0.0487,,,-144588.56,-67794.61,-144642.56,,,,ippo,spill
spill,2042,2,2044,9.95e-04,6.4,1810,24.07,54.42,11.69,39,-9581.6,-6.214,-15.303,1300,886,410,2.202,1738,277.5,95.9,0,0.0,0,0,22,34,167.09,84.36,107.03,3.487,0.259,4,2.8,-0.0212,0.5357,0.6576,0.0108,0.1822,,,-99440.2,-49088.65,-99468.2,,,,ippo,spill
spill,2042,3,2045,9.90e-04,6.5,1810,19.07,45.98,9.54,34,-7589.4,-5.039,-13.065,1279,889,384,1.814,1754,262.5,90.6,0,0.0,0,0,23,35,149.48,66.82,83.35,2.729,0.358,13,19.6,-0.0203,0.4795,0.6024,0.0096,0.16,,,-83351.71,-39211.59,-83547.71,,,,ippo,spill
spill,2042,4,2046,9.85e-04,6.1,1810,13.49,33.67,6.98,35,-5392.2,-3.634,-9.491,1265,890,368,1.302,1757,242.0,83.3,0,0.0,0,0,26,29,125.0,42.13,48.71,1.698,0.551,5,19.2,-0.015,0.3095,0.5655,0.0079,0.1288,,,-59836.36,-28168.74,-60028.36,,,,ippo,spill
spill,2042,5,2047,9.80e-04,6.0,1810,12.52,30.15,6.48,22,-5067.2,-3.401,-8.434,1273,898,367,1.167,1755,236.0,81.3,0,0.0,0,0,14,21,117.62,34.73,40.79,1.449,0.58,0,0.0,-0.0109,0.1983,0.5246,0.0081,0.1112,,,-53685.28,-26385.1,-53685.28,,,,ippo,spill
spill,2042,6,2048,9.75e-04,6.1,1810,10.24,26.43,5.42,19,-4119.9,-2.784,-7.444,1250,856,388,1.024,1763,230.1,79.2,0,0.0,0,0,9,18,113.02,29.83,33.33,1.24,0.652,0,0.0,-0.0096,0.1017,0.4876,0.0082,0.093,,,-46522.26,-21692.25,-46522.26,,,,ippo,spill
spill,2042,7,2049,9.70e-04,6.1,1810,9.67,25.65,5.14,18,-3850.7,-2.598,-7.125,1251,860,388,0.991,1765,228.7,78.7,0,0.0,0,0,9,16,111.63,28.64,31.59,1.162,0.694,0,0.0,-0.0092,0.0723,0.4673,0.0092,0.1116,,,-44566.69,-20476.91,-44566.69,,,,ippo,spill
spill,2042,8,2050,9.65e-04,6.0,1810,8.73,23.44,4.67,16,-3503.0,-2.367,-6.537,1250,860,387,0.871,1766,224.3,77.2,0,0.0,0,0,9,16,107.15,24.16,25.72,0.931,0.792,0,0.0,-0.007,0.062,0.4633,0.0072,0.0872,,,-40854.66,-18686.97,-40854.66,,,,ippo,spill
spill,2042,9,2051,9.60e-04,6.0,1810,8.75,23.49,4.71,20,-3530.4,-2.389,-6.468,1262,897,363,0.834,1767,224.0,77.1,0,0.0,0,0,9,15,107.09,23.84,26.02,0.836,0.828,0,0.0,-0.0067,0.0547,0.4031,0.0079,0.0886,,,-40812.32,-18795.61,-40812.32,,,,ippo,spill
spill,2042,10,2052,9.55e-04,6.0,1810,8.45,23.08,4.55,16,-3403.1,-2.306,-6.361,1255,878,374,0.836,1767,223.0,76.8,0,0.0,0,0,7,13,105.97,23.09,24.49,0.821,0.869,0,0.0,-0.0051,0.0623,0.3792,0.009,0.1,22.03,8.19,-39915.42,-18152.28,-39915.42,22.03,22.64,22.335,ippo,spill
spill,2042,11,2053,9.50e-04,6.1,1810,7.81,21.91,4.21,18,-3136.9,-2.114,-6.002,1261,882,377,0.79,1768,220.8,76.0,0,0.0,0,0,7,13,104.81,21.81,23.1,0.769,0.878,0,0.0,-0.0021,0.0472,0.3534,0.0058,0.0662,,,-37842.53,-16798.54,-37842.53,,,,ippo,spill
