variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,8.3,1810,33.69,78.83,14.98,55,-13310.5,-7.98,-20.864,1386,909,475,3.287,1697,312.8,108.6,0,0.0,0,0,23,36,214.31,131.18,171.95,5.541,0.229,0,0.0,-0.0055,2.2626,0.6855,0.0051,0.0493,,,-144588.56,-67794.61,-144642.56,,,,ippo,retraso
vecinos,2042,2,2044,9.95e-04,7.7,1810,26.11,55.74,12.26,58,-10519.9,-6.616,-15.344,1341,911,422,2.206,1726,278.9,96.7,0,0.0025,9,1,37,38,168.7,85.97,108.46,3.482,0.213,0,0.0,-0.024,0.6164,0.6588,0.0119,0.2308,,,-102884.74,-53723.43,-104592.74,,,,ippo,retraso
vecinos,2042,3,2045,9.90e-04,7.1,1810,17.26,42.66,8.69,32,-6859.8,-4.555,-12.048,1272,874,394,1.733,1750,258.0,88.9,0,0.0,0,0,21,33,144.15,61.5,75.91,2.574,0.408,0,0.0,-0.0199,0.3832,0.6057,0.011,0.2078,,,-76626.4,-35361.07,-76638.4,,,,ippo,retraso
vecinos,2042,4,2046,9.85e-04,7.1,1810,13.59,34.42,6.96,23,-5381.0,-3.602,-9.61,1271,889,376,1.401,1759,243.9,84.0,0,0.0,0,0,14,25,126.28,43.41,51.56,1.88,0.498,0,0.0,-0.0131,0.2379,0.5608,0.0066,0.0999,,,-61074.31,-28103.92,-61074.31,,,,ippo,retraso
vecinos,2042,5,2047,9.80e-04,6.9,1810,10.54,26.32,5.57,20,-4268.7,-2.884,-7.354,1265,895,361,0.986,1758,229.7,79.1,0,0.0,0,0,11,18,111.18,28.28,30.99,1.135,0.721,0,0.0,-0.0091,0.1312,0.5206,0.0093,0.1057,,,-46512.67,-22480.24,-46512.67,,,,ippo,retraso
vecinos,2042,6,2048,9.75e-04,6.9,1810,9.76,24.93,5.19,18,-3973.0,-2.688,-6.925,1265,901,359,0.905,1764,226.9,78.2,0,0.0,0,0,7,13,107.99,24.79,26.49,0.949,0.785,0,0.0,-0.0068,0.0725,0.5118,0.0051,0.0733,,,-43798.71,-20964.74,-43798.71,,,,ippo,retraso
vecinos,2042,7,2049,9.70e-04,6.8,1810,9.36,24.48,4.98,19,-3785.9,-2.548,-6.777,1263,884,376,0.898,1766,226.5,78.0,0,0.0,0,0,9,14,108.5,25.5,27.6,0.982,0.776,0,0.0,-0.0046,0.0606,0.5004,0.0052,0.0799,,,-42796.08,-20066.89,-42796.08,,,,ippo,retraso
vecinos,2042,8,2050,9.65e-04,6.9,1810,9.13,24.1,4.84,17,-3680.2,-2.48,-6.629,1268,901,364,0.884,1764,226.1,77.8,0,0.0,0,0,8,14,107.99,25.01,26.77,0.974,0.779,0,0.0,-0.0054,0.0619,0.499,0.0057,0.0899,,,-42026.94,-19450.62,-42026.94,,,,ippo,retraso
vecinos,2042,9,2051,9.60e-04,6.8,1810,9.2,24.8,4.89,18,-3671.8,-2.474,-6.772,1266,895,368,0.913,1763,227.1,78.1,0,0.0,0,0,10,15,109.62,26.37,29.21,0.976,0.779,0,0.0,-0.0057,0.0618,0.4455,0.008,0.0891,,,-42866.74,-19552.02,-42866.74,,,,ippo,retraso
vecinos,2042,10,2052,9.55e-04,7.0,1810,8.22,22.6,4.44,18,-3306.1,-2.237,-6.198,1262,894,365,0.81,1767,222.5,76.6,0,0.0,0,0,7,12,105.64,22.76,24.43,0.786,0.871,0,0.0,-0.0039,0.0507,0.4126,0.006,0.0755,21.41,7.77,-39107.47,-17707.1,-39107.47,21.41,21.07,21.24,ippo,retraso
