variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,6.7,1810,33.69,78.83,14.98,55,-13310.5,-7.98,-20.864,1386,909,475,3.287,1697,312.8,108.6,0,0.0,0,0,23,36,214.31,131.18,171.95,5.541,0.229,0,0.0,-0.0058,1.9996,0.6853,0.0053,0.0473,,,-144588.56,-67794.61,-144642.56,,,,mappo,retraso
vecinos,2042,2,2044,9.95e-04,6.7,1810,38.56,84.06,17.53,74,-15641.3,-9.631,-22.931,1368,933,431,3.131,1691,321.0,112.0,0,0.0,0,0,31,38,222.24,139.5,183.86,5.204,0.218,0,0.0,-0.0171,1.2486,0.6639,0.009,0.1487,,,-156849.48,-79272.46,-158577.48,,,,mappo,retraso
vecinos,2042,3,2045,9.90e-04,6.0,1810,17.09,45.22,8.54,26,-6754.1,-4.449,-12.607,1285,886,393,1.887,1747,260.8,89.9,0,0.0,0,0,16,33,147.13,64.47,80.74,2.799,0.362,0,0.0,-0.019,0.3488,0.6187,0.0084,0.1325,,,-80997.39,-34882.42,-80997.39,,,,mappo,retraso
vecinos,2042,4,2046,9.85e-04,5.8,1810,12.43,30.67,6.44,23,-4979.8,-3.342,-8.583,1268,890,374,1.184,1761,237.8,81.9,0,0.0,0,0,17,27,120.9,38.01,43.92,1.562,0.538,0,0.0,-0.0174,0.1866,0.5592,0.0098,0.1542,,,-54413.4,-26074.88,-54413.4,,,,mappo,retraso
vecinos,2042,5,2047,9.80e-04,5.8,1810,11.74,28.34,6.13,25,-4758.7,-3.202,-7.914,1271,896,361,1.051,1761,233.0,80.3,0,0.0,0,0,14,18,113.41,30.5,34.72,1.214,0.647,0,0.0,-0.0139,0.1174,0.508,0.0114,0.109,,,-50291.56,-24976.23,-50291.56,,,,mappo,retraso
vecinos,2042,6,2048,9.75e-04,5.6,1810,10.67,26.0,5.61,21,-4348.5,-2.926,-7.203,1278,920,351,0.903,1767,228.4,78.7,0,0.0,0,0,11,17,108.66,25.47,27.5,0.951,0.774,0,0.0,-0.0123,0.0623,0.4972,0.0122,0.1473,,,-46027.33,-22928.97,-46027.33,,,,mappo,retraso
vecinos,2042,7,2049,9.70e-04,5.8,1810,9.55,24.62,5.07,17,-3839.4,-2.594,-6.782,1266,900,362,0.902,1762,225.9,77.8,0,0.0,0,0,9,13,108.21,25.21,26.78,0.958,0.781,0,0.0,-0.0068,0.0519,0.4312,0.0094,0.1015,,,-42932.49,-20377.95,-42932.49,,,,mappo,retraso
vecinos,2042,8,2050,9.65e-04,5.8,1810,9.77,24.56,5.16,19,-3956.6,-2.663,-6.769,1276,918,356,0.865,1764,226.2,77.9,0,0.0,0,0,7,15,106.63,23.64,24.99,0.872,0.808,0,0.0,-0.0095,0.0406,0.4069,0.0109,0.1253,,,-43188.97,-20950.72,-43188.97,,,,mappo,retraso
vecinos,2042,9,2051,9.60e-04,5.7,1810,9.25,23.8,4.91,16,-3733.1,-2.526,-6.479,1280,941,336,0.822,1763,224.2,77.3,0,0.0,0,0,8,12,105.36,22.12,23.41,0.765,0.845,0,0.0,-0.0035,0.0419,0.405,0.0079,0.0846,,,-41465.66,-19780.55,-41465.66,,,,mappo,retraso
vecinos,2042,10,2052,9.55e-04,5.7,1810,9.44,24.05,5.01,17,-3837.4,-2.589,-6.554,1280,935,342,0.813,1765,224.5,77.4,0,0.0,0,0,8,12,105.01,22.14,23.62,0.753,0.866,0,0.0,-0.0041,0.037,0.3932,0.0061,0.0873,24.4,10.27,-41945.9,-20285.02,-41945.9,24.4,23.55,23.975,mappo,retraso
