modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,1810,38.34,86.9,17.21,53,colas,-9.304,1372,455,3.499,1695,325.9,113.3,133,4.883,,,,,6.4,,-160474.0,-77537.2,-160982.0,qlearning,42,-15296.5,0,0.0,0,28
train,2,44,0.972,1810,34.61,81.31,15.76,53,colas,-8.402,1356,452,3.318,1700,318.2,110.4,158,4.5559,,,,,6.4,,-149234.7,-69474.9,-149974.7,qlearning,42,-13677.7,0,0.0,0,26
train,3,45,0.944,1810,43.85,101.01,19.97,61,colas,-10.823,1348,449,4.034,1697,348.0,121.0,193,6.3757,,,,,6.5,,-187359.3,-88676.8,-188617.3,qlearning,42,-17512.3,0,0.0,0,28
train,4,46,0.917,1810,29.14,65.96,13.47,45,colas,-7.166,1343,444,2.638,1710,293.8,101.8,199,5.1688,,,,,6.3,,-120733.7,-58876.0,-121033.7,qlearning,42,-11536.9,0,0.0,0,25
train,5,47,0.891,1810,21.39,50.17,10.38,31,colas,-5.449,1288,437,2.102,1739,270.6,93.3,206,4.6903,,,,,5.8,,-90673.1,-43316.4,-90685.1,qlearning,42,-8446.1,0,0.0,0,21
train,6,48,0.866,1810,28.42,71.93,13.55,50,colas,-7.183,1295,443,2.966,1709,302.8,104.7,210,6.2529,,,,,6.2,,-131129.1,-57243.2,-131375.1,qlearning,42,-11219.2,0,0.0,0,25
train,7,49,0.841,1810,20.61,50.22,10.22,36,colas,-5.385,1266,420,2.082,1746,271.3,93.6,212,4.9293,,,,,5.8,,-90703.4,-41861.6,-90769.4,qlearning,42,-8174.7,0,0.0,0,22
train,8,50,0.818,1810,26.36,65.69,12.57,37,colas,-6.594,1296,449,2.791,1713,294.0,101.6,215,5.1329,,,,,6.1,,-119386.3,-52814.3,-119388.3,qlearning,42,-10326.3,0,0.0,0,20
train,9,51,0.794,1810,20.47,54.7,10.18,35,colas,-5.28,1245,447,2.436,1743,277.7,95.4,216,3.1143,,,,,5.8,,-98203.5,-41082.8,-98281.5,qlearning,42,-7994.7,0,0.0,0,22
train,10,52,0.772,1810,24.25,61.37,11.54,51,colas,-6.102,1303,448,2.573,1719,286.4,98.8,218,7.09,24.18,8.64,24.18,24.22,6.1,24.2,-111486.0,-48999.1,-111486.0,qlearning,42,-9592.7,0,0.0,0,18
train,11,53,0.75,1810,23.46,56.79,11.84,45,colas,-6.217,1224,433,2.476,1762,281.9,97.2,225,4.8045,,,,,5.8,,-102563.8,-47205.3,-102931.8,qlearning,42,-9226.0,0,0.0,0,29
train,12,54,0.729,1810,17.46,41.71,8.72,26,colas,-4.501,1259,434,1.759,1752,258.2,88.9,226,3.4354,,,,,5.6,,-74763.9,-35486.7,-74763.9,qlearning,42,-6841.4,0,0.0,0,18
train,13,55,0.708,1810,22.03,57.85,10.78,35,colas,-5.617,1258,461,2.534,1727,282.0,97.1,227,4.9643,,,,,5.9,,-104272.1,-44067.6,-104384.1,qlearning,42,-8616.1,0,0.0,0,22
train,14,56,0.688,1810,17.43,45.08,8.62,28,colas,-4.47,1268,442,1.966,1742,262.3,90.3,228,3.9954,,,,,5.7,,-80676.0,-35286.2,-80676.0,qlearning,42,-6848.2,0,0.0,0,19
train,15,57,0.668,1810,15.05,37.76,7.57,25,colas,-3.905,1249,449,1.581,1741,251.0,86.3,228,3.1393,,,,,5.7,,-67140.0,-30793.7,-67140.0,qlearning,42,-5928.3,0,0.0,0,18
train,16,58,0.649,1810,16.39,42.43,8.28,31,colas,-4.229,1237,447,1.875,1742,258.3,88.8,228,4.2776,,,,,5.9,,-75685.2,-33110.5,-75685.2,qlearning,42,-6368.8,0,0.0,0,16
train,17,59,0.631,1810,15.49,38.45,7.89,30,colas,-4.077,1234,444,1.659,1753,252.3,86.8,229,5.0417,,,,,5.7,,-68402.9,-31620.7,-68402.9,qlearning,42,-6116.0,0,0.0,0,19
train,18,60,0.613,1810,14.11,36.02,7.17,29,colas,-3.676,1245,437,1.548,1753,248.3,85.3,229,4.6419,,,,,5.6,,-63784.5,-28806.8,-63784.5,qlearning,42,-5543.3,0,0.0,0,18
train,19,61,0.596,1810,14.93,37.14,7.65,34,colas,-3.929,1222,444,1.623,1755,250.2,86.0,232,3.5192,,,,,5.7,,-66096.2,-30425.1,-66154.2,qlearning,42,-5846.4,0,0.0,0,23
train,20,62,0.579,1810,13.1,34.15,6.74,31,colas,-3.437,1231,438,1.474,1757,245.0,84.1,232,2.931,28.61,11.27,28.61,27.19,5.5,27.9,-60131.1,-26807.8,-60157.1,qlearning,42,-5135.5,0,0.0,0,21
train,21,63,0.562,1810,13.42,37.37,6.83,30,colas,-3.483,1243,443,1.687,1748,250.0,85.9,233,3.3981,,,,,5.6,,-65867.5,-27326.0,-65867.5,qlearning,42,-5251.6,0,0.0,0,15
train,22,64,0.546,1810,16.49,42.67,8.33,28,colas,-4.265,1230,462,1.863,1741,258.5,88.8,233,3.4885,,,,,5.8,,-75906.8,-33344.5,-75906.8,qlearning,42,-6422.4,0,0.0,0,18
train,23,65,0.531,1810,13.0,33.09,6.7,20,colas,-3.431,1234,435,1.415,1758,243.1,83.5,235,3.0645,,,,,5.5,,-58569.4,-26797.0,-58569.4,qlearning,42,-5125.3,0,0.0,0,13
train,24,66,0.516,1810,14.14,35.57,7.14,23,colas,-3.675,1256,432,1.527,1758,247.1,84.9,235,2.581,,,,,5.7,,-62751.6,-28816.0,-62751.6,qlearning,42,-5563.5,0,0.0,0,14
train,25,67,0.501,1810,12.63,32.55,6.49,26,colas,-3.292,1231,450,1.371,1756,242.5,83.3,235,2.6868,,,,,5.4,,-57345.6,-25903.8,-57345.6,qlearning,42,-4938.0,0,0.0,0,18
train,26,68,0.487,1810,17.47,47.55,8.55,37,colas,-4.391,1265,469,2.183,1722,264.4,91.1,237,5.8478,,,,,5.8,,-84561.9,-35011.1,-84561.9,qlearning,42,-6789.0,0,0.0,0,18
train,27,69,0.473,1810,20.23,58.88,9.96,32,colas,-5.128,1259,451,2.662,1731,281.9,97.0,238,4.7189,,,,,6.0,,-105656.3,-40411.5,-105656.3,qlearning,42,-7846.4,0,0.0,0,17
train,28,70,0.46,1810,14.6,37.58,7.5,24,colas,-3.856,1222,438,1.646,1762,250.6,86.1,241,4.4171,,,,,5.5,,-66859.7,-29699.6,-66859.7,qlearning,42,-5730.7,0,0.0,0,15
train,29,71,0.447,1810,11.99,30.97,6.29,22,colas,-3.192,1214,440,1.323,1765,239.9,82.4,242,2.9873,,,,,5.4,,-54455.4,-24770.5,-54455.4,qlearning,42,-4717.9,0,0.0,0,17
train,30,72,0.434,1810,11.74,30.74,6.13,19,colas,-3.105,1230,434,1.288,1761,238.8,82.0,242,3.5904,24.56,9.68,24.56,24.75,5.3,24.655,-54076.7,-24330.2,-54076.7,qlearning,42,-4626.7,0,0.0,0,12
train,31,73,0.422,1810,11.71,31.88,6.03,20,colas,-3.046,1238,446,1.402,1753,240.2,82.5,242,2.5042,,,,,5.5,,-56218.3,-24085.4,-56218.3,qlearning,42,-4586.6,0,0.0,0,13
train,32,74,0.41,1810,11.41,30.01,5.99,19,colas,-3.026,1228,427,1.283,1762,237.8,81.7,242,3.0863,,,,,5.4,,-52351.6,-23633.9,-52351.6,qlearning,42,-4491.2,0,0.0,0,12
train,33,75,0.398,1810,13.11,34.5,6.65,24,colas,-3.374,1244,446,1.514,1751,245.4,84.3,242,3.7658,,,,,5.6,,-60776.6,-26713.7,-60776.6,qlearning,42,-5101.8,0,0.0,0,15
train,34,76,0.387,1810,14.21,38.43,7.23,29,colas,-3.69,1233,458,1.713,1742,251.7,86.5,242,4.5637,,,,,5.7,,-68142.7,-28911.7,-68172.7,qlearning,42,-5564.6,0,0.0,0,21
train,35,77,0.376,1810,11.93,31.77,6.24,27,colas,-3.181,1216,439,1.359,1763,240.3,82.6,243,3.2115,,,,,5.6,,-55722.1,-24588.5,-55746.1,qlearning,42,-4700.9,0,0.0,0,21
train,36,78,0.365,1810,12.05,32.64,6.25,21,colas,-3.156,1221,450,1.444,1760,242.3,83.1,243,2.0004,,,,,5.5,,-57228.4,-24607.8,-57228.4,qlearning,42,-4702.8,0,0.0,0,14
train,37,79,0.355,1810,10.45,28.55,5.52,20,colas,-2.77,1209,453,1.228,1764,235.4,80.8,243,2.6492,,,,,5.5,,-49449.2,-21642.2,-49449.2,qlearning,42,-4099.3,0,0.0,0,14
train,38,80,0.345,1810,10.3,28.57,5.43,21,colas,-2.711,1221,439,1.232,1758,235.5,80.9,243,2.6824,,,,,5.8,,-49582.8,-21336.6,-49582.8,qlearning,42,-4023.3,0,0.0,0,12
train,39,81,0.335,1810,11.22,30.53,5.87,21,colas,-2.96,1214,453,1.351,1761,238.9,82.0,243,2.2082,,,,,5.7,,-53185.7,-23101.3,-53185.7,qlearning,42,-4399.0,0,0.0,0,12
train,40,82,0.325,1810,11.41,30.95,5.97,22,colas,-2.999,1210,453,1.386,1754,240.4,82.5,243,3.1686,25.72,8.41,25.72,26.52,5.3,26.12,-54070.4,-23424.3,-54070.4,qlearning,42,-4444.4,0,0.0,0,12
train,41,83,0.316,1810,12.65,36.19,6.52,21,colas,-3.289,1212,470,1.663,1746,248.1,85.2,243,2.7659,,,,,5.6,,-63558.6,-25675.4,-63558.6,qlearning,42,-4913.8,0,0.0,0,16
train,42,84,0.307,1810,12.85,35.27,6.6,24,colas,-3.354,1221,461,1.584,1747,246.1,84.5,244,3.4441,,,,,5.5,,-62228.0,-26167.1,-62228.0,qlearning,42,-5024.5,0,0.0,0,16
train,43,85,0.299,1810,11.48,31.72,6.01,22,colas,-3.036,1217,447,1.389,1765,240.4,82.5,244,3.5546,,,,,5.5,,-55329.6,-23628.5,-55329.6,qlearning,42,-4505.8,0,0.0,0,14
train,44,86,0.29,1810,10.81,29.0,5.66,19,colas,-2.879,1230,438,1.219,1754,236.5,81.2,244,2.6981,,,,,5.5,,-50827.9,-22454.3,-50827.9,qlearning,42,-4295.5,0,0.0,0,12
train,45,87,0.282,1810,10.8,29.1,5.7,23,colas,-2.89,1220,438,1.231,1756,236.1,81.1,244,1.9397,,,,,5.3,,-50972.9,-22456.1,-50972.9,qlearning,42,-4282.6,0,0.0,0,12
