modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,4043,1.0,1810,38.06,88.72,17.23,53,retraso,-9.233,1362,449,3.612,1684,328.4,114.2,138,9.0848,,,,,8.1,,-163177.0,-76503.7,-163953.0,qlearning,4042,-15068.1,0,0.0,0,29
train,2,4044,0.972,1810,35.18,80.58,16.21,64,retraso,-8.774,1339,447,3.162,1698,315.1,109.6,154,14.6367,,,,,8.5,,-149087.2,-71602.9,-150327.2,qlearning,4042,-14108.4,0,0.0,0,32
train,3,4045,0.944,1810,37.96,87.2,17.01,51,retraso,-9.172,1376,457,3.446,1694,326.3,113.4,171,14.256,,,,,8.7,,-161159.9,-76704.9,-162207.9,qlearning,4042,-15133.5,0,0.0,0,30
train,4,4046,0.917,1810,37.4,86.97,16.68,59,retraso,-9.007,1391,447,3.353,1667,322.4,112.3,181,19.844,,,,,8.9,,-160657.0,-75804.9,-161071.0,qlearning,4042,-14933.5,0,0.0,0,27
train,5,4047,0.891,1810,25.17,57.0,11.91,52,retraso,-6.305,1321,430,2.362,1710,280.3,97.0,190,15.525,,,,,7.2,,-103980.7,-50815.7,-104272.7,qlearning,4042,-9949.5,0,0.0,0,24
train,6,4048,0.866,1810,21.45,50.07,10.49,36,retraso,-5.532,1286,416,2.095,1731,270.3,93.3,194,12.3694,,,,,7.7,,-90865.3,-43550.0,-90931.3,qlearning,4042,-8496.9,0,0.0,0,22
train,7,4049,0.841,1810,23.76,57.18,11.59,48,retraso,-6.163,1285,414,2.35,1720,281.3,97.2,199,12.8918,,,,,8.4,,-103846.2,-48355.6,-104658.2,qlearning,4042,-9454.3,0,0.0,0,33
train,8,4050,0.818,1810,18.12,44.05,8.95,30,retraso,-4.658,1280,420,1.866,1737,260.7,89.8,201,10.2751,,,,,11.1,,-79100.0,-36808.1,-79100.0,qlearning,4042,-7135.8,0,0.0,0,18
train,9,4051,0.794,1810,17.4,44.92,8.59,39,retraso,-4.442,1278,432,1.888,1742,261.6,90.0,202,11.0967,,,,,9.2,,-80474.7,-35376.4,-80550.7,qlearning,4042,-6823.0,0,0.0,0,24
train,10,4052,0.772,1810,19.69,47.56,9.64,32,retraso,-5.066,1285,428,2.035,1735,266.7,91.9,205,9.694,55.1,30.4,55.1,38.37,11.3,46.735,-85719.6,-40065.6,-85775.6,qlearning,4042,-7811.9,0,0.0,0,21
train,11,4053,0.75,1810,27.94,69.27,13.46,36,retraso,-7.097,1288,430,2.969,1729,299.8,103.5,206,12.3116,,,,,7.7,,-125784.8,-55968.5,-125852.8,qlearning,4042,-10972.6,0,0.0,0,22
train,12,4054,0.729,1810,15.98,39.89,7.95,28,retraso,-4.117,1277,422,1.673,1744,253.7,87.3,206,9.8646,,,,,8.1,,-71147.3,-32586.7,-71157.3,qlearning,4042,-6298.5,0,0.0,0,20
train,13,4055,0.708,1810,18.92,44.91,9.22,34,retraso,-4.844,1305,411,1.771,1743,261.0,90.1,208,11.3312,,,,,8.0,,-81224.8,-38758.7,-81314.8,qlearning,4042,-7507.5,0,0.0,0,22
train,14,4056,0.688,1810,12.99,32.52,6.72,21,retraso,-3.483,1250,400,1.328,1754,241.1,82.9,208,9.3591,,,,,6.8,,-57766.4,-27028.0,-57766.4,qlearning,4042,-5189.3,0,0.0,0,12
train,15,4057,0.668,1810,15.66,38.04,7.94,25,retraso,-4.147,1260,393,1.59,1754,251.0,86.4,211,9.7651,,,,,7.5,,-67830.0,-31980.7,-67830.0,qlearning,4042,-6203.5,0,0.0,0,17
train,16,4058,0.649,1810,13.75,33.37,7.12,22,retraso,-3.702,1262,367,1.338,1753,242.6,83.5,214,8.1422,,,,,6.7,,-59132.1,-28556.3,-59132.1,qlearning,4042,-5486.9,0,0.0,0,15
train,17,4059,0.631,1810,18.31,45.79,9.06,33,retraso,-4.735,1289,396,1.909,1741,262.7,90.6,216,12.9881,,,,,6.9,,-82420.3,-37308.2,-82422.3,qlearning,4042,-7226.0,0,0.0,0,20
