modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,1810,38.34,86.9,17.21,53,retraso,-9.304,1372,455,3.499,1695,325.9,113.3,133,11.4294,,,,,6.4,,-160474.0,-77537.2,-160982.0,sarsa,42,-15296.5,0,0.0,0,28
train,2,44,0.972,1810,36.93,81.46,16.46,52,retraso,-8.848,1388,453,3.308,1691,318.5,110.8,163,13.916,,,,,6.3,,-150418.5,-74623.5,-150822.5,sarsa,42,-14687.1,0,0.0,0,23
train,3,45,0.944,1810,35.91,82.8,16.55,54,retraso,-8.871,1339,448,3.391,1700,320.5,111.2,176,14.1998,,,,,6.3,,-152663.3,-72484.8,-153159.3,sarsa,42,-14263.9,0,0.0,0,28
train,4,46,0.917,1810,27.72,66.79,12.92,43,retraso,-6.895,1337,437,2.648,1709,294.6,102.0,186,14.5339,,,,,6.2,,-122020.3,-56087.2,-122694.3,sarsa,42,-11018.7,0,0.0,0,28
train,5,47,0.891,1810,33.14,77.18,15.65,39,retraso,-8.324,1310,432,3.288,1720,312.5,108.3,199,15.5062,,,,,6.3,,-140901.2,-66243.0,-140905.2,sarsa,42,-13052.0,0,0.0,0,20
train,6,48,0.866,1810,34.26,78.63,16.03,55,retraso,-8.608,1324,431,3.185,1698,314.2,109.1,209,20.1349,,,,,6.2,,-144731.2,-69274.2,-145255.2,sarsa,42,-13617.3,0,0.0,0,27
train,7,49,0.841,1810,33.22,73.71,15.23,47,retraso,-8.198,1364,424,2.984,1710,306.9,106.5,211,15.3519,,,,,6.1,,-135985.0,-67342.3,-136939.0,sarsa,42,-13264.0,0,0.0,0,32
train,8,50,0.818,1810,19.68,45.79,9.65,30,retraso,-5.059,1284,425,1.896,1749,264.2,91.1,213,13.5881,,,,,5.7,,-82858.9,-40150.6,-82886.9,sarsa,42,-7791.2,0,0.0,0,21
train,9,51,0.794,1810,17.52,46.17,8.79,35,retraso,-4.55,1259,420,1.965,1739,263.2,90.5,214,12.262,,,,,5.8,,-82444.5,-35561.1,-82448.5,sarsa,42,-6879.8,0,0.0,0,20
train,10,52,0.772,1810,21.41,52.41,10.41,55,retraso,-5.501,1291,425,2.215,1733,273.1,94.1,216,17.2542,35.86,20.57,35.86,34.42,5.7,35.14,-95389.3,-43605.0,-96351.3,sarsa,42,-8504.9,0,0.0033,12,37
train,11,53,0.75,1810,20.94,50.8,10.11,41,retraso,-5.337,1307,414,2.026,1726,270.3,93.3,221,16.1224,,,,,5.9,,-91837.2,-42689.5,-91959.2,sarsa,42,-8304.0,0,0.0,0,23
train,12,54,0.729,1810,15.29,37.21,7.71,25,retraso,-3.984,1258,423,1.578,1758,250.1,86.0,223,15.7415,,,,,5.6,,-66210.3,-31205.0,-66210.3,sarsa,42,-6023.7,0,0.0,0,16
train,13,55,0.708,1810,15.48,36.8,7.92,28,retraso,-4.134,1251,403,1.512,1758,249.1,85.8,229,11.7334,,,,,5.5,,-65843.3,-31924.6,-65843.3,sarsa,42,-6168.0,0,0.0,0,18
train,14,56,0.688,1810,17.99,44.13,8.8,38,retraso,-4.619,1299,416,1.818,1736,259.3,89.4,232,13.8432,,,,,5.6,,-79519.8,-36854.0,-79537.8,sarsa,42,-7150.7,0,0.0,0,21
train,15,57,0.668,1810,20.63,48.95,10.23,33,retraso,-5.377,1270,413,2.01,1740,268.9,92.7,237,15.2604,,,,,5.7,,-88448.5,-41964.6,-88528.5,sarsa,42,-8162.0,0,0.0,0,22
train,16,58,0.649,1810,15.88,39.1,8.06,29,retraso,-4.193,1255,408,1.617,1760,253.2,87.1,237,11.821,,,,,5.6,,-70035.4,-32552.3,-70035.4,sarsa,42,-6288.8,0,0.0,0,13
train,17,59,0.631,1810,15.84,40.72,8.05,36,retraso,-4.207,1259,397,1.704,1756,254.4,87.7,241,13.8127,,,,,5.6,,-72809.6,-32535.7,-72897.6,sarsa,42,-6302.1,0,0.0,0,24
train,18,60,0.613,1810,13.99,33.38,7.24,23,retraso,-3.787,1260,366,1.32,1756,242.9,83.6,242,12.7242,,,,,5.4,,-59707.5,-29113.0,-59707.5,sarsa,42,-5604.7,0,0.0,0,15
train,19,61,0.596,1810,16.68,40.13,8.45,33,retraso,-4.463,1276,374,1.592,1752,254.4,87.6,244,15.1281,,,,,5.5,,-72139.6,-34483.6,-72139.6,sarsa,42,-6695.2,0,0.0,0,16
train,20,62,0.579,1810,12.32,29.71,6.41,19,retraso,-3.33,1265,374,1.157,1766,236.7,81.5,246,10.6483,37.94,21.93,37.94,37.56,5.5,37.75,-52893.0,-25948.8,-52893.0,sarsa,42,-4962.4,0,0.0,0,12
train,21,63,0.562,1810,12.23,30.57,6.35,22,retraso,-3.275,1261,379,1.2,1766,237.9,81.9,248,8.7265,,,,,5.5,,-53846.6,-25512.7,-53846.6,sarsa,42,-4872.8,0,0.0,0,15
train,22,64,0.546,1810,12.53,30.77,6.5,24,retraso,-3.399,1260,373,1.207,1762,238.2,82.0,250,10.5568,,,,,5.4,,-54539.7,-26175.6,-54539.7,sarsa,42,-5044.4,0,0.0,0,13
train,23,65,0.531,1810,10.78,27.23,5.69,18,retraso,-2.9,1262,369,1.023,1766,231.8,79.8,250,6.8593,,,,,5.4,,-48131.3,-22914.7,-48131.3,sarsa,42,-4302.9,0,0.0,0,12
train,24,66,0.516,1810,13.28,30.88,6.91,24,retraso,-3.656,1269,353,1.153,1750,237.8,82.0,251,8.4262,,,,,5.4,,-55326.1,-28164.9,-55326.1,sarsa,42,-5410.5,0,0.0,0,11
train,25,67,0.501,1810,12.4,29.17,6.47,25,retraso,-3.394,1269,357,1.07,1762,234.9,81.0,251,8.4952,,,,,5.3,,-52403.8,-26386.8,-52403.8,sarsa,42,-5037.0,0,0.0,0,13
train,26,68,0.487,1810,15.76,35.67,8.09,28,retraso,-4.299,1267,367,1.365,1767,246.6,85.1,251,9.8247,,,,,5.4,,-64255.5,-32889.7,-64255.5,sarsa,42,-6396.8,0,0.0,0,15
train,27,69,0.473,1810,12.34,28.81,6.41,22,retraso,-3.421,1277,346,1.031,1761,233.6,80.5,253,9.0632,,,,,5.4,,-51609.8,-26425.1,-51609.8,sarsa,42,-5077.1,0,0.0,0,11
train,28,70,0.46,1810,12.6,29.84,6.52,26,retraso,-3.412,1280,351,1.132,1761,236.8,81.6,253,7.2622,,,,,5.6,,-53243.4,-26567.6,-53243.4,sarsa,42,-5083.2,0,0.0,0,14
train,29,71,0.447,1810,13.23,31.5,6.8,22,retraso,-3.572,1288,349,1.228,1751,238.8,82.3,253,7.3228,,,,,5.4,,-56325.1,-27810.0,-56325.1,sarsa,42,-5350.4,0,0.0,0,11
train,30,72,0.434,1810,11.62,28.35,6.13,21,retraso,-3.199,1268,344,1.047,1762,233.7,80.5,253,8.822,27.75,13.45,27.75,28.08,5.4,27.915,-50252.0,-24694.7,-50252.0,sarsa,42,-4714.9,0,0.0,0,14
train,31,73,0.422,1810,12.04,28.74,6.29,20,retraso,-3.32,1282,336,1.039,1764,233.5,80.5,253,6.7172,,,,,5.7,,-51458.6,-25696.9,-51458.6,sarsa,42,-4926.3,0,0.0,0,10
train,32,74,0.41,1810,12.23,29.21,6.35,27,retraso,-3.359,1280,348,1.077,1763,234.3,80.8,253,8.9007,,,,,5.5,,-51962.6,-26030.4,-51962.6,sarsa,42,-4997.9,0,0.0,0,14
train,33,75,0.398,1810,13.59,31.29,7.0,25,retraso,-3.693,1283,339,1.189,1766,238.5,82.3,253,7.6023,,,,,6.1,,-55938.6,-28534.4,-55938.6,sarsa,42,-5487.5,0,0.0,0,14
train,34,76,0.387,1810,11.26,27.67,5.92,20,retraso,-3.095,1281,337,1.017,1762,232.2,79.9,253,5.9838,,,,,6.0,,-49255.0,-24024.2,-49255.0,sarsa,42,-4587.3,0,0.0,0,8
train,35,77,0.376,1810,12.75,29.86,6.6,32,retraso,-3.466,1282,345,1.095,1758,236.0,81.4,253,6.9125,,,,,6.2,,-53402.2,-26985.6,-53408.2,sarsa,42,-5164.1,0,0.0,0,20
train,36,78,0.365,1810,11.02,26.63,5.72,20,retraso,-3.006,1285,353,0.969,1762,230.1,79.3,253,6.9253,,,,,6.1,,-47321.6,-23536.5,-47321.6,sarsa,42,-4497.1,0,0.0,0,8
train,37,79,0.355,1810,10.76,26.51,5.69,19,retraso,-2.975,1268,349,0.96,1769,230.0,79.3,253,7.6133,,,,,6.0,,-46850.6,-23077.6,-46850.6,sarsa,42,-4396.7,0,0.0,0,12
train,38,80,0.345,1810,11.42,28.22,6.01,19,retraso,-3.121,1266,358,1.083,1763,233.4,80.4,253,8.4615,,,,,5.4,,-49821.7,-24223.9,-49821.7,sarsa,42,-4618.4,0,0.0,0,11
train,39,81,0.335,1810,11.07,27.27,5.81,21,retraso,-3.037,1272,356,1.035,1767,231.6,79.8,254,10.3193,,,,,5.5,,-48096.8,-23578.0,-48096.8,sarsa,42,-4513.5,0,0.0,0,9
train,40,82,0.325,1810,10.62,26.69,5.61,21,retraso,-2.901,1265,357,0.986,1766,230.7,79.4,254,10.2266,25.88,9.13,25.88,24.84,5.4,25.36,-47350.2,-22686.3,-47350.2,sarsa,42,-4294.0,0,0.0,0,11
train,41,83,0.316,1810,10.2,25.59,5.39,22,retraso,-2.775,1261,370,0.987,1763,228.3,78.7,254,8.5628,,,,,5.4,,-45035.3,-21743.8,-45035.3,sarsa,42,-4118.5,0,0.0,0,11
train,42,84,0.307,1810,10.47,26.07,5.53,21,retraso,-2.856,1267,357,0.946,1765,229.5,79.0,254,5.5353,,,,,5.5,,-46132.6,-22395.8,-46132.6,sarsa,42,-4226.3,0,0.0,0,11
train,43,85,0.299,1810,11.04,26.38,5.8,18,retraso,-3.041,1289,324,0.916,1764,229.0,79.0,254,5.3017,,,,,5.6,,-46822.0,-23746.2,-46822.0,sarsa,42,-4513.5,0,0.0,0,8
train,44,86,0.29,1810,10.36,25.34,5.43,18,retraso,-2.843,1293,338,0.873,1766,226.7,78.2,254,5.1327,,,,,5.6,,-45244.1,-22554.2,-45244.1,sarsa,42,-4252.7,0,0.0,0,9
train,45,87,0.282,1810,10.37,26.36,5.47,19,retraso,-2.836,1251,386,1.013,1765,229.9,79.1,254,6.0323,,,,,5.7,,-46334.3,-22038.4,-46334.3,sarsa,42,-4202.4,0,0.0,0,10
train,46,88,0.274,1810,10.61,26.73,5.63,20,retraso,-2.881,1244,388,1.045,1764,231.0,79.6,254,4.4068,,,,,5.5,,-47056.0,-22516.8,-47056.0,sarsa,42,-4258.1,0,0.0,0,14
train,47,89,0.266,1810,9.97,25.47,5.3,21,retraso,-2.743,1263,365,0.917,1766,228.0,78.5,254,8.9588,,,,,5.7,,-44955.0,-21462.7,-44955.0,sarsa,42,-4065.9,0,0.0,0,10
train,48,90,0.259,1810,9.92,25.46,5.27,17,retraso,-2.73,1267,359,0.919,1765,228.1,78.5,255,8.3845,,,,,5.9,,-45011.0,-21409.5,-45011.0,sarsa,42,-4051.6,0,0.0,0,9
train,49,91,0.251,1810,10.78,25.87,5.69,19,retraso,-2.99,1270,347,0.939,1767,228.5,78.8,255,6.8241,,,,,5.4,,-45902.2,-23251.3,-45902.2,sarsa,42,-4418.6,0,0.0,0,8
train,50,92,0.244,1810,10.95,26.38,5.7,17,retraso,-3.002,1289,336,0.956,1762,229.7,79.2,255,5.8188,28.58,10.37,28.58,26.03,5.5,27.305,-46695.2,-23414.2,-46695.2,sarsa,42,-4472.7,0,0.0,0,9
train,51,93,0.237,1810,10.94,26.33,5.76,18,retraso,-3.018,1279,334,0.924,1762,229.3,79.1,255,5.3871,,,,,5.3,,-46743.5,-23443.5,-46743.5,sarsa,42,-4466.2,0,0.0,0,9
train,52,94,0.23,1810,10.92,26.17,5.77,21,retraso,-3.036,1292,319,0.906,1763,228.9,78.9,255,4.847,,,,,5.4,,-46932.8,-23631.4,-46932.8,sarsa,42,-4499.4,0,0.0,0,9
train,53,95,0.224,1810,9.99,26.01,5.29,19,retraso,-2.71,1251,378,1.012,1768,229.5,79.0,256,6.269,,,,,5.3,,-45570.7,-21165.5,-45570.7,sarsa,42,-4004.9,0,0.0,0,11
train,54,96,0.218,1810,11.47,26.38,5.95,20,retraso,-3.188,1313,312,0.875,1767,228.7,79.0,256,6.5488,,,,,5.4,,-47658.9,-24975.8,-47658.9,sarsa,42,-4782.6,0,0.0,0,7
train,55,97,0.211,1810,11.49,27.36,6.03,21,retraso,-3.173,1284,325,0.98,1764,231.4,79.8,256,4.9737,,,,,5.6,,-48537.3,-24524.3,-48537.3,sarsa,42,-4689.9,0,0.0,0,8
train,56,98,0.205,1810,11.09,26.56,5.81,21,retraso,-3.04,1286,334,0.943,1763,229.6,79.1,256,7.7636,,,,,5.3,,-47234.8,-23754.0,-47234.8,sarsa,42,-4518.1,0,0.0,0,9
train,57,99,0.2,1810,10.48,25.56,5.52,18,retraso,-2.884,1273,343,0.936,1766,228.1,78.7,256,4.618,,,,,5.3,,-45155.1,-22449.0,-45155.1,sarsa,42,-4268.5,0,0.0,0,10
train,58,100,0.194,1810,9.59,25.04,5.03,20,retraso,-2.567,1274,384,0.983,1762,227.9,78.4,256,5.3659,,,,,5.3,,-43989.9,-20451.8,-43989.9,sarsa,42,-3860.3,0,0.0,0,9
train,59,101,0.188,1810,8.58,23.96,4.62,16,retraso,-2.322,1245,397,0.933,1761,226.1,77.7,256,6.1344,,,,,5.4,,-41399.9,-18351.9,-41399.9,sarsa,42,-3441.6,0,0.0,0,11
train,60,102,0.183,1810,11.86,28.38,6.16,22,retraso,-3.214,1279,349,1.049,1762,232.9,80.2,256,7.7315,27.67,12.06,27.67,27.8,5.5,27.735,-50427.1,-25065.3,-50427.1,sarsa,42,-4781.9,0,0.0,0,12
train,61,103,0.178,1810,9.54,24.99,4.99,17,retraso,-2.555,1268,386,0.968,1764,227.7,78.3,256,5.7958,,,,,5.3,,-43387.7,-20256.4,-43387.7,sarsa,42,-3832.6,0,0.0,0,8
train,62,104,0.173,1810,10.21,25.34,5.34,17,retraso,-2.781,1287,352,0.924,1765,226.9,78.2,256,5.0561,,,,,5.4,,-44945.0,-21997.6,-44945.0,sarsa,42,-4165.3,0,0.0,0,9
train,63,105,0.168,1810,10.2,24.99,5.41,18,retraso,-2.823,1269,347,0.917,1763,226.5,78.1,256,4.3831,,,,,5.3,,-44094.0,-21867.0,-44094.0,sarsa,42,-4171.8,0,0.0,0,9
train,64,106,0.163,1810,10.67,26.16,5.61,18,retraso,-2.931,1285,344,0.949,1765,229.0,78.9,256,4.947,,,,,5.3,,-46485.0,-22998.7,-46485.0,sarsa,42,-4367.0,0,0.0,0,8
train,65,107,0.158,1810,9.83,25.26,5.14,19,retraso,-2.651,1289,359,0.926,1768,227.2,78.2,256,6.9879,,,,,5.5,,-44420.9,-21127.5,-44420.9,sarsa,42,-3987.5,0,0.0,0,9
train,66,108,0.154,1810,9.92,25.27,5.21,17,retraso,-2.688,1289,356,0.927,1769,227.8,78.4,256,6.8701,,,,,5.6,,-44584.1,-21351.1,-44584.1,sarsa,42,-4037.1,0,0.0,0,8
