variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,1,43,5.00e-04,29.3,4350,16.55,36.51,19.84,49,-15839.1,-2.325,-5.145,5685,3771,1896,1.655,4188,321.0,111.3,0,0.0,0,0,7,11,142.87,37.05,38.51,1.631,0.421,0,0.0,1.0,0.0038,-0.5698,4686,5685,,,-146248.08,-81067.45,-146248.08,,,,dqn,retraso
vecinos,42,2,44,5.00e-04,31.5,4350,16.7,36.54,19.86,57,-15966.1,-2.328,-5.149,5712,3766,1931,1.638,4198,320.5,111.2,0,0.0,0,0,7,10,141.25,35.88,37.31,1.541,0.486,0,0.0,0.9905,0.0024,-0.8462,10398,11397,,,-147049.88,-81940.46,-147049.88,,,,dqn,retraso
vecinos,42,3,45,5.00e-04,31.3,4350,15.99,35.62,19.16,55,-15262.8,-2.234,-5.048,5674,3709,1949,1.612,4192,318.8,110.5,0,0.0,0,0,8,11,142.56,36.83,38.67,1.581,0.46,0,0.0,0.981,0.003,-1.042,16072,17071,,,-143204.8,-78416.72,-143204.8,,,,dqn,retraso
vecinos,42,4,46,5.00e-04,31.3,4350,16.35,36.07,19.72,46,-15635.7,-2.307,-5.116,5650,3744,1890,1.63,4189,319.6,110.9,0,0.0,0,0,8,11,140.93,35.92,36.95,1.586,0.449,0,0.0,0.9715,0.00308,-1.1581,21722,22721,,,-144516.22,-80181.28,-144516.22,,,,dqn,retraso
vecinos,42,5,47,5.00e-04,31.6,4350,16.26,35.76,19.69,51,-15594.5,-2.31,-5.111,5631,3730,1884,1.607,4189,318.6,110.5,0,0.0,0,0,7,11,140.02,34.63,35.7,1.482,0.519,0,0.0,0.962,0.00272,-1.2499,27353,28352,,,-143903.47,-79813.8,-143903.47,,,,dqn,retraso
vecinos,42,6,48,5.00e-04,31.4,4350,16.23,36.15,19.63,51,-15560.6,-2.302,-5.173,5622,3690,1916,1.638,4194,320.0,111.0,0,0.0,0,0,8,11,142.11,36.18,38.74,1.572,0.478,0,0.0,0.9525,0.00261,-1.3205,32975,33974,,,-145417.96,-79680.24,-145417.96,,,,dqn,retraso
vecinos,42,7,49,5.00e-04,31.3,4350,16.11,35.82,19.38,53,-15335.9,-2.26,-5.087,5645,3710,1915,1.635,4191,319.0,110.6,0,0.0,0,0,8,11,142.24,36.81,38.35,1.606,0.441,0,0.0,0.943,0.00281,-1.396,38620,39619,,,-143592.13,-78749.63,-143592.13,,,,dqn,retraso
vecinos,42,8,50,5.00e-04,31.3,4350,15.6,35.12,18.9,50,-14943.3,-2.208,-4.98,5632,3712,1903,1.605,4197,318.0,110.2,0,0.0,0,0,7,10,139.56,34.22,35.42,1.519,0.502,0,0.0,0.9335,0.00289,-1.4136,44252,45251,,,-140226.5,-76526.18,-140226.5,,,,dqn,retraso
vecinos,42,9,51,5.00e-04,31.5,4350,15.5,35.05,18.66,49,-14797.7,-2.172,-4.943,5659,3701,1942,1.605,4189,317.9,110.2,0,0.0,0,0,7,10,143.12,37.67,39.09,1.641,0.439,0,0.0,0.924,0.00311,-1.4463,49911,50910,,,-139853.61,-76054.31,-139853.61,,,,dqn,retraso
vecinos,42,10,52,5.00e-04,31.5,4350,15.7,35.3,19.03,53,-14953.2,-2.212,-5.026,5622,3697,1909,1.606,4190,318.1,110.3,0,0.0,0,0,7,10,140.68,35.04,36.56,1.566,0.482,0,0.0,0.9145,0.0032,-1.4579,55533,56532,27.94,10.28,-141281.88,-76882.57,-141281.88,27.94,28.41,28.175,dqn,retraso
vecinos,42,11,53,5.00e-04,31.3,4350,15.41,34.96,18.6,53,-14722.5,-2.172,-4.931,5644,3718,1908,1.597,4193,317.8,110.1,0,0.0,0,0,9,12,139.4,34.03,35.57,1.489,0.499,0,0.0,0.905,0.00339,-1.4668,61177,62176,,,-139154.19,-75379.81,-139154.19,,,,dqn,retraso
vecinos,42,12,54,5.00e-04,31.2,4350,15.7,35.33,18.84,54,-15029.4,-2.2,-4.967,5667,3699,1949,1.626,4191,318.4,110.4,0,0.0,0,0,6,10,141.94,36.67,38.38,1.616,0.459,0,0.0,0.8955,0.00369,-1.4619,66844,67843,,,-140748.05,-76827.05,-140748.05,,,,dqn,retraso
vecinos,42,13,55,5.00e-04,30.9,4350,15.07,34.5,18.29,48,-14401.7,-2.128,-4.89,5612,3657,1938,1.574,4197,316.8,109.8,0,0.0,0,0,7,9,139.94,34.6,35.13,1.538,0.493,0,0.0,0.886,0.00327,-1.4764,72456,73455,,,-137216.19,-73995.71,-137216.19,,,,dqn,retraso
vecinos,42,14,56,5.00e-04,31.4,4350,15.01,34.49,18.15,48,-14315.8,-2.11,-4.855,5621,3648,1957,1.612,4187,316.9,109.8,0,0.0,0,0,6,10,141.35,35.99,38.32,1.646,0.442,0,0.0,0.8765,0.00312,-1.4931,78077,79076,,,-136448.06,-73386.45,-136448.06,,,,dqn,retraso
vecinos,42,15,57,5.00e-04,31.0,4350,14.67,33.87,17.82,47,-13997.8,-2.068,-4.776,5616,3670,1929,1.564,4198,315.5,109.4,0,0.0,0,0,6,10,138.74,33.55,34.99,1.511,0.507,0,0.0,0.867,0.00279,-1.465,83693,84692,,,-134102.9,-71885.56,-134102.9,,,,dqn,retraso
vecinos,42,16,58,5.00e-04,31.5,4350,14.61,33.72,17.66,45,-13923.6,-2.044,-4.741,5652,3684,1952,1.544,4195,315.1,109.2,0,0.0,0,0,8,10,140.6,34.77,36.53,1.551,0.46,0,0.0,0.8575,0.00287,-1.469,89345,90344,,,-133975.71,-71792.5,-133975.71,,,,dqn,retraso
