variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,4042,1,4043,1.00e-03,26.0,4350,17.35,37.37,21.01,49,-16550.7,-2.459,-5.344,5628,3758,1854,1.68,4193,322.0,111.7,0,0.0,0,0,7,10,143.45,38.19,40.59,1.667,0.433,0,0.0,-0.0193,0.0522,0.6794,0.0094,0.1772,,,-150370.66,-84988.71,-150370.66,,,,ippo,retraso
local,4042,2,4044,9.95e-04,25.9,4350,14.78,33.89,17.94,46,-14066.9,-2.087,-4.815,5594,3645,1932,1.569,4195,315.0,109.2,0,0.0,0,0,6,9,140.0,34.15,36.17,1.542,0.476,0,0.0,-0.0161,0.0408,0.6516,0.0104,0.1681,,,-134671.23,-72207.46,-134671.23,,,,ippo,retraso
local,4042,3,4045,9.90e-04,25.9,4350,14.29,33.44,17.42,41,-13614.4,-2.017,-4.733,5586,3612,1959,1.578,4182,315.0,109.1,0,0.0,0,0,7,9,138.62,33.21,34.45,1.513,0.48,0,0.0,-0.0118,0.0363,0.6086,0.0116,0.1509,,,-132196.11,-69965.55,-132196.11,,,,ippo,retraso
local,4042,4,4046,9.85e-04,26.0,4350,12.64,31.54,15.44,42,-11985.9,-1.766,-4.437,5523,3395,2115,1.532,4199,311.6,107.9,0,0.0,0,0,5,8,133.72,28.34,29.57,1.366,0.564,0,0.0,-0.0052,0.0335,0.5868,0.0053,0.0739,,,-122538.06,-61814.1,-122538.06,,,,ippo,retraso
local,4042,5,4047,9.80e-04,25.9,4350,12.4,31.15,15.26,43,-11653.9,-1.729,-4.404,5478,3336,2124,1.506,4195,310.8,107.6,0,0.0,0,0,5,9,134.85,29.73,30.71,1.389,0.555,0,0.0,-0.0042,0.0308,0.5559,0.0043,0.0609,,,-120620.25,-60619.78,-120620.25,,,,ippo,retraso
local,4042,6,4048,9.75e-04,25.7,4350,12.07,30.66,14.83,37,-11372.4,-1.683,-4.28,5491,3339,2135,1.51,4196,309.6,107.2,0,0.0,0,0,4,9,133.72,28.44,29.97,1.382,0.558,0,0.0,-0.0036,0.0234,0.5275,0.004,0.0606,,,-117507.19,-58974.16,-117507.19,,,,ippo,retraso
local,4042,7,4049,9.70e-04,25.9,4350,11.71,30.17,14.45,43,-11062.2,-1.641,-4.215,5504,3410,2079,1.468,4197,308.6,106.8,0,0.0,0,0,5,9,132.04,26.67,27.73,1.26,0.628,0,0.0,-0.0025,0.023,0.5058,0.0038,0.0527,,,-115992.42,-57349.59,-115992.42,,,,ippo,retraso
local,4042,8,4050,9.65e-04,25.9,4350,11.76,30.33,14.46,40,-11129.3,-1.644,-4.21,5485,3324,2148,1.518,4196,309.4,107.1,0,0.0,0,0,5,8,133.66,28.54,30.39,1.426,0.546,0,0.0,-0.0027,0.0228,0.4884,0.0037,0.0524,,,-115471.45,-57413.62,-115471.45,,,,ippo,retraso
local,4042,9,4051,9.60e-04,25.8,4350,11.23,29.74,13.88,39,-10543.1,-1.566,-4.135,5454,3292,2147,1.49,4200,308.3,106.7,0,0.0,0,0,5,8,133.1,27.4,28.93,1.344,0.582,0,0.0,-0.0006,0.0223,0.4815,0.003,0.0425,,,-112757.87,-54765.36,-112757.87,,,,ippo,retraso
local,4042,10,4052,9.55e-04,25.9,4350,11.33,29.73,13.99,38,-10734.6,-1.59,-4.151,5466,3300,2150,1.477,4198,307.8,106.5,0,0.0,0,0,5,8,131.37,25.81,26.87,1.239,0.638,0,0.0,-0.0019,0.0199,0.4491,0.0029,0.0394,29.81,11.33,-113459.35,-55357.49,-113459.35,29.81,28.87,29.34,ippo,retraso
