variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
spill,42,1,43,1.00e-03,24.4,4350,17.35,37.55,20.97,59,-16659.5,-2.471,-5.384,5624,3727,1880,1.676,4195,322.6,111.9,0,0.0,0,0,8,12,142.19,36.37,38.19,1.62,0.431,0,0.0,-0.0189,0.0503,0.6801,0.0089,0.1771,,,-151409.17,-85031.14,-151409.17,,,,ippo,spill
spill,42,2,44,9.95e-04,24.4,4350,14.6,33.66,17.59,46,-13980.2,-2.049,-4.734,5652,3664,1971,1.54,4196,314.9,109.2,0,0.0,0,0,7,10,140.33,34.97,35.68,1.559,0.482,0,0.0,-0.0165,0.0367,0.6482,0.0091,0.1452,,,-133783.35,-71708.55,-133783.35,,,,ippo,spill
spill,42,3,45,9.90e-04,24.3,4350,12.96,31.68,15.89,46,-12301.8,-1.822,-4.503,5518,3433,2068,1.502,4201,311.4,107.8,0,0.0,0,0,5,8,134.97,29.24,30.58,1.352,0.594,0,0.0,-0.0134,0.0304,0.5884,0.0102,0.1274,,,-124234.9,-63564.91,-124234.9,,,,ippo,spill
spill,42,4,46,9.85e-04,24.0,4350,11.96,30.38,14.64,38,-11374.7,-1.674,-4.231,5520,3361,2143,1.459,4200,308.8,106.9,0,0.0,0,0,4,8,132.31,27.3,28.09,1.287,0.606,0,0.0,-0.0083,0.0291,0.538,0.0078,0.1,,,-116772.59,-58666.43,-116772.59,,,,ippo,spill
spill,42,5,47,9.80e-04,25.2,4350,11.35,29.2,14.01,39,-10750.2,-1.595,-4.115,5468,3314,2138,1.389,4204,305.4,105.8,0,0.0,0,0,5,8,131.9,26.51,27.25,1.207,0.659,0,0.0,-0.0057,0.0246,0.4777,0.0053,0.066,,,-112495.92,-55664.2,-112495.92,,,,ippo,spill
spill,42,6,48,9.75e-04,25.9,4350,11.4,29.25,13.99,38,-10846.1,-1.594,-4.091,5533,3386,2133,1.383,4197,305.3,105.8,0,0.0,0,0,5,8,131.63,25.7,27.11,1.205,0.675,0,0.0,-0.0056,0.0221,0.4441,0.0045,0.0607,,,-113175.28,-56120.28,-113175.28,,,,ippo,spill
spill,42,7,49,9.70e-04,25.7,4350,10.55,28.04,13.13,33,-9993.6,-1.483,-3.958,5443,3251,2178,1.317,4198,302.7,104.9,0,0.0,0,0,5,8,129.15,23.73,23.83,1.052,0.747,0,0.0,-0.005,0.0187,0.3835,0.0057,0.0699,,,-107727.83,-52034.99,-107727.83,,,,ippo,spill
spill,42,8,50,9.65e-04,25.4,4350,10.9,28.48,13.51,40,-10304.0,-1.529,-3.988,5472,3334,2125,1.354,4200,303.7,105.3,0,0.0,0,0,6,8,129.8,24.46,25.2,1.121,0.693,0,0.0,-0.006,0.0174,0.3762,0.0052,0.0603,,,-109121.71,-53580.72,-109121.71,,,,ippo,spill
spill,42,9,51,9.60e-04,25.9,4350,10.72,28.04,13.22,35,-10185.0,-1.505,-3.921,5501,3364,2122,1.317,4204,302.0,104.7,0,0.0,0,0,5,8,129.13,23.68,24.24,1.04,0.758,0,0.0,-0.0051,0.0187,0.3441,0.0052,0.0577,,,-107853.07,-52620.17,-107853.07,,,,ippo,spill
spill,42,10,52,9.55e-04,25.7,4350,10.69,28.08,13.28,37,-10078.9,-1.497,-3.966,5458,3307,2134,1.345,4202,302.4,104.8,0,0.0,0,0,5,9,130.12,24.49,24.99,1.113,0.727,0,0.0,-0.0034,0.0169,0.313,0.0053,0.0567,20.79,4.48,-108239.4,-52470.47,-108239.4,20.79,20.76,20.775,ippo,spill
