variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,26.4,4350,16.7,36.57,20.0,54,-15972.3,-2.344,-5.16,5688,3785,1886,1.653,4181,320.6,111.2,0,0.0,0,0,7,11,142.39,37.01,39.0,1.6,0.456,0,0.0,-0.014,0.0405,0.6812,0.0081,0.1535,,,-146754.61,-81683.05,-146754.61,,,,ippo,retraso
vecinos,2042,2,2044,9.95e-04,26.1,4350,15.03,34.25,18.23,47,-14337.6,-2.118,-4.881,5607,3645,1946,1.561,4185,315.8,109.5,0,0.0,0,0,6,10,140.09,34.57,36.05,1.529,0.489,0,0.0,-0.0231,0.0402,0.6372,0.0117,0.2078,,,-136851.93,-73766.8,-136851.93,,,,ippo,retraso
vecinos,2042,3,2045,9.90e-04,26.1,4350,13.29,31.98,16.23,49,-12657.7,-1.87,-4.511,5555,3498,2041,1.499,4194,311.4,107.9,0,0.0,0,0,5,10,135.29,29.85,31.2,1.367,0.572,0,0.0,-0.015,0.0331,0.5755,0.0107,0.1424,,,-125285.18,-65178.39,-125285.18,,,,ippo,retraso
vecinos,2042,4,2046,9.85e-04,26.1,4350,12.14,30.06,14.84,40,-11492.3,-1.694,-4.205,5551,3460,2076,1.411,4196,306.6,106.3,0,0.0,0,0,5,8,131.87,26.7,27.81,1.209,0.665,0,0.0,-0.0085,0.028,0.5333,0.0063,0.0946,,,-116698.66,-59558.12,-116698.66,,,,ippo,retraso
vecinos,2042,5,2047,9.80e-04,25.9,4350,11.79,29.38,14.53,38,-11245.6,-1.666,-4.123,5539,3490,2032,1.357,4193,304.9,105.7,0,0.0,0,0,5,8,130.76,25.43,26.9,1.12,0.709,0,0.0,-0.0074,0.0246,0.476,0.0061,0.0773,,,-114190.14,-58066.75,-114190.14,,,,ippo,retraso
vecinos,2042,6,2048,9.75e-04,25.8,4350,11.53,28.81,14.24,39,-10960.6,-1.626,-4.043,5531,3479,2038,1.324,4199,303.2,105.2,0,0.0,0,0,5,8,130.6,25.26,26.23,1.107,0.722,0,0.0,-0.0047,0.0201,0.4289,0.0047,0.0634,,,-111801.53,-56835.92,-111801.53,,,,ippo,retraso
vecinos,2042,7,2049,9.70e-04,25.4,4350,10.92,28.22,13.5,36,-10324.5,-1.528,-3.927,5521,3430,2076,1.313,4205,302.5,104.9,0,0.0,0,0,4,8,129.98,24.9,25.87,1.139,0.694,0,0.0,-0.0045,0.0191,0.3832,0.0046,0.054,,,-108412.51,-53757.81,-108412.51,,,,ippo,retraso
vecinos,2042,8,2050,9.65e-04,25.5,4350,10.97,28.26,13.6,36,-10345.2,-1.537,-3.946,5517,3456,2043,1.318,4204,302.4,104.9,0,0.0,0,0,4,8,129.41,23.78,24.6,1.076,0.728,0,0.0,-0.0033,0.0183,0.3699,0.0038,0.0476,,,-108842.61,-53973.61,-108842.61,,,,ippo,retraso
vecinos,2042,9,2051,9.60e-04,25.8,4350,10.57,27.65,13.06,34,-10004.9,-1.48,-3.853,5500,3369,2116,1.291,4196,301.1,104.4,0,0.0,0,0,4,9,129.34,23.79,24.14,1.055,0.748,0,0.0,-0.0045,0.0171,0.3191,0.0056,0.0581,,,-105958.8,-51984.77,-105958.8,,,,ippo,retraso
vecinos,2042,10,2052,9.55e-04,25.9,4350,10.74,27.63,13.22,36,-10207.9,-1.506,-3.807,5575,3537,2023,1.269,4202,300.2,104.2,0,0.0,0,0,4,8,129.56,24.22,24.96,1.107,0.721,0,0.0,-0.0012,0.0155,0.2852,0.0045,0.0486,20.79,4.48,-106116.34,-52883.44,-106116.34,20.79,20.76,20.775,ippo,retraso
vecinos,2042,11,2053,9.50e-04,25.4,4350,10.85,27.64,13.41,36,-10354.2,-1.528,-3.829,5595,3602,1978,1.252,4194,299.9,104.1,0,0.0,0,0,4,8,129.08,23.4,24.36,1.035,0.753,0,0.0,-0.0021,0.0142,0.2758,0.0036,0.041,,,-107127.47,-53751.48,-107127.47,,,,ippo,retraso
vecinos,2042,12,2054,9.45e-04,25.6,4350,10.62,27.0,13.11,39,-10158.8,-1.501,-3.757,5600,3620,1964,1.2,4202,297.8,103.5,0,0.0,0,0,4,8,127.88,22.12,22.68,0.956,0.782,0,0.0,-0.0017,0.0154,0.271,0.0039,0.0387,,,-105202.49,-52558.97,-105202.49,,,,ippo,retraso
vecinos,2042,13,2055,9.40e-04,25.9,4350,11.02,27.62,13.56,36,-10527.3,-1.551,-3.839,5638,3701,1924,1.208,4199,299.3,104.0,0,0.0,0,0,4,8,126.18,20.89,21.46,0.869,0.836,0,0.0,-0.0001,0.017,0.265,0.0029,0.0351,,,-108211.36,-54543.7,-108211.36,,,,ippo,retraso
vecinos,2042,14,2056,9.35e-04,25.7,4350,10.96,27.44,13.5,33,-10432.3,-1.548,-3.8,5601,3666,1919,1.212,4199,298.6,103.7,0,0.0,0,0,4,8,126.56,21.09,21.71,0.872,0.825,0,0.0,-0.003,0.0167,0.2594,0.0049,0.0466,,,-106425.18,-54102.92,-106425.18,,,,ippo,retraso
vecinos,2042,15,2057,9.30e-04,25.7,4350,10.84,27.61,13.4,35,-10314.3,-1.526,-3.85,5599,3627,1954,1.251,4199,299.7,104.0,0,0.0,0,0,4,8,128.22,22.31,22.75,0.969,0.787,0,0.0,-0.0029,0.0135,0.2607,0.0048,0.0485,,,-107792.32,-53558.53,-107792.32,,,,ippo,retraso
vecinos,2042,16,2058,9.25e-04,25.8,4350,10.85,27.28,13.33,35,-10328.0,-1.52,-3.758,5656,3726,1914,1.204,4188,298.4,103.7,0,0.0,0,0,4,8,127.0,21.63,22.07,0.913,0.828,0,0.0,-0.0023,0.0153,0.2621,0.0046,0.042,,,-106281.94,-53681.57,-106281.94,,,,ippo,retraso
vecinos,2042,17,2059,9.20e-04,25.9,4350,10.7,27.18,13.21,31,-10204.7,-1.506,-3.759,5656,3753,1887,1.215,4198,298.1,103.5,0,0.0,0,0,4,9,127.56,21.82,23.03,0.916,0.811,0,0.0,-0.0022,0.0151,0.2498,0.0055,0.0531,,,-106303.35,-53006.65,-106303.35,,,,ippo,retraso
vecinos,2042,18,2060,9.15e-04,25.8,4350,11.0,27.6,13.61,35,-10531.8,-1.562,-3.819,5635,3763,1857,1.243,4201,299.2,103.9,0,0.0,0,0,4,8,127.59,22.04,22.82,0.926,0.804,0,0.0,-0.0003,0.0147,0.2485,0.0054,0.0501,,,-107607.42,-54381.9,-107607.42,,,,ippo,retraso
vecinos,2042,19,2061,9.10e-04,26.0,4350,11.02,27.52,13.6,36,-10560.6,-1.562,-3.811,5662,3801,1845,1.205,4204,298.9,103.8,0,0.0,0,0,4,8,126.88,21.17,21.79,0.894,0.832,0,0.0,-0.0029,0.0161,0.2486,0.0044,0.0469,,,-107876.02,-54672.56,-107876.02,,,,ippo,retraso
vecinos,2042,20,2062,9.05e-04,26.1,4350,10.8,27.22,13.34,35,-10258.8,-1.52,-3.747,5622,3711,1897,1.215,4203,298.2,103.6,0,0.0,0,0,4,8,127.19,21.4,22.36,0.907,0.829,0,0.0,-0.003,0.0142,0.2387,0.0043,0.0454,25.57,10.01,-105327.58,-53350.55,-105327.58,25.57,24.56,25.065,ippo,retraso
vecinos,2042,21,2063,9.00e-04,26.5,4350,10.38,26.85,12.88,34,-9856.5,-1.458,-3.686,5616,3681,1920,1.227,4202,297.8,103.4,0,0.0,0,0,3,8,126.3,20.64,20.81,0.871,0.842,0,0.0,-0.0021,0.0139,0.2371,0.0044,0.0434,,,-103489.64,-51399.69,-103489.64,,,,ippo,retraso
vecinos,2042,22,2064,8.95e-04,28.7,4350,10.5,26.75,12.99,36,-9953.7,-1.479,-3.711,5588,3653,1921,1.189,4201,297.2,103.2,0,0.0,0,0,4,7,126.37,20.78,21.22,0.909,0.806,0,0.0,-0.0043,0.0139,0.2113,0.0057,0.0493,,,-103689.3,-51786.41,-103689.3,,,,ippo,retraso
vecinos,2042,23,2065,8.90e-04,28.2,4350,10.33,26.49,12.83,33,-9902.6,-1.465,-3.669,5639,3736,1888,1.158,4205,296.2,102.9,0,0.0,0,0,4,8,125.23,19.84,20.13,0.796,0.866,0,0.0,-0.0021,0.0143,0.2058,0.0044,0.0427,,,-103436.12,-51400.42,-103436.12,,,,ippo,retraso
vecinos,2042,24,2066,8.85e-04,26.6,4350,10.62,26.76,12.99,32,-10158.4,-1.491,-3.678,5686,3781,1889,1.166,4196,296.3,103.0,0,0.0,0,0,4,8,126.18,20.6,21.32,0.862,0.833,0,0.0,-0.0028,0.0141,0.1792,0.0053,0.0431,,,-104560.3,-52554.95,-104560.3,,,,ippo,retraso
vecinos,2042,25,2067,8.80e-04,26.8,4350,10.32,26.34,12.8,36,-9899.0,-1.468,-3.643,5621,3732,1874,1.148,4201,295.5,102.7,0,0.0,0,0,4,8,125.77,20.29,20.99,0.826,0.851,0,0.0,-0.002,0.0138,0.1665,0.0047,0.0416,,,-102384.72,-51147.28,-102384.72,,,,ippo,retraso
vecinos,2042,26,2068,8.75e-04,26.3,4350,10.35,26.74,12.79,34,-9825.1,-1.448,-3.674,5622,3653,1952,1.213,4204,297.3,103.3,0,0.0,0,0,4,8,126.46,21.23,22.3,0.915,0.813,0,0.0,-0.0018,0.013,0.175,0.0051,0.0421,,,-103273.13,-51205.95,-103273.13,,,,ippo,retraso
vecinos,2042,27,2069,8.70e-04,25.7,4350,10.17,26.25,12.56,35,-9645.6,-1.425,-3.614,5601,3618,1965,1.152,4203,295.6,102.7,0,0.0,0,0,5,8,126.54,21.08,21.4,0.886,0.826,0,0.0,-0.0015,0.0126,0.1551,0.0052,0.041,,,-101216.38,-50292.37,-101216.38,,,,ippo,retraso
vecinos,2042,28,2070,8.65e-04,25.8,4350,10.29,26.26,12.75,32,-9849.2,-1.459,-3.658,5600,3648,1936,1.12,4201,295.3,102.6,0,0.0,0,0,3,8,125.27,19.79,20.32,0.793,0.872,0,0.0,-0.0013,0.0145,0.1458,0.0044,0.0337,,,-102432.28,-51125.52,-102432.28,,,,ippo,retraso
vecinos,2042,29,2071,8.60e-04,25.5,4350,10.17,26.56,12.7,35,-9723.5,-1.446,-3.701,5532,3520,1997,1.179,4204,297.4,103.3,0,0.0,0,0,4,8,127.51,21.9,22.77,0.932,0.799,0,0.0,-0.0011,0.0129,0.1677,0.005,0.0402,,,-102380.25,-50496.59,-102380.25,,,,ippo,retraso
vecinos,2042,30,2072,8.55e-04,25.8,4350,10.06,26.41,12.42,36,-9541.2,-1.404,-3.647,5602,3581,2005,1.17,4208,296.7,103.0,0,0.0,0,0,4,8,127.05,21.49,21.95,0.892,0.813,0,0.0,-0.0025,0.0131,0.1899,0.0053,0.0456,20.79,4.48,-102155.09,-49857.49,-102155.09,20.79,20.76,20.775,ippo,retraso
vecinos,2042,31,2073,8.50e-04,24.9,4350,10.04,26.72,12.48,34,-9485.0,-1.407,-3.697,5562,3559,1987,1.237,4200,298.0,103.4,0,0.0,0,0,4,8,127.95,22.55,23.23,0.978,0.782,0,0.0,-0.0013,0.013,0.2232,0.005,0.044,,,-102803.07,-49508.93,-102803.07,,,,ippo,retraso
vecinos,2042,32,2074,8.45e-04,25.0,4350,10.11,26.61,12.55,36,-9610.0,-1.424,-3.694,5565,3566,1984,1.212,4205,297.4,103.2,0,0.0,0,0,4,8,128.5,22.77,23.65,1.015,0.746,0,0.0,-0.0021,0.0136,0.2233,0.0043,0.0428,,,-102793.38,-49955.62,-102793.38,,,,ippo,retraso
vecinos,2042,33,2075,8.40e-04,24.0,4350,10.0,26.69,12.36,35,-9475.5,-1.398,-3.679,5572,3535,2020,1.209,4198,298.4,103.5,0,0.0,0,0,3,8,127.57,22.3,23.03,1.012,0.751,0,0.0,-0.0041,0.0141,0.2064,0.0058,0.0494,,,-102502.91,-49408.0,-102502.91,,,,ippo,retraso
vecinos,2042,34,2076,8.35e-04,24.6,4350,10.49,27.09,12.86,35,-9965.2,-1.463,-3.725,5626,3614,1996,1.228,4201,298.1,103.5,0,0.0,0,0,4,8,127.42,22.01,22.74,0.946,0.796,0,0.0,-0.0036,0.0148,0.1988,0.0065,0.0491,,,-104781.03,-51765.67,-104781.03,,,,ippo,retraso
vecinos,2042,35,2077,8.30e-04,23.9,4350,10.09,26.35,12.55,37,-9648.3,-1.429,-3.668,5569,3563,1989,1.167,4204,296.6,103.0,0,0.0,0,0,4,7,126.98,21.21,22.0,0.875,0.811,0,0.0,0.0004,0.0143,0.2046,0.0051,0.0462,,,-102132.85,-50062.0,-102132.85,,,,ippo,retraso
vecinos,2042,36,2078,8.25e-04,24.0,4350,10.14,26.61,12.61,34,-9598.6,-1.426,-3.682,5569,3600,1954,1.208,4204,297.6,103.3,0,0.0,0,0,4,7,127.52,21.99,23.11,0.952,0.772,0,0.0,0.0001,0.0131,0.2198,0.0053,0.0478,,,-102522.05,-50057.53,-102522.05,,,,ippo,retraso
vecinos,2042,37,2079,8.20e-04,24.8,4350,10.35,26.84,12.44,36,-9845.0,-1.411,-3.6,5793,3790,1987,1.182,4202,298.1,103.5,0,0.0,0,0,4,8,126.66,21.24,21.93,0.875,0.814,0,0.0,-0.003,0.0131,0.2176,0.0063,0.0489,,,-104277.23,-51440.82,-104277.23,,,,ippo,retraso
vecinos,2042,38,2080,8.15e-04,23.8,4350,10.44,26.85,12.98,37,-9954.1,-1.481,-3.743,5609,3724,1870,1.193,4202,297.4,103.3,0,0.0,0,0,4,8,126.45,20.44,20.88,0.839,0.853,0,0.0,-0.0023,0.0147,0.2198,0.0062,0.0528,,,-104977.2,-51745.73,-104977.2,,,,ippo,retraso
vecinos,2042,39,2081,8.10e-04,24.0,4350,10.19,26.58,12.67,35,-9787.3,-1.452,-3.662,5613,3704,1894,1.18,4201,297.3,103.2,0,0.0,0,0,4,8,127.37,21.43,22.3,0.884,0.808,0,0.0,-0.003,0.0138,0.2018,0.0059,0.0494,,,-102766.59,-50559.08,-102766.59,,,,ippo,retraso
vecinos,2042,40,2082,8.05e-04,23.8,4350,10.16,26.67,12.63,36,-9681.0,-1.432,-3.673,5597,3638,1945,1.198,4200,297.6,103.3,0,0.0,0,0,4,8,127.41,21.93,22.82,0.918,0.791,0,0.0,-0.0017,0.0121,0.2048,0.0056,0.0495,25.69,9.74,-102779.19,-50379.9,-102779.19,25.69,25.28,25.485,ippo,retraso
vecinos,2042,41,2083,8.00e-04,24.1,4350,10.05,26.26,12.51,35,-9578.6,-1.419,-3.612,5620,3709,1896,1.154,4198,296.0,102.8,0,0.0,0,0,4,8,126.59,21.05,22.03,0.865,0.836,0,0.0,-0.0037,0.0139,0.1944,0.0055,0.0473,,,-101504.53,-49934.47,-101504.53,,,,ippo,retraso
vecinos,2042,42,2084,7.95e-04,24.2,4350,10.03,26.13,12.51,32,-9541.4,-1.419,-3.612,5608,3711,1879,1.128,4202,295.4,102.6,0,0.0,0,0,4,7,126.57,20.89,21.39,0.84,0.822,0,0.0,-0.0021,0.0135,0.1905,0.005,0.0407,,,-101286.64,-49854.5,-101286.64,,,,ippo,retraso
