variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,26.4,4350,16.7,36.57,20.0,54,-15972.3,-2.344,-5.16,5688,3785,1886,1.653,4181,320.6,111.2,0,0.0,0,0,7,11,142.39,37.01,39.0,1.6,0.456,0,0.0,-0.0107,0.0341,0.6819,0.0076,0.1056,,,-146754.61,-81683.05,-146754.61,,,,mappo,retraso
vecinos,2042,2,2044,9.95e-04,25.7,4350,15.46,35.13,18.66,51,-14788.6,-2.179,-5.005,5609,3615,1978,1.603,4174,317.9,110.2,0,0.0,0,0,7,11,142.55,37.01,38.91,1.642,0.452,0,0.0,-0.0221,0.033,0.6496,0.0099,0.176,,,-140373.04,-75698.44,-140373.04,,,,mappo,retraso
vecinos,2042,3,2045,9.90e-04,26.7,4350,13.72,32.69,16.63,41,-13068.2,-1.921,-4.578,5599,3552,2029,1.523,4193,313.1,108.5,0,0.0,0,0,6,9,135.61,30.13,31.8,1.373,0.572,0,0.0,-0.0164,0.0223,0.5988,0.0095,0.1498,,,-128165.53,-67272.1,-128165.53,,,,mappo,retraso
vecinos,2042,4,2046,9.85e-04,26.1,4350,12.24,30.44,14.91,42,-11622.0,-1.706,-4.244,5579,3484,2076,1.448,4196,308.2,106.8,0,0.0,0,0,5,9,133.2,28.03,29.44,1.296,0.602,0,0.0,-0.0115,0.0171,0.5508,0.0074,0.1027,,,-118382.77,-60079.65,-118382.77,,,,mappo,retraso
vecinos,2042,5,2047,9.80e-04,29.3,4350,11.33,29.26,13.97,41,-10667.8,-1.576,-4.082,5482,3318,2151,1.401,4199,305.9,105.9,0,0.0,0,0,4,9,130.82,25.49,26.26,1.173,0.665,0,0.0,-0.0083,0.0145,0.4975,0.0053,0.0761,,,-111888.98,-55539.53,-111888.98,,,,mappo,retraso
vecinos,2042,6,2048,9.75e-04,26.8,4350,11.54,29.24,14.17,41,-10916.6,-1.611,-4.094,5508,3362,2129,1.384,4200,304.8,105.7,0,0.0,0,0,5,8,130.77,25.44,25.53,1.167,0.688,0,0.0,-0.01,0.0148,0.4701,0.0057,0.0769,,,-112755.38,-56648.26,-112755.38,,,,mappo,retraso
vecinos,2042,7,2049,9.70e-04,25.4,4350,10.99,28.69,13.56,34,-10336.4,-1.525,-4.011,5485,3297,2172,1.386,4199,304.7,105.6,0,0.0,0,0,5,8,130.32,25.24,25.98,1.161,0.682,0,0.0,-0.0037,0.0128,0.4443,0.0038,0.0524,,,-110007.91,-53976.27,-110007.91,,,,mappo,retraso
vecinos,2042,8,2050,9.65e-04,25.0,4350,10.89,28.32,13.56,35,-10342.8,-1.54,-3.983,5476,3377,2083,1.319,4202,303.2,105.1,0,0.0,0,0,4,8,129.23,23.61,23.96,1.021,0.772,0,0.0,-0.0059,0.0122,0.4355,0.0045,0.0601,,,-109057.81,-53737.32,-109057.81,,,,mappo,retraso
vecinos,2042,9,2051,9.60e-04,25.3,4350,11.33,28.73,13.97,35,-10744.1,-1.59,-4.004,5528,3455,2058,1.337,4198,303.6,105.3,0,0.0,0,0,5,8,129.64,24.07,25.04,1.067,0.735,0,0.0,-0.0038,0.012,0.3995,0.0052,0.0659,,,-110679.08,-55690.09,-110679.08,,,,mappo,retraso
vecinos,2042,10,2052,9.55e-04,25.6,4350,10.9,28.17,13.39,40,-10322.1,-1.519,-3.899,5553,3450,2087,1.301,4205,302.4,104.9,0,0.0,0,0,4,9,128.18,22.81,24.06,0.958,0.804,0,0.0,-0.0057,0.0119,0.3726,0.0054,0.0677,20.79,4.48,-108259.38,-53730.56,-108259.38,20.79,20.76,20.775,mappo,retraso
