modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,4350,16.61,36.49,20.03,47,retraso,-2.341,5628,1897,1.656,4185,320.9,111.3,247,3.0952,,,,,24.7,,-146258.2,-81326.8,-146258.2,qlearning,42,-15846.3,0,0.0,0,7
train,2,44,0.972,4350,17.0,37.08,20.4,65,retraso,-2.4,5646,1913,1.678,4194,321.9,111.6,306,4.1147,,,,,24.9,,-149580.8,-83332.8,-149580.8,qlearning,42,-16309.5,0,0.0,0,8
train,3,45,0.944,4350,16.8,36.92,20.2,58,retraso,-2.371,5653,1892,1.677,4191,321.7,111.5,340,3.705,,,,,24.9,,-148759.0,-82372.7,-148759.0,qlearning,42,-16090.8,0,0.0,0,7
train,4,46,0.917,4350,15.72,35.24,19.06,45,retraso,-2.215,5605,1913,1.606,4195,318.1,110.3,356,3.6203,,,,,24.8,,-140223.2,-76925.2,-140223.2,qlearning,42,-14949.2,0,0.0,0,7
train,5,47,0.891,4350,16.59,36.43,19.91,60,retraso,-2.336,5655,1908,1.637,4191,320.5,111.1,382,4.678,,,,,24.8,,-146456.9,-81350.3,-146456.9,qlearning,42,-15894.2,0,0.0,0,7
train,6,48,0.866,4350,16.14,35.96,19.52,46,retraso,-2.281,5629,1878,1.609,4190,319.7,110.8,392,4.3049,,,,,24.9,,-144314.3,-79273.7,-144314.3,qlearning,42,-15417.9,0,0.0,0,7
train,7,49,0.841,4350,17.26,37.04,20.78,58,retraso,-2.453,5654,1855,1.651,4194,321.0,111.4,405,4.7191,,,,,24.5,,-150234.6,-84882.4,-150234.6,qlearning,42,-16600.7,0,0.0,0,9
train,8,50,0.818,4350,15.23,34.57,18.24,54,retraso,-2.125,5683,1935,1.583,4199,316.7,109.8,410,4.3727,,,,,25.0,,-137177.0,-74613.7,-137177.0,qlearning,42,-14536.9,0,0.0,0,8
train,9,51,0.794,4350,15.65,35.09,18.88,47,retraso,-2.209,5670,1888,1.588,4189,317.6,110.1,418,4.1951,,,,,24.9,,-140838.5,-77104.8,-140838.5,qlearning,42,-15027.4,0,0.0,0,6
train,10,52,0.772,4350,15.63,34.71,18.87,50,retraso,-2.214,5653,1877,1.567,4185,316.1,109.7,426,5.3749,41.22,22.73,41.22,43.26,24.9,42.24,-139550.6,-76799.7,-139550.6,qlearning,42,-15003.5,0,0.0,0,8
train,11,53,0.75,4350,15.96,35.33,19.29,52,retraso,-2.26,5635,1892,1.574,4192,318.0,110.3,432,6.8867,,,,,25.3,,-141866.3,-78550.9,-141866.3,qlearning,42,-15297.0,0,0.0,0,8
train,12,54,0.729,4350,15.4,34.6,18.53,53,retraso,-2.163,5673,1894,1.572,4198,316.4,109.7,435,5.6899,,,,,25.0,,-138004.4,-75574.4,-138004.4,qlearning,42,-14739.0,0,0.0,0,7
train,13,55,0.708,4350,15.0,34.4,17.99,47,retraso,-2.094,5703,1916,1.585,4194,316.7,109.7,443,4.8519,,,,,24.8,,-136572.6,-73714.6,-136572.6,qlearning,42,-14340.7,0,0.0,0,8
train,14,56,0.688,4350,15.49,34.62,18.69,51,retraso,-2.189,5654,1898,1.55,4187,316.2,109.7,450,5.6782,,,,,25.1,,-138748.6,-76339.4,-138748.6,qlearning,42,-14876.2,0,0.0,0,8
train,15,57,0.668,4350,15.09,34.33,18.31,48,retraso,-2.134,5633,1879,1.582,4191,316.3,109.6,455,4.3178,,,,,25.2,,-136385.4,-74104.4,-136385.4,qlearning,42,-14425.3,0,0.0,0,8
train,16,58,0.649,4350,14.34,33.65,17.42,45,retraso,-2.018,5602,1944,1.593,4198,315.4,109.3,457,4.4508,,,,,25.3,,-133097.1,-70219.6,-133097.1,qlearning,42,-13657.0,0,0.0,0,7
train,17,59,0.631,4350,13.83,32.76,16.68,43,retraso,-1.931,5677,1934,1.54,4198,313.1,108.5,460,4.751,,,,,25.2,,-128828.2,-67888.7,-128828.2,qlearning,42,-13210.7,0,0.0,0,7
train,18,60,0.613,4350,15.16,34.51,18.31,46,retraso,-2.133,5644,1919,1.587,4196,316.6,109.7,466,6.1686,,,,,25.4,,-137818.3,-74534.5,-137818.3,qlearning,42,-14493.1,0,0.0,0,9
train,19,61,0.596,4350,14.86,34.1,17.71,47,retraso,-2.057,5712,1940,1.603,4199,316.0,109.5,470,5.5974,,,,,25.8,,-134964.3,-72714.9,-134964.3,qlearning,42,-14145.9,0,0.0,0,5
train,20,62,0.579,4350,13.8,32.71,16.8,46,retraso,-1.938,5605,1924,1.545,4192,313.4,108.6,473,5.7391,33.57,14.47,33.57,35.23,24.8,34.4,-128313.1,-67657.5,-128313.1,qlearning,42,-13101.9,0,0.0,0,7
train,21,63,0.562,4350,13.86,32.96,16.78,48,retraso,-1.942,5608,1994,1.571,4205,314.1,108.8,475,5.3008,,,,,25.0,,-129411.1,-67907.1,-129411.1,qlearning,42,-13212.2,0,0.0,0,8
train,22,64,0.546,4350,14.06,33.03,17.0,48,retraso,-1.977,5643,1930,1.561,4192,313.8,108.8,478,4.8642,,,,,25.0,,-130345.8,-68981.8,-130345.8,qlearning,42,-13451.1,0,0.0,0,6
train,23,65,0.531,4350,13.74,32.64,16.74,45,retraso,-1.948,5609,1930,1.538,4195,313.3,108.5,479,4.526,,,,,25.0,,-128605.7,-67614.7,-128605.7,qlearning,42,-13180.7,0,0.0,0,5
train,24,66,0.516,4350,14.0,33.08,16.91,45,retraso,-1.952,5647,1936,1.556,4194,314.1,108.8,480,5.0236,,,,,25.2,,-130502.2,-68674.8,-130502.2,qlearning,42,-13299.3,0,0.0,0,6
train,25,67,0.501,4350,13.48,32.35,16.41,41,retraso,-1.888,5610,1948,1.546,4199,312.6,108.3,484,4.7221,,,,,25.1,,-126813.6,-66160.0,-126813.6,qlearning,42,-12795.8,0,0.0,0,6
train,26,68,0.487,4350,13.64,32.43,16.51,48,retraso,-1.909,5645,1941,1.543,4195,312.3,108.2,485,5.4067,,,,,25.3,,-128061.6,-67021.2,-128061.6,qlearning,42,-13005.0,0,0.0,0,5
train,27,69,0.473,4350,14.18,33.4,17.0,45,retraso,-1.971,5695,1941,1.605,4202,314.8,109.1,486,4.6838,,,,,25.3,,-131580.6,-69451.7,-131580.6,qlearning,42,-13519.8,0,0.0,0,8
train,28,70,0.46,4350,13.11,32.04,16.0,39,retraso,-1.84,5598,1942,1.548,4198,312.0,108.0,490,4.693,,,,,24.8,,-125367.1,-64191.4,-125367.1,qlearning,42,-12438.8,0,0.0,0,5
train,29,71,0.447,4350,12.89,31.69,15.74,39,retraso,-1.804,5596,1959,1.543,4200,311.4,107.9,490,4.2396,,,,,25.3,,-123421.7,-63085.3,-123421.7,qlearning,42,-12212.4,0,0.0,0,5
train,30,72,0.434,4350,13.63,32.8,16.37,44,retraso,-1.886,5642,2024,1.598,4190,314.0,108.7,491,5.0964,31.8,12.94,31.8,30.96,25.5,31.38,-127717.6,-66549.3,-127717.6,qlearning,42,-12932.5,0,0.0,0,9
train,31,73,0.422,4350,13.54,32.5,16.28,41,retraso,-1.884,5672,1964,1.562,4190,313.2,108.5,491,4.7735,,,,,25.5,,-127171.8,-66350.0,-127171.8,qlearning,42,-12905.0,0,0.0,0,5
train,32,74,0.41,4350,13.06,31.72,15.94,43,retraso,-1.822,5606,1936,1.523,4197,311.1,107.8,492,4.8301,,,,,25.0,,-123544.7,-63922.0,-123544.7,qlearning,42,-12332.8,0,0.0,0,6
train,33,75,0.398,4350,13.03,31.93,15.86,41,retraso,-1.83,5599,1972,1.532,4195,312.3,108.1,492,5.0212,,,,,25.0,,-123845.9,-63760.6,-123845.9,qlearning,42,-12404.4,0,0.0,0,5
train,34,76,0.387,4350,12.74,31.61,15.54,42,retraso,-1.773,5584,2012,1.54,4200,311.5,107.9,492,4.3043,,,,,25.1,,-122581.6,-62425.5,-122581.6,qlearning,42,-12046.3,0,0.0,0,5
train,35,77,0.376,4350,13.06,31.94,15.99,44,retraso,-1.84,5570,1960,1.549,4197,312.0,108.0,493,4.9294,,,,,25.0,,-124611.3,-64041.9,-124611.3,qlearning,42,-12422.6,0,0.0,0,8
train,36,78,0.365,4350,12.62,31.55,15.44,41,retraso,-1.769,5571,2010,1.557,4191,311.7,107.9,494,4.5198,,,,,25.1,,-122762.2,-61810.2,-122762.2,qlearning,42,-11988.1,0,0.0,0,6
train,37,79,0.355,4350,12.56,31.26,15.39,41,retraso,-1.76,5568,1989,1.53,4204,310.9,107.7,495,4.6965,,,,,24.9,,-121104.3,-61622.4,-121104.3,qlearning,42,-11897.9,0,0.0,0,7
train,38,80,0.345,4350,12.22,30.83,14.87,40,retraso,-1.701,5653,1947,1.496,4201,309.9,107.3,495,4.3827,,,,,25.2,,-119762.1,-60060.6,-119762.1,qlearning,42,-11603.6,0,0.0,0,4
train,39,81,0.335,4350,12.18,30.88,14.84,42,retraso,-1.704,5613,1998,1.528,4200,309.9,107.3,495,3.8971,,,,,25.0,,-118977.4,-59638.3,-118977.4,qlearning,42,-11607.2,0,0.0,0,6
train,40,82,0.325,4350,12.73,31.69,15.29,44,retraso,-1.751,5715,1969,1.564,4195,311.6,107.9,496,4.8163,32.16,13.19,32.16,31.75,25.3,31.955,-123123.9,-62339.6,-123123.9,qlearning,42,-12068.6,0,0.0,0,5
train,41,83,0.316,4350,12.87,31.6,15.73,45,retraso,-1.811,5597,1948,1.526,4198,310.9,107.7,497,4.8077,,,,,25.1,,-123602.9,-63274.9,-123602.9,qlearning,42,-12260.0,0,0.0,0,5
train,42,84,0.307,4350,12.25,31.25,14.72,38,retraso,-1.678,5667,2059,1.567,4200,311.4,107.7,498,4.6288,,,,,25.4,,-120601.2,-59892.0,-120601.2,qlearning,42,-11584.7,0,0.0,0,5
train,43,85,0.299,4350,12.11,30.71,14.82,44,retraso,-1.701,5579,1991,1.499,4191,309.7,107.2,498,4.7941,,,,,25.2,,-118738.3,-59516.0,-118738.3,qlearning,42,-11527.1,0,0.0,0,4
train,44,86,0.29,4350,12.75,31.5,15.43,37,retraso,-1.773,5653,1964,1.547,4199,311.0,107.7,499,4.1691,,,,,25.3,,-123188.5,-62451.6,-123188.5,qlearning,42,-12114.7,0,0.0,0,5
train,45,87,0.282,4350,12.03,30.75,14.73,43,retraso,-1.69,5585,2008,1.512,4194,310.1,107.3,499,5.0987,,,,,25.2,,-118889.3,-59098.5,-118889.3,qlearning,42,-11469.9,0,0.0,0,6
train,46,88,0.274,4350,12.23,31.13,14.75,40,retraso,-1.689,5657,2009,1.553,4199,310.7,107.5,499,4.3454,,,,,25.4,,-120028.2,-59759.7,-120028.2,qlearning,42,-11583.9,0,0.0,0,5
train,47,89,0.266,4350,12.08,30.87,14.71,39,retraso,-1.679,5602,2042,1.547,4191,310.5,107.4,500,5.0532,,,,,25.3,,-119007.3,-59259.6,-119007.3,qlearning,42,-11466.6,0,0.0,0,5
train,48,90,0.259,4350,11.94,30.78,14.65,37,retraso,-1.667,5556,2030,1.546,4194,310.1,107.3,500,3.7024,,,,,26.2,,-118538.2,-58473.3,-118538.2,qlearning,42,-11297.1,0,0.0,0,5
train,49,91,0.251,4350,12.21,30.87,14.87,38,retraso,-1.695,5616,2004,1.518,4194,309.8,107.2,500,4.2602,,,,,28.6,,-119265.5,-59854.0,-119265.5,qlearning,42,-11560.9,0,0.0,0,5
train,50,92,0.244,4350,12.32,31.02,15.12,46,retraso,-1.728,5612,1910,1.543,4197,310.5,107.5,500,4.6012,30.11,11.82,30.11,30.72,26.7,30.415,-120124.0,-60403.9,-120124.0,qlearning,42,-11678.9,0,0.0,0,6
train,51,93,0.237,4350,12.07,30.78,14.45,39,retraso,-1.651,5745,2000,1.54,4190,310.0,107.3,501,3.5877,,,,,25.6,,-118344.8,-59121.8,-118344.8,qlearning,42,-11470.3,0,0.0,0,5
train,52,94,0.23,4350,12.25,31.17,14.88,42,retraso,-1.701,5652,1985,1.577,4196,311.1,107.7,501,4.1842,,,,,25.4,,-120327.4,-59964.0,-120327.4,qlearning,42,-11636.4,0,0.0,0,4
train,53,95,0.224,4350,11.88,30.52,14.46,41,retraso,-1.639,5627,1980,1.531,4201,309.6,107.1,501,4.1538,,,,,25.3,,-117160.5,-58089.0,-117160.5,qlearning,42,-11169.6,0,0.0,0,5
train,54,96,0.218,4350,12.31,31.22,14.66,41,retraso,-1.681,5785,1978,1.556,4191,311.1,107.6,501,4.1055,,,,,25.6,,-121037.1,-60356.8,-121037.1,qlearning,42,-11722.0,0,0.0,0,5
train,55,97,0.211,4350,11.7,30.49,14.4,39,retraso,-1.634,5550,2051,1.554,4189,310.1,107.3,502,3.8827,,,,,25.8,,-116956.6,-57357.8,-116956.6,qlearning,42,-11072.2,0,0.0,0,5
train,56,98,0.205,4350,11.83,30.38,14.49,37,retraso,-1.66,5606,1984,1.525,4195,309.1,107.0,502,4.2548,,,,,25.1,,-117307.2,-58116.0,-117307.2,qlearning,42,-11281.9,0,0.0,0,4
train,57,99,0.2,4350,11.91,30.8,14.7,40,retraso,-1.667,5528,2023,1.55,4204,310.6,107.5,503,4.5134,,,,,24.3,,-118075.5,-58300.4,-118075.5,qlearning,42,-11236.8,0,0.0,0,5
train,58,100,0.194,4350,11.17,29.71,13.69,38,retraso,-1.546,5585,2003,1.51,4198,308.2,106.6,504,5.1283,,,,,24.0,,-112838.7,-54493.2,-112838.7,qlearning,42,-10492.9,0,0.0,0,5
train,59,101,0.188,4350,11.78,30.66,14.49,36,retraso,-1.633,5534,2045,1.564,4198,310.8,107.5,504,4.4468,,,,,23.1,,-117128.5,-57574.8,-117128.5,qlearning,42,-11036.2,0,0.0,0,4
train,60,102,0.183,4350,12.29,31.24,15.0,41,retraso,-1.717,5620,1963,1.56,4191,311.4,107.7,504,3.987,31.05,12.42,31.05,31.17,23.6,31.11,-121364.9,-60168.4,-121364.9,qlearning,42,-11667.1,0,0.0,0,6
train,61,103,0.178,4350,11.35,29.97,14.02,37,retraso,-1.594,5553,2007,1.516,4191,308.7,106.8,505,4.8145,,,,,23.2,,-114470.2,-55617.9,-114470.2,qlearning,42,-10776.7,0,0.0,0,5
train,62,104,0.173,4350,11.89,30.78,14.61,39,retraso,-1.653,5564,1989,1.56,4201,310.4,107.4,506,5.4558,,,,,23.0,,-118708.8,-58143.9,-118708.8,qlearning,42,-11169.7,0,0.0,0,5
train,63,105,0.168,4350,11.54,30.55,14.18,40,retraso,-1.607,5542,2086,1.569,4195,310.6,107.4,506,3.7662,,,,,22.9,,-116468.7,-56435.2,-116468.7,qlearning,42,-10921.4,0,0.0,0,4
train,64,106,0.163,4350,12.05,31.0,14.83,42,retraso,-1.679,5537,2014,1.577,4199,311.1,107.6,507,5.0144,,,,,22.9,,-118478.3,-58790.5,-118478.3,qlearning,42,-11335.7,0,0.0,0,6
train,65,107,0.158,4350,11.87,30.69,14.55,42,retraso,-1.658,5600,1960,1.546,4195,310.2,107.3,507,4.3949,,,,,22.8,,-118619.7,-58067.8,-118619.7,qlearning,42,-11236.3,0,0.0,0,4
train,66,108,0.154,4350,11.86,30.71,14.47,36,retraso,-1.649,5598,2026,1.557,4199,310.4,107.4,509,4.7798,,,,,23.0,,-118350.6,-58039.3,-118350.6,qlearning,42,-11232.0,0,0.0,0,5
train,67,109,0.15,4350,12.17,30.96,14.67,38,retraso,-1.67,5681,1997,1.542,4200,310.6,107.5,509,3.9489,,,,,23.5,,-119180.8,-59610.5,-119180.8,qlearning,42,-11485.3,0,0.0,0,4
train,68,110,0.145,4350,11.94,30.76,14.67,41,retraso,-1.668,5562,1982,1.554,4191,310.5,107.4,509,4.7831,,,,,23.1,,-117848.7,-58280.8,-117848.7,qlearning,42,-11261.7,0,0.0,0,5
train,69,111,0.141,4350,11.84,30.63,14.57,37,retraso,-1.656,5556,2026,1.548,4194,310.3,107.3,509,4.0617,,,,,23.3,,-118344.7,-58144.0,-118344.7,qlearning,42,-11211.0,0,0.0,0,5
train,70,112,0.137,4350,10.88,29.74,13.33,35,retraso,-1.506,5531,2155,1.531,4196,309.2,106.8,509,3.7035,31.85,13.36,31.85,31.1,23.1,31.475,-113002.8,-53206.9,-113002.8,qlearning,42,-10275.7,0,0.0,0,4
train,71,113,0.133,4350,11.14,29.76,13.72,37,retraso,-1.556,5545,2082,1.511,4193,308.6,106.7,509,4.2779,,,,,23.1,,-113286.8,-54742.2,-113286.8,qlearning,42,-10573.5,0,0.0,0,5
train,72,114,0.13,4350,11.51,30.03,14.12,38,retraso,-1.611,5589,2042,1.51,4202,308.8,106.9,509,3.8614,,,,,23.0,,-115086.5,-56633.5,-115086.5,qlearning,42,-10972.6,0,0.0,0,5
train,73,115,0.126,4350,11.87,30.7,14.4,39,retraso,-1.65,5636,1999,1.572,4196,310.4,107.4,509,4.3875,,,,,23.2,,-117787.2,-57953.1,-117787.2,qlearning,42,-11272.4,0,0.0,0,4
train,74,116,0.122,4350,11.87,30.63,14.59,36,retraso,-1.663,5554,2008,1.557,4197,310.2,107.3,509,4.218,,,,,22.9,,-117234.0,-58018.4,-117234.0,qlearning,42,-11243.1,0,0.0,0,5
train,75,117,0.119,4350,11.78,30.62,14.28,38,retraso,-1.622,5644,2013,1.566,4192,310.0,107.2,509,4.2786,,,,,23.3,,-117115.7,-57566.5,-117115.7,qlearning,42,-11109.0,0,0.0,0,6
train,76,118,0.115,4350,11.38,30.05,13.9,39,retraso,-1.582,5592,2031,1.544,4201,309.1,106.9,509,4.5367,,,,,23.1,,-114834.3,-55568.9,-114834.3,qlearning,42,-10779.2,0,0.0,0,4
train,77,119,0.112,4350,11.67,30.55,14.25,37,retraso,-1.618,5612,2023,1.56,4192,310.4,107.3,510,4.6468,,,,,23.0,,-117573.6,-57222.3,-117573.6,qlearning,42,-11039.3,0,0.0,0,4
train,78,120,0.109,4350,11.81,30.65,14.42,40,retraso,-1.637,5609,1995,1.56,4193,310.4,107.4,511,4.3511,,,,,23.1,,-117268.7,-57778.2,-117268.7,qlearning,42,-11138.5,0,0.0,0,5
train,79,121,0.106,4350,11.7,30.32,14.24,39,retraso,-1.621,5659,1939,1.528,4191,309.3,107.0,511,3.6672,,,,,23.2,,-116800.9,-57407.8,-116800.9,qlearning,42,-11056.0,0,0.0,0,4
train,80,122,0.103,4350,11.54,30.22,14.12,39,retraso,-1.612,5562,2049,1.542,4191,309.2,106.9,511,4.115,30.97,12.36,30.97,30.81,23.2,30.89,-115851.0,-56444.3,-115851.0,qlearning,42,-10950.4,0,0.0,0,5
train,81,123,0.1,4350,11.99,30.71,14.71,41,retraso,-1.682,5601,1956,1.544,4196,310.0,107.3,511,5.0834,,,,,22.9,,-118216.4,-58860.8,-118216.4,qlearning,42,-11401.3,0,0.0,0,4
train,82,124,0.097,4350,11.44,30.31,14.01,36,retraso,-1.594,5601,2013,1.554,4195,309.8,107.1,511,3.4588,,,,,22.9,,-115742.1,-56093.2,-115742.1,qlearning,42,-10857.8,0,0.0,0,5
train,83,125,0.094,4350,11.27,29.96,13.82,36,retraso,-1.572,5591,2039,1.527,4201,308.9,106.8,511,4.3081,,,,,22.9,,-114073.2,-55234.0,-114073.2,qlearning,42,-10713.0,0,0.0,0,4
train,84,126,0.092,4350,11.41,30.16,13.91,42,retraso,-1.585,5575,2089,1.535,4199,309.4,107.0,512,4.4439,,,,,22.7,,-114920.2,-55777.0,-114920.2,qlearning,42,-10825.4,0,0.0,0,4
train,85,127,0.089,4350,11.53,30.29,14.19,38,retraso,-1.614,5558,2030,1.544,4195,309.4,107.0,514,5.0678,,,,,23.1,,-115664.4,-56418.3,-115664.4,qlearning,42,-10934.9,0,0.0,0,4
train,86,128,0.087,4350,11.73,30.44,14.26,39,retraso,-1.628,5658,1982,1.543,4191,309.5,107.1,515,4.5476,,,,,23.2,,-116857.5,-57572.1,-116857.5,qlearning,42,-11148.2,0,0.0,0,5
