modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,4043,1.0,4350,17.73,37.82,21.27,51,retraso,-2.515,5654,1871,1.677,4188,323.0,112.1,244,3.5531,,,,,25.9,,-152831.0,-86986.4,-152831.0,sarsa,4042,-17042.6,0,0.0,0,8
train,2,4044,0.972,4350,17.57,37.85,21.06,53,retraso,-2.49,5683,1853,1.697,4189,323.1,112.0,305,3.5296,,,,,25.8,,-153753.9,-86389.7,-153753.9,sarsa,4042,-16917.9,0,0.0,0,9
train,3,4045,0.944,4350,16.51,36.12,19.99,50,retraso,-2.347,5616,1904,1.604,4188,319.3,110.8,338,4.362,,,,,26.2,,-145702.1,-81174.2,-145702.1,sarsa,4042,-15860.3,0,0.0,0,8
train,4,4046,0.917,4350,16.47,36.14,19.85,56,retraso,-2.336,5658,1871,1.61,4189,319.3,110.8,357,4.69,,,,,26.0,,-145726.9,-81004.7,-145726.9,sarsa,4042,-15830.3,0,0.0,0,8
train,5,4047,0.891,4350,16.85,36.62,20.29,64,retraso,-2.389,5653,1865,1.629,4176,320.4,111.1,376,4.6549,,,,,26.3,,-147868.5,-82771.2,-147868.5,sarsa,4042,-16166.5,0,0.0,0,8
train,6,4048,0.866,4350,16.52,36.33,20.03,51,retraso,-2.347,5603,1895,1.648,4196,320.1,111.0,393,4.6831,,,,,25.8,,-145900.5,-81097.5,-145900.5,sarsa,4042,-15823.4,0,0.0,0,8
train,7,4049,0.841,4350,16.1,35.7,19.23,51,retraso,-2.259,5693,1919,1.63,4192,318.6,110.5,406,4.9606,,,,,26.2,,-143223.5,-78965.4,-143223.5,sarsa,4042,-15451.7,0,0.0,0,8
train,8,4050,0.818,4350,15.79,35.15,19.12,51,retraso,-2.235,5641,1879,1.571,4195,317.3,110.1,414,4.6211,,,,,26.2,,-140573.1,-77627.5,-140573.1,sarsa,4042,-15128.4,0,0.0,0,7
train,9,4051,0.794,4350,15.91,35.35,19.13,48,retraso,-2.245,5658,1911,1.593,4188,317.8,110.2,428,5.3712,,,,,26.0,,-141726.0,-78271.7,-141726.0,sarsa,4042,-15277.4,0,0.0,0,9
train,10,4052,0.772,4350,15.68,35.31,19.01,53,retraso,-2.211,5607,1908,1.618,4194,318.3,110.3,431,5.5184,36.98,18.89,36.98,37.42,25.9,37.2,-140676.2,-76811.4,-140676.2,sarsa,4042,-14925.6,0,0.0,0,7
train,11,4053,0.75,4350,14.84,34.06,18.02,46,retraso,-2.1,5595,1922,1.574,4187,315.3,109.3,441,4.8781,,,,,25.2,,-135386.2,-72642.3,-135386.2,sarsa,4042,-14178.0,0,0.0,0,7
train,12,4054,0.729,4350,15.2,34.48,18.38,47,retraso,-2.144,5651,1876,1.563,4188,316.4,109.7,448,5.4564,,,,,23.9,,-137448.6,-74721.5,-137448.6,sarsa,4042,-14528.3,0,0.0,0,6
train,13,4055,0.708,4350,14.74,33.89,17.88,60,retraso,-2.086,5638,1892,1.543,4195,315.1,109.2,454,4.8444,,,,,23.8,,-134469.1,-72543.7,-134469.1,sarsa,4042,-14136.4,0,0.0,0,9
train,14,4056,0.688,4350,14.63,33.86,17.52,42,retraso,-2.041,5685,1933,1.571,4195,315.2,109.3,458,5.0583,,,,,26.0,,-134205.4,-71684.5,-134205.4,sarsa,4042,-13976.4,0,0.0,0,7
train,15,4057,0.668,4350,14.55,33.51,17.66,53,retraso,-2.062,5632,1889,1.526,4188,314.3,109.0,462,5.6934,,,,,27.9,,-133227.9,-71678.0,-133227.9,sarsa,4042,-13956.0,0,0.0,0,6
train,16,4058,0.649,4350,15.33,34.55,18.49,48,retraso,-2.172,5671,1851,1.563,4193,316.2,109.7,464,4.9429,,,,,28.4,,-137782.8,-75285.0,-137782.8,sarsa,4042,-14718.0,0,0.0,0,9
train,17,4059,0.631,4350,14.73,33.9,17.77,49,retraso,-2.065,5666,1894,1.581,4191,315.4,109.3,467,5.4307,,,,,24.7,,-134657.7,-72259.9,-134657.7,sarsa,4042,-14049.4,0,0.0,0,7
train,18,4060,0.613,4350,14.73,33.87,17.61,54,retraso,-2.054,5711,1930,1.565,4193,315.1,109.3,476,5.1646,,,,,24.2,,-134165.2,-72471.9,-134165.2,sarsa,4042,-14106.6,0,0.0,0,8
train,19,4061,0.596,4350,13.63,32.65,16.57,44,retraso,-1.902,5619,1914,1.54,4196,313.4,108.5,476,4.7867,,,,,25.1,,-127899.0,-66630.9,-127899.0,sarsa,4042,-12874.9,0,0.0,0,6
train,20,4062,0.579,4350,13.89,32.79,16.81,45,retraso,-1.947,5657,1928,1.531,4199,313.2,108.5,480,5.5044,37.73,19.36,37.73,37.09,24.0,37.41,-129771.9,-68316.4,-129771.9,sarsa,4042,-13262.1,0,0.0,0,8
train,21,4063,0.562,4350,14.03,32.84,17.06,50,retraso,-1.997,5636,1893,1.511,4185,312.9,108.5,481,5.3339,,,,,23.6,,-130096.4,-69225.0,-130096.4,sarsa,4042,-13512.6,0,0.0,0,7
train,22,4064,0.546,4350,14.38,33.47,17.38,43,retraso,-2.03,5649,1910,1.557,4197,314.4,109.0,487,5.3076,,,,,25.3,,-132875.1,-70714.1,-132875.1,sarsa,4042,-13793.5,0,0.0,0,9
train,23,4065,0.531,4350,14.07,33.01,17.06,43,retraso,-1.978,5627,1931,1.541,4202,313.6,108.7,491,5.4352,,,,,26.8,,-130165.0,-69146.0,-130165.0,sarsa,4042,-13422.4,0,0.0,0,8
train,24,4066,0.516,4350,13.43,32.34,16.32,39,retraso,-1.887,5611,1961,1.524,4190,312.5,108.3,491,5.0427,,,,,24.0,,-127018.5,-65987.4,-127018.5,sarsa,4042,-12805.5,0,0.0,0,6
train,25,4067,0.501,4350,13.79,32.72,16.69,47,retraso,-1.931,5629,1963,1.553,4192,313.3,108.5,496,5.9158,,,,,24.4,,-128217.9,-67603.7,-128217.9,sarsa,4042,-13136.9,0,0.0,0,8
train,26,4068,0.487,4350,13.81,32.75,16.65,46,retraso,-1.928,5683,1926,1.543,4200,313.2,108.5,497,5.5331,,,,,25.3,,-129246.2,-67852.5,-129246.2,sarsa,4042,-13185.3,0,0.0,0,5
train,27,4069,0.473,4350,13.9,32.81,16.68,40,retraso,-1.932,5727,1901,1.557,4198,313.2,108.5,497,4.4424,,,,,26.2,,-129596.5,-68254.4,-129596.5,sarsa,4042,-13266.1,0,0.0,0,7
train,28,4070,0.46,4350,13.99,33.07,16.95,59,retraso,-1.96,5650,1893,1.577,4193,314.0,108.8,497,5.1937,,,,,24.8,,-130141.2,-68544.0,-130141.2,sarsa,4042,-13300.9,0,0.0,0,6
train,29,4071,0.447,4350,14.22,33.05,17.16,43,retraso,-2.006,5694,1864,1.535,4190,313.1,108.6,498,5.0433,,,,,25.3,,-130984.9,-70301.7,-130984.9,sarsa,4042,-13664.8,0,0.0,0,5
train,30,4072,0.434,4350,13.14,32.02,15.96,43,retraso,-1.847,5651,1919,1.516,4195,311.8,108.0,499,4.6749,34.96,16.92,34.96,34.51,25.6,34.735,-125216.5,-64601.1,-125216.5,sarsa,4042,-12566.6,0,0.0,0,7
train,31,4073,0.422,4350,13.58,32.45,16.39,41,retraso,-1.891,5687,1916,1.529,4203,312.5,108.3,500,5.5166,,,,,26.1,,-127657.7,-66901.9,-127657.7,sarsa,4042,-12932.1,0,0.0,0,5
train,32,4074,0.41,4350,12.66,31.58,15.47,41,retraso,-1.777,5595,1969,1.558,4195,311.9,108.0,501,4.6964,,,,,25.7,,-121810.9,-61996.2,-121810.9,sarsa,4042,-12045.2,0,0.0,0,5
train,33,4075,0.398,4350,13.43,32.21,16.14,39,retraso,-1.869,5699,1949,1.55,4199,311.9,108.1,501,5.2221,,,,,25.6,,-126156.6,-66090.1,-126156.6,sarsa,4042,-12831.2,0,0.0,0,5
train,34,4076,0.387,4350,12.5,31.33,15.32,38,retraso,-1.75,5583,1976,1.541,4199,311.0,107.7,501,5.1991,,,,,26.6,,-121708.4,-61224.3,-121708.4,sarsa,4042,-11844.7,0,0.0,0,5
train,35,4077,0.376,4350,13.13,32.17,15.69,45,retraso,-1.798,5704,2012,1.582,4198,312.6,108.2,502,4.9972,,,,,28.5,,-125548.2,-64293.6,-125548.2,sarsa,4042,-12425.3,0,0.0,0,6
train,36,4078,0.365,4350,12.07,30.6,14.89,43,retraso,-1.709,5533,2010,1.502,4194,309.5,107.1,504,4.7791,,,,,28.3,,-118334.5,-59235.6,-118334.5,sarsa,4042,-11520.7,0,0.0,0,4
train,37,4079,0.355,4350,13.14,32.15,15.87,44,retraso,-1.819,5666,1939,1.56,4193,312.5,108.2,505,5.2287,,,,,38.2,,-125369.2,-64310.6,-125369.2,sarsa,4042,-12426.0,0,0.0,0,7
