variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
local,2042,1,2043,1.00e-03,10.6,2582,18.27,39.65,8.67,39,-6913.2,-3.04,-7.264,1894,1249,640,1.387,2498,289.5,99.8,0,0.0,0,0,12,14,182.47,51.03,55.43,1.892,0.323,0,0.0,-0.0162,0.1282,0.677,0.0108,0.175,,,-68793.46,-35448.96,-68793.46,,,,ippo,retraso
local,2042,2,2044,9.95e-04,10.9,2582,13.94,33.57,7.73,50,-6084.6,-2.697,-6.602,1890,1271,614,1.193,2501,279.0,96.0,0,0.0,0,0,9,11,175.51,43.82,46.85,1.596,0.455,0,0.0,-0.0159,0.0802,0.647,0.0087,0.1364,,,-62388.91,-31388.92,-62388.91,,,,ippo,retraso
local,2042,3,2045,9.90e-04,10.3,2582,15.53,35.29,6.91,31,-5416.8,-2.385,-6.074,1907,1289,611,1.169,2500,280.4,96.6,0,0.0,0,0,7,12,171.97,39.82,42.92,1.407,0.567,0,0.0,-0.01,0.0598,0.6019,0.0075,0.0967,,,-57910.91,-28228.8,-57910.91,,,,ippo,retraso
local,2042,4,2046,9.85e-04,10.3,2582,13.12,31.92,6.74,22,-5271.0,-2.333,-5.945,1899,1286,606,1.105,2509,274.4,94.4,0,0.0,0,0,6,11,168.69,36.77,39.9,1.303,0.604,0,0.0,-0.0082,0.0562,0.5594,0.008,0.1022,,,-56450.02,-27410.7,-56450.02,,,,ippo,retraso
local,2042,5,2047,9.80e-04,10.6,2582,14.39,33.28,6.05,22,-4702.1,-2.081,-5.506,1893,1272,615,1.136,2507,275.8,95.1,0,0.0,0,0,7,11,165.64,33.94,35.37,1.23,0.643,0,0.0,-0.003,0.0501,0.5487,0.0039,0.0547,,,-52114.94,-24438.15,-52114.94,,,,ippo,retraso
local,2042,6,2048,9.75e-04,10.4,2582,12.66,31.05,5.9,23,-4559.4,-2.016,-5.454,1897,1278,613,1.067,2510,272.0,93.6,0,0.0,0,0,6,13,165.96,33.86,36.11,1.213,0.636,0,0.0,-0.0043,0.0507,0.5374,0.0038,0.0542,,,-51728.75,-23742.18,-51728.75,,,,ippo,retraso
local,2042,7,2049,9.70e-04,10.2,2582,14.72,33.75,6.14,26,-4751.4,-2.101,-5.573,1910,1312,592,1.163,2502,276.4,95.3,0,0.0,0,0,8,10,166.87,34.57,36.72,1.271,0.614,0,0.0,-0.0028,0.0515,0.4911,0.0037,0.0426,,,-53225.99,-24754.56,-53225.99,,,,ippo,retraso
local,2042,8,2050,9.65e-04,10.2,2582,16.45,36.14,5.99,26,-4650.4,-2.056,-5.466,1911,1317,589,1.215,2505,280.1,96.8,0,0.0,0,0,5,11,165.65,33.47,35.57,1.24,0.639,0,0.0,-0.0016,0.0429,0.4679,0.0031,0.0414,,,-52230.52,-24129.36,-52230.52,,,,ippo,retraso
local,2042,9,2051,9.60e-04,10.4,2582,14.23,33.05,5.74,19,-4452.9,-1.963,-5.315,1907,1298,604,1.096,2506,275.1,94.9,0,0.0,0,0,6,10,164.5,32.65,34.86,1.123,0.678,0,0.0,-0.0028,0.0389,0.4692,0.0034,0.0486,,,-50676.56,-23196.17,-50676.56,,,,ippo,retraso
local,2042,10,2052,9.55e-04,10.3,2582,13.98,32.6,5.89,28,-4541.3,-2.01,-5.332,1904,1305,594,1.131,2502,273.7,94.4,0,0.0,0,0,7,10,164.55,32.68,34.18,1.17,0.67,0,0.0,-0.0012,0.0377,0.4298,0.0038,0.0469,35.0,15.96,-50757.09,-23690.28,-50757.09,35.0,34.7,34.85,ippo,retraso
local,2042,11,2053,9.50e-04,10.5,2582,19.01,39.5,5.93,25,-4626.7,-2.037,-5.353,1920,1323,591,1.271,2514,284.5,98.6,0,0.0,0,0,6,10,164.31,32.49,34.61,1.173,0.685,0,0.0,-0.0013,0.0295,0.4281,0.003,0.0424,,,-51384.05,-24012.22,-51384.05,,,,ippo,retraso
local,2042,12,2054,9.45e-04,10.5,2582,13.32,31.9,5.8,29,-4471.3,-1.977,-5.268,1923,1348,569,1.064,2505,272.8,94.1,0,0.0,0,0,6,11,163.88,31.9,33.56,1.09,0.707,0,0.0,-0.0007,0.0329,0.4011,0.0033,0.0459,,,-50649.62,-23402.33,-50649.62,,,,ippo,retraso
local,2042,13,2055,9.40e-04,10.3,2582,11.01,28.9,5.9,19,-4594.6,-2.023,-5.337,1928,1347,576,0.994,2510,268.4,92.3,0,0.0,0,0,7,10,164.8,32.62,34.83,1.12,0.695,0,0.0,-0.006,0.031,0.4088,0.0036,0.0535,,,-51452.54,-23881.34,-51452.54,,,,ippo,retraso
