variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
spill,42,1,43,1.00e-03,10.3,2582,20.16,42.34,8.34,34,-6637.5,-2.923,-7.079,1889,1242,641,1.46,2505,293.0,101.2,0,0.0,0,0,9,13,181.04,49.25,53.4,1.842,0.341,0,0.0,-0.0161,0.1266,0.6793,0.0091,0.143,,,-66864.03,-34117.14,-66864.03,,,,ippo,spill
spill,42,2,44,9.95e-04,10.2,2582,18.33,39.64,7.85,35,-6183.1,-2.733,-6.726,1892,1264,623,1.341,2501,288.0,99.4,0,0.0,0,0,11,15,176.79,44.71,47.78,1.591,0.47,0,0.0,-0.0222,0.0919,0.6475,0.0095,0.1652,,,-63627.58,-31974.76,-63627.58,,,,ippo,spill
spill,42,3,45,9.90e-04,10.0,2582,13.78,33.32,6.74,29,-5274.8,-2.323,-6.065,1885,1231,647,1.166,2501,277.5,95.5,0,0.0,0,0,8,12,172.57,40.73,43.76,1.479,0.498,0,0.0,-0.0134,0.0563,0.6037,0.0105,0.1267,,,-57163.23,-27300.93,-57163.23,,,,ippo,spill
spill,42,4,46,9.85e-04,10.1,2582,16.6,36.34,6.02,25,-4634.0,-2.043,-5.516,1892,1254,632,1.22,2508,280.2,96.8,0,0.0,0,0,8,12,167.41,35.68,37.97,1.308,0.601,0,0.0,-0.0103,0.044,0.565,0.0088,0.1128,,,-52183.37,-24286.72,-52183.37,,,,ippo,spill
spill,42,5,47,9.80e-04,9.9,2582,11.06,29.24,5.84,24,-4486.7,-1.989,-5.47,1880,1245,630,1.01,2510,269.1,92.5,0,0.0,0,0,9,11,167.21,34.87,37.65,1.219,0.652,0,0.0,-0.0057,0.0444,0.5221,0.0063,0.0779,,,-51420.1,-23422.93,-51420.1,,,,ippo,spill
spill,42,6,48,9.75e-04,10.0,2582,11.03,28.68,5.77,22,-4495.2,-1.982,-5.296,1897,1268,624,0.975,2503,267.1,91.9,0,0.0,0,0,6,11,165.44,32.84,34.62,1.104,0.737,0,0.0,-0.0083,0.0425,0.4761,0.0063,0.0856,,,-50230.26,-23287.57,-50230.26,,,,ippo,spill
spill,42,7,49,9.70e-04,10.4,2582,16.39,35.55,5.23,23,-4026.1,-1.775,-4.869,1894,1263,627,1.137,2510,275.7,95.5,0,0.0,0,0,6,11,161.66,29.83,30.97,0.947,0.818,0,0.0,-0.0057,0.0367,0.413,0.005,0.0605,,,-46113.06,-21075.26,-46113.06,,,,ippo,spill
spill,42,8,50,9.65e-04,10.0,2582,16.29,35.2,5.14,21,-3996.2,-1.753,-4.836,1902,1263,634,1.113,2502,275.7,95.5,0,0.0,0,0,6,10,161.42,29.7,31.23,0.937,0.805,0,0.0,-0.0036,0.0322,0.3912,0.0033,0.0413,,,-45993.62,-20821.38,-45993.62,,,,ippo,spill
spill,42,9,51,9.60e-04,10.0,2582,12.74,30.26,5.37,21,-4153.7,-1.834,-4.95,1909,1307,597,0.95,2508,267.8,92.5,0,0.0,0,0,7,11,161.62,29.39,31.21,0.876,0.832,0,0.0,-0.0023,0.0336,0.3472,0.0032,0.0499,,,-47243.44,-21704.3,-47243.44,,,,ippo,spill
spill,42,10,52,9.55e-04,9.8,2582,14.17,31.91,5.34,22,-4126.5,-1.832,-4.942,1905,1311,588,0.972,2504,269.5,93.2,0,0.0,0,0,6,11,161.01,28.62,30.0,0.811,0.851,0,0.0,-0.0016,0.0306,0.3256,0.0033,0.0473,30.96,13.88,-47071.4,-21498.85,-47071.4,30.96,30.74,30.85,ippo,spill
spill,42,11,53,9.50e-04,10.0,2582,14.94,32.91,5.07,20,-3851.4,-1.707,-4.73,1893,1279,608,0.998,2501,270.8,93.8,0,0.0,0,0,5,10,160.32,28.46,29.8,0.867,0.841,0,0.0,-0.0029,0.029,0.3224,0.0042,0.0588,,,-44772.62,-20324.07,-44772.62,,,,ippo,spill
spill,42,12,54,9.45e-04,9.9,2582,12.9,29.99,5.05,20,-3902.4,-1.725,-4.677,1906,1300,601,0.913,2506,265.9,91.9,0,0.0,0,0,5,10,159.43,27.2,28.56,0.742,0.909,0,0.0,-0.0011,0.0245,0.2794,0.0025,0.0337,,,-44571.46,-20362.8,-44571.46,,,,ippo,spill
