variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,1,4043,1.00e-03,10.1,2582,18.72,40.07,9.08,43,-7293.0,-3.211,-7.443,1899,1270,623,1.376,2499,290.1,100.0,0,0.0,0,0,10,15,183.51,51.62,56.37,1.882,0.342,0,0.0,-0.0163,0.1698,0.6775,0.0106,0.173,,,-70674.55,-37254.0,-70674.55,,,,ippo,retraso
vecinos,4042,2,4044,9.95e-04,10.3,2582,13.72,33.39,7.44,33,-5889.2,-2.583,-6.45,1910,1283,622,1.178,2497,277.7,95.5,0,0.0,0,0,9,13,175.69,43.18,46.71,1.595,0.465,0,0.0,-0.0165,0.0705,0.6366,0.0099,0.1507,,,-61599.64,-30487.91,-61599.64,,,,ippo,retraso
vecinos,4042,3,4045,9.90e-04,10.4,2582,17.45,37.98,6.74,29,-5290.5,-2.342,-5.954,1901,1294,601,1.253,2507,283.0,97.8,0,0.0,0,0,10,15,169.98,37.53,40.22,1.311,0.605,0,0.0,-0.0134,0.0694,0.604,0.0087,0.1096,,,-56589.13,-27400.45,-56589.13,,,,ippo,retraso
vecinos,4042,4,4046,9.85e-04,10.4,2582,15.07,34.7,6.2,27,-4821.6,-2.123,-5.669,1904,1284,615,1.154,2498,278.4,96.0,0,0.0,0,0,7,11,168.62,36.42,38.86,1.274,0.621,0,0.0,-0.0106,0.0469,0.5593,0.007,0.1022,,,-53965.88,-25129.62,-53965.88,,,,ippo,retraso
vecinos,4042,5,4047,9.80e-04,10.7,2582,16.94,36.76,5.93,28,-4612.9,-2.034,-5.448,1898,1270,624,1.204,2504,280.2,96.9,0,0.0,0,0,7,11,166.22,34.12,36.53,1.193,0.66,0,0.0,-0.0036,0.0432,0.5232,0.0057,0.0759,,,-51705.04,-24007.31,-51705.04,,,,ippo,retraso
vecinos,4042,6,4048,9.75e-04,10.2,2582,11.57,29.49,5.78,21,-4471.7,-1.982,-5.319,1896,1286,604,0.999,2506,269.1,92.6,0,0.0,0,0,6,10,164.85,32.94,35.14,1.11,0.704,0,0.0,-0.0056,0.046,0.4734,0.0063,0.0887,,,-50426.08,-23232.74,-50426.08,,,,ippo,retraso
vecinos,4042,7,4049,9.70e-04,10.1,2582,12.0,29.97,5.33,20,-4143.3,-1.834,-5.094,1887,1256,627,0.986,2511,269.1,92.7,0,0.0,0,0,6,10,163.33,31.3,33.17,1.013,0.748,0,0.0,-0.005,0.0373,0.4244,0.0047,0.0697,,,-48065.54,-21443.25,-48065.54,,,,ippo,retraso
vecinos,4042,8,4050,9.65e-04,10.3,2582,12.85,30.27,5.27,20,-4054.0,-1.792,-4.824,1908,1309,594,0.957,2507,267.0,92.3,0,0.0,0,0,5,10,160.36,28.34,29.9,0.822,0.861,0,0.0,-0.003,0.036,0.3434,0.0041,0.0484,,,-46016.38,-21287.03,-46016.38,,,,ippo,retraso
vecinos,4042,9,4051,9.60e-04,10.4,2582,15.23,33.69,5.23,22,-4063.5,-1.789,-4.823,1913,1305,602,1.073,2507,272.6,94.4,0,0.0,0,0,6,11,160.36,28.51,30.11,0.876,0.82,0,0.0,-0.0017,0.0344,0.3226,0.0035,0.0451,,,-46136.01,-21193.57,-46136.01,,,,ippo,retraso
vecinos,4042,10,4052,9.55e-04,10.3,2582,13.98,31.81,5.06,19,-3903.1,-1.721,-4.705,1905,1290,609,0.995,2508,269.0,93.1,0,0.0,0,0,8,12,159.85,28.27,29.95,0.818,0.853,0,0.0,-0.0019,0.03,0.2996,0.0036,0.045,29.65,12.98,-44816.49,-20423.63,-44816.49,29.65,30.95,30.3,ippo,retraso
