variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,10.2,2582,18.27,39.65,8.67,39,-6913.2,-3.04,-7.264,1894,1249,640,1.387,2498,289.5,99.8,0,0.0,0,0,12,14,182.47,51.03,55.43,1.892,0.323,0,0.0,-0.0162,0.115,0.678,0.0101,0.1485,,,-68793.46,-35448.96,-68793.46,,,,mappo,retraso
vecinos,2042,2,2044,9.95e-04,10.1,2582,14.43,34.17,7.96,36,-6333.2,-2.789,-6.736,1899,1272,622,1.214,2501,279.7,96.2,0,0.0,0,0,10,13,177.03,45.31,48.9,1.665,0.437,0,0.0,-0.0182,0.1036,0.6421,0.0098,0.1459,,,-63953.87,-32635.78,-63953.87,,,,mappo,retraso
vecinos,2042,3,2045,9.90e-04,10.0,2582,14.13,33.53,7.24,33,-5767.9,-2.52,-6.225,1926,1310,608,1.157,2500,277.8,95.6,0,0.0,0,0,7,12,172.63,40.47,43.62,1.463,0.526,0,0.0,-0.0193,0.0581,0.5897,0.0102,0.1225,,,-59950.38,-29848.18,-59950.38,,,,mappo,retraso
vecinos,2042,4,2046,9.85e-04,9.8,2582,13.41,32.07,6.84,23,-5391.8,-2.38,-5.887,1920,1335,579,1.068,2504,273.9,94.3,0,0.0,0,0,6,13,168.86,36.92,39.88,1.278,0.62,0,0.0,-0.0103,0.0377,0.5354,0.0116,0.1133,,,-56516.68,-27897.94,-56516.68,,,,mappo,retraso
vecinos,2042,5,2047,9.80e-04,10.1,2582,14.09,32.51,6.01,23,-4721.2,-2.087,-5.408,1897,1277,614,1.094,2505,274.1,94.6,0,0.0,0,0,6,11,164.44,32.74,34.71,1.128,0.694,0,0.0,-0.0091,0.0332,0.4976,0.0075,0.1013,,,-51295.55,-24374.81,-51295.55,,,,mappo,retraso
vecinos,2042,6,2048,9.75e-04,9.8,2582,10.96,28.52,5.76,23,-4460.6,-1.98,-5.269,1900,1300,595,0.948,2505,266.7,91.8,0,0.0,0,0,6,11,163.18,31.07,33.4,1.015,0.741,0,0.0,-0.0034,0.0291,0.4369,0.0071,0.0776,,,-50056.83,-23252.94,-50056.83,,,,mappo,retraso
vecinos,2042,7,2049,9.70e-04,10.1,2582,15.06,33.03,5.63,19,-4420.4,-1.941,-5.05,1934,1354,576,1.042,2505,272.4,94.2,0,0.0,0,0,7,11,161.57,29.3,31.15,0.931,0.791,0,0.0,-0.0035,0.0237,0.3854,0.0076,0.0871,,,-48832.37,-22976.13,-48832.37,,,,mappo,retraso
vecinos,2042,8,2050,9.65e-04,9.9,2582,13.73,31.26,5.51,18,-4268.0,-1.892,-4.93,1919,1348,565,0.983,2506,268.8,93.0,0,0.0,0,0,7,10,160.33,28.14,29.56,0.853,0.838,0,0.0,-0.0045,0.025,0.326,0.0068,0.0681,,,-47307.34,-22286.83,-47307.34,,,,mappo,retraso
vecinos,2042,9,2051,9.60e-04,10.4,2582,14.08,31.54,5.09,20,-3947.7,-1.738,-4.697,1924,1336,582,0.942,2508,268.9,93.0,0,0.0,0,0,5,10,158.64,26.79,27.89,0.749,0.872,0,0.0,-0.0101,0.0206,0.2724,0.0032,0.0348,,,-45183.67,-20618.75,-45183.67,,,,mappo,retraso
vecinos,2042,10,2052,9.55e-04,9.9,2582,10.81,27.54,5.01,18,-3830.5,-1.702,-4.669,1904,1316,583,0.881,2506,262.4,90.6,0,0.0,0,0,6,9,159.0,27.13,28.39,0.779,0.868,0,0.0,-0.0016,0.0224,0.2624,0.0059,0.0598,30.25,13.47,-44452.28,-20099.68,-44452.28,30.25,28.69,29.47,mappo,retraso
