modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,4043,1.0,2582,19.59,41.24,9.58,45,colas,-3.371,1898,622,1.409,2497,292.5,100.9,120,2.379,,,,,10.4,,-73303.3,-39336.7,-73303.3,qlearning,4042,-7656.0,0,0.0,0,10
train,2,4044,0.972,2582,16.12,37.39,8.95,34,colas,-3.124,1899,628,1.323,2505,285.9,98.3,141,2.003,,,,,10.2,,-70834.8,-36633.4,-70834.8,qlearning,4042,-7112.4,0,0.0,0,10
train,3,4045,0.944,2582,20.06,42.5,8.5,33,colas,-2.971,1899,647,1.434,2501,293.0,101.1,154,2.7137,,,,,10.3,,-68225.9,-35025.1,-68225.9,qlearning,4042,-6790.7,0,0.0,0,10
train,4,4046,0.917,2582,16.95,37.8,7.99,41,colas,-2.789,1894,652,1.307,2499,286.0,98.5,164,1.7802,,,,,10.2,,-65280.5,-32788.5,-65280.5,qlearning,4042,-6374.6,0,0.0,0,9
train,5,4047,0.891,2582,20.08,42.59,8.42,35,colas,-2.934,1882,658,1.48,2503,294.2,101.5,174,2.5657,,,,,10.2,,-68138.5,-34392.2,-68138.5,qlearning,4042,-6681.1,0,0.0,0,10
train,6,4048,0.866,2582,16.14,36.65,7.69,31,colas,-2.669,1884,664,1.323,2504,283.9,97.8,178,2.0638,,,,,10.1,,-62812.9,-31382.6,-62812.9,qlearning,4042,-6092.3,0,0.0,0,8
train,7,4049,0.841,2582,14.62,35.04,7.35,28,colas,-2.545,1863,683,1.254,2497,281.5,96.8,180,1.7228,,,,,10.1,,-61426.4,-29731.3,-61426.4,qlearning,4042,-5779.1,0,0.0,0,9
train,8,4050,0.818,2582,17.95,39.29,7.26,39,colas,-2.509,1870,682,1.361,2504,288.1,99.4,181,1.7655,,,,,10.7,,-61361.7,-29530.8,-61361.7,qlearning,4042,-5720.0,0,0.0,0,9
train,9,4051,0.794,2582,18.8,40.47,7.12,26,colas,-2.455,1874,676,1.407,2506,289.3,99.9,183,2.1214,,,,,10.2,,-59789.7,-28859.3,-59789.7,qlearning,4042,-5597.4,0,0.0,0,8
train,10,4052,0.772,2582,16.64,37.71,6.93,27,colas,-2.379,1859,701,1.372,2505,286.2,98.6,183,1.7434,33.94,14.34,33.94,32.73,10.3,33.335,-59754.5,-27983.4,-59754.5,qlearning,4042,-5423.3,0,0.0,0,9
train,11,4053,0.75,2582,17.85,38.88,7.32,38,colas,-2.512,1854,682,1.395,2505,287.0,99.0,184,2.0073,,,,,10.1,,-61192.6,-29370.0,-61192.6,qlearning,4042,-5682.5,0,0.0,0,9
train,12,4054,0.729,2582,14.18,34.37,7.4,32,colas,-2.558,1862,686,1.263,2499,281.2,96.6,186,2.4076,,,,,10.2,,-62021.4,-29961.8,-62021.4,qlearning,4042,-5817.4,0,0.0,0,8
train,13,4055,0.708,2582,16.36,37.05,7.67,42,colas,-2.659,1877,679,1.321,2505,285.2,98.2,189,2.4596,,,,,10.2,,-63484.4,-31307.5,-63484.4,qlearning,4042,-6077.5,0,0.0,0,8
train,14,4056,0.688,2582,17.02,38.22,7.44,42,colas,-2.568,1848,686,1.364,2505,286.3,98.7,193,2.973,,,,,10.2,,-61177.8,-29970.3,-61177.8,qlearning,4042,-5800.5,0,0.0,0,10
train,15,4057,0.668,2582,15.72,36.32,6.6,26,colas,-2.251,1855,707,1.322,2504,282.5,97.3,193,2.0495,,,,,10.2,,-56925.3,-26640.5,-56925.3,qlearning,4042,-5131.2,0,0.0,0,7
