modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,2582,21.03,43.83,8.85,46,retraso,-3.101,1887,630,1.498,2497,295.7,102.2,122,5.7161,,,,,12.2,,-69634.0,-36132.9,-69634.0,qlearning,42,-7023.5,0,0.0,0,12
train,2,44,0.972,2582,20.4,42.59,8.79,35,retraso,-3.087,1907,644,1.483,2501,294.5,101.6,146,4.2798,,,,,12.7,,-70114.9,-36278.5,-70114.9,qlearning,42,-7074.3,0,0.0,0,9
train,3,45,0.944,2582,17.4,38.73,9.61,35,retraso,-3.382,1899,622,1.376,2505,288.9,99.4,168,4.3233,,,,,11.9,,-74448.9,-39509.9,-74448.9,qlearning,42,-7680.3,0,0.0,0,11
train,4,46,0.917,2582,23.07,46.31,9.51,44,retraso,-3.388,1893,616,1.552,2501,299.4,103.6,177,5.3365,,,,,12.6,,-73297.7,-39103.7,-73297.7,qlearning,42,-7663.6,0,0.0,0,11
train,5,47,0.891,2582,17.52,39.2,9.52,35,retraso,-3.36,1903,611,1.373,2503,289.0,99.4,182,4.3096,,,,,14.4,,-73825.0,-39098.0,-73825.0,qlearning,42,-7630.2,0,0.0,0,11
train,6,48,0.866,2582,14.04,34.56,8.31,44,retraso,-2.897,1921,636,1.278,2502,281.4,96.6,188,5.4453,,,,,17.6,,-68122.7,-34336.7,-68122.7,qlearning,42,-6666.1,0,0.0,0,10
train,7,49,0.841,2582,23.34,47.57,10.77,46,retraso,-3.845,1912,616,1.64,2486,302.2,104.5,194,8.2694,,,,,16.5,,-81837.6,-44825.4,-81837.6,qlearning,42,-8767.0,0,0.0,0,14
train,8,50,0.818,2582,19.45,41.16,7.94,38,retraso,-2.757,1888,639,1.414,2500,291.0,100.5,197,5.6674,,,,,12.1,,-64144.6,-32264.8,-64144.6,qlearning,42,-6261.8,0,0.0,0,8
train,9,51,0.794,2582,18.44,39.83,8.46,38,retraso,-2.99,1908,608,1.309,2503,288.2,99.4,203,5.2464,,,,,13.6,,-67445.9,-34847.6,-67445.9,qlearning,42,-6789.7,0,0.0,0,11
train,10,52,0.772,2582,19.01,40.6,8.03,33,retraso,-2.809,1897,628,1.371,2498,289.6,99.9,203,5.2806,76.29,47.84,76.29,62.32,12.2,69.305,-65172.4,-32818.3,-65172.4,qlearning,42,-6386.7,0,0.0,0,11
train,11,53,0.75,2582,19.74,41.62,9.02,49,retraso,-3.181,1917,605,1.442,2498,291.6,100.7,210,7.8217,,,,,12.4,,-70193.3,-37210.6,-70193.3,qlearning,42,-7252.2,0,0.0,0,13
train,12,54,0.729,2582,19.07,40.69,8.45,47,retraso,-2.956,1918,593,1.377,2503,289.3,99.9,212,5.5812,,,,,12.6,,-67030.1,-34632.8,-67030.1,qlearning,42,-6721.6,0,0.0,0,12
train,13,55,0.708,2582,16.94,37.95,7.82,37,retraso,-2.738,1916,590,1.301,2506,285.1,98.3,214,5.2727,,,,,12.0,,-63116.5,-32033.9,-63116.5,qlearning,42,-6208.7,0,0.0,0,10
train,14,56,0.688,2582,17.55,38.03,7.52,45,retraso,-2.625,1914,607,1.308,2504,285.0,98.3,216,5.6081,,,,,11.6,,-61729.6,-30889.9,-61729.6,qlearning,42,-5977.0,0,0.0,0,8
train,15,57,0.668,2582,18.81,39.94,8.02,37,retraso,-2.833,1912,600,1.323,2499,287.8,99.4,219,5.2673,,,,,11.5,,-64010.6,-33170.0,-64010.6,qlearning,42,-6432.9,0,0.0,0,10
train,16,58,0.649,2582,19.92,41.72,7.71,31,retraso,-2.727,1931,581,1.321,2500,289.8,100.2,221,5.9629,,,,,11.9,,-62837.4,-31997.9,-62837.4,qlearning,42,-6218.5,0,0.0,0,9
train,17,59,0.631,2582,17.13,37.58,7.47,32,retraso,-2.614,1916,588,1.261,2498,284.0,98.0,221,5.258,,,,,12.4,,-61138.1,-30557.6,-61138.1,qlearning,42,-5928.2,0,0.0,0,9
train,18,60,0.613,2582,16.72,36.93,7.45,26,retraso,-2.625,1941,567,1.237,2504,282.2,97.4,222,5.9442,,,,,11.7,,-60804.5,-30922.0,-60804.5,qlearning,42,-5986.1,0,0.0,0,8
train,19,61,0.596,2582,17.4,38.37,7.33,38,retraso,-2.569,1925,576,1.302,2501,285.2,98.4,224,5.8451,,,,,11.7,,-60769.1,-30022.8,-60769.1,qlearning,42,-5834.9,0,0.0,0,9
train,20,62,0.579,2582,18.75,39.72,7.94,30,retraso,-2.798,1929,557,1.321,2505,286.9,99.1,228,7.3517,47.5,28.19,47.5,46.65,11.7,47.075,-63252.3,-32652.0,-63252.3,qlearning,42,-6328.6,0,0.0,0,7
train,21,63,0.562,2582,16.4,36.04,7.49,27,retraso,-2.641,1959,573,1.182,2508,280.4,96.8,228,5.8904,,,,,11.0,,-60575.8,-31339.0,-60575.8,qlearning,42,-6075.8,0,0.0,0,7
train,22,64,0.546,2582,15.95,35.42,7.3,31,retraso,-2.557,1911,584,1.203,2511,279.8,96.6,228,6.2186,,,,,10.4,,-59144.7,-29847.0,-59144.7,qlearning,42,-5776.5,0,0.0,0,8
train,23,65,0.531,2582,13.47,32.56,7.16,32,retraso,-2.499,1908,593,1.128,2508,275.8,94.9,228,5.1647,,,,,10.0,,-59273.4,-29356.5,-59273.4,qlearning,42,-5659.1,0,0.0,0,8
train,24,66,0.516,2582,15.98,35.56,6.92,24,retraso,-2.436,1929,556,1.189,2502,279.2,96.4,228,4.98,,,,,11.1,,-57118.8,-28523.1,-57118.8,qlearning,42,-5510.1,0,0.0,0,7
train,25,67,0.501,2582,16.52,36.51,6.79,25,retraso,-2.369,1915,587,1.204,2506,281.0,97.0,229,6.0561,,,,,11.2,,-56607.0,-27787.3,-56607.0,qlearning,42,-5373.3,0,0.0,0,9
train,26,68,0.487,2582,18.7,38.84,7.44,29,retraso,-2.617,1907,574,1.273,2509,284.5,98.4,229,7.0325,,,,,10.7,,-59488.0,-30370.7,-59488.0,qlearning,42,-5888.8,0,0.0,0,7
train,27,69,0.473,2582,18.85,39.74,8.06,35,retraso,-2.856,1937,549,1.311,2495,286.1,99.0,230,6.1613,,,,,11.8,,-63200.6,-33402.2,-63200.6,qlearning,42,-6467.7,0,0.0,0,7
train,28,70,0.46,2582,19.52,40.18,7.69,37,retraso,-2.709,1922,563,1.31,2495,286.7,99.2,230,5.8896,,,,,11.9,,-61404.6,-31712.3,-61404.6,qlearning,42,-6118.7,0,0.0,0,10
train,29,71,0.447,2582,15.5,34.85,7.56,28,retraso,-2.678,1960,543,1.137,2503,278.7,96.1,231,5.9122,,,,,12.1,,-60660.3,-31636.8,-60660.3,qlearning,42,-6121.7,0,0.0,0,8
train,30,72,0.434,2582,22.34,44.34,8.17,32,retraso,-2.916,1938,535,1.384,2499,293.3,101.7,231,6.3846,39.65,21.71,39.65,42.62,12.4,41.135,-63874.8,-33889.7,-63874.8,qlearning,42,-6587.7,0,0.0,0,9
train,31,73,0.422,2582,17.71,38.45,7.17,25,retraso,-2.503,1922,569,1.301,2503,284.3,98.2,231,6.0031,,,,,12.1,,-59088.6,-29399.6,-59088.6,qlearning,42,-5668.4,0,0.0,0,7
train,32,74,0.41,2582,19.62,40.75,7.47,44,retraso,-2.63,1916,573,1.319,2507,287.6,99.6,232,6.6945,,,,,12.7,,-60342.2,-30795.5,-60342.2,qlearning,42,-5947.9,0,0.0,0,8
train,33,75,0.398,2582,17.92,38.36,6.57,28,retraso,-2.292,1898,611,1.241,2506,284.1,98.2,232,5.1794,,,,,11.8,,-55800.7,-26956.0,-55800.7,qlearning,42,-5191.9,0,0.0,0,7
train,34,76,0.387,2582,15.94,35.51,7.44,26,retraso,-2.62,1927,577,1.201,2505,280.3,96.7,233,5.9353,,,,,12.3,,-60356.0,-30702.6,-60356.0,qlearning,42,-5951.0,0,0.0,0,8
train,35,77,0.376,2582,16.1,36.2,7.42,32,retraso,-2.61,1924,586,1.255,2506,281.5,97.1,233,5.4765,,,,,12.2,,-60822.4,-30662.5,-60822.4,qlearning,42,-5934.3,0,0.0,0,8
train,36,78,0.365,2582,19.84,41.4,6.76,28,retraso,-2.348,1906,607,1.373,2508,289.2,100.1,233,5.814,,,,,12.8,,-57082.6,-27613.8,-57082.6,qlearning,42,-5332.0,0,0.0,0,8
train,37,79,0.355,2582,18.03,38.64,7.15,26,retraso,-2.512,1922,573,1.286,2504,284.5,98.4,234,6.0929,,,,,11.7,,-58483.5,-29574.6,-58483.5,qlearning,42,-5689.2,0,0.0,0,6
train,38,80,0.345,2582,12.88,31.56,6.79,28,retraso,-2.37,1904,596,1.096,2502,273.5,94.1,234,6.2221,,,,,11.3,,-56494.3,-27732.2,-56494.3,qlearning,42,-5360.7,0,0.0,0,8
train,39,81,0.335,2582,16.54,35.69,6.95,26,retraso,-2.448,1940,568,1.154,2505,278.8,96.4,234,4.575,,,,,12.4,,-57089.2,-29061.6,-57089.2,qlearning,42,-5580.3,0,0.0,0,6
train,40,82,0.325,2582,13.44,31.88,6.31,30,retraso,-2.196,1896,613,1.082,2508,273.1,94.1,234,5.366,38.32,19.06,38.32,38.89,17.9,38.605,-54069.4,-25747.5,-54069.4,qlearning,42,-4974.7,0,0.0,0,7
train,41,83,0.316,2582,17.1,37.17,7.03,25,retraso,-2.468,1917,582,1.25,2502,282.0,97.4,234,6.2133,,,,,18.8,,-57770.0,-28955.3,-57770.0,qlearning,42,-5590.9,0,0.0,0,9
train,42,84,0.307,2582,14.22,33.15,6.45,24,retraso,-2.242,1898,612,1.134,2499,275.9,95.1,234,7.2178,,,,,15.6,,-54957.9,-26295.5,-54957.9,qlearning,42,-5079.0,0,0.0,0,7
train,43,85,0.299,2582,14.03,32.56,6.65,22,retraso,-2.33,1926,564,1.084,2502,274.3,94.6,235,6.9362,,,,,18.0,,-55289.4,-27338.9,-55289.4,qlearning,42,-5278.3,0,0.0,0,7
train,44,86,0.29,2582,14.75,33.85,6.76,24,retraso,-2.363,1905,589,1.168,2506,276.8,95.4,235,6.1339,,,,,20.0,,-56540.6,-27606.3,-56540.6,qlearning,42,-5337.0,0,0.0,0,7
train,45,87,0.282,2582,16.46,36.86,6.66,25,retraso,-2.315,1901,615,1.275,2505,282.3,97.4,235,5.196,,,,,16.5,,-56425.0,-27267.3,-56425.0,qlearning,42,-5258.0,0,0.0,0,8
train,46,88,0.274,2582,18.01,38.31,6.71,27,retraso,-2.362,1937,594,1.263,2504,284.0,98.2,235,4.1553,,,,,17.2,,-56700.7,-27934.4,-56700.7,qlearning,42,-5413.6,0,0.0,0,7
train,47,89,0.266,2582,16.4,36.47,6.41,24,retraso,-2.216,1893,621,1.239,2506,281.2,97.1,235,4.1557,,,,,17.6,,-55114.2,-26048.5,-55114.2,qlearning,42,-5020.4,0,0.0,0,6
train,48,90,0.259,2582,13.08,31.74,6.8,27,retraso,-2.367,1897,622,1.125,2497,273.9,94.3,235,6.6572,,,,,11.9,,-57064.6,-27907.7,-57064.6,qlearning,42,-5375.0,0,0.0,0,7
train,49,91,0.251,2582,16.91,36.07,7.19,27,retraso,-2.558,1976,534,1.154,2503,278.9,96.5,235,6.4915,,,,,15.1,,-58146.2,-30354.3,-58146.2,qlearning,42,-5871.2,0,0.0,0,8
train,50,92,0.244,2582,16.67,36.77,6.34,29,retraso,-2.189,1896,620,1.243,2507,281.9,97.3,235,5.6414,32.4,13.27,32.4,35.48,12.7,33.94,-54382.2,-25743.6,-54382.2,qlearning,42,-4964.8,0,0.0,0,7
