modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,2582,21.03,43.83,8.85,46,retraso,-3.101,1887,630,1.498,2497,295.7,102.2,122,5.7161,,,,,10.2,,-69634.0,-36132.9,-69634.0,sarsa,42,-7023.5,0,0.0,0,12
train,2,44,0.972,2582,20.4,42.59,8.79,35,retraso,-3.087,1907,644,1.483,2501,294.5,101.6,146,4.6942,,,,,10.3,,-70114.9,-36278.5,-70114.9,sarsa,42,-7074.3,0,0.0,0,9
train,3,45,0.944,2582,18.64,40.53,10.2,50,retraso,-3.638,1893,610,1.376,2501,291.1,100.3,169,5.9897,,,,,9.9,,-77174.2,-41932.9,-77174.2,sarsa,42,-8217.3,0,0.0,0,15
train,4,46,0.917,2582,20.95,43.21,8.66,35,retraso,-3.043,1918,628,1.433,2494,293.8,101.6,179,5.3809,,,,,10.2,,-68069.8,-35920.1,-68069.8,sarsa,42,-6983.6,0,0.0,0,12
train,5,47,0.891,2582,18.39,39.65,8.64,36,retraso,-3.027,1916,632,1.368,2499,288.6,99.5,187,5.5506,,,,,10.9,,-69067.6,-35827.7,-69067.6,sarsa,42,-6947.1,0,0.0,0,9
train,6,48,0.866,2582,17.03,38.16,9.55,43,retraso,-3.39,1912,621,1.324,2501,287.6,98.9,192,7.3024,,,,,10.2,,-74399.7,-39685.2,-74399.7,sarsa,42,-7739.4,0,0.0,0,12
train,7,49,0.841,2582,22.2,45.3,9.61,45,retraso,-3.404,1913,605,1.566,2505,297.8,103.0,198,6.831,,,,,10.3,,-73909.3,-39681.1,-73909.3,sarsa,42,-7741.3,0,0.0,0,14
train,8,50,0.818,2582,23.8,47.64,9.54,45,retraso,-3.359,1882,630,1.625,2494,302.0,104.5,202,6.4954,,,,,10.5,,-73583.9,-38892.7,-73583.9,sarsa,42,-7589.0,0,0.0,0,13
train,9,51,0.794,2582,16.21,36.74,8.24,36,retraso,-2.891,1897,606,1.278,2502,283.8,97.7,203,5.9234,,,,,9.8,,-65952.9,-33616.5,-65952.9,sarsa,42,-6530.4,0,0.0,0,9
train,10,52,0.772,2582,18.12,39.66,8.12,35,retraso,-2.84,1899,616,1.364,2500,289.0,99.6,205,5.6029,88.56,57.41,88.56,86.82,10.0,87.69,-66616.3,-33085.2,-66616.3,sarsa,42,-6441.9,0,0.0,0,10
