variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,1,4043,5.00e-04,9.1,2152,13.19,32.59,7.2,34,-5858.2,-2.59,-5.866,1896,1272,618,1.184,2090,278.1,95.5,0,0.0,0,0,8,13,181.4,49.69,52.92,1.808,0.343,0,0.0,1.0,0.00297,-0.0731,897,1896,,,-55610.92,-29538.05,-55610.92,,,,dqn,retraso
vecinos,4042,2,4044,5.00e-04,11.4,2152,12.2,30.93,6.76,33,-5530.1,-2.429,-5.572,1902,1268,629,1.109,2087,274.3,94.2,0,0.0,0,0,8,14,179.56,46.96,50.57,1.652,0.459,0,0.0,0.9905,0.00228,-0.2074,2799,3798,,,-52987.39,-27828.66,-52987.39,,,,dqn,retraso
vecinos,4042,3,4045,5.00e-04,11.3,2152,13.48,32.47,7.33,30,-6009.4,-2.643,-5.867,1902,1270,626,1.172,2081,276.9,95.2,0,0.0,0,0,10,12,180.79,48.42,52.4,1.768,0.357,0,0.0,0.981,0.00218,-0.3334,4701,5700,,,-55791.17,-30136.71,-55791.17,,,,dqn,retraso
vecinos,4042,4,4046,5.00e-04,11.3,2152,12.89,31.8,6.98,30,-5690.5,-2.506,-5.732,1900,1269,624,1.17,2087,276.4,95.0,0,0.0,0,0,11,12,180.05,47.73,51.13,1.758,0.396,0,0.0,0.9715,0.00235,-0.4729,6601,7600,,,-54451.11,-28600.63,-54451.11,,,,dqn,retraso
vecinos,4042,5,4047,5.00e-04,11.2,2152,12.29,30.97,6.6,32,-5336.9,-2.359,-5.522,1877,1224,648,1.139,2086,274.5,94.3,0,0.0,0,0,9,12,177.74,45.56,48.82,1.68,0.437,0,0.0,0.962,0.00258,-0.5826,8478,9477,,,-51825.14,-26847.16,-51825.14,,,,dqn,retraso
vecinos,4042,6,4048,5.00e-04,11.2,2152,11.68,30.48,6.55,24,-5262.6,-2.33,-5.486,1884,1245,633,1.138,2092,273.9,94.0,0,0.0,0,0,8,11,177.56,45.41,49.13,1.691,0.419,0,0.0,0.9525,0.00295,-0.6655,10362,11361,,,-51682.54,-26517.21,-51682.54,,,,dqn,retraso
vecinos,4042,7,4049,5.00e-04,11.3,2152,11.78,30.32,6.13,30,-4982.3,-2.185,-5.221,1897,1248,645,1.107,2095,273.1,93.8,0,0.0,0,0,7,12,175.79,43.73,47.0,1.592,0.449,0,0.0,0.943,0.00305,-0.7382,12259,13258,,,-49524.63,-25042.89,-49524.63,,,,dqn,retraso
vecinos,4042,8,4050,5.00e-04,11.3,2152,11.57,29.97,6.35,33,-5142.0,-2.27,-5.305,1894,1266,624,1.101,2093,272.4,93.6,0,0.0,0,0,7,12,175.99,44.19,47.12,1.642,0.431,0,0.0,0.9335,0.00316,-0.7921,14153,15152,,,-50234.0,-25871.73,-50234.0,,,,dqn,retraso
vecinos,4042,9,4051,5.00e-04,11.2,2152,11.95,30.66,6.32,27,-5128.1,-2.267,-5.364,1882,1238,639,1.154,2086,274.6,94.3,0,0.0,0,0,7,13,175.6,44.05,48.19,1.657,0.432,0,0.0,0.924,0.00294,-0.8567,16035,17034,,,-50473.3,-25657.72,-50473.3,,,,dqn,retraso
vecinos,4042,10,4052,5.00e-04,11.8,2152,12.39,30.78,6.83,30,-5580.6,-2.451,-5.574,1894,1241,647,1.171,2089,274.2,94.3,0,0.0,0,0,9,13,177.37,45.69,49.08,1.742,0.384,0,0.0,0.9145,0.00293,-0.934,17929,18928,22.15,7.38,-52781.78,-28009.47,-52781.78,22.15,21.76,21.955,dqn,retraso
vecinos,4042,11,4053,5.00e-04,11.2,2152,11.16,29.16,6.07,32,-4903.6,-2.156,-5.161,1886,1228,653,1.092,2088,271.0,93.1,0,0.0,0,0,9,11,174.5,42.33,44.32,1.594,0.442,0,0.0,0.905,0.00276,-0.996,19815,20814,,,-48663.57,-24685.57,-48663.57,,,,dqn,retraso
vecinos,4042,12,4054,5.00e-04,11.3,2152,12.93,31.8,7.08,38,-5734.7,-2.545,-5.727,1888,1269,613,1.136,2088,276.1,94.9,0,0.0,0,0,11,13,179.06,47.18,50.33,1.681,0.433,0,0.0,0.8955,0.00262,-1.0372,21703,22702,,,-54065.21,-28838.2,-54065.21,,,,dqn,retraso
vecinos,4042,13,4055,5.00e-04,11.2,2152,10.87,29.28,6.02,28,-4861.1,-2.132,-5.168,1897,1248,643,1.116,2086,272.4,93.5,0,0.0,0,0,7,11,175.33,43.27,46.06,1.666,0.43,0,0.0,0.886,0.00262,-1.0827,23600,24599,,,-49019.13,-24500.46,-49019.13,,,,dqn,retraso
vecinos,4042,14,4056,5.00e-04,11.2,2152,11.39,29.78,6.12,26,-4938.2,-2.186,-5.179,1892,1270,616,1.095,2092,272.2,93.5,0,0.0,0,0,7,11,174.2,42.57,44.94,1.589,0.473,0,0.0,0.8765,0.00256,-1.1342,25492,26491,,,-48993.69,-24753.13,-48993.69,,,,dqn,retraso
vecinos,4042,15,4057,5.00e-04,11.4,2152,10.17,28.27,5.67,33,-4530.0,-1.995,-4.987,1880,1220,654,1.049,2090,269.9,92.6,0,0.0,0,0,6,12,173.13,41.4,43.97,1.534,0.478,0,0.0,0.867,0.00253,-1.165,27372,28371,,,-46878.17,-22909.17,-46878.17,,,,dqn,retraso
vecinos,4042,16,4058,5.00e-04,11.2,2152,10.15,28.16,5.56,34,-4521.5,-1.965,-4.886,1909,1244,659,1.081,2088,269.9,92.6,0,0.0,0,0,7,10,171.92,40.16,42.29,1.55,0.491,0,0.0,0.8575,0.00247,-1.2009,29281,30280,,,-46637.07,-22789.94,-46637.07,,,,dqn,retraso
vecinos,4042,17,4059,5.00e-04,11.3,2152,10.73,28.37,5.86,36,-4742.4,-2.091,-5.019,1880,1224,651,1.051,2085,269.3,92.6,0,0.0,0,0,9,12,172.58,40.33,42.35,1.489,0.522,0,0.0,0.848,0.00251,-1.2316,31161,32160,,,-47174.97,-23813.03,-47174.97,,,,dqn,retraso
vecinos,4042,18,4060,5.00e-04,11.2,2152,11.77,30.47,6.59,35,-5343.0,-2.359,-5.515,1888,1249,634,1.16,2084,274.1,94.1,0,0.0,0,0,8,11,177.73,45.82,48.53,1.759,0.355,0,0.0,0.8385,0.00256,-1.2457,33049,34048,,,-52060.05,-26812.88,-52060.05,,,,dqn,retraso
vecinos,4042,19,4061,5.00e-04,11.2,2152,10.46,28.59,5.82,31,-4685.6,-2.08,-5.047,1872,1225,641,1.042,2092,270.1,92.7,0,0.0,0,0,9,11,172.62,41.12,43.73,1.498,0.508,0,0.0,0.829,0.00276,-1.2765,34921,35920,,,-47236.18,-23580.76,-47236.18,,,,dqn,retraso
vecinos,4042,20,4062,5.00e-04,11.1,2152,10.29,28.29,5.62,24,-4508.5,-1.996,-4.974,1872,1215,652,1.081,2083,270.0,92.7,0,0.0,0,0,7,10,172.09,40.46,42.46,1.555,0.491,0,0.0,0.8195,0.00268,-1.2999,36793,37792,22.38,7.36,-46556.77,-22651.19,-46556.77,22.38,22.11,22.245,dqn,retraso
vecinos,4042,21,4063,5.00e-04,11.2,2152,10.35,27.68,5.65,26,-4573.3,-2.011,-4.865,1895,1253,636,0.994,2087,267.6,92.0,0,0.0,0,0,8,10,171.11,38.9,40.62,1.39,0.551,0,0.0,0.81,0.00252,-1.331,38688,39687,,,-46098.95,-22982.11,-46098.95,,,,dqn,retraso
vecinos,4042,22,4064,5.00e-04,11.3,2152,10.72,28.65,5.84,36,-4684.5,-2.071,-5.037,1880,1236,640,1.064,2095,270.0,92.8,0,0.0,0,0,10,12,172.55,40.33,42.84,1.477,0.501,0,0.0,0.8005,0.00265,-1.355,40568,41567,,,-47351.52,-23660.1,-47351.52,,,,dqn,retraso
vecinos,4042,23,4065,5.00e-04,11.2,2152,11.6,30.0,6.21,31,-5023.4,-2.224,-5.185,1898,1287,606,1.084,2090,272.1,93.5,0,0.0,0,0,9,12,173.91,42.25,45.29,1.554,0.493,0,0.0,0.791,0.00268,-1.3739,42466,43465,,,-49206.96,-25191.73,-49206.96,,,,dqn,retraso
vecinos,4042,24,4066,5.00e-04,11.5,2152,10.11,27.67,5.59,23,-4495.5,-1.985,-4.862,1874,1213,656,1.026,2089,267.7,92.0,0,0.0,0,0,7,10,170.9,39.14,41.83,1.446,0.532,0,0.0,0.7815,0.00263,-1.3795,44340,45339,,,-45554.82,-22623.19,-45554.82,,,,dqn,retraso
vecinos,4042,25,4067,5.00e-04,11.3,2152,10.12,27.72,5.48,26,-4410.3,-1.942,-4.876,1876,1209,663,1.043,2091,268.0,92.0,0,0.0,0,0,7,11,171.35,39.07,40.65,1.48,0.521,0,0.0,0.772,0.00275,-1.3827,46216,47215,,,-45735.34,-22194.25,-45735.34,,,,dqn,retraso
vecinos,4042,26,4068,5.00e-04,11.3,2152,10.3,28.16,5.62,23,-4513.1,-1.99,-4.947,1889,1247,636,1.072,2091,268.9,92.3,0,0.0,0,0,7,10,172.08,39.92,42.91,1.521,0.491,0,0.0,0.7625,0.00274,-1.3924,48105,49104,,,-46720.96,-22729.88,-46720.96,,,,dqn,retraso
vecinos,4042,27,4069,5.00e-04,11.3,2152,10.66,28.16,5.82,26,-4743.9,-2.089,-4.941,1897,1260,631,1.014,2092,268.4,92.2,0,0.0,0,0,6,11,172.0,40.02,41.4,1.452,0.531,0,0.0,0.753,0.00297,-1.4016,50002,51001,,,-46860.93,-23744.93,-46860.93,,,,dqn,retraso
vecinos,4042,28,4070,5.00e-04,11.3,2152,10.72,28.4,5.61,27,-4562.4,-1.988,-4.841,1905,1243,656,1.048,2089,269.2,92.5,0,0.0,0,0,9,13,171.49,39.54,41.45,1.457,0.522,0,0.0,0.7435,0.00295,-1.4164,51907,52906,,,-46113.36,-23027.82,-46113.36,,,,dqn,retraso
