variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,1,43,1.00e-03,9.9,2152,11.95,30.28,6.51,31,-5293.6,-2.334,-5.424,1887,1240,641,1.14,2091,273.6,94.0,0,0.0,0,0,8,12,176.08,44.29,47.17,1.661,0.421,0,0.0,-0.0153,0.0704,0.6824,0.0072,0.1253,,,-51175.0,-26605.09,-51175.0,,,,ippo,retraso
vecinos,42,2,44,9.95e-04,9.9,2152,10.66,28.42,5.67,24,-4570.4,-2.021,-4.953,1872,1209,657,1.077,2088,269.5,92.6,0,0.0,0,0,9,11,171.58,39.72,41.85,1.518,0.499,0,0.0,-0.0184,0.0457,0.6433,0.0105,0.1685,,,-46363.14,-22903.83,-46363.14,,,,ippo,retraso
vecinos,42,3,45,9.90e-04,9.5,2152,8.89,26.11,4.84,20,-3837.7,-1.699,-4.541,1851,1158,688,0.999,2093,265.2,91.0,0,0.0,0,0,6,9,167.87,36.01,38.61,1.371,0.576,0,0.0,-0.0117,0.0316,0.595,0.009,0.1081,,,-42030.62,-19358.2,-42030.62,,,,ippo,retraso
vecinos,42,4,46,9.85e-04,9.7,2152,8.56,25.66,4.68,19,-3720.1,-1.651,-4.435,1840,1140,695,0.979,2093,264.1,90.6,0,0.0,0,0,7,9,166.52,34.87,36.98,1.304,0.61,0,0.0,-0.0083,0.0323,0.5481,0.0071,0.093,,,-40806.52,-18669.38,-40806.52,,,,ippo,retraso
vecinos,42,5,47,9.80e-04,10.0,2152,7.94,24.68,4.43,21,-3505.3,-1.546,-4.289,1850,1142,705,0.923,2093,261.8,89.9,0,0.0,0,0,6,10,165.61,33.28,35.34,1.229,0.652,0,0.0,-0.0089,0.0296,0.4949,0.0074,0.093,,,-39675.27,-17746.83,-39675.27,,,,ippo,retraso
vecinos,42,6,48,9.75e-04,9.7,2152,7.84,24.0,4.36,22,-3495.1,-1.541,-4.146,1864,1183,677,0.883,2088,259.1,89.0,0,0.0,0,0,6,9,164.16,31.6,32.82,1.173,0.678,0,0.0,-0.004,0.0281,0.4561,0.004,0.0568,,,-38641.55,-17499.37,-38641.55,,,,ippo,retraso
vecinos,42,7,49,9.70e-04,9.7,2152,7.69,23.71,4.18,20,-3343.0,-1.472,-4.05,1857,1160,693,0.872,2091,258.8,89.0,0,0.0,0,0,6,9,162.02,30.2,31.4,1.093,0.721,0,0.0,-0.0036,0.0284,0.3997,0.0053,0.0727,,,-37600.88,-16759.58,-37600.88,,,,ippo,retraso
vecinos,42,8,50,9.65e-04,9.7,2152,8.43,24.25,4.21,17,-3337.4,-1.477,-3.944,1867,1202,660,0.845,2091,259.0,89.1,0,0.0,0,0,5,9,159.99,28.43,29.83,0.919,0.817,0,0.0,-0.0041,0.0239,0.3879,0.0039,0.0597,,,-36817.24,-16885.65,-36817.24,,,,ippo,retraso
vecinos,42,9,51,9.60e-04,9.5,2152,7.85,23.52,4.13,15,-3257.1,-1.444,-3.953,1868,1213,651,0.816,2094,257.1,88.5,0,0.0,0,0,5,9,160.61,28.24,29.72,0.922,0.808,0,0.0,-0.0044,0.024,0.3569,0.0042,0.0536,,,-36918.94,-16519.04,-36918.94,,,,ippo,retraso
vecinos,42,10,52,9.55e-04,9.6,2152,7.45,23.21,4.13,15,-3299.7,-1.461,-3.963,1871,1214,652,0.797,2092,257.2,88.4,0,0.0,0,0,5,9,160.42,28.1,29.43,0.899,0.802,0,0.0,-0.0007,0.0241,0.3613,0.0021,0.03,21.96,7.51,-37075.81,-16607.84,-37075.81,21.96,22.07,22.015,ippo,retraso
