variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,1.00e-03,9.3,2152,12.26,30.73,6.69,33,-5462.2,-2.405,-5.506,1890,1245,639,1.153,2088,274.2,94.3,0,0.0,0,0,8,12,177.55,46.08,48.97,1.754,0.396,0,0.0,-0.0139,0.0603,0.6778,0.0103,0.1481,,,-52032.31,-27273.48,-52032.31,,,,mappo,retraso
vecinos,2042,2,2044,9.95e-04,9.3,2152,11.25,28.8,6.3,29,-5155.1,-2.27,-5.153,1914,1305,602,1.044,2087,269.8,92.8,0,0.0,0,0,8,11,171.23,39.59,41.39,1.467,0.523,0,0.0,-0.0158,0.0445,0.6542,0.0087,0.1488,,,-49310.34,-25850.7,-49310.34,,,,mappo,retraso
vecinos,2042,3,2045,9.90e-04,9.2,2152,9.38,26.65,5.03,23,-4089.0,-1.791,-4.577,1889,1221,663,1.003,2086,266.2,91.4,0,0.0,0,0,5,10,167.87,35.66,37.42,1.375,0.565,0,0.0,-0.0131,0.0264,0.6014,0.0102,0.131,,,-43228.51,-20464.84,-43228.51,,,,mappo,retraso
vecinos,2042,4,2046,9.85e-04,9.0,2152,8.76,25.61,4.91,22,-3924.6,-1.74,-4.472,1870,1215,650,0.946,2094,263.4,90.5,0,0.0,0,0,5,9,166.44,34.34,35.92,1.288,0.619,0,0.0,-0.0127,0.0295,0.5374,0.0072,0.097,,,-41813.86,-19727.69,-41813.86,,,,mappo,retraso
vecinos,2042,5,2047,9.80e-04,9.2,2152,8.53,24.61,4.64,19,-3673.5,-1.635,-4.234,1863,1210,648,0.878,2092,260.8,89.7,0,0.0,0,0,5,10,162.89,31.22,33.04,1.111,0.7,0,0.0,-0.0063,0.0233,0.4837,0.0054,0.0692,,,-39437.3,-18594.12,-39437.3,,,,mappo,retraso
vecinos,2042,6,2048,9.75e-04,9.0,2152,8.08,24.42,4.46,19,-3539.4,-1.567,-4.171,1874,1223,646,0.86,2097,259.9,89.3,0,0.0,0,0,5,11,162.67,30.47,32.43,1.044,0.732,0,0.0,-0.0014,0.0197,0.4387,0.0036,0.0525,,,-39081.97,-17893.3,-39081.97,,,,mappo,retraso
vecinos,2042,7,2049,9.70e-04,9.0,2152,8.23,24.29,4.39,23,-3560.6,-1.558,-4.1,1885,1208,671,0.864,2091,259.7,89.3,0,0.0,0,0,5,10,162.35,30.23,32.04,1.05,0.747,0,0.0,-0.0045,0.0185,0.3898,0.0046,0.0717,,,-38641.37,-17838.26,-38641.37,,,,mappo,retraso
vecinos,2042,8,2050,9.65e-04,9.1,2152,7.7,23.51,4.19,15,-3321.6,-1.472,-3.954,1869,1215,649,0.834,2087,257.6,88.6,0,0.0,0,0,5,9,160.84,28.75,30.04,0.971,0.78,0,0.0,-0.0039,0.018,0.3553,0.0031,0.0458,,,-36952.05,-16745.59,-36952.05,,,,mappo,retraso
vecinos,2042,9,2051,9.60e-04,9.2,2152,7.67,23.0,4.18,15,-3379.1,-1.488,-3.839,1891,1248,637,0.782,2089,255.5,88.0,0,0.0,0,0,5,10,158.96,27.27,28.24,0.847,0.841,0,0.0,-0.0057,0.0173,0.3273,0.0034,0.0482,,,-36294.61,-16951.83,-36294.61,,,,mappo,retraso
vecinos,2042,10,2052,9.55e-04,9.0,2152,7.64,23.12,4.16,20,-3316.2,-1.47,-3.872,1884,1256,623,0.783,2091,256.1,88.2,0,0.0,0,0,5,8,158.76,26.88,28.29,0.83,0.84,0,0.0,-0.0027,0.0166,0.2936,0.0034,0.0485,21.22,6.74,-36472.44,-16685.71,-36472.44,21.22,21.36,21.29,mappo,retraso
