modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,2043,1.0,2152,13.08,31.96,7.11,31,colas,-2.579,1903,634,1.131,2087,276.0,94.9,98,2.475,,,,,9.4,,-54575.1,-29520.3,-54575.1,qlearning,2042,-5887.1,0,0.0,0,9
train,2,2044,0.972,2152,12.65,31.07,6.97,34,colas,-2.503,1903,626,1.107,2084,274.1,94.2,119,1.858,,,,,9.6,,-53206.0,-28734.6,-53206.0,qlearning,2042,-5706.6,0,0.0,0,8
train,3,2045,0.944,2152,12.62,31.3,6.84,37,colas,-2.45,1896,647,1.157,2088,275.4,94.6,132,2.4613,,,,,9.3,,-53547.1,-28175.2,-53547.1,qlearning,2042,-5592.6,0,0.0,0,11
train,4,2046,0.917,2152,11.57,30.53,6.39,29,colas,-2.279,1865,651,1.15,2087,274.5,94.2,136,1.8738,,,,,9.1,,-51272.6,-25829.5,-51272.6,qlearning,2042,-5141.4,0,0.0,0,8
train,5,2047,0.891,2152,11.26,29.81,6.24,27,colas,-2.217,1869,671,1.144,2082,273.5,93.9,139,2.0596,,,,,9.1,,-50462.6,-25399.8,-50462.6,qlearning,2042,-5035.7,0,0.0,0,10
train,6,2048,0.866,2152,11.8,30.49,6.39,33,colas,-2.268,1881,655,1.128,2090,274.3,94.2,140,1.685,,,,,9.2,,-51056.7,-26013.8,-51056.7,qlearning,2042,-5157.8,0,0.0,0,7
train,7,2049,0.841,2152,10.57,28.49,5.7,28,colas,-2.019,1870,679,1.075,2090,270.3,92.8,144,1.8687,,,,,9.2,,-47290.0,-23194.5,-47290.0,qlearning,2042,-4598.0,0,0.0,0,7
train,8,2050,0.818,2152,10.34,28.2,5.69,33,colas,-2.028,1862,681,1.092,2090,269.6,92.6,144,2.4483,,,,,9.1,,-46875.4,-23017.6,-46875.4,qlearning,2042,-4605.1,0,0.0,0,10
train,9,2051,0.794,2152,10.35,28.4,5.54,25,colas,-1.966,1866,683,1.108,2093,270.3,92.8,146,1.5945,,,,,9.2,,-46381.8,-22377.2,-46381.8,qlearning,2042,-4469.9,0,0.0,0,7
train,10,2052,0.772,2152,10.73,28.95,5.86,30,colas,-2.079,1851,678,1.129,2087,271.5,93.2,146,1.7118,24.24,7.47,24.24,24.79,9.1,24.515,-47935.9,-23556.3,-47935.9,qlearning,2042,-4689.8,0,0.0,0,7
train,11,2053,0.75,2152,10.2,27.98,5.53,27,colas,-1.958,1852,677,1.069,2087,269.6,92.6,147,1.4533,,,,,9.1,,-45593.9,-22205.8,-45593.9,qlearning,2042,-4423.0,0,0.0,0,6
train,12,2054,0.729,2152,10.38,28.64,5.69,27,colas,-2.02,1857,675,1.125,2092,271.1,93.0,149,1.7377,,,,,9.2,,-46996.0,-22807.4,-46996.0,qlearning,2042,-4568.2,0,0.0,0,7
train,13,2055,0.708,2152,10.17,28.43,5.54,27,colas,-1.946,1850,699,1.117,2086,270.7,92.8,149,1.9933,,,,,9.2,,-46776.4,-22279.9,-46776.4,qlearning,2042,-4414.6,0,0.0,0,8
train,14,2056,0.688,2152,9.9,27.69,5.5,21,colas,-1.951,1857,686,1.085,2086,268.7,92.3,151,1.3564,,,,,9.2,,-45554.0,-22146.1,-45554.0,qlearning,2042,-4423.9,0,0.0,0,7
train,15,2057,0.668,2152,9.71,27.61,5.22,22,colas,-1.832,1842,695,1.082,2092,268.9,92.2,151,1.3365,,,,,9.1,,-44939.6,-20810.1,-44939.6,qlearning,2042,-4137.6,0,0.0,0,6
train,16,2058,0.649,2152,9.34,27.15,5.2,23,colas,-1.837,1844,696,1.048,2093,268.4,92.1,152,1.7589,,,,,9.1,,-44499.4,-20839.2,-44499.4,qlearning,2042,-4154.6,0,0.0,0,6
train,17,2059,0.631,2152,9.98,27.78,5.45,21,colas,-1.909,1846,691,1.101,2089,269.1,92.3,153,1.6945,,,,,9.3,,-45441.6,-21796.5,-45441.6,qlearning,2042,-4319.1,0,0.0,0,6
train,18,2060,0.613,2152,9.94,27.66,5.26,22,colas,-1.851,1847,698,1.088,2090,268.6,92.2,153,1.21,,,,,9.2,,-44489.5,-21031.8,-44489.5,qlearning,2042,-4191.5,0,0.0,0,7
train,19,2061,0.596,2152,9.37,27.11,5.16,26,colas,-1.805,1825,712,1.076,2091,267.7,91.8,154,1.7696,,,,,9.0,,-44420.7,-20490.2,-44420.7,qlearning,2042,-4067.2,0,0.0,0,5
train,20,2062,0.579,2152,9.44,27.2,5.17,28,colas,-1.809,1838,705,1.076,2089,268.4,92.1,154,1.9289,23.84,7.16,23.84,23.63,9.5,23.735,-44000.4,-20660.7,-44000.4,qlearning,2042,-4091.0,0,0.0,0,6
train,21,2063,0.562,2152,9.81,27.35,5.36,24,colas,-1.886,1838,711,1.102,2089,268.6,92.2,154,1.4165,,,,,9.1,,-44427.5,-21410.6,-44427.5,qlearning,2042,-4271.5,0,0.0,0,6
train,22,2064,0.546,2152,9.29,27.11,5.13,28,colas,-1.796,1853,709,1.097,2088,268.1,91.9,154,1.5369,,,,,9.3,,-44323.5,-20582.1,-44323.5,qlearning,2042,-4089.5,0,0.0,0,7
