modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,43,1.0,2152,12.28,30.94,6.73,34,retraso,-2.407,1883,629,1.145,2081,274.7,94.4,88,4.1791,,,,,8.2,,-52481.6,-27425.3,-52481.6,qlearning,42,-5444.2,0,0.0,0,9
train,2,44,0.972,2152,12.68,31.37,6.96,32,retraso,-2.5,1911,640,1.163,2085,275.9,94.8,108,3.6142,,,,,8.2,,-54037.6,-28792.0,-54037.6,qlearning,42,-5737.4,0,0.0,0,8
train,3,45,0.944,2152,14.19,33.41,7.78,34,retraso,-2.805,1896,624,1.225,2080,279.0,96.0,122,4.015,,,,,8.2,,-58285.5,-32011.1,-58285.5,qlearning,42,-6370.8,0,0.0,0,11
train,4,46,0.917,2152,12.5,30.97,6.88,29,retraso,-2.479,1889,628,1.121,2079,274.6,94.4,135,4.2687,,,,,8.1,,-53169.6,-28282.2,-53169.6,qlearning,42,-5615.7,0,0.0,0,10
train,5,47,0.891,2152,14.46,33.99,8.05,34,retraso,-2.907,1906,618,1.235,2089,280.2,96.3,145,3.9765,,,,,8.3,,-60272.2,-33312.7,-60272.2,qlearning,42,-6619.7,0,0.0,0,9
train,6,48,0.866,2152,12.11,30.85,6.63,29,retraso,-2.372,1892,630,1.15,2087,274.5,94.3,148,4.4853,,,,,8.1,,-52376.3,-27047.0,-52376.3,qlearning,42,-5385.9,0,0.0,0,8
train,7,49,0.841,2152,12.96,31.42,7.13,36,retraso,-2.578,1894,621,1.126,2085,275.0,94.6,153,4.5539,,,,,8.3,,-53991.3,-29359.4,-53991.3,qlearning,42,-5846.6,0,0.0,0,8
train,8,50,0.818,2152,11.5,29.99,5.97,29,retraso,-2.135,1885,634,1.123,2091,273.2,93.8,156,4.7356,,,,,8.2,,-48647.8,-24211.8,-48647.8,qlearning,42,-4834.7,0,0.0,0,8
train,9,51,0.794,2152,12.47,31.04,6.59,33,retraso,-2.36,1895,628,1.14,2090,274.5,94.3,161,4.5307,,,,,8.1,,-52098.5,-26907.4,-52098.5,qlearning,42,-5359.7,0,0.0,0,7
train,10,52,0.772,2152,11.17,29.5,5.95,28,retraso,-2.129,1899,629,1.092,2077,272.1,93.4,163,4.7407,31.57,15.77,31.57,31.53,8.1,31.55,-49135.7,-24349.9,-49135.7,qlearning,42,-4846.9,0,0.0,0,8
train,11,53,0.75,2152,11.25,29.33,6.24,25,retraso,-2.234,1891,626,1.077,2088,271.3,93.2,166,4.3589,,,,,8.3,,-49573.6,-25409.5,-49573.6,qlearning,42,-5065.8,0,0.0,0,7
train,12,54,0.729,2152,10.62,28.69,5.91,27,retraso,-2.098,1879,625,1.085,2075,270.6,92.9,166,4.9359,,,,,8.2,,-47977.0,-23879.4,-47977.0,qlearning,42,-4732.0,0,0.0,0,7
train,13,55,0.708,2152,11.9,30.27,6.44,27,retraso,-2.316,1894,610,1.114,2082,273.2,93.9,167,4.9338,,,,,8.4,,-50554.1,-26233.9,-50554.1,qlearning,42,-5230.7,0,0.0,0,8
train,14,56,0.688,2152,10.44,28.12,5.7,29,retraso,-2.032,1885,628,1.055,2089,269.1,92.4,167,4.9732,,,,,9.6,,-46661.9,-23142.2,-46661.9,qlearning,42,-4595.4,0,0.0,0,6
train,15,57,0.668,2152,10.36,28.25,5.76,28,retraso,-2.053,1884,627,1.061,2088,269.3,92.5,167,4.9559,,,,,9.6,,-46681.1,-23261.9,-46681.1,qlearning,42,-4637.7,0,0.0,0,7
train,16,58,0.649,2152,10.34,28.17,5.61,25,retraso,-1.993,1883,634,1.053,2090,269.0,92.4,167,4.4442,,,,,9.1,,-46567.3,-22712.5,-46567.3,qlearning,42,-4507.7,0,0.0,0,6
train,17,59,0.631,2152,9.56,27.14,5.25,20,retraso,-1.862,1873,654,1.017,2092,266.9,91.7,167,4.3255,,,,,9.0,,-44306.7,-21212.6,-44306.7,qlearning,42,-4216.4,0,0.0,0,7
train,18,60,0.613,2152,10.82,28.81,5.82,27,retraso,-2.075,1888,623,1.092,2091,270.2,92.8,167,5.2441,,,,,8.9,,-47477.9,-23573.2,-47477.9,qlearning,42,-4694.2,0,0.0,0,7
train,19,61,0.596,2152,11.39,29.24,6.13,28,retraso,-2.204,1932,604,1.076,2089,270.4,93.0,170,4.9133,,,,,8.8,,-49290.4,-25390.6,-49290.4,qlearning,42,-5059.2,0,0.0,0,9
train,20,62,0.579,2152,11.08,28.71,6.01,26,retraso,-2.155,1903,611,1.04,2088,269.1,92.5,170,4.6205,30.42,13.58,30.42,33.84,9.0,32.13,-48074.1,-24595.1,-48074.1,qlearning,42,-4894.6,0,0.0,0,8
train,21,63,0.562,2152,11.54,29.64,6.34,28,retraso,-2.274,1915,606,1.098,2092,272.0,93.5,174,5.3788,,,,,8.8,,-50300.8,-26048.8,-50300.8,qlearning,42,-5177.7,0,0.0,0,10
train,22,64,0.546,2152,10.06,27.14,5.43,23,retraso,-1.931,1909,613,0.992,2090,265.9,91.4,175,4.6854,,,,,9.0,,-44547.7,-22156.8,-44547.7,qlearning,42,-4395.9,0,0.0,0,7
train,23,65,0.531,2152,9.98,27.87,5.64,26,retraso,-2.004,1892,628,1.056,2090,269.0,92.3,175,4.2391,,,,,9.0,,-46493.6,-22885.1,-46493.6,qlearning,42,-4545.4,0,0.0,0,7
train,24,66,0.516,2152,10.09,27.43,5.55,25,retraso,-1.982,1895,627,1.004,2088,267.3,91.9,176,4.7272,,,,,8.8,,-45599.1,-22620.9,-45599.1,qlearning,42,-4501.3,0,0.0,0,7
train,25,67,0.501,2152,9.82,27.5,5.39,25,retraso,-1.908,1892,629,1.041,2091,267.8,91.9,176,4.2275,,,,,9.0,,-45350.0,-21854.6,-45350.0,qlearning,42,-4332.9,0,0.0,0,6
train,26,68,0.487,2152,9.99,27.65,5.52,25,retraso,-1.962,1886,641,1.007,2093,267.8,92.0,176,4.8613,,,,,8.7,,-45580.1,-22457.6,-45580.1,qlearning,42,-4455.0,0,0.0,0,6
train,27,69,0.473,2152,9.85,27.24,5.46,22,retraso,-1.944,1910,609,1.02,2092,266.7,91.6,176,4.345,,,,,8.9,,-45203.4,-22278.8,-45203.4,qlearning,42,-4426.9,0,0.0,0,6
train,28,70,0.46,2152,10.72,28.34,5.64,24,retraso,-2.022,1900,598,1.025,2092,268.6,92.3,176,4.8128,,,,,9.0,,-46288.5,-22975.0,-46288.5,qlearning,42,-4567.3,0,0.0,0,6
train,29,71,0.447,2152,10.07,27.3,5.44,22,retraso,-1.943,1902,640,1.009,2090,266.9,91.8,177,3.9672,,,,,8.8,,-44673.0,-22334.7,-44673.0,qlearning,42,-4441.9,0,0.0,0,5
train,30,72,0.434,2152,10.38,27.44,5.24,29,retraso,-1.86,1882,627,1.038,2095,266.8,91.8,178,4.389,33.53,16.7,33.53,32.15,8.6,32.84,-43231.1,-21168.2,-43231.1,qlearning,42,-4201.7,0,0.0,0,6
train,31,73,0.422,2152,9.65,26.55,5.34,23,retraso,-1.917,1883,621,0.989,2084,265.5,91.3,178,4.2854,,,,,8.6,,-43886.2,-21597.6,-43886.2,qlearning,42,-4325.6,0,0.0,0,5
train,32,74,0.41,2152,10.36,27.58,5.55,29,retraso,-1.994,1919,614,1.0,2090,266.8,91.7,178,4.3379,,,,,9.0,,-45372.9,-22969.4,-45372.9,qlearning,42,-4557.6,0,0.0,0,9
train,33,75,0.398,2152,10.26,27.78,5.53,19,retraso,-1.961,1875,625,1.067,2087,268.1,92.1,178,4.2244,,,,,8.8,,-45256.0,-22331.6,-45256.0,qlearning,42,-4412.4,0,0.0,0,5
train,34,76,0.387,2152,10.5,27.77,5.7,22,retraso,-2.058,1908,576,1.008,2091,267.4,92.0,178,4.6373,,,,,9.1,,-45914.8,-23324.6,-45914.8,qlearning,42,-4635.6,0,0.0,0,6
train,35,77,0.376,2152,9.76,26.69,5.36,22,retraso,-1.94,1913,579,0.959,2091,264.7,91.0,178,5.1536,,,,,9.1,,-44200.2,-21922.7,-44200.2,qlearning,42,-4383.3,0,0.0,0,6
train,36,78,0.365,2152,9.79,26.98,5.48,22,retraso,-1.955,1907,596,0.994,2086,265.7,91.3,178,3.7656,,,,,9.2,,-44875.3,-22363.3,-44875.3,qlearning,42,-4429.0,0,0.0,0,6
train,37,79,0.355,2152,10.3,27.67,5.52,20,retraso,-1.988,1895,613,1.033,2089,267.8,92.1,179,5.9138,,,,,9.0,,-45048.8,-22586.5,-45048.8,qlearning,42,-4496.1,0,0.0,0,6
train,38,80,0.345,2152,9.97,27.38,5.55,26,retraso,-1.97,1893,608,1.036,2086,267.2,91.8,179,4.1922,,,,,9.0,,-45245.5,-22457.6,-45245.5,qlearning,42,-4450.7,0,0.0,0,6
train,39,81,0.335,2152,10.42,27.85,5.33,20,retraso,-1.909,1902,616,1.056,2092,268.0,92.1,179,4.4047,,,,,9.1,,-44559.3,-21646.3,-44559.3,qlearning,42,-4336.3,0,0.0,0,6
train,40,82,0.325,2152,11.02,28.53,6.06,25,retraso,-2.188,1915,577,1.017,2094,268.4,92.3,180,5.5286,26.15,8.45,26.15,26.48,9.1,26.315,-47658.3,-24936.3,-47658.3,qlearning,42,-4948.2,0,0.0,0,10
train,41,83,0.316,2152,9.23,26.14,5.0,23,retraso,-1.771,1880,628,0.978,2088,264.7,90.9,180,2.748,,,,,8.9,,-42017.1,-20155.7,-42017.1,qlearning,42,-3995.9,0,0.0,0,5
train,42,84,0.307,2152,9.65,26.67,5.32,29,retraso,-1.9,1889,607,0.986,2091,265.3,91.2,180,4.586,,,,,9.0,,-43813.5,-21516.3,-43813.5,qlearning,42,-4280.3,0,0.0,0,8
train,43,85,0.299,2152,10.06,27.07,5.37,23,retraso,-1.935,1893,603,0.98,2082,265.9,91.5,180,4.3728,,,,,8.9,,-43997.5,-21870.9,-43997.5,qlearning,42,-4358.8,0,0.0,0,6
train,44,86,0.29,2152,9.82,27.04,5.5,25,retraso,-1.974,1889,608,1.0,2091,266.0,91.4,180,3.7988,,,,,9.0,,-45357.1,-22361.2,-45357.1,qlearning,42,-4448.0,0,0.0,0,6
train,45,87,0.282,2152,9.77,27.1,5.38,24,retraso,-1.917,1889,609,1.004,2087,266.8,91.7,180,4.7105,,,,,9.0,,-44569.1,-21800.9,-44569.1,qlearning,42,-4319.4,0,0.0,0,6
train,46,88,0.274,2152,9.73,26.68,5.26,21,retraso,-1.866,1885,624,1.016,2093,265.6,91.3,180,4.0291,,,,,9.0,,-43049.7,-21286.1,-43049.7,qlearning,42,-4214.8,0,0.0,0,6
train,47,89,0.266,2152,10.51,27.73,5.69,23,retraso,-2.045,1909,592,1.002,2089,267.3,91.9,180,4.6239,,,,,9.1,,-46058.0,-23282.8,-46058.0,qlearning,42,-4626.6,0,0.0,0,7
train,48,90,0.259,2152,10.39,28.32,5.74,32,retraso,-2.049,1872,643,1.046,2089,268.8,92.3,180,5.5944,,,,,8.9,,-47072.9,-23313.8,-47072.9,qlearning,42,-4629.7,0,0.0,0,8
train,49,91,0.251,2152,10.85,28.62,5.93,26,retraso,-2.11,1891,618,1.079,2088,269.6,92.7,180,5.5338,,,,,9.0,,-47383.2,-24149.6,-47383.2,qlearning,42,-4772.7,0,0.0,0,8
