modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,1,2043,1.0,2152,13.08,31.96,7.11,31,retraso,-2.579,1903,634,1.131,2087,276.0,94.9,98,4.2394,,,,,9.2,,-54575.1,-29520.3,-54575.1,sarsa,2042,-5887.1,0,0.0,0,9
train,2,2044,0.972,2152,13.15,32.04,7.29,35,retraso,-2.631,1896,622,1.139,2091,276.7,95.1,119,4.7761,,,,,9.2,,-55607.9,-30041.5,-55607.9,sarsa,2042,-5966.8,0,0.0,0,11
train,3,2045,0.944,2152,13.31,32.3,7.28,38,retraso,-2.631,1921,625,1.176,2087,277.1,95.2,133,3.746,,,,,8.9,,-56006.7,-30303.6,-56006.7,sarsa,2042,-6037.7,0,0.0,0,9
train,4,2046,0.917,2152,13.09,32.2,7.2,33,retraso,-2.602,1884,632,1.193,2084,277.1,95.2,144,6.2853,,,,,9.0,,-55498.6,-29488.5,-55498.6,sarsa,2042,-5886.3,0,0.0,0,9
train,5,2047,0.891,2152,12.45,31.13,6.8,31,retraso,-2.441,1880,623,1.134,2085,275.3,94.6,150,4.4654,,,,,9.7,,-52435.4,-27652.2,-52435.4,sarsa,2042,-5499.9,0,0.0,0,9
train,6,2048,0.866,2152,11.8,30.35,6.5,25,retraso,-2.315,1900,617,1.128,2091,273.3,93.9,155,4.8235,,,,,8.7,,-51514.0,-26472.9,-51514.0,sarsa,2042,-5258.1,0,0.0,0,8
train,7,2049,0.841,2152,12.77,31.67,6.91,28,retraso,-2.483,1897,636,1.181,2087,276.3,94.9,156,4.9129,,,,,8.6,,-54181.1,-28421.7,-54181.1,sarsa,2042,-5654.1,0,0.0,0,8
train,8,2050,0.818,2152,11.17,29.44,6.15,30,retraso,-2.202,1884,660,1.122,2088,272.2,93.4,157,5.0684,,,,,9.1,,-49925.4,-25108.4,-49925.4,sarsa,2042,-5020.8,0,0.0,0,7
train,9,2051,0.794,2152,11.73,30.07,6.3,30,retraso,-2.258,1893,647,1.115,2089,272.9,93.8,159,5.147,,,,,9.4,,-50060.6,-25847.5,-50060.6,sarsa,2042,-5149.1,0,0.0,0,9
train,10,2052,0.772,2152,12.08,30.42,6.37,26,retraso,-2.293,1899,625,1.095,2086,273.3,94.0,161,5.1428,30.65,13.97,30.65,30.63,9.5,30.64,-50607.1,-26102.7,-50607.1,sarsa,2042,-5213.4,0,0.0,0,9
train,11,2053,0.75,2152,11.12,29.24,5.95,30,retraso,-2.13,1922,626,1.097,2079,271.5,93.2,161,5.4997,,,,,8.9,,-48475.2,-24535.9,-48475.2,sarsa,2042,-4894.5,0,0.0,0,7
train,12,2054,0.729,2152,12.89,31.68,7.11,29,retraso,-2.564,1895,620,1.152,2091,275.4,94.7,165,6.2647,,,,,9.0,,-54525.0,-29216.8,-54525.0,sarsa,2042,-5815.8,0,0.0,0,10
train,13,2055,0.708,2152,10.47,28.21,5.85,24,retraso,-2.084,1888,633,1.056,2085,269.4,92.5,165,5.7624,,,,,9.1,,-47671.0,-23796.2,-47671.0,sarsa,2042,-4727.4,0,0.0,0,7
train,14,2056,0.688,2152,11.81,29.48,6.38,26,retraso,-2.281,1906,605,1.08,2087,271.0,93.2,166,5.2415,,,,,9.0,,-49340.7,-26128.9,-49340.7,sarsa,2042,-5174.1,0,0.0,0,8
train,15,2057,0.668,2152,10.29,27.74,5.64,22,retraso,-2.016,1897,619,1.029,2090,268.0,92.1,167,5.8692,,,,,9.0,,-46403.7,-22925.7,-46403.7,sarsa,2042,-4572.2,0,0.0,0,7
train,16,2058,0.649,2152,10.14,28.07,5.61,23,retraso,-2.007,1892,618,1.039,2085,268.8,92.3,167,5.083,,,,,9.1,,-46486.9,-22815.4,-46486.9,sarsa,2042,-4540.8,0,0.0,0,6
train,17,2059,0.631,2152,12.54,30.93,6.79,28,retraso,-2.476,1937,597,1.126,2087,274.5,94.4,174,5.5732,,,,,9.3,,-53190.3,-28457.1,-53190.3,sarsa,2042,-5681.6,0,0.0,0,8
