t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,2,4,0,1,0,0
120,7,0,1,1,1,1,0,0
180,1,0,3,5,0,0,6,5
240,0,0,3,4,0,0,4,3
300,13,5,0,0,16,5,0,0
360,0,0,6,9,0,0,8,6
420,10,0,2,4,0,0,4,3
480,10,4,0,0,15,3,0,0
540,9,0,4,5,0,0,6,4
600,18,0,1,1,9,0,0,1
660,2,2,2,4,4,1,4,2
720,11,0,4,5,0,0,5,4
780,16,0,1,1,16,4,0,0
840,2,0,5,7,0,0,9,6
900,15,0,3,4,0,0,4,3
960,18,6,0,0,14,4,0,0
1020,3,0,6,8,0,0,6,5
1080,13,0,3,4,8,0,1,0
1140,16,6,0,0,6,1,1,0
1200,14,0,4,5,0,0,5,4
1260,14,0,1,1,13,5,0,0
1320,6,2,0,1,0,0,8,6
1380,15,0,4,5,0,0,4,3
1440,22,4,0,0,12,4,0,0
1500,1,0,6,8,0,0,9,6
1560,17,0,2,3,1,0,2,2
1620,12,2,0,0,7,2,0,0
1680,9,0,5,5,0,0,6,5
1740,19,0,1,1,7,0,1,1
1800,6,1,0,2,3,1,2,0
1860,7,0,5,4,0,0,4,5
1920,22,12,0,0,16,17,0,0
1980,17,9,6,4,0,8,4,5
2040,27,28,1,0,13,24,0,0
2100,21,8,6,4,0,52,4,7
2160,20,21,0,0,17,30,0,3
2220,26,15,5,3,1,36,3,6
2280,16,27,6,0,17,31,0,0
2340,24,10,6,3,5,40,3,5
2400,19,17,0,0,15,27,0,8
2460,26,11,4,3,6,31,3,4
2520,17,14,6,0,11,22,0,3
2580,27,20,5,3,0,25,6,19
2640,16,29,8,0,23,52,0,0
2700,34,19,2,2,0,40,5,14
2760,16,20,3,0,10,52,0,0
2820,35,14,4,3,0,24,5,13
2880,15,21,6,0,12,52,0,0
2940,37,19,6,2,0,30,4,10
3000,24,11,3,0,4,52,0,2
3060,38,19,3,2,0,22,4,6
3120,14,16,5,0,4,40,0,1
3180,40,26,2,1,0,27,3,5
3240,10,18,4,1,2,40,0,6
3300,35,25,2,1,0,28,3,5
3360,12,18,3,0,3,38,0,6
3420,39,27,1,1,0,28,3,6
3480,9,19,4,2,3,41,0,4
3540,39,24,0,0,0,32,2,6
3600,9,19,6,3,1,25,0,3
3660,30,23,0,0,0,29,0,1
3720,15,21,0,0,0,18,0,0
3780,8,15,0,0,0,11,0,0
3840,6,9,0,0,0,9,0,0
3900,16,6,0,0,0,13,0,0
3960,6,19,0,0,0,10,0,0
4020,4,25,0,0,1,16,0,0
4080,2,17,0,0,0,14,0,0
4140,15,8,0,0,0,17,0,0
4200,6,10,0,0,0,12,0,0
4260,5,23,0,0,0,7,0,0
4320,1,22,0,0,2,22,0,0
4380,0,0,0,0,0,11,0,0
4440,0,0,0,0,0,2,0,0
4500,0,0,0,0,0,1,0,0
4560,0,5,0,0,0,6,0,0
4620,0,0,0,0,0,4,0,0
4680,0,0,0,0,0,3,0,0
4740,0,5,0,0,0,1,0,0
4800,0,0,0,0,0,1,0,0
4860,0,0,0,0,0,1,0,0
4920,0,0,0,0,0,3,0,0
4980,0,0,0,0,0,4,0,0
5040,0,1,0,0,0,1,0,0
5100,0,5,0,0,0,1,0,0
5160,0,0,0,0,0,1,0,0
5220,0,0,0,0,0,1,0,0
5280,0,0,0,0,0,0,0,0
5340,0,4,0,0,0,3,0,0
5400,0,0,0,0,0,4,0,0
5460,0,0,0,0,0,0,0,0
