t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,3,0,0,0,0,0,0,0
120,2,1,0,0,6,1,1,0
180,0,0,5,7,5,0,1,1
240,0,0,4,9,6,0,3,2
300,0,0,3,8,10,0,2,1
360,18,5,0,1,4,0,5,3
420,11,2,0,0,12,3,0,0
480,3,0,5,9,0,0,11,6
540,9,0,3,8,2,0,7,3
600,17,5,0,0,16,5,0,0
660,6,2,0,8,0,0,12,6
720,19,2,0,1,0,0,7,4
780,13,2,0,0,5,0,6,3
840,11,1,0,3,8,0,6,2
900,2,0,5,10,11,2,0,0
960,11,0,3,7,2,1,10,0
1020,11,0,1,6,9,0,8,3
1080,19,1,0,2,15,5,2,0
1140,4,2,0,2,1,1,12,4
1200,10,0,4,8,4,0,9,3
1260,19,0,1,5,8,0,5,1
1320,12,5,0,0,6,2,5,0
1380,5,0,1,7,4,1,6,0
1440,12,0,1,6,0,0,10,4
1500,15,3,0,0,10,0,6,2
1560,6,1,3,7,13,3,0,0
1620,13,0,3,7,0,0,11,6
1680,16,0,1,2,5,0,8,2
1740,10,3,0,0,16,4,0,0
1800,7,1,0,3,2,0,9,1
1860,15,5,0,0,0,0,11,5
1920,3,4,6,6,0,0,14,10
1980,1,4,10,8,0,0,15,14
2040,5,22,5,1,5,12,4,10
2100,8,8,3,3,0,10,12,20
2160,4,2,11,5,0,1,13,28
2220,0,4,17,7,0,3,16,29
2280,24,21,11,2,4,16,4,16
2340,23,24,5,0,3,20,8,42
2400,22,7,20,0,4,44,1,26
2460,32,15,15,3,4,22,0,48
2520,33,21,10,1,0,31,2,28
2580,24,24,3,1,7,40,0,5
2640,23,21,4,1,3,27,0,8
2700,19,19,7,1,2,29,0,13
2760,23,19,5,1,3,42,0,7
2820,13,7,10,3,6,30,0,15
2880,22,18,6,2,1,28,0,13
2940,26,15,7,2,2,35,2,3
3000,20,16,6,2,7,39,0,0
3060,15,8,0,0,3,24,0,7
3120,19,13,0,0,0,29,1,9
3180,20,15,0,0,2,28,0,0
3240,11,11,6,1,3,24,0,1
3300,18,17,2,1,2,25,0,0
3360,14,2,6,3,0,18,1,3
3420,31,8,6,2,0,28,1,1
3480,9,16,6,3,0,17,1,1
3540,18,11,2,0,2,18,0,1
3600,20,21,3,0,0,24,4,6
3660,12,9,8,2,0,39,1,5
3720,12,3,5,0,0,12,0,1
3780,9,14,1,0,1,6,0,0
3840,10,24,0,0,2,4,0,0
3900,8,19,0,0,0,6,0,0
3960,2,10,0,0,0,11,0,0
4020,9,7,0,0,0,13,0,0
4080,5,22,0,0,4,16,0,0
4140,2,25,0,0,0,19,0,0
4200,2,17,0,0,0,19,0,0
4260,0,10,0,0,0,10,0,0
4320,0,1,0,0,0,19,0,0
4380,0,3,0,0,0,6,0,0
4440,0,5,0,0,0,0,0,0
4500,0,0,0,0,0,0,0,0
4560,0,0,0,0,0,0,0,0
4620,0,0,0,0,0,0,0,0
4680,0,3,0,0,0,1,0,0
4740,0,6,0,0,0,5,0,0
4800,0,0,0,0,0,0,0,0
4860,0,0,0,0,0,0,0,0
4920,0,0,0,0,0,0,0,0
4980,0,0,0,0,0,0,0,0
5040,0,0,0,0,0,0,0,0
5100,0,1,0,0,0,0,0,0
5160,0,4,0,0,0,0,0,0
5220,0,0,0,0,0,0,0,0
