t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,5,0,0,0,0,0,2,2
120,5,0,1,1,2,0,2,1
180,1,0,2,3,7,2,0,0
240,4,1,0,0,5,0,2,1
300,9,0,1,1,0,0,4,3
360,6,0,2,3,7,1,0,0
420,8,0,0,0,9,0,2,0
480,12,1,0,0,6,0,3,2
540,8,0,2,2,4,2,0,0
600,7,0,1,2,8,0,0,1
660,13,2,0,0,6,0,3,2
720,10,0,2,3,2,1,0,0
780,7,0,3,4,9,2,0,0
840,12,1,0,0,6,0,1,2
900,11,0,1,1,5,0,3,2
960,6,0,2,2,8,2,0,0
1020,9,0,0,0,7,0,3,1
1080,14,0,0,0,5,0,5,2
1140,8,0,2,1,6,2,0,0
1200,7,0,0,1,8,0,2,1
1260,16,1,0,0,7,0,3,2
1320,10,0,1,3,4,1,0,0
1380,7,0,2,6,10,0,0,0
1440,14,2,0,0,7,0,2,2
1500,10,0,0,3,2,1,1,0
1560,7,0,2,6,9,2,0,0
1620,11,2,0,0,7,0,2,0
1680,11,0,1,3,4,0,4,3
1740,6,0,3,6,6,2,0,0
1800,8,1,0,3,9,0,1,1
1860,13,0,1,1,5,0,2,3
1920,9,0,6,4,5,5,0,1
1980,6,1,9,5,9,10,0,3
2040,15,7,0,0,5,7,2,14
2100,8,6,6,2,3,7,0,14
2160,7,4,18,2,10,12,0,9
2220,13,6,13,0,6,7,2,9
2280,12,5,13,1,3,8,2,17
2340,7,5,13,2,9,14,0,14
2400,8,2,16,0,6,9,2,18
2460,16,9,17,0,5,8,3,17
2520,7,4,22,2,7,11,0,15
2580,7,2,22,2,8,11,1,19
2640,15,7,14,0,7,5,2,30
2700,9,4,23,2,3,9,0,20
2760,5,2,31,3,10,12,0,20
2820,13,7,19,0,6,8,2,23
2880,14,7,21,1,2,7,1,26
2940,14,7,32,2,1,13,0,14
3000,16,4,24,0,0,8,1,24
3060,18,10,19,1,0,8,3,32
3120,12,6,24,2,0,12,0,17
3180,12,3,25,0,0,8,0,17
3240,17,10,16,0,0,5,2,26
3300,13,8,24,2,0,10,0,22
3360,12,2,31,0,0,11,1,17
3420,19,10,15,0,0,6,2,21
3480,11,6,23,0,0,8,0,23
3540,17,5,29,2,0,13,0,13
3600,16,6,20,0,0,7,2,22
3660,11,8,18,0,0,8,0,28
3720,13,5,24,0,2,16,0,13
3780,15,4,21,0,0,11,0,17
3840,15,9,16,0,0,8,0,25
3900,8,14,22,0,1,9,0,17
3960,14,10,17,0,0,15,0,29
4020,17,21,12,0,0,7,0,23
4080,13,6,10,0,1,19,0,24
4140,14,5,11,0,0,15,0,10
4200,15,22,0,0,0,11,0,12
4260,12,6,0,0,0,15,0,12
4320,8,20,0,0,0,14,0,0
4380,13,10,0,0,0,18,0,0
4440,17,10,0,0,0,5,0,0
4500,9,12,0,0,0,14,0,0
4560,14,3,0,0,0,12,0,0
4620,18,10,0,0,0,6,0,0
4680,9,7,0,0,0,8,0,0
4740,17,5,0,0,0,7,0,0
4800,16,10,0,0,0,0,0,0
4860,12,0,0,0,0,0,0,0
4920,8,0,0,0,0,0,0,0
4980,6,0,0,0,0,0,0,0
5040,5,0,0,0,0,0,0,0
5100,0,0,0,0,1,0,0,0
