t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,1,0,0
120,0,0,3,6,0,0,6,4
180,0,0,3,5,4,0,1,1
240,0,0,3,6,10,2,0,0
300,1,0,2,6,0,0,8,5
360,4,0,2,7,6,0,4,2
420,6,0,2,11,11,2,0,0
480,10,0,2,7,0,0,9,5
540,9,0,2,6,8,0,5,1
600,9,0,3,5,10,3,0,0
660,10,0,2,4,0,0,10,6
720,18,0,1,1,11,0,3,2
780,17,10,0,0,6,2,1,0
840,11,5,0,0,0,0,8,4
900,6,0,0,0,13,0,3,2
960,8,0,4,5,10,3,0,0
1020,10,0,3,4,0,0,8,5
1080,15,0,2,2,4,0,6,2
1140,14,2,0,1,9,2,0,0
1200,12,6,0,0,1,0,7,4
1260,6,1,0,0,14,0,4,1
1320,3,0,5,6,3,1,8,2
1380,6,0,2,6,0,0,9,4
1440,12,0,2,5,13,4,0,0
1500,16,3,1,2,1,1,8,3
1560,14,4,0,0,5,0,6,3
1620,10,2,0,0,17,5,0,0
1680,4,0,5,5,0,0,9,5
1740,10,0,3,6,0,0,6,3
1800,7,0,3,7,13,6,0,0
1860,15,0,2,3,0,0,7,7
1920,20,10,1,0,0,0,3,10
1980,16,16,0,0,7,5,0,8
2040,16,10,3,0,14,21,0,5
2100,18,9,4,1,0,21,4,23
2160,20,9,10,2,0,36,2,10
2220,21,18,7,2,7,19,0,4
2280,28,26,0,0,0,20,4,20
2340,15,16,0,0,6,26,2,25
2400,18,9,0,0,17,26,0,34
2460,16,29,6,3,2,18,0,42
2520,17,18,5,2,0,48,2,51
2580,24,22,2,1,4,40,0,27
2640,22,22,1,0,1,27,0,12
2700,26,15,0,0,0,33,0,12
2760,17,24,0,0,3,40,1,6
2820,26,6,5,0,7,39,0,11
2880,30,6,7,3,2,30,0,7
2940,27,11,6,2,1,29,0,2
3000,23,25,1,1,2,24,0,10
3060,24,12,5,1,0,40,0,10
3120,12,26,3,0,0,32,2,11
3180,28,7,1,0,5,39,0,11
3240,30,0,7,4,6,29,0,2
3300,29,1,7,2,0,25,0,2
3360,26,8,6,1,0,24,0,0
3420,20,17,3,1,1,17,0,0
3480,18,31,2,0,3,24,0,0
3540,28,8,2,0,0,46,3,7
3600,28,1,10,1,0,32,1,0
3660,29,11,7,0,0,6,0,2
3720,14,6,2,0,0,7,0,0
3780,4,13,0,0,0,15,0,0
3840,7,25,0,0,0,13,0,0
3900,0,24,0,0,0,16,0,0
3960,3,13,0,0,0,22,0,0
4020,8,5,0,0,0,25,0,0
4080,3,17,0,0,0,14,0,0
4140,5,26,0,0,0,16,0,0
4200,9,20,0,0,0,18,0,0
4260,3,13,0,0,0,24,0,0
4320,7,6,0,0,1,21,0,0
4380,0,20,0,0,0,15,0,0
4440,0,4,0,0,0,15,0,0
4500,0,0,0,0,0,2,0,0
4560,0,0,0,0,0,3,0,0
4620,0,1,0,0,0,5,0,0
4680,0,5,0,0,0,0,0,0
4740,0,2,0,0,0,0,0,0
4800,0,0,0,0,0,1,0,0
4860,0,0,0,0,0,3,0,0
4920,0,3,0,0,0,2,0,0
4980,0,7,0,0,0,1,0,0
5040,0,0,0,0,0,1,0,0
5100,0,0,0,0,0,0,0,0
5160,0,0,0,0,0,4,0,0
5220,0,2,0,0,0,0,0,0
5280,0,4,0,0,0,0,0,0
