t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,3,4,0,0,6,4
180,6,0,1,1,0,0,5,3
240,10,3,0,0,5,0,6,2
300,5,0,0,0,10,0,6,1
360,0,0,5,7,11,3,0,0
420,0,0,3,7,5,0,5,0
480,15,0,1,4,0,0,12,5
540,14,2,0,0,8,0,10,3
600,10,2,0,0,14,0,5,2
660,11,0,3,5,12,0,4,1
720,7,0,4,5,14,3,1,0
780,7,0,2,5,9,2,0,0
840,11,0,2,4,2,1,8,2
900,12,0,1,3,0,0,11,4
960,15,4,0,0,6,0,9,3
1020,8,1,0,0,14,0,6,2
1080,11,0,5,7,15,3,2,0
1140,9,0,3,6,8,2,3,0
1200,15,1,1,2,0,0,11,5
1260,15,3,0,0,8,0,8,3
1320,7,2,0,0,10,0,7,2
1380,8,1,0,2,9,0,6,1
1440,8,0,4,7,11,0,4,1
1500,6,0,4,6,11,3,0,0
1560,12,0,2,3,7,2,0,0
1620,11,0,2,2,3,1,5,0
1680,12,1,1,0,0,0,10,5
1740,14,2,0,0,10,0,6,3
1800,7,1,0,0,10,0,5,2
1860,5,0,6,6,13,7,0,1
1920,19,8,4,2,11,9,0,3
1980,9,10,9,2,0,10,6,14
2040,26,27,2,1,1,18,2,10
2100,15,17,0,0,4,20,2,21
2160,20,9,0,0,12,32,0,24
2220,15,7,2,0,0,28,5,31
2280,16,7,6,3,0,17,2,17
2340,16,14,6,1,10,20,0,15
2400,18,19,4,1,3,25,3,19
2460,23,22,0,0,3,27,2,24
2520,17,11,2,0,20,31,0,1
2580,19,7,1,0,1,13,6,33
2640,26,1,4,1,10,32,1,4
2700,22,20,7,3,6,25,0,0
2760,13,7,9,0,0,28,2,21
2820,26,26,6,2,3,32,0,1
2880,16,10,10,2,0,40,4,14
2940,23,18,6,2,1,38,0,5
3000,22,14,6,2,3,32,0,6
3060,37,27,0,0,2,36,0,0
3120,9,27,3,0,1,19,0,0
3180,24,22,0,0,0,39,0,1
3240,16,14,6,0,0,13,2,4
3300,28,3,3,1,4,27,0,1
3360,31,12,3,3,2,35,0,0
3420,17,14,6,2,0,17,1,2
3480,19,11,6,1,1,18,0,1
3540,31,22,3,1,1,32,0,0
3600,20,19,6,2,0,29,0,2
3660,25,11,3,0,0,22,0,1
3720,11,22,0,0,0,0,0,2
3780,7,19,0,0,0,16,0,0
3840,12,7,0,0,0,17,0,0
3900,13,5,0,0,0,17,0,0
3960,3,22,0,0,4,15,0,0
4020,6,25,0,0,0,15,0,0
4080,6,19,0,0,0,19,0,0
4140,3,7,0,0,0,24,0,0
4200,7,9,0,0,0,17,0,0
4260,6,24,0,0,4,15,0,0
4320,2,24,0,0,0,18,0,0
4380,0,4,0,0,0,24,0,0
4440,0,0,0,0,0,7,0,0
4500,0,3,0,0,0,5,0,0
4560,0,7,0,0,0,3,0,0
4620,0,0,0,0,0,1,0,0
4680,0,0,0,0,0,1,0,0
4740,0,0,0,0,0,1,0,0
4800,0,4,0,0,0,4,0,0
4860,0,7,0,0,0,1,0,0
4920,0,0,0,0,0,1,0,0
4980,0,0,0,0,0,1,0,0
5040,0,0,0,0,0,1,0,0
5100,0,0,0,0,0,4,0,0
5160,0,5,0,0,0,3,0,0
5220,0,0,0,0,0,0,0,0
5280,0,0,0,0,0,0,0,0
5340,0,0,0,0,0,0,0,0
