t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,3,4,0,0,5,3
180,8,0,1,3,7,0,1,1
240,13,4,0,0,7,1,0,0
300,13,9,0,0,0,0,8,4
360,11,2,0,1,2,0,6,3
420,10,1,0,0,10,0,5,1
480,5,0,0,1,17,3,2,0
540,10,0,4,5,6,2,0,0
600,10,0,3,5,0,0,8,5
660,15,0,1,2,4,0,5,2
720,18,2,0,0,13,0,2,1
780,8,2,0,0,11,3,0,0
840,11,1,2,6,0,0,7,5
900,17,0,3,4,1,0,4,3
960,15,0,2,1,10,0,1,1
1020,8,0,0,3,7,2,0,0
1080,12,4,1,2,0,1,8,4
1140,12,0,1,0,3,0,6,3
1200,13,2,0,0,14,0,2,1
1260,11,3,0,0,12,2,0,0
1320,14,0,3,4,1,1,4,2
1380,12,0,2,5,0,0,6,4
1440,10,0,2,4,0,0,5,4
1500,22,5,1,0,11,0,2,1
1560,10,3,0,0,14,2,1,0
1620,6,0,3,5,8,1,0,0
1680,8,0,4,5,0,0,6,5
1740,21,0,1,1,0,0,4,3
1800,8,0,1,2,4,0,3,2
1860,12,3,1,0,12,0,2,2
1920,16,14,5,4,7,7,1,4
1980,6,8,6,2,9,8,0,4
2040,14,12,10,3,9,15,0,0
2100,20,19,7,2,3,18,0,7
2160,19,20,4,0,4,17,0,14
2220,22,22,3,1,3,32,0,11
2280,17,29,0,0,5,14,0,23
2340,14,13,3,0,0,24,4,38
2400,25,11,1,0,13,34,0,3
2460,19,18,3,0,13,27,0,15
2520,16,9,5,0,1,26,5,38
2580,21,7,10,3,0,30,2,14
2640,19,5,7,3,2,21,1,23
2700,29,14,5,1,6,31,0,1
2760,22,18,2,1,4,24,0,9
2820,29,19,0,0,0,27,0,14
2880,17,21,2,0,0,29,3,15
2940,29,17,0,0,0,29,2,8
3000,27,10,0,0,0,20,2,10
3060,21,6,2,0,0,24,2,9
3120,31,8,6,3,1,16,0,0
3180,30,8,4,2,0,27,0,0
3240,24,11,3,1,0,14,1,1
3300,25,17,3,1,3,23,0,0
3360,23,22,0,0,0,17,0,0
3420,25,13,1,0,4,27,0,0
3480,18,10,0,0,2,18,0,7
3540,33,7,5,0,2,27,0,7
3600,27,4,7,3,0,26,1,6
3660,22,13,8,0,0,7,0,6
3720,20,9,0,0,0,15,0,2
3780,9,16,0,0,0,12,0,0
3840,8,22,0,0,2,6,0,0
3900,9,17,0,0,0,9,0,0
3960,5,9,0,0,0,11,0,0
4020,6,11,0,0,0,9,0,0
4080,7,20,0,0,0,6,0,0
4140,0,22,0,0,3,14,0,0
4200,3,13,0,0,0,11,0,0
4260,13,4,0,0,0,14,0,0
4320,6,16,0,0,0,5,0,0
4380,8,24,0,0,0,10,0,0
4440,9,21,0,0,2,11,0,0
4500,2,10,0,0,0,13,0,0
4560,6,5,0,0,0,13,0,0
4620,0,9,0,0,0,7,0,0
4680,0,5,0,0,0,5,0,0
4740,0,0,0,0,0,1,0,0
4800,0,0,0,0,0,0,0,0
4860,0,0,0,0,0,0,0,0
4920,0,3,0,0,0,0,0,0
4980,0,3,0,0,0,4,0,0
5040,0,0,0,0,0,0,0,0
5100,0,0,0,0,0,0,0,0
5160,0,0,0,0,0,0,0,0
5220,0,3,0,0,0,0,0,0
5280,0,0,0,0,0,2,0,0
5340,0,0,0,0,0,0,0,0
