t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,1,2,1,5,0,0,8,4
180,0,1,2,4,0,0,7,3
240,3,0,1,5,1,0,6,3
300,11,2,0,2,10,0,4,1
360,11,2,1,3,12,3,0,0
420,7,0,2,6,10,2,0,0
480,3,0,3,7,0,0,10,5
540,17,0,1,3,3,0,8,3
600,10,0,0,0,17,2,2,1
660,9,0,5,8,6,2,3,0
720,10,0,4,7,0,0,8,4
780,11,0,3,6,2,0,7,2
840,3,0,0,4,12,0,3,1
900,6,0,5,9,4,0,5,0
960,7,0,3,8,1,0,9,4
1020,11,0,2,7,5,0,6,1
1080,0,0,5,10,7,2,5,0
1140,13,0,2,7,0,0,12,5
1200,15,0,1,4,5,0,9,2
1260,8,1,0,0,17,5,1,0
1320,9,3,0,3,4,1,7,0
1380,12,0,1,5,0,0,12,4
1440,11,3,0,0,6,0,10,3
1500,4,0,0,8,19,6,0,0
1560,11,0,4,10,0,0,14,6
1620,13,0,2,8,0,0,10,3
1680,18,2,0,1,13,0,6,0
1740,14,6,0,0,7,2,3,0
1800,8,0,1,5,6,1,0,0
1860,10,0,2,4,0,0,6,5
1920,12,13,5,0,14,5,1,8
1980,19,10,0,0,5,12,0,9
2040,24,10,1,0,0,14,4,19
2100,16,31,0,0,0,27,3,20
2160,20,6,4,0,0,45,3,20
2220,23,10,4,3,3,21,1,5
2280,1,29,10,5,4,7,1,22
2340,20,18,6,1,0,41,4,34
2400,22,17,0,1,0,32,3,24
2460,7,10,6,1,6,21,2,13
2520,21,19,2,1,12,18,0,27
2580,12,2,6,2,2,23,0,21
2640,28,15,1,0,5,33,0,1
2700,13,0,6,3,2,26,0,10
2760,26,4,5,1,0,33,2,14
2820,20,8,0,0,0,16,2,9
2880,16,21,7,4,8,36,0,0
2940,24,27,3,1,8,21,0,6
3000,31,22,0,0,0,52,0,0
3060,27,12,1,0,0,30,0,1
3120,21,14,0,0,0,22,2,3
3180,25,13,0,0,2,37,0,0
3240,21,16,1,1,2,22,0,0
3300,16,0,6,3,0,21,0,2
3360,28,9,3,1,1,29,0,0
3420,24,17,1,1,1,21,0,2
3480,18,7,6,0,0,25,0,0
3540,24,14,0,0,1,23,0,0
3600,12,13,6,2,0,22,4,6
3660,26,4,5,0,0,12,3,6
3720,7,11,1,0,0,14,0,3
3780,7,24,0,0,0,15,0,0
3840,10,23,0,0,0,20,0,0
3900,3,16,0,0,0,21,0,0
3960,18,3,0,0,0,22,0,0
4020,4,11,0,0,0,11,0,0
4080,6,25,0,0,0,14,0,0
4140,10,22,0,0,0,22,0,0
4200,0,13,0,0,0,20,0,0
4260,5,6,0,0,0,23,0,0
4320,4,16,0,0,0,9,0,0
4380,4,25,0,0,0,19,0,0
4440,0,0,0,0,0,26,0,0
4500,0,0,0,0,0,1,0,0
4560,0,0,0,0,0,1,0,0
4620,0,0,0,0,0,1,0,0
4680,0,4,0,0,0,0,0,0
4740,0,0,0,0,0,4,0,0
4800,0,0,0,0,0,1,0,0
4860,0,0,0,0,0,0,0,0
4920,0,0,0,0,0,0,0,0
4980,0,1,0,0,0,0,0,0
5040,0,0,0,0,0,3,0,0
5100,0,0,0,0,0,0,0,0
5160,0,0,0,0,0,0,0,0
5220,0,0,0,0,0,0,0,0
5280,0,0,0,0,0,0,0,0
