t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,1,1,0,1,0,0
120,6,3,0,0,1,0,1,1
180,8,0,2,2,4,0,0,1
240,5,0,1,2,3,0,3,2
300,7,4,0,0,7,0,2,1
360,7,1,1,2,7,1,1,0
420,5,2,0,0,4,0,4,2
480,5,2,1,5,7,0,1,1
540,2,0,2,6,6,1,2,1
600,5,0,1,6,8,2,0,0
660,4,1,1,6,8,2,0,0
720,16,1,1,2,3,0,3,2
780,4,0,1,5,0,0,4,3
840,5,3,0,2,0,0,3,1
900,10,8,0,0,1,0,4,1
960,10,7,0,1,4,0,1,0
1020,8,9,0,1,7,0,1,0
1080,7,6,0,2,4,1,0,0
1140,4,5,0,0,5,0,2,1
1200,9,8,0,1,6,0,2,0
1260,1,0,3,6,11,2,0,0
1320,6,0,1,5,4,0,4,2
1380,3,0,0,5,3,0,3,1
1440,7,4,0,2,10,2,0,0
1500,5,2,1,5,7,2,0,0
1560,7,4,0,3,7,1,0,0
1620,9,9,0,1,5,1,0,0
1680,8,6,0,1,5,2,0,0
1740,13,3,0,2,6,1,0,0
1800,10,0,2,6,7,0,2,1
1860,7,3,0,0,7,3,0,0
1920,6,14,3,6,6,7,0,1
1980,4,5,5,3,8,9,0,0
2040,9,9,0,0,5,6,0,0
2100,6,7,0,0,5,10,1,2
2160,9,8,2,0,7,12,1,2
2220,6,6,1,1,6,7,3,4
2280,11,6,4,1,3,5,5,7
2340,8,14,6,0,3,4,8,17
2400,5,6,0,0,3,19,3,8
2460,12,8,1,0,0,9,9,14
2520,0,18,6,3,0,9,5,19
2580,4,7,6,1,4,20,8,10
2640,10,9,0,0,9,15,4,7
2700,6,7,1,1,7,11,3,6
2760,13,5,1,0,10,10,10,19
2820,3,3,6,1,15,19,0,11
2880,8,3,6,0,6,6,8,26
2940,8,9,0,0,5,12,8,22
3000,7,5,4,1,6,5,6,14
3060,4,5,4,0,7,14,0,5
3120,9,7,0,0,12,14,2,12
3180,8,7,4,0,9,12,0,6
3240,6,8,7,1,9,9,1,6
3300,7,4,6,0,6,12,1,11
3360,10,6,3,0,6,8,0,13
3420,8,6,4,1,7,10,0,9
3480,6,9,6,0,8,20,0,4
3540,10,6,5,0,4,11,0,11
3600,17,9,2,0,5,10,1,18
3660,7,7,5,0,1,7,0,15
3720,11,5,0,0,0,12,0,16
3780,11,10,0,0,0,20,0,7
3840,6,14,0,0,1,13,0,7
3900,2,5,0,0,0,7,0,15
3960,5,8,0,0,4,11,0,0
4020,3,12,0,0,1,16,0,0
4080,1,4,0,0,0,16,0,0
4140,3,4,0,0,0,7,0,0
4200,5,13,0,0,2,12,0,0
4260,5,15,0,0,0,2,0,0
4320,4,7,0,0,0,13,0,0
4380,3,8,0,0,0,4,0,0
4440,7,3,0,0,0,6,0,0
4500,10,9,0,0,0,20,0,0
4560,7,14,0,0,0,1,0,0
4620,3,10,0,0,1,23,0,0
4680,6,9,0,0,0,4,0,0
4740,9,14,0,0,0,16,0,0
4800,5,13,0,0,3,22,0,0
4860,4,12,0,0,0,0,0,0
4920,2,8,0,0,0,2,0,0
4980,3,4,0,0,0,10,0,0
5040,8,15,0,0,0,7,0,0
5100,4,15,0,0,0,2,0,0
5160,1,14,0,0,2,16,0,0
5220,0,3,0,0,0,0,0,0
5280,0,3,0,0,0,5,0,0
5340,0,2,0,0,0,9,0,0
5400,0,0,0,0,0,1,0,0
5460,0,0,0,0,0,1,0,0
5520,0,0,0,0,0,1,0,0
5580,0,5,0,0,0,1,0,0
5640,0,1,0,0,0,1,0,0
5700,0,0,0,0,0,0,0,0
5760,0,0,0,0,0,0,0,0
5820,0,0,0,0,0,0,0,0
