t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,0,0,0,0,4,3
120,6,2,0,0,0,0,7,4
180,10,0,2,2,0,0,3,2
240,10,5,0,0,0,0,11,3
300,5,1,0,2,0,0,14,3
360,10,5,0,0,0,0,19,4
420,6,0,2,1,0,0,19,3
480,7,0,1,3,3,0,14,0
540,7,4,0,0,0,0,19,4
600,3,0,3,4,0,0,22,4
660,13,2,0,1,0,0,22,4
720,6,0,1,2,0,0,20,4
780,2,0,2,4,1,1,15,0
840,8,5,0,0,0,0,19,4
900,10,2,0,2,0,0,21,4
960,9,6,0,0,0,0,22,4
1020,2,0,1,3,0,0,22,4
1080,9,0,3,4,1,1,17,0
1140,12,4,0,1,6,2,12,0
1200,6,0,2,2,4,1,16,0
1260,10,7,1,1,5,1,16,0
1320,9,4,1,1,1,0,21,3
1380,8,2,0,0,2,1,16,0
1440,6,0,1,2,6,1,15,0
1500,5,5,0,0,5,2,14,0
1560,8,1,1,3,3,1,16,0
1620,10,5,0,0,3,1,16,0
1680,8,6,0,0,9,3,8,0
1740,4,0,1,4,11,1,6,0
1800,4,0,4,5,11,3,8,0
1860,14,5,0,0,10,5,6,2
1920,15,5,2,1,6,0,11,6
1980,3,3,2,2,4,5,3,3
2040,8,10,0,0,5,13,5,2
2100,3,3,6,3,4,6,9,10
2160,2,8,15,8,4,8,4,5
2220,14,22,13,3,12,12,0,7
2280,36,20,11,2,16,19,1,3
2340,16,6,18,2,0,11,4,21
2400,0,19,37,10,4,4,5,14
2460,33,31,7,1,7,29,0,23
2520,2,26,37,4,0,32,5,31
2580,38,38,6,0,0,29,3,36
2640,1,19,40,6,8,48,0,44
2700,37,38,2,0,0,16,6,38
2760,35,28,0,0,3,47,0,23
2820,28,23,5,1,0,25,5,31
2880,20,17,0,0,2,41,0,15
2940,16,13,7,0,8,35,0,18
3000,27,19,2,0,0,22,6,37
3060,19,9,2,0,8,35,0,6
3120,17,12,4,0,5,28,1,3
3180,21,7,5,0,0,23,1,8
3240,12,11,3,0,0,8,2,42
3300,16,6,4,0,0,40,1,4
3360,7,5,1,0,5,19,0,6
3420,6,17,2,1,5,20,1,6
3480,10,9,5,0,5,16,1,4
3540,6,7,5,0,0,7,4,26
3600,9,7,9,2,3,29,0,24
3660,9,4,5,0,5,36,0,2
3720,1,15,1,0,3,25,0,5
3780,23,1,0,0,0,25,0,7
3840,17,3,0,0,4,18,0,0
3900,15,9,0,0,4,38,0,0
3960,12,20,0,0,0,7,0,0
4020,10,12,0,0,0,13,0,0
4080,8,3,0,0,0,15,0,0
4140,4,17,0,0,8,12,0,0
4200,5,28,0,0,0,16,0,0
4260,9,20,0,0,0,19,0,0
4320,4,10,0,0,0,25,0,0
4380,8,7,0,0,0,20,0,0
4440,4,21,0,0,0,15,0,0
4500,3,23,0,0,0,16,0,0
4560,0,4,0,0,0,18,0,0
4620,0,0,0,0,0,6,0,0
4680,0,4,0,0,0,4,0,0
4740,0,6,0,0,0,0,0,0
4800,0,3,0,0,0,0,0,0
4860,0,0,0,0,0,0,0,0
4920,0,0,0,0,0,2,0,0
4980,0,4,0,0,0,1,0,0
5040,0,6,0,0,0,1,0,0
5100,0,0,0,0,0,1,0,0
5160,0,0,0,0,0,2,0,0
5220,0,0,0,0,0,2,0,0
5280,0,0,0,0,0,1,0,0
5340,0,1,0,0,0,1,0,0
5400,0,0,0,0,0,1,0,0
5460,0,0,0,0,0,1,0,0
5520,0,0,0,0,0,0,0,0
