t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,9,0,0,0,0,0,1,1
120,0,1,2,3,3,1,0,0
180,5,2,0,0,2,0,0,0
240,3,0,2,6,3,0,4,2
300,3,0,0,6,5,0,2,1
360,1,0,4,10,6,1,0,0
420,7,0,4,16,4,0,0,0
480,4,0,4,18,4,0,4,1
540,21,0,2,10,5,0,1,0
600,12,0,3,9,3,0,3,2
660,7,0,3,19,5,0,3,1
720,10,0,4,20,3,1,2,0
780,9,2,0,16,3,0,6,2
840,15,5,0,15,6,0,2,1
900,16,0,2,11,5,0,7,2
960,9,0,2,16,1,0,8,2
1020,11,0,2,11,5,0,8,2
1080,7,0,2,11,3,0,10,2
1140,13,0,2,9,3,1,6,0
1200,13,0,1,13,6,1,4,0
1260,9,0,2,15,8,0,6,1
1320,11,0,2,9,13,4,0,0
1380,0,0,3,16,8,3,3,0
1440,8,0,3,14,4,0,8,0
1500,9,0,3,19,8,0,3,1
1560,8,0,4,20,5,0,10,3
1620,4,0,4,21,9,3,5,0
1680,15,0,4,24,0,0,16,5
1740,14,0,3,20,0,0,14,4
1800,12,0,3,14,11,0,7,1
1860,8,1,0,10,11,2,5,2
1920,11,1,3,6,4,3,5,1
1980,8,6,0,1,9,8,2,3
2040,7,8,0,1,9,9,0,0
2100,0,33,10,10,5,4,0,0
2160,7,7,15,10,20,47,0,1
2220,14,7,16,9,0,16,6,16
2280,7,18,18,5,32,34,1,2
2340,21,5,37,19,0,1,6,24
2400,14,1,24,11,15,19,0,7
2460,20,28,29,1,0,11,5,30
2520,2,18,40,7,32,44,0,7
2580,20,13,32,12,0,9,6,36
2640,10,10,27,9,22,37,0,0
2700,27,12,38,0,0,10,6,37
2760,3,10,40,11,25,44,0,3
2820,18,0,31,14,0,1,5,37
2880,18,14,28,6,5,4,6,15
2940,12,27,42,5,2,16,3,39
3000,8,13,35,13,8,40,1,9
3060,8,6,23,4,19,27,0,7
3120,13,6,17,8,22,26,0,10
3180,15,23,40,2,0,19,2,25
3240,16,10,35,10,19,41,0,7
3300,16,7,29,9,0,17,6,41
3360,15,7,31,4,10,39,0,4
3420,7,21,42,7,0,6,3,17
3480,14,10,35,14,2,33,0,28
3540,19,6,26,10,5,36,0,6
3600,7,16,37,6,0,13,4,29
3660,20,20,40,7,4,44,0,2
3720,18,9,31,5,0,18,0,8
3780,12,4,33,0,1,9,0,0
3840,9,19,36,0,0,7,0,0
3900,17,22,38,0,0,18,0,0
3960,5,17,40,0,0,22,0,0
4020,11,11,33,0,0,27,0,0
4080,17,8,33,0,0,20,0,0
4140,7,24,38,0,0,21,0,0
4200,3,23,41,0,0,24,0,0
4260,1,17,35,0,0,29,0,0
4320,0,6,33,0,4,28,0,0
4380,0,21,3,0,0,17,0,0
4440,0,12,22,0,0,20,0,0
4500,0,17,17,0,0,15,0,0
4560,0,28,9,0,0,22,0,0
4620,0,5,23,0,0,28,0,0
4680,0,5,19,0,0,17,0,0
4740,0,9,1,0,0,4,0,0
4800,0,3,0,0,0,3,0,0
4860,0,0,0,0,0,6,0,0
4920,0,0,0,0,0,2,0,0
4980,0,3,0,0,0,0,0,0
5040,0,7,0,0,0,0,0,0
5100,0,1,0,0,0,0,0,0
5160,0,0,0,0,0,4,0,0
5220,0,0,0,0,0,0,0,0
5280,0,0,0,0,0,0,0,0
5340,0,1,0,0,0,1,0,0
5400,0,0,0,0,0,0,0,0
