t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,0,0,0,0,1,1
120,0,0,1,1,0,0,0,0
180,0,0,1,1,0,0,1,1
240,3,0,0,0,0,0,1,1
300,0,0,1,1,0,1,0,0
360,0,0,0,0,0,0,1,0
420,1,2,0,0,0,0,0,0
480,0,0,0,1,0,0,0,0
540,0,0,1,1,0,0,2,0
600,4,0,0,0,0,0,1,1
660,0,0,0,1,0,1,0,0
720,0,0,1,1,0,0,1,0
780,1,2,0,0,0,0,0,1
840,0,0,1,2,0,1,0,0
900,0,0,1,0,0,0,1,0
960,1,1,0,0,0,0,1,0
1020,0,0,1,3,0,1,0,0
1080,0,0,1,1,0,0,1,0
1140,1,0,0,0,0,0,1,1
1200,0,0,2,1,0,0,0,0
1260,0,0,0,0,0,0,1,0
1320,2,2,0,0,0,0,0,0
1380,0,0,0,1,0,1,0,0
1440,0,0,1,1,0,0,1,1
1500,1,1,0,0,0,0,1,0
1560,0,0,1,2,0,1,0,0
1620,0,0,1,1,0,0,0,1
1680,1,1,0,0,0,0,1,1
1740,0,0,1,2,0,1,0,0
1800,0,0,0,0,0,0,1,1
1860,0,0,1,1,0,1,2,3
1920,1,0,1,0,0,0,1,1
1980,0,0,1,1,0,0,2,3
2040,0,0,3,2,0,0,1,1
2100,0,0,0,1,0,0,0,0
2160,2,0,0,0,0,0,1,1
2220,1,0,1,1,0,1,0,0
2280,1,1,0,0,0,0,0,1
2340,0,0,1,1,0,1,0,0
2400,0,0,3,2,0,0,1,1
2460,0,0,1,1,0,1,0,0
2520,2,1,0,0,0,0,1,1
2580,0,0,1,1,0,2,0,0
2640,0,0,3,2,0,0,1,1
2700,0,0,1,0,0,0,1,2
2760,1,0,0,0,0,0,1,1
2820,2,0,1,0,1,2,0,0
2880,0,0,0,0,0,0,1,1
2940,0,0,1,1,0,0,0,0
3000,1,0,0,0,0,0,1,1
3060,0,0,1,1,0,0,0,0
3120,0,0,2,1,0,1,0,0
3180,2,0,0,0,0,0,1,1
3240,0,0,1,1,0,1,0,0
3300,0,0,1,1,0,0,1,2
3360,0,0,2,1,0,0,0,0
3420,0,0,1,1,0,0,1,1
3480,0,0,1,1,0,0,1,1
3540,0,0,1,0,0,0,1,2
3600,0,0,3,2,0,0,1,1
3660,0,3,0,0,0,0,0,0
