t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,1,1,0,0,0,0
120,3,0,0,0,0,0,2,1
180,0,0,2,2,0,0,1,1
240,0,0,1,1,1,1,0,0
300,2,1,0,0,0,0,2,1
360,0,0,2,2,0,0,1,0
420,0,0,0,1,1,0,0,0
480,3,1,0,0,0,0,3,1
540,0,0,1,2,0,0,1,1
600,0,0,1,1,1,1,0,0
660,2,1,0,0,0,0,2,1
720,0,0,2,2,0,0,1,1
780,0,0,1,1,1,0,0,0
840,2,1,0,0,0,0,2,0
900,0,0,1,1,0,0,0,1
960,0,0,1,1,3,1,0,0
1020,1,1,0,0,0,0,1,1
1080,0,0,1,2,0,0,1,0
1140,0,0,1,1,5,1,0,0
1200,2,0,0,0,0,0,1,2
1260,0,0,2,2,0,0,1,0
1320,0,0,0,1,2,2,0,0
1380,2,1,0,0,0,0,2,1
1440,0,0,2,2,0,0,1,1
1500,0,0,1,1,3,1,0,0
1560,3,0,0,0,0,0,1,1
1620,0,0,1,3,0,0,0,1
1680,0,0,1,1,2,1,0,0
1740,1,0,0,0,0,0,3,1
1800,0,0,2,2,0,0,1,1
1860,0,0,1,1,0,1,0,1
1920,1,0,0,0,0,0,1,1
1980,1,0,3,2,0,0,1,1
2040,0,0,0,1,1,1,0,0
2100,1,1,0,0,0,0,1,2
2160,0,0,3,2,0,0,1,0
2220,1,0,1,1,0,0,0,0
2280,1,1,0,0,0,0,1,1
2340,0,0,2,1,0,0,0,1
2400,0,0,1,1,2,2,0,0
2460,2,0,0,0,0,0,1,1
2520,0,0,2,2,0,0,1,1
2580,1,0,1,1,1,1,0,0
2640,1,0,0,0,0,0,1,2
2700,1,0,2,2,0,0,1,1
2760,1,0,1,1,0,1,0,0
2820,2,2,1,0,0,0,1,1
2880,0,0,2,1,0,0,1,1
2940,1,0,1,1,0,1,0,0
3000,1,0,0,0,0,0,1,2
3060,0,0,2,1,0,0,1,0
3120,0,0,1,1,1,2,0,0
3180,2,0,0,0,0,0,1,1
3240,0,0,3,1,0,0,0,1
3300,1,0,1,1,1,2,0,0
3360,1,0,0,0,0,0,1,2
3420,0,0,3,1,0,0,1,1
3480,2,0,1,1,1,2,0,0
3540,2,0,0,0,0,0,1,2
3600,0,0,3,1,0,0,1,1
3660,0,0,0,0,0,0,0,0
