t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,1,0,0,0,1,1
120,3,0,0,0,0,0,2,1
180,0,0,2,2,0,0,0,0
240,2,0,0,0,0,0,1,1
300,0,0,1,1,0,1,0,0
360,0,0,0,0,0,0,1,0
420,0,0,2,2,0,0,3,2
480,2,4,0,0,3,0,0,0
540,0,0,1,2,0,0,1,1
600,4,0,0,0,1,0,0,0
660,0,0,1,2,2,0,0,0
720,3,0,0,0,0,0,1,1
780,0,0,1,3,0,1,0,0
840,1,0,0,0,0,0,2,0
900,0,0,1,1,0,0,0,1
960,1,0,0,0,0,0,3,1
1020,0,0,1,3,0,0,0,1
1080,2,0,0,0,0,0,3,1
1140,0,0,2,1,2,1,0,0
1200,0,0,1,1,0,0,1,1
1260,3,0,0,0,0,0,3,0
1320,0,0,0,1,1,1,0,0
1380,1,0,0,0,0,0,2,1
1440,0,0,1,2,0,0,0,1
1500,0,0,1,0,0,0,2,0
1560,1,1,0,0,0,0,3,2
1620,0,0,1,2,2,0,0,0
1680,1,1,0,0,0,0,2,1
1740,0,0,2,3,0,0,0,0
1800,0,0,1,1,0,0,1,1
1860,1,0,0,0,0,0,2,2
1920,0,0,2,1,0,0,1,1
1980,1,2,0,0,1,3,0,1
2040,0,0,0,1,0,0,2,1
2100,0,0,2,2,0,1,0,0
2160,0,0,1,1,1,3,0,0
2220,1,0,1,0,0,0,1,2
2280,1,0,1,1,0,4,0,0
2340,0,4,1,0,1,0,0,0
2400,0,0,2,1,0,0,1,1
2460,1,4,0,0,0,0,1,0
2520,0,0,2,1,0,0,1,2
2580,0,3,1,0,0,0,1,0
2640,1,0,1,1,0,1,0,0
2700,0,0,1,1,0,0,1,1
2760,0,0,3,2,0,1,0,0
2820,0,0,0,0,0,0,1,2
2880,0,0,2,1,0,1,0,1
2940,0,0,1,1,0,0,1,3
3000,0,2,0,0,0,1,1,0
3060,0,0,1,1,0,0,1,1
3120,1,2,0,0,0,0,1,0
3180,0,4,1,0,0,0,1,0
3240,0,0,1,1,0,0,0,2
3300,0,2,0,0,2,3,0,0
3360,0,0,1,1,0,0,1,1
3420,1,1,0,0,0,0,0,0
3480,2,0,1,1,0,0,2,1
3540,0,0,3,1,1,1,0,1
3600,0,0,0,0,0,0,1,1
3660,0,0,0,0,0,0,0,0
