t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,1,3,0,0,0,0
120,3,0,0,0,0,0,2,1
180,0,0,2,1,0,0,0,0
240,3,0,0,0,0,0,1,1
300,0,0,1,1,0,1,0,0
360,3,1,0,0,0,0,1,0
420,0,0,0,2,0,0,0,0
480,3,1,0,0,0,0,3,1
540,0,0,1,1,0,0,0,0
600,3,0,0,0,0,0,2,1
660,0,0,1,2,1,1,0,0
720,1,0,0,0,0,0,1,1
780,0,0,1,3,0,0,0,0
840,1,0,0,0,0,0,2,0
900,0,0,1,1,0,0,0,1
960,3,1,0,0,0,0,1,1
1020,0,0,1,1,0,1,0,0
1080,1,0,0,0,0,0,1,0
1140,0,0,1,1,0,0,0,0
1200,2,0,0,0,0,0,1,1
1260,0,0,1,1,0,0,0,0
1320,2,0,0,0,0,0,1,1
1380,0,0,0,1,0,0,0,1
1440,2,0,0,0,0,0,1,2
1500,0,0,1,1,0,0,0,0
1560,1,0,0,0,0,0,1,1
1620,0,0,1,1,1,0,0,0
1680,1,0,0,0,0,0,1,1
1740,0,0,1,2,0,1,0,0
1800,0,0,0,0,0,0,2,1
1860,0,0,1,1,0,3,0,0
1920,0,0,0,0,0,0,1,2
1980,0,0,3,2,0,0,1,1
2040,0,0,0,1,0,0,2,3
2100,0,0,0,0,0,0,1,1
2160,2,0,1,1,0,1,0,0
2220,0,0,1,1,0,1,0,0
2280,1,0,0,0,0,0,1,1
2340,1,0,1,1,0,1,0,0
2400,2,2,0,0,0,0,1,1
2460,0,0,1,1,1,1,0,0
2520,2,1,0,0,0,0,1,2
2580,0,0,1,1,0,2,0,0
2640,0,0,1,0,0,0,1,1
2700,0,0,1,1,0,0,0,0
2760,1,0,1,1,0,0,0,0
2820,0,0,0,1,0,0,2,3
2880,0,0,1,1,0,0,0,1
2940,0,0,1,1,0,0,1,2
3000,1,0,2,1,0,0,1,1
3060,0,0,1,1,0,0,1,1
3120,2,0,3,2,0,0,1,1
3180,1,2,0,0,0,0,1,1
3240,0,0,1,1,0,0,0,0
3300,0,0,0,0,0,0,1,1
3360,1,0,1,1,0,2,0,0
3420,0,0,0,0,0,0,1,2
3480,0,0,1,1,1,1,0,0
3540,2,1,0,0,0,0,1,0
3600,0,0,3,1,0,0,0,0
3660,0,0,0,0,0,0,0,0
