t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,1,1
120,0,0,1,1,1,1,0,0
180,0,0,0,0,0,0,2,1
240,0,0,1,1,0,0,0,0
300,2,1,0,0,0,0,2,1
360,0,0,1,1,0,0,0,0
420,2,0,0,0,0,0,2,1
480,0,0,1,1,0,1,0,0
540,1,0,0,0,0,0,3,1
600,0,0,1,1,2,0,0,0
660,2,0,0,0,0,0,1,1
720,0,0,1,1,0,1,0,0
780,1,1,0,0,0,0,0,1
840,0,0,1,1,0,1,0,0
900,1,1,0,0,0,0,1,1
960,1,0,0,0,0,0,3,2
1020,0,0,1,3,0,0,0,0
1080,2,0,0,0,0,0,2,0
1140,0,0,2,1,2,1,0,0
1200,2,0,0,0,0,0,1,1
1260,0,0,1,1,0,0,3,2
1320,0,2,0,0,0,0,1,1
1380,0,0,0,1,1,1,0,0
1440,3,0,0,0,0,0,1,1
1500,0,0,1,1,1,1,0,0
1560,2,0,0,0,0,0,1,1
1620,0,0,1,1,0,0,3,2
1680,0,1,0,0,0,0,1,1
1740,0,0,1,1,1,1,0,0
1800,1,0,0,0,0,0,1,1
1860,0,0,1,1,0,2,0,0
1920,1,0,0,0,0,0,1,1
1980,1,0,2,1,0,0,0,0
2040,0,0,0,0,0,0,0,0
2100,2,0,0,0,0,0,1,1
2160,2,0,1,1,1,3,0,0
2220,0,0,0,0,0,0,2,2
2280,1,0,2,2,0,0,0,1
2340,0,0,1,1,1,0,0,0
2400,1,2,0,0,0,0,1,1
2460,0,0,1,1,0,1,0,0
2520,2,1,0,0,0,0,1,2
2580,0,0,1,1,0,0,0,0
2640,1,0,1,1,0,1,0,0
2700,0,0,3,2,0,0,1,1
2760,1,0,1,1,0,1,0,0
2820,2,0,0,0,0,0,1,1
2880,0,0,1,1,0,3,0,0
2940,0,0,1,1,0,0,1,2
3000,1,0,2,1,0,0,1,1
3060,0,0,1,1,1,0,0,0
3120,1,3,0,0,0,0,1,0
3180,2,0,1,1,0,1,0,0
3240,0,0,1,0,0,0,1,3
3300,0,0,1,1,0,0,1,1
3360,1,0,1,1,0,1,0,0
3420,0,0,3,2,0,0,1,1
3480,2,0,1,1,0,2,0,0
3540,2,0,0,0,0,0,1,0
3600,0,0,1,1,0,2,0,1
3660,0,1,0,0,0,0,0,0
