t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,0,0,0,0,1,1
120,0,0,1,1,0,0,1,0
180,0,0,2,3,0,0,1,1
240,0,0,1,1,0,0,3,2
300,0,0,0,0,0,0,1,1
360,0,0,1,1,0,0,2,0
420,0,0,1,3,0,0,1,1
480,0,0,1,0,0,0,3,2
540,0,0,1,2,0,0,0,0
600,3,0,0,0,0,0,2,2
660,0,0,1,2,0,0,0,0
720,2,0,0,0,0,0,1,1
780,1,0,0,0,0,0,2,2
840,0,0,1,1,1,1,0,0
900,1,0,0,0,0,0,1,1
960,0,0,1,1,0,1,0,0
1020,0,0,0,0,0,0,1,1
1080,0,0,1,1,1,0,0,0
1140,1,0,0,0,0,0,1,1
1200,0,0,1,1,0,0,0,0
1260,2,0,0,0,0,0,1,0
1320,0,0,0,1,1,2,0,0
1380,2,0,0,0,0,0,2,1
1440,0,0,1,1,0,1,0,0
1500,3,0,0,0,0,0,1,0
1560,0,0,1,1,0,1,0,0
1620,1,0,0,0,0,0,1,1
1680,0,0,1,1,1,1,0,0
1740,0,0,0,0,0,0,3,1
1800,0,0,1,1,2,1,0,0
1860,0,0,0,0,0,0,0,1
1920,0,0,1,1,0,4,0,0
1980,0,0,1,0,0,0,1,3
2040,0,0,1,1,0,0,0,0
2100,1,1,0,0,0,0,1,2
2160,2,0,1,1,0,0,1,0
2220,0,0,1,1,0,0,2,3
2280,1,1,0,0,0,0,0,1
2340,1,0,1,1,1,1,0,0
2400,1,1,0,0,0,0,1,1
2460,0,0,1,1,0,1,0,0
2520,2,1,0,0,0,0,1,2
2580,0,0,1,1,0,1,0,0
2640,1,0,0,0,0,0,1,2
2700,0,0,1,1,0,0,1,1
2760,0,0,0,0,0,0,1,2
2820,2,0,2,0,0,0,1,1
2880,2,0,1,1,0,1,0,0
2940,1,0,0,0,0,0,1,1
3000,1,0,1,1,1,1,0,0
3060,1,0,0,0,0,0,1,0
3120,2,0,1,1,0,2,0,0
3180,2,0,0,0,0,0,1,1
3240,0,0,1,1,0,1,0,0
3300,0,0,0,0,0,0,1,2
3360,0,0,2,1,0,0,0,0
3420,0,0,1,0,0,0,1,2
3480,0,0,1,1,0,0,1,1
3540,0,1,0,0,1,2,0,0
3600,0,1,0,0,0,0,1,1
3660,0,0,0,0,0,0,0,0
