t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,0,0
120,3,0,0,0,0,0,2,1
180,0,0,2,1,0,0,1,1
240,0,0,0,0,0,0,1,1
300,0,0,0,0,0,0,1,0
360,3,0,0,0,0,0,2,1
420,2,2,0,0,0,0,1,1
480,0,0,1,2,0,0,0,1
540,2,1,0,0,0,0,1,1
600,0,0,1,1,0,0,0,0
660,0,0,1,1,0,0,3,1
720,2,1,0,0,0,0,1,1
780,2,1,0,0,0,0,0,1
840,0,0,1,2,0,0,1,0
900,0,0,1,1,0,0,0,1
960,0,0,1,1,2,0,1,0
1020,1,0,0,0,5,0,0,0
1080,4,0,0,0,0,0,1,0
1140,3,0,0,0,0,0,1,1
1200,0,0,2,1,0,0,1,1
1260,0,0,1,1,0,0,3,0
1320,0,0,0,1,0,0,1,1
1380,0,0,0,1,0,0,1,1
1440,1,0,0,0,0,0,1,1
1500,0,0,1,2,0,0,1,0
1560,0,0,1,1,0,0,0,0
1620,0,0,1,1,0,0,3,1
1680,1,2,0,0,5,0,0,0
1740,3,0,0,0,2,1,0,0
1800,2,0,0,0,3,1,0,0
1860,0,0,1,1,5,3,0,0
1920,0,0,1,1,0,3,0,0
1980,0,0,0,0,0,2,0,1
2040,2,0,1,1,0,0,0,0
2100,0,0,0,1,1,2,0,1
2160,0,2,1,0,0,0,1,0
2220,1,6,0,0,0,1,0,0
2280,0,0,1,1,0,2,0,0
2340,0,4,0,0,2,4,0,0
2400,0,0,1,1,0,2,0,0
2460,0,0,0,0,0,0,0,1
2520,1,1,0,0,0,2,0,0
2580,1,4,1,0,0,2,0,1
2640,1,0,1,1,0,1,1,1
2700,0,2,1,0,1,0,0,0
2760,1,5,1,0,0,2,0,0
2820,2,5,1,0,0,1,0,0
2880,1,0,2,1,0,4,0,0
2940,1,0,1,1,0,0,1,1
3000,0,7,0,1,1,1,1,0
3060,1,0,2,1,0,0,1,0
3120,0,6,1,1,0,1,0,0
3180,0,6,1,0,0,0,0,0
3240,0,5,0,0,0,0,0,1
3300,0,4,0,1,0,0,1,1
3360,1,6,0,0,0,0,1,1
3420,0,0,3,1,0,2,0,0
3480,0,0,1,0,0,3,0,0
3540,0,0,3,0,0,3,0,0
3600,0,0,0,1,0,0,0,0
3660,0,0,1,0,0,0,0,0
3720,0,0,0,0,0,0,0,0
