t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,2,3,0,0,0,0
120,2,0,0,0,0,0,2,1
180,0,0,2,1,0,0,1,1
240,0,0,1,1,0,0,1,1
300,1,0,0,0,0,0,0,0
360,0,0,1,1,0,0,0,0
420,0,0,1,1,0,0,1,1
480,2,3,0,0,2,0,0,0
540,0,0,1,1,0,0,3,1
600,0,0,1,1,0,0,1,1
660,1,1,0,0,0,0,0,1
720,0,0,1,1,0,0,1,1
780,0,0,2,3,0,0,0,1
840,1,1,0,0,3,1,0,0
900,0,0,1,1,0,0,1,1
960,0,0,1,1,2,1,0,0
1020,0,0,2,3,5,1,0,0
1080,2,0,0,0,0,0,1,0
1140,0,0,0,1,0,0,1,1
1200,0,0,1,1,1,0,0,0
1260,2,0,0,0,0,0,3,0
1320,0,0,0,1,0,0,1,1
1380,0,0,0,1,0,0,0,0
1440,1,0,0,0,1,0,0,0
1500,2,0,0,0,2,1,0,1
1560,0,0,1,1,0,0,1,1
1620,0,0,1,1,5,0,1,0
1680,1,0,0,0,0,1,0,0
1740,0,0,1,2,2,1,0,0
1800,0,0,2,3,4,0,0,0
1860,0,0,3,2,0,0,1,1
1920,0,2,1,0,0,1,1,0
1980,0,0,1,0,0,0,1,2
2040,0,0,0,1,0,0,2,1
2100,1,3,0,0,0,0,0,1
2160,0,0,4,3,0,0,1,2
2220,1,0,1,1,0,2,0,1
2280,1,0,0,0,1,3,1,0
2340,0,0,0,0,1,1,0,0
2400,2,0,1,0,0,0,1,1
2460,0,0,1,1,0,0,1,0
2520,1,0,0,0,0,1,0,0
2580,0,0,4,3,0,0,0,1
2640,0,0,1,0,0,0,0,0
2700,0,0,1,0,1,2,0,0
2760,0,0,1,0,0,0,1,1
2820,1,4,1,0,0,1,0,1
2880,2,0,0,0,0,1,0,0
2940,1,0,1,1,0,0,1,1
3000,0,6,0,1,1,1,1,0
3060,0,0,4,4,1,1,0,0
3120,2,0,0,0,0,0,1,2
3180,2,0,1,1,1,2,0,0
3240,0,0,1,0,0,0,0,2
3300,0,2,1,0,0,0,1,1
3360,0,0,1,1,0,0,0,0
3420,0,0,3,1,0,0,1,2
3480,1,2,0,0,1,2,0,1
3540,1,0,0,0,0,0,1,2
3600,0,0,4,3,0,0,0,1
3660,0,0,2,0,0,0,0,0
3720,0,0,0,0,0,0,0,0
