t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,1,0,0,0,1,0,0,0,0,0,0,0
120,0,0,1,1,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,1,1,0,0,0,0
240,0,0,1,2,0,0,0,0,0,0,0,0
300,0,0,1,0,0,0,1,1,0,0,2,1
360,0,0,0,0,5,1,0,0,0,0,0,0
420,1,0,0,0,0,0,1,1,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,2,1
540,0,0,0,0,0,1,0,0,0,0,0,0
600,1,0,0,0,0,0,0,0,0,0,0,0
660,0,0,0,1,1,0,0,0,0,0,1,1
720,2,0,0,0,0,0,1,0,0,0,0,0
780,0,0,0,1,0,0,1,1,0,0,1,1
840,0,0,1,1,2,0,0,0,1,0,0,0
900,2,0,0,0,0,0,1,1,0,0,2,1
960,0,0,1,1,1,1,0,0,0,0,0,0
1020,0,0,0,1,4,1,0,0,0,0,0,0
1080,0,0,0,1,0,0,1,1,0,0,2,1
1140,0,0,0,1,0,0,0,0,3,1,0,0
1200,0,0,1,0,0,0,1,1,0,0,1,1
1260,3,3,0,0,3,1,0,0,6,0,0,0
1320,0,0,1,1,0,0,1,1,0,0,1,1
1380,3,3,0,0,1,1,0,0,2,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,1,0
1500,0,0,0,0,1,0,0,0,1,0,0,0
1560,0,0,0,0,0,0,1,1,0,0,0,0
1620,0,0,0,0,0,0,1,1,1,0,0,0
1680,0,0,0,1,0,0,0,0,0,0,2,1
1740,0,0,0,0,0,0,1,1,0,0,0,0
1800,1,2,0,0,0,0,0,0,0,0,0,0
1860,0,0,1,1,0,0,0,0,0,0,1,1
1920,1,0,0,0,0,0,1,1,0,0,1,1
1980,0,0,2,1,0,0,1,1,2,0,0,0
2040,1,2,0,0,2,4,0,0,0,0,0,1
2100,0,0,0,0,0,0,1,1,0,0,0,0
2160,0,0,2,1,1,0,0,0,0,0,0,0
2220,0,0,0,0,0,0,0,0,0,0,1,1
2280,0,0,2,1,0,1,0,0,0,0,1,2
2340,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,1,1,0,0,1,1,1,0,0,0
2460,0,1,0,0,0,0,0,0,0,0,1,1
2520,0,0,1,1,0,0,0,0,0,0,0,1
2580,1,0,0,0,0,0,1,1,0,0,0,1
2640,0,0,2,1,0,1,0,0,0,0,0,1
2700,0,0,0,0,0,0,1,1,0,1,0,0
2760,0,0,1,1,0,0,0,0,0,0,1,1
2820,0,0,0,0,0,0,0,0,0,0,1,0
2880,1,0,0,0,0,0,1,1,0,0,0,0
2940,0,0,1,0,0,1,0,0,0,0,0,1
3000,0,1,0,0,0,0,0,0,0,0,0,1
3060,0,0,0,0,0,0,1,1,1,1,0,0
3120,0,0,0,1,0,0,0,0,0,0,1,1
3180,0,0,1,0,0,0,0,0,0,0,0,1
3240,1,2,0,0,0,0,1,1,0,1,0,0
3300,1,1,0,0,0,0,1,1,1,1,0,0
3360,0,0,1,1,0,0,0,0,0,0,0,0
3420,0,0,0,0,0,0,1,1,0,1,0,0
3480,0,1,0,0,0,1,0,0,0,0,1,2
3540,0,0,2,1,0,1,0,0,0,0,0,1
3600,1,0,0,0,0,0,1,1,0,2,0,0
3660,0,0,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0,0,0
