t,RE_C1,C2_C1,N1_C1,S1_C1,C1_C2,C3_C2,N2_C2,S2_C2,C2_C3,E_C3,N3_C3,S3_C3
60,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1,1,0,0,0,0,0,0,1,1
180,0,0,0,1,0,0,1,1,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,1,1,0,0,0,0
360,0,0,1,1,0,0,0,0,0,0,1,1
420,0,0,0,0,0,0,1,1,0,0,0,0
480,0,0,1,2,0,0,0,0,0,0,2,1
540,0,0,0,0,0,0,1,1,0,0,0,0
600,0,0,1,2,0,0,0,0,0,0,1,1
660,2,0,0,0,0,0,1,1,2,1,0,0
720,0,0,1,1,0,0,0,0,0,0,1,1
780,2,0,0,0,0,0,1,1,0,0,0,0
840,0,0,1,2,0,0,0,0,0,0,2,1
900,0,0,0,0,0,0,1,1,1,1,0,0
960,0,0,1,1,0,0,0,0,0,0,1,1
1020,6,2,0,0,0,0,1,1,2,1,0,0
1080,0,0,1,2,2,1,0,0,0,0,2,1
1140,1,0,0,0,0,0,1,1,0,0,0,0
1200,0,0,1,1,1,1,0,0,0,0,1,1
1260,3,1,0,0,0,0,1,1,1,0,0,0
1320,0,0,1,1,0,0,0,0,0,0,1,1
1380,1,0,0,1,0,0,1,1,0,0,0,0
1440,0,0,1,2,0,0,0,0,0,0,2,1
1500,0,0,0,0,0,0,1,1,0,0,0,0
1560,0,0,1,1,0,0,0,0,0,0,1,1
1620,3,0,0,0,0,0,1,1,0,1,0,0
1680,0,0,1,2,0,0,0,0,0,0,2,1
1740,0,0,0,0,0,0,1,1,0,0,0,0
1800,0,0,1,1,0,0,0,0,0,0,1,1
1860,2,0,0,0,0,0,1,1,2,3,0,0
1920,0,0,1,1,2,0,0,0,0,0,1,1
1980,0,4,0,0,0,0,1,1,0,2,0,0
2040,0,0,1,0,0,0,0,0,0,0,0,2
2100,0,0,1,0,0,0,0,0,0,0,0,1
2160,0,0,0,1,0,0,1,1,0,0,0,0
2220,0,0,1,1,0,0,0,0,0,0,1,1
2280,0,0,1,0,0,0,1,1,0,0,0,1
2340,0,0,2,1,0,0,0,0,0,0,1,2
2400,0,0,0,0,0,0,1,1,0,0,0,0
2460,0,1,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,2,1,0,0,0,0
2580,0,0,2,1,0,0,1,0,0,0,1,2
2640,0,0,0,0,0,0,1,1,0,0,0,0
2700,0,0,2,1,0,0,0,0,0,0,1,2
2760,0,0,0,0,0,0,1,1,0,0,0,0
2820,0,0,1,1,0,1,0,0,0,0,1,1
2880,0,1,0,0,0,0,1,1,1,3,0,0
2940,0,0,2,1,0,0,0,0,0,0,1,2
3000,0,0,0,0,0,0,1,1,0,0,0,0
3060,0,1,0,0,0,0,0,0,0,1,0,0
3120,0,0,0,0,0,0,1,1,0,0,0,0
3180,0,0,2,1,0,0,0,0,0,0,1,2
3240,0,0,0,0,0,0,1,1,0,0,0,0
3300,0,0,2,1,0,0,0,0,0,0,1,2
3360,0,0,0,0,0,0,1,1,0,0,0,0
3420,0,0,1,1,0,0,0,0,0,0,1,1
3480,0,0,0,0,0,0,1,1,0,0,0,1
3540,0,0,2,1,0,0,0,0,0,0,1,2
3600,0,0,0,0,0,0,1,1,0,0,0,0
3660,1,1,0,0,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0,0,0,0,0
