id,depart,timeloss,espera,paradas,co2
p1_S2_N2.0,0.0,5.96,0.0,0,149.59
p1_N1_S1.0,0.0,5.2,0.0,0,151.35
p1_N2_S2.0,0.0,6.53,0.0,0,156.61
p1_S2_N2.1,10.0,20.57,11.0,1,190.24
p1_N2_S2.1,10.0,21.39,8.0,1,194.73
p1_N2_W.0,3.0,8.83,0.0,0,208.14
p1_N2_S2.2,20.0,13.36,1.0,1,182.14
p1_S2_N2.2,20.0,9.04,0.0,0,170.92
p1_N2_S2.3,30.0,6.34,0.0,0,154.33
p1_S2_N2.3,30.0,8.14,0.0,0,160.33
p1_W_S2.0,3.0,22.11,0.0,0,254.71
p1_E_W.0,0.0,12.7,1.0,1,223.0
p1_W_E.0,0.0,15.68,0.0,0,238.39
p1_E_N1.0,3.0,15.4,0.0,0,240.34
p1_E_W.1,8.0,22.14,0.0,0,238.64
p1_W_E.1,6.0,25.34,0.0,0,261.23
p1_E_W.2,15.0,12.58,0.0,0,221.54
p1_W_E.2,9.0,23.74,0.0,0,277.31
p1_W_E.3,12.0,21.61,0.0,0,268.18
p1_W_E.4,15.0,21.17,0.0,0,269.04
p1_W_E.5,18.0,20.45,0.0,0,266.26
p1_N1_S1.1,10.0,50.94,40.0,1,232.83
p1_W_E.6,21.0,19.23,0.0,0,263.16
p1_N1_S1.2,20.0,43.08,31.0,1,221.27
p1_W_E.7,24.0,17.91,0.0,0,252.34
p1_W_E.8,27.0,7.6,0.0,0,193.45
p1_N1_S1.3,30.0,32.65,22.0,1,203.2
p1_S1_N1.0,0.0,54.72,45.0,1,232.58
p1_W_E.9,30.0,10.78,0.0,0,221.24
p1_N1_S1.4,40.0,28.64,15.0,1,208.69
p1_W_S2.1,36.0,12.07,0.0,0,237.54
p1_S1_N1.1,10.0,53.73,41.0,1,239.29
p1_W_E.10,33.0,15.56,0.0,0,241.1
p1_N1_S1.5,50.0,20.39,8.0,1,203.53
p1_S1_N1.2,20.0,51.25,35.0,1,245.97
p1_S1_N1.3,30.0,43.09,27.0,1,241.04
p1_W_E.11,39.0,6.99,0.0,0,199.23
p1_S1_N1.4,40.0,35.65,20.0,1,220.81
p1_W_E.12,42.0,9.6,0.0,0,204.11
p1_W_E.13,45.0,10.39,0.0,0,220.21
p1_W_E.14,48.0,11.11,0.0,0,231.04
p1_N1_S1.6,60.0,6.01,0.0,0,150.63
p1_S1_N1.5,50.0,21.14,8.0,1,188.37
p1_N1_S1.7,70.0,12.9,0.0,0,161.55
p1_S1_N1.6,60.0,24.35,4.0,1,197.16
p1_S2_N2.4,40.0,45.88,35.0,1,232.11
p1_S1_N1.7,70.0,16.11,0.0,0,204.91
p1_N2_S2.4,40.0,47.99,29.0,1,229.17
p1_E_W.3,22.0,45.33,26.0,2,296.46
p1_E_W.4,29.0,40.14,22.0,2,275.75
p1_S2_N2.5,50.0,34.59,22.0,1,216.13
p1_N2_S2.5,50.0,35.27,23.0,1,204.4
p1_S2_N2.6,60.0,34.53,16.0,1,227.45
p1_N2_S2.6,60.0,36.15,19.0,1,217.91
p1_S2_N2.7,70.0,26.24,9.0,1,214.98
p1_E_N1.1,32.0,33.51,13.0,2,268.57
p1_N2_S2.7,70.0,27.98,11.0,1,204.05
p1_S2_N2.8,80.0,15.93,0.0,0,198.15
p1_N2_S2.8,80.0,18.3,2.0,1,193.98
p1_S2_N2.9,90.0,9.92,0.0,0,184.48
p1_E_W.5,36.0,28.22,10.0,1,258.5
p1_N2_S2.9,90.0,11.47,0.0,0,182.36
p1_E_W.6,44.0,36.96,10.0,1,256.65
p1_E_W.7,51.0,31.65,8.0,1,250.97
p1_E_W.8,58.0,26.37,5.0,1,249.05
p1_E_N1.2,61.0,17.07,0.0,0,234.53
p1_E_W.9,65.0,20.98,0.0,0,246.78
p1_E_W.10,72.0,15.68,0.0,0,243.04
p1_S1_E.0,3.0,79.92,59.0,2,347.34
p1_S1_E.1,33.0,54.73,33.0,2,315.76
p1_S1_E.2,63.0,29.66,8.0,2,286.78
p1_W_E.15,51.0,34.66,22.0,1,246.08
p1_W_E.16,54.0,48.25,20.0,1,280.58
p1_W_E.17,57.0,39.58,19.0,1,286.62
p1_W_E.18,60.0,45.77,19.0,1,301.95
p1_W_S2.2,69.0,38.02,16.0,1,290.61
p1_W_E.19,63.0,32.35,17.0,1,267.31
p1_N2_W.1,33.0,43.99,29.0,1,273.76
p1_W_E.20,66.0,41.46,16.0,1,297.81
p1_N2_W.2,63.0,47.64,18.0,1,279.14
p1_W_E.21,72.0,39.5,15.0,1,299.95
p1_W_E.22,75.0,38.18,14.0,1,299.43
p1_N2_W.3,93.0,19.5,0.0,0,234.78
p1_W_E.23,78.0,36.96,12.0,1,299.29
p1_E_W.11,80.0,34.37,18.0,1,264.89
p1_E_W.12,87.0,29.01,10.0,1,268.75
p1_W_E.24,81.0,29.21,11.0,1,274.75
p1_W_E.25,84.0,35.18,11.0,1,281.91
p1_E_N1.3,90.0,23.91,7.0,1,250.07
p1_E_W.13,94.0,24.64,6.0,1,265.77
p1_W_E.26,87.0,33.94,9.0,1,286.95
p1_E_W.14,101.0,19.41,2.0,1,255.33
p1_W_E.27,90.0,30.17,8.0,1,291.66
p1_E_W.15,108.0,14.32,0.0,0,244.26
p1_E_W.16,116.0,8.05,0.0,0,201.91
p1_W_E.28,93.0,28.0,6.0,1,280.34
p1_W_E.29,96.0,30.46,6.0,1,300.4
p1_S1_N1.8,80.0,71.69,61.0,1,270.67
p1_N1_S1.8,80.0,72.1,60.0,1,266.65
p1_W_E.30,99.0,17.59,2.0,1,228.4
p1_S1_N1.9,90.0,63.47,51.0,1,260.46
p1_N1_S1.9,90.0,62.87,50.0,1,253.58
p1_W_S2.3,102.0,21.26,0.0,0,250.82
p1_N1_S1.10,100.0,55.84,42.0,1,244.56
p1_N2_S2.10,100.0,56.29,46.0,1,254.7
p1_N1_S1.11,110.0,47.41,35.0,1,234.14
p1_S1_N1.10,100.0,55.97,43.0,1,241.56
p1_N2_S2.11,110.0,48.23,35.0,1,235.17
p1_S2_N2.10,100.0,54.13,44.0,1,241.76
p1_N1_S1.12,120.0,39.29,26.0,1,227.6
p1_S2_N2.11,110.0,50.57,38.0,1,249.46
p1_N2_S2.12,120.0,38.21,28.0,1,223.06
p1_N1_S1.13,130.0,31.2,18.0,1,207.94
p1_S2_N2.12,120.0,42.24,28.0,1,238.33
p1_N1_S1.14,140.0,23.15,9.0,1,193.31
p1_S2_N2.13,130.0,32.81,18.0,1,221.33
p1_N2_S2.13,130.0,35.16,22.0,1,209.84
p1_S1_N1.11,110.0,43.46,30.0,1,219.83
p1_S2_N2.14,140.0,23.04,10.0,1,196.37
p1_S1_N1.12,120.0,48.02,27.0,1,243.3
p1_S2_N2.15,150.0,14.28,1.0,1,180.14
p1_S1_N1.13,130.0,39.78,22.0,1,229.92
p1_N1_S1.15,150.0,11.29,0.0,0,168.66
p1_S1_N1.14,140.0,31.45,13.0,1,227.05
p1_N1_S1.16,160.0,11.2,0.0,0,152.77
p1_S1_N1.15,150.0,21.05,3.0,1,205.64
p1_N2_S2.14,140.0,21.31,8.0,1,183.82
p1_S1_N1.16,160.0,14.44,0.0,0,199.74
p1_N2_S2.15,150.0,21.97,2.0,1,191.77
p1_S2_N2.16,160.0,7.25,0.0,0,147.13
p1_S1_N1.17,170.0,6.85,0.0,0,163.04
p1_S2_N2.17,170.0,7.75,0.0,0,152.5
p1_N2_S2.16,160.0,17.96,0.0,0,199.44
p1_N2_S2.17,170.0,9.61,0.0,0,172.43
p1_N1_S1.17,170.0,5.9,0.0,0,150.57
p1_E_N1.4,120.0,37.43,26.0,1,259.06
p1_E_W.17,123.0,39.78,24.0,1,263.47
p1_E_W.18,130.0,40.17,23.0,1,259.31
p1_W_E.31,105.0,43.32,24.0,1,275.92
p1_E_W.19,137.0,34.87,19.0,1,267.79
p1_W_E.32,108.0,64.31,24.0,1,300.19
p1_W_E.33,111.0,48.9,22.0,1,292.15
p1_W_E.34,114.0,61.95,21.0,1,312.85
p1_N2_W.4,123.0,42.1,24.0,1,281.7
p1_N2_W.5,153.0,23.99,2.0,1,243.43
p1_W_E.35,117.0,51.64,20.0,1,314.35
p1_W_E.36,120.0,59.51,19.0,1,318.05
p1_W_E.37,123.0,54.68,20.0,1,325.7
p1_W_E.38,126.0,57.07,18.0,1,333.51
p1_W_S2.4,135.0,47.57,18.0,1,296.61
p1_W_E.39,129.0,47.36,19.0,2,304.54
p1_W_E.40,132.0,51.21,18.0,1,329.14
p1_W_E.41,138.0,48.85,19.0,1,311.63
p1_S1_E.3,93.0,95.47,68.0,2,390.88
p1_S1_E.4,123.0,65.6,37.0,2,346.83
p1_S1_E.5,153.0,40.88,8.0,2,322.17
p1_E_W.20,144.0,36.43,22.0,1,243.45
p1_E_N1.5,150.0,38.62,21.0,1,269.84
p1_W_E.42,141.0,46.31,30.0,1,294.85
p1_E_W.21,152.0,44.47,21.0,1,290.76
p1_W_E.43,144.0,51.68,30.0,1,306.51
