id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,19.05,9.0,1,190.19
p1_N1_S1.1,10.0,14.69,1.0,1,182.26
p1_N1_S1.2,20.0,6.54,0.0,0,150.4
p1_N2_S2.0,0.0,25.43,14.0,1,200.03
p1_S2_N2.0,0.0,24.81,15.0,1,198.47
p1_S1_N1.0,0.0,15.14,5.0,1,175.55
p1_S2_N2.1,10.0,19.31,7.0,1,192.17
p1_S1_N1.1,10.0,14.13,1.0,1,185.19
p1_N2_S2.1,10.0,20.84,9.0,1,196.45
p1_S1_N1.2,20.0,11.75,0.0,0,171.25
p1_N2_S2.2,20.0,13.01,0.0,0,178.93
p1_S2_N2.2,20.0,6.15,0.0,0,148.24
p1_W_S2.0,3.0,14.93,0.0,0,222.0
p1_W_E.0,0.0,7.51,0.0,0,192.6
p1_W_E.1,6.0,17.11,0.0,0,247.93
p1_E_W.0,0.0,7.62,0.0,0,195.33
p1_E_N1.0,3.0,10.46,0.0,0,223.43
p1_W_E.2,9.0,15.61,0.0,0,253.24
p1_E_W.1,8.0,17.01,0.0,0,227.05
p1_S1_E.0,3.0,20.21,4.0,1,232.72
p1_N2_W.0,3.0,26.64,12.0,1,235.57
p1_W_E.3,12.0,22.9,12.0,1,239.12
p1_W_E.4,15.0,22.64,9.0,1,237.92
p1_W_E.5,18.0,21.84,9.0,1,235.74
p1_S1_N1.3,30.0,32.19,20.0,1,212.15
p1_N1_S1.3,30.0,30.9,20.0,1,204.92
p1_S1_N1.4,40.0,26.73,16.0,1,207.57
p1_S2_N2.3,30.0,37.26,26.0,1,223.74
p1_N1_S1.4,40.0,26.93,13.0,1,196.98
p1_N2_S2.3,30.0,35.76,26.0,1,208.77
p1_N1_S1.5,50.0,18.52,6.0,1,192.76
p1_S2_N2.4,40.0,30.18,19.0,1,207.04
p1_N2_S2.4,40.0,32.98,13.0,1,208.03
p1_S1_N1.5,50.0,13.46,2.0,1,178.51
p1_S2_N2.5,50.0,18.1,5.0,1,184.55
p1_S1_N1.6,60.0,16.59,0.0,0,183.41
p1_S2_N2.6,60.0,18.14,1.0,1,192.82
p1_N2_S2.5,50.0,20.3,7.0,1,185.24
p1_W_E.6,21.0,38.45,19.0,2,284.91
p1_E_W.2,15.0,41.57,23.0,2,273.78
p1_N1_S1.6,60.0,7.02,0.0,0,150.91
p1_W_E.7,24.0,37.29,16.0,2,277.43
p1_E_W.3,22.0,40.72,20.0,2,287.2
p1_E_W.4,29.0,35.58,13.0,2,291.01
p1_W_E.8,27.0,29.36,10.0,2,255.75
p1_W_E.9,30.0,32.47,8.0,1,269.7
p1_W_S2.1,36.0,33.45,7.0,1,276.94
p1_W_E.10,33.0,37.41,8.0,1,275.22
p1_E_N1.1,32.0,28.57,9.0,1,264.13
p1_E_W.5,36.0,22.94,6.0,1,239.9
p1_W_E.11,39.0,27.56,7.0,1,263.29
p1_E_W.6,44.0,31.66,5.0,1,257.55
p1_W_E.12,42.0,30.06,5.0,1,266.81
p1_W_E.13,45.0,30.82,5.0,1,276.28
p1_E_W.7,51.0,26.33,4.0,1,247.86
p1_S1_E.1,33.0,43.55,20.0,1,305.51
p1_S1_E.2,63.0,18.15,0.0,0,264.43
p1_N2_S2.6,60.0,48.17,29.0,2,240.66
p1_N1_S1.7,70.0,38.54,29.0,1,221.1
p1_S1_N1.7,70.0,38.37,29.0,1,219.85
p1_S2_N2.7,70.0,38.39,28.0,1,219.33
p1_N1_S1.8,80.0,30.47,19.0,1,213.9
p1_S1_N1.8,80.0,30.72,18.0,1,209.08
p1_S2_N2.8,80.0,29.21,19.0,1,206.06
p1_N2_S2.7,70.0,42.52,25.0,1,220.08
p1_S1_N1.9,90.0,22.69,11.0,1,195.33
p1_N1_S1.9,90.0,22.14,10.0,1,189.61
p1_S2_N2.9,90.0,23.07,11.0,1,199.73
p1_N2_S2.8,80.0,33.77,21.0,1,204.76
p1_N1_S1.10,100.0,15.32,3.0,1,179.37
p1_N2_W.1,33.0,28.87,15.0,1,251.46
p1_S2_N2.10,100.0,11.94,0.0,0,174.84
p1_N2_S2.9,90.0,26.83,13.0,1,205.69
p1_S2_N2.11,110.0,8.4,0.0,0,172.1
p1_E_W.8,58.0,41.82,23.0,2,279.13
p1_N2_S2.10,100.0,21.33,6.0,1,194.59
p1_E_W.9,65.0,38.15,17.0,2,280.01
p1_W_E.14,48.0,56.65,37.0,2,323.66
p1_E_N1.2,61.0,35.88,20.0,2,268.32
p1_E_W.10,72.0,32.97,10.0,2,273.03
p1_E_W.11,80.0,27.07,8.0,1,261.05
p1_E_W.12,87.0,22.16,8.0,1,240.63
p1_W_E.15,51.0,46.84,29.0,2,283.67
p1_W_E.16,54.0,60.52,25.0,2,308.77
p1_E_N1.3,90.0,20.35,4.0,1,238.99
p1_W_E.17,57.0,51.94,25.0,2,303.64
p1_W_E.18,60.0,58.12,23.0,2,325.34
p1_N1_S1.11,110.0,29.56,18.0,1,202.1
p1_S1_N1.10,100.0,37.58,22.0,2,219.65
p1_W_S2.2,69.0,50.07,18.0,3,298.12
p1_N1_S1.12,120.0,21.5,10.0,1,192.89
p1_W_E.19,63.0,44.79,21.0,2,284.52
p1_W_E.20,66.0,53.8,20.0,3,306.9
