id,depart,timeloss,espera,paradas,co2
p1_S2_N2.0,0.0,5.85,0.0,0,149.11
p1_N2_S2.0,0.0,6.63,0.0,0,156.33
p1_N1_S1.0,0.0,19.05,9.0,1,190.19
p1_N1_S1.1,10.0,14.69,1.0,1,182.26
p1_N1_S1.2,20.0,6.54,0.0,0,150.4
p1_S1_N1.0,0.0,15.24,5.0,1,176.53
p1_S1_N1.1,10.0,14.25,1.0,1,181.14
p1_S1_N1.2,20.0,11.84,0.0,0,176.44
p1_W_S2.0,3.0,14.89,0.0,0,217.83
p1_N2_W.0,3.0,14.35,0.0,0,231.89
p1_W_E.0,0.0,7.07,0.0,0,190.04
p1_N2_S2.1,10.0,37.18,24.0,1,219.75
p1_S2_N2.1,10.0,36.82,27.0,1,216.28
p1_N2_S2.2,20.0,29.03,17.0,1,207.86
p1_S2_N2.2,20.0,24.25,14.0,1,192.91
p1_E_W.0,0.0,15.19,3.0,1,224.78
p1_N2_S2.3,30.0,19.87,7.0,1,188.92
p1_S2_N2.3,30.0,23.42,9.0,1,197.35
p1_E_N1.0,3.0,17.61,2.0,1,236.5
p1_E_W.1,8.0,24.64,1.0,1,252.21
p1_S2_N2.4,40.0,15.2,0.0,0,186.36
p1_E_W.2,15.0,14.97,0.0,0,232.36
p1_E_W.3,22.0,14.14,0.0,0,229.2
p1_N2_S2.4,40.0,17.89,0.0,0,185.57
p1_E_W.4,29.0,8.97,0.0,0,219.49
p1_W_E.1,6.0,36.93,18.0,1,277.44
p1_W_E.2,9.0,35.66,18.0,1,280.52
p1_S1_N1.3,30.0,36.88,25.0,1,221.18
p1_N1_S1.3,30.0,35.79,25.0,1,214.63
p1_S1_E.0,3.0,40.26,19.0,2,278.91
p1_N1_S1.4,40.0,31.75,18.0,1,200.84
p1_S1_N1.4,40.0,31.34,21.0,1,209.15
p1_W_E.3,12.0,37.87,19.0,2,278.77
p1_N1_S1.5,50.0,23.35,11.0,1,204.63
p1_W_E.4,15.0,37.31,14.0,1,283.48
p1_W_E.5,18.0,36.55,14.0,1,279.48
p1_W_E.6,21.0,35.37,12.0,1,286.42
p1_W_E.7,24.0,34.11,10.0,1,286.38
p1_S1_N1.5,50.0,18.16,7.0,1,178.5
p1_N1_S1.6,60.0,6.4,0.0,0,152.9
p1_S1_N1.6,60.0,21.1,3.0,1,192.32
p1_N1_S1.7,70.0,13.25,0.0,0,171.97
p1_S1_N1.7,70.0,12.92,0.0,0,197.54
p1_W_E.8,27.0,25.29,6.0,1,246.83
p1_W_E.9,30.0,28.44,5.0,1,262.4
p1_W_S2.1,36.0,28.92,4.0,1,274.29
p1_W_E.10,33.0,33.29,5.0,1,269.39
p1_E_N1.1,32.0,25.29,14.0,1,237.04
p1_S2_N2.5,50.0,38.53,29.0,1,218.45
p1_N2_S2.5,50.0,38.01,26.0,1,209.23
p1_S2_N2.6,60.0,38.41,22.0,1,226.1
p1_N2_S2.6,60.0,38.93,22.0,1,221.85
p1_N2_W.1,33.0,13.69,0.0,0,225.55
p1_N2_S2.7,70.0,30.63,17.0,1,214.67
p1_S2_N2.7,70.0,30.31,15.0,1,228.23
p1_E_W.5,36.0,29.42,12.0,1,252.67
p1_N2_S2.8,80.0,21.12,7.0,1,194.65
p1_S2_N2.8,80.0,19.83,5.0,1,202.57
p1_E_W.6,44.0,38.13,10.0,1,264.17
