id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,30.19,19.0,1,207.0
p1_S2_N2.0,0.0,30.4,20.0,1,210.69
p1_N2_S2.1,10.0,25.33,14.0,1,197.02
p1_S2_N2.1,10.0,24.88,12.0,1,199.45
p1_N2_S2.2,20.0,17.17,6.0,1,192.62
p1_S2_N2.2,20.0,12.23,0.0,0,171.31
p1_N2_S2.3,30.0,7.07,0.0,0,155.13
p1_S2_N2.3,30.0,11.33,0.0,0,180.99
p1_E_W.0,0.0,7.67,0.0,0,203.35
p1_S2_N2.4,40.0,5.19,0.0,0,149.18
p1_E_N1.0,3.0,10.6,0.0,0,220.89
p1_N1_S1.0,0.0,43.87,34.0,1,227.0
p1_N1_S1.1,10.0,39.53,26.0,1,220.5
p1_N1_S1.2,20.0,31.32,18.0,1,225.09
p1_S1_N1.0,0.0,39.52,30.0,1,212.56
p1_N1_S1.3,30.0,20.29,9.0,1,186.8
p1_S1_N1.1,10.0,38.73,26.0,1,214.93
p1_N1_S1.4,40.0,16.31,1.0,1,189.45
p1_S1_N1.2,20.0,36.34,20.0,1,214.99
p1_N1_S1.5,50.0,7.89,0.0,0,155.05
p1_S1_N1.3,30.0,27.99,12.0,1,214.8
p1_W_S2.0,3.0,36.35,17.0,1,252.7
p1_W_E.0,0.0,29.18,17.0,1,238.4
p1_E_W.1,8.0,34.97,17.0,1,250.26
p1_W_E.1,6.0,38.77,17.0,1,283.2
p1_W_E.2,9.0,37.26,16.0,1,283.34
p1_E_W.2,15.0,27.9,15.0,1,244.72
p1_N2_W.0,3.0,45.96,24.0,2,289.03
p1_W_E.3,12.0,35.08,16.0,1,287.03
p1_W_E.4,15.0,34.61,15.0,1,278.13
p1_W_E.5,18.0,33.82,15.0,1,271.44
p1_W_E.6,21.0,32.67,13.0,1,267.41
p1_W_E.7,24.0,31.37,12.0,1,272.55
p1_W_E.8,27.0,21.53,8.0,1,230.0
p1_W_E.9,30.0,24.66,6.0,1,246.33
p1_W_E.10,33.0,29.47,6.0,1,257.63
p1_S1_E.0,3.0,55.29,30.0,2,302.37
p1_S1_E.1,33.0,29.99,9.0,1,271.22
p1_W_S2.1,36.0,31.11,18.0,1,266.15
p1_W_E.11,39.0,25.33,14.0,1,241.64
p1_W_E.12,42.0,27.96,12.0,1,245.3
p1_E_N1.1,32.0,32.94,16.0,1,270.2
p1_W_E.13,45.0,28.73,10.0,1,270.5
p1_N2_W.1,33.0,11.08,0.0,0,224.76
p1_W_E.14,48.0,29.65,10.0,1,267.37
p1_E_W.3,22.0,56.3,26.0,1,293.21
p1_E_W.4,29.0,50.96,21.0,1,279.14
p1_E_W.5,36.0,30.91,12.0,1,257.63
p1_E_W.6,44.0,39.63,11.0,1,280.14
p1_W_E.15,51.0,19.83,7.0,1,227.18
p1_E_W.7,51.0,34.28,6.0,1,293.81
p1_E_N1.2,61.0,16.89,0.0,0,252.06
p1_S1_N1.4,40.0,68.59,47.0,2,276.65
p1_E_W.8,58.0,29.01,0.0,0,290.29
p1_W_E.16,54.0,33.45,5.0,1,255.63
p1_W_E.17,57.0,24.86,4.0,1,260.89
p1_W_E.18,59.0,32.01,3.0,1,269.58
p1_W_E.19,63.0,17.42,2.0,1,228.25
p1_S1_N1.5,50.0,54.18,41.0,1,236.48
p1_W_E.20,66.0,26.35,2.0,1,249.37
p1_N1_S1.6,60.0,40.92,29.0,1,210.92
p1_N2_S2.4,40.0,77.3,58.0,1,276.07
p1_S1_N1.6,60.0,57.31,39.0,1,258.96
p1_N1_S1.7,70.0,47.83,27.0,1,243.1
p1_S1_N1.7,70.0,48.99,33.0,1,247.47
p1_N1_S1.8,80.0,39.5,19.0,1,237.82
p1_S2_N2.5,50.0,63.43,53.0,1,249.79
p1_S1_N1.8,80.0,40.9,25.0,1,222.4
p1_N1_S1.9,90.0,29.95,11.0,1,223.6
p1_S1_N1.9,90.0,32.49,16.0,1,206.34
p1_S2_N2.6,60.0,63.25,47.0,1,261.62
p1_N1_S1.10,100.0,23.01,2.0,1,213.07
p1_N2_S2.5,50.0,64.63,53.0,1,254.21
p1_N1_S1.11,110.0,14.54,0.0,0,188.62
p1_N2_S2.6,60.0,65.51,47.0,1,260.48
p1_S2_N2.7,70.0,55.06,40.0,1,254.59
p1_S1_N1.10,100.0,23.18,8.0,1,206.27
p1_N2_S2.7,70.0,57.23,42.0,1,262.35
p1_S2_N2.8,80.0,44.68,30.0,1,254.01
p1_S2_N2.9,90.0,38.6,23.0,1,241.04
p1_N2_S2.8,80.0,47.6,34.0,1,244.09
p1_E_W.9,65.0,43.56,21.0,1,294.47
p1_N2_S2.9,90.0,40.6,27.0,1,232.78
p1_S2_N2.10,100.0,25.71,11.0,1,212.04
p1_E_W.10,72.0,38.45,20.0,1,276.46
p1_S2_N2.11,110.0,22.25,4.0,1,207.02
p1_N2_S2.10,100.0,33.15,18.0,1,223.76
p1_E_W.11,80.0,32.59,19.0,1,256.0
p1_S2_N2.12,120.0,13.95,0.0,0,198.57
p1_N2_S2.11,110.0,24.84,9.0,1,199.63
p1_E_W.12,87.0,27.69,15.0,1,243.75
p1_S2_N2.13,130.0,5.66,0.0,0,145.37
p1_N2_S2.12,120.0,14.96,0.0,0,184.53
p1_E_N1.3,90.0,25.04,10.0,1,241.16
p1_E_W.13,94.0,25.77,9.0,1,253.51
p1_E_W.14,101.0,20.81,5.0,1,239.52
p1_W_S2.2,69.0,54.09,29.0,1,305.87
p1_N2_W.2,63.0,62.19,45.0,1,297.69
p1_W_E.21,72.0,53.49,28.0,1,314.53
p1_W_E.22,75.0,52.81,26.0,1,321.63
p1_W_E.23,78.0,51.47,26.0,1,323.32
p1_N2_W.3,93.0,39.48,24.0,1,277.04
p1_W_E.24,81.0,46.63,25.0,1,296.8
p1_W_E.25,84.0,52.64,24.0,1,310.21
p1_W_E.26,87.0,51.41,24.0,1,319.66
p1_W_E.27,90.0,47.52,23.0,1,303.32
p1_W_E.28,93.0,45.37,24.0,1,292.52
p1_W_E.29,96.0,47.66,24.0,1,308.07
p1_S1_E.2,63.0,82.38,57.0,2,364.11
p1_S1_E.3,93.0,52.21,25.0,2,322.98
p1_N2_W.4,123.0,15.08,0.0,0,235.24
p1_E_W.15,108.0,41.81,27.0,1,282.6
p1_N1_S1.12,120.0,53.84,43.0,1,244.39
p1_W_E.30,99.0,39.53,19.0,2,273.28
p1_W_S2.3,102.0,43.02,15.0,2,295.98
p1_N1_S1.13,130.0,45.89,33.0,1,226.26
p1_N1_S1.14,140.0,37.63,24.0,1,220.34
p1_S1_N1.11,110.0,57.34,42.0,1,248.77
p1_S1_N1.12,120.0,61.96,41.0,1,260.81
p1_W_E.31,105.0,34.42,11.0,2,263.09
p1_S1_N1.13,130.0,53.74,38.0,1,253.07
p1_N1_S1.15,150.0,25.69,13.0,1,191.28
p1_W_E.32,108.0,55.35,9.0,2,290.22
p1_S1_N1.14,140.0,45.49,29.0,1,252.31
p1_N1_S1.16,160.0,25.58,8.0,1,205.73
p1_W_E.33,111.0,39.95,7.0,1,299.06
p1_S1_N1.15,150.0,35.15,19.0,1,225.18
p1_N1_S1.17,170.0,12.7,0.0,0,180.18
p1_W_E.34,114.0,52.99,7.0,1,319.26
p1_W_E.35,117.0,42.75,6.0,1,302.81
p1_E_W.16,116.0,53.72,36.0,2,304.63
p1_W_E.36,120.0,50.51,6.0,1,321.51
p1_W_E.37,123.0,45.82,6.0,1,309.25
p1_W_E.38,126.0,48.08,5.0,1,314.5
p1_W_E.39,129.0,38.47,5.0,1,304.14
p1_E_N1.4,120.0,46.68,27.0,2,286.25
p1_N2_S2.13,130.0,68.21,52.0,1,270.64
p1_W_E.40,132.0,42.31,3.0,1,320.65
p1_E_W.17,123.0,48.67,25.0,2,294.76
p1_S2_N2.14,140.0,57.22,46.0,1,247.44
p1_E_W.18,130.0,49.28,22.0,2,300.4
p1_E_W.19,137.0,44.0,15.0,2,292.71
p1_S2_N2.15,150.0,48.83,36.0,1,232.72
p1_N2_S2.14,140.0,54.15,44.0,1,234.45
p1_S2_N2.16,160.0,38.5,26.0,1,214.51
p1_E_W.20,144.0,27.88,8.0,1,256.37
p1_E_N1.5,150.0,29.43,8.0,1,252.9
p1_N2_S2.15,150.0,54.87,38.0,1,237.28
p1_E_W.21,153.0,34.98,7.0,1,264.83
p1_S2_N2.17,170.0,39.0,21.0,1,226.79
p1_S2_N2.18,180.0,30.62,13.0,1,216.87
p1_E_W.22,159.0,29.61,7.0,1,265.97
p1_N2_S2.16,160.0,50.88,33.0,1,237.87
p1_N2_S2.17,170.0,42.55,24.0,1,229.53
p1_S2_N2.19,190.0,22.36,4.0,1,214.07
p1_E_W.23,166.0,19.89,3.0,1,229.67
p1_N2_S2.18,180.0,34.14,17.0,1,224.98
p1_S2_N2.20,200.0,14.18,0.0,0,205.02
p1_E_W.24,173.0,20.73,0.0,0,239.37
p1_S2_N2.21,210.0,5.99,0.0,0,151.7
p1_E_W.25,180.0,8.41,0.0,0,205.92
p1_N2_S2.19,190.0,24.23,8.0,1,204.54
p1_N2_S2.20,200.0,16.91,0.0,0,198.17
p1_E_N1.6,183.0,8.74,0.0,0,212.41
p1_W_S2.4,135.0,69.85,33.0,2,348.39
p1_N2_W.5,153.0,52.96,38.0,1,285.91
p1_W_E.41,138.0,68.01,29.0,2,342.61
p1_W_E.42,141.0,62.46,27.0,1,326.67
p1_S1_N1.16,160.0,74.4,55.0,2,277.31
p1_W_E.43,144.0,67.86,27.0,1,339.55
p1_W_E.44,147.0,62.39,26.0,1,332.38
p1_S1_N1.17,170.0,66.91,46.0,2,266.81
p1_N1_S1.18,180.0,51.91,41.0,1,239.8
p1_S1_N1.18,180.0,58.68,39.0,1,256.14
p1_W_E.45,150.0,67.83,25.0,1,343.75
p1_N1_S1.19,190.0,42.22,31.0,1,220.09
p1_W_E.46,153.0,66.5,25.0,1,348.25
p1_N1_S1.20,200.0,42.34,26.0,1,228.04
p1_W_E.47,156.0,65.28,25.0,1,339.51
p1_S1_E.4,123.0,96.56,65.0,2,383.83
p1_S1_N1.19,190.0,54.33,37.0,1,234.29
p1_N1_S1.21,210.0,33.99,18.0,1,224.32
p1_N1_S1.22,220.0,25.61,10.0,1,212.83
p1_S1_E.5,153.0,71.86,41.0,2,336.68
p1_S1_N1.20,200.0,46.26,30.0,1,233.08
p1_N1_S1.23,230.0,13.68,0.0,0,192.95
p1_S1_N1.21,210.0,38.48,23.0,1,219.1
p1_W_E.48,159.0,59.73,39.0,2,306.86
p1_N1_S1.24,240.0,7.56,0.0,0,151.25
p1_W_E.49,162.0,67.28,35.0,2,332.2
p1_W_E.50,165.0,64.3,33.0,2,320.69
p1_W_S2.5,168.0,62.61,32.0,2,328.35
p1_W_E.51,170.0,62.75,30.0,2,313.03
p1_W_E.52,174.0,55.54,29.0,2,305.17
p1_N2_W.6,183.0,49.71,31.0,2,309.89
p1_W_E.53,177.0,57.46,28.0,2,320.56
p1_E_W.26,188.0,51.17,29.0,2,306.11
p1_W_E.54,180.0,60.79,28.0,2,336.15
p1_E_W.27,195.0,45.85,23.0,2,297.21
p1_W_E.55,183.0,56.84,23.0,2,327.31
p1_W_E.56,187.0,55.87,23.0,2,323.99
p1_E_N1.7,212.0,33.9,10.0,1,275.16
p1_W_E.57,190.0,56.33,20.0,2,324.8
p1_W_E.58,193.0,49.68,17.0,2,303.94
p1_E_W.28,202.0,29.44,10.0,1,256.55
p1_W_E.59,196.0,48.25,16.0,1,296.09
