id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,35.56,24.0,1,216.43
p1_S2_N2.0,0.0,35.07,25.0,1,215.62
p1_S2_N2.1,10.0,29.54,17.0,1,207.62
p1_N2_S2.1,10.0,30.36,19.0,1,207.66
p1_N2_S2.2,20.0,22.39,11.0,1,197.39
p1_S2_N2.2,20.0,17.09,5.0,1,177.96
p1_E_W.0,0.0,7.84,0.0,0,202.9
p1_N2_S2.3,30.0,12.82,0.0,0,178.86
p1_E_N1.0,3.0,10.48,0.0,0,218.76
p1_S2_N2.3,30.0,16.27,1.0,1,180.24
p1_N1_S1.0,0.0,43.87,34.0,1,227.0
p1_S2_N2.4,40.0,8.1,0.0,0,167.68
p1_N1_S1.1,10.0,39.53,26.0,1,220.5
p1_N1_S1.2,20.0,31.32,18.0,1,225.09
p1_S1_N1.0,0.0,39.89,30.0,1,212.51
p1_N1_S1.3,30.0,20.29,9.0,1,186.8
p1_S1_N1.1,10.0,38.9,26.0,1,216.2
p1_N1_S1.4,40.0,16.31,1.0,1,189.45
p1_S1_N1.2,20.0,36.41,20.0,1,222.99
p1_N1_S1.5,50.0,7.89,0.0,0,155.05
p1_S1_N1.3,30.0,28.15,12.0,1,217.48
p1_W_S2.0,3.0,36.45,17.0,1,255.55
p1_S1_N1.4,40.0,20.85,5.0,1,206.78
p1_W_E.0,0.0,29.49,17.0,1,241.38
p1_W_E.1,6.0,39.16,17.0,1,285.77
p1_W_E.2,9.0,37.75,16.0,1,285.66
p1_S1_N1.5,50.0,6.9,0.0,0,160.78
p1_E_W.1,8.0,40.35,22.0,1,264.85
p1_W_E.3,12.0,35.55,16.0,1,285.79
p1_W_E.4,15.0,35.05,15.0,1,277.34
p1_E_W.2,15.0,32.42,20.0,1,255.61
p1_W_E.5,18.0,34.27,15.0,1,267.01
p1_W_E.6,21.0,33.0,13.0,1,258.51
p1_E_W.3,22.0,31.68,18.0,1,247.41
p1_N2_W.0,3.0,51.9,28.0,2,302.44
p1_W_E.7,24.0,31.73,12.0,1,260.6
p1_W_E.8,27.0,21.6,8.0,1,232.45
p1_W_E.9,30.0,24.68,6.0,1,252.21
p1_W_E.10,33.0,29.44,6.0,1,267.01
p1_S1_E.0,3.0,55.31,30.0,2,315.18
p1_S1_E.1,33.0,30.0,9.0,1,270.86
p1_W_S2.1,36.0,35.89,23.0,1,268.74
p1_E_N1.1,32.0,30.45,14.0,1,256.01
p1_N2_W.1,33.0,10.96,0.0,0,224.02
p1_E_W.4,29.0,48.72,20.0,1,272.57
p1_W_E.11,39.0,31.15,19.0,1,246.79
p1_E_W.5,36.0,28.46,11.0,1,256.97
p1_N2_S2.4,40.0,62.6,45.0,1,249.44
p1_E_W.6,44.0,37.24,9.0,1,276.16
p1_E_N1.2,61.0,13.61,0.0,0,241.89
p1_E_W.7,51.0,31.84,4.0,1,269.25
p1_E_W.8,58.0,26.74,0.0,0,266.33
p1_S2_N2.5,50.0,48.68,39.0,1,231.7
p1_S2_N2.6,60.0,48.63,32.0,1,238.38
p1_E_W.9,65.0,21.55,0.0,0,245.28
p1_N2_S2.5,50.0,50.47,37.0,1,227.72
p1_S2_N2.7,70.0,40.33,25.0,1,235.28
p1_E_W.10,72.0,16.38,0.0,0,231.81
p1_N2_S2.6,60.0,51.4,34.0,1,239.66
p1_E_W.11,80.0,10.1,0.0,0,205.08
p1_S2_N2.8,80.0,29.95,15.0,1,206.12
p1_N2_S2.7,70.0,43.1,25.0,1,228.36
p1_N2_S2.8,80.0,33.33,18.0,1,222.53
p1_S2_N2.9,90.0,23.88,6.0,1,204.64
p1_N2_S2.9,90.0,26.46,11.0,1,212.6
p1_S2_N2.10,100.0,11.09,0.0,0,179.0
p1_S2_N2.11,110.0,7.55,0.0,0,164.18
p1_S1_N1.6,60.0,57.97,46.0,1,244.25
p1_N2_S2.10,100.0,19.26,4.0,1,182.69
p1_S1_N1.7,70.0,51.17,41.0,1,233.91
p1_S1_N1.8,80.0,43.12,30.0,1,229.21
p1_N1_S1.6,60.0,50.12,39.0,1,230.46
p1_S1_N1.9,90.0,35.09,22.0,1,206.29
p1_W_E.12,42.0,59.38,38.0,2,309.81
p1_N1_S1.7,70.0,56.96,37.0,1,253.21
p1_N1_S1.8,80.0,48.59,29.0,1,253.25
p1_W_E.13,45.0,60.22,36.0,2,319.93
p1_W_E.14,48.0,60.97,35.0,2,318.12
p1_N1_S1.9,90.0,39.07,21.0,1,236.96
p1_S1_N1.10,100.0,28.58,15.0,1,208.07
p1_N1_S1.10,100.0,32.14,12.0,1,227.77
p1_N1_S1.11,110.0,23.65,4.0,1,218.23
p1_N1_S1.12,120.0,15.51,0.0,0,209.9
p1_W_E.15,51.0,49.79,32.0,2,289.65
p1_N1_S1.13,130.0,7.4,0.0,0,174.98
p1_S1_N1.11,110.0,15.77,3.0,1,174.31
p1_W_E.16,54.0,63.38,27.0,2,313.39
p1_S1_N1.12,120.0,20.31,0.0,0,194.86
p1_W_E.17,57.0,54.84,26.0,2,321.13
p1_W_E.18,59.0,61.98,26.0,2,324.68
p1_S1_N1.13,130.0,11.99,0.0,0,194.97
p1_W_S2.2,69.0,52.99,19.0,2,305.22
p1_W_E.19,63.0,47.43,22.0,2,295.85
p1_E_W.12,87.0,36.84,25.0,1,263.48
p1_W_E.20,66.0,56.53,21.0,2,312.35
p1_W_E.21,72.0,54.49,17.0,2,322.14
p1_N2_W.2,63.0,64.45,43.0,2,325.36
p1_W_E.22,75.0,53.31,16.0,2,328.24
p1_E_N1.3,90.0,33.11,21.0,1,254.41
p1_W_E.23,78.0,51.98,17.0,2,329.88
p1_N2_W.3,93.0,36.78,12.0,2,287.96
p1_E_W.13,94.0,37.68,19.0,1,280.18
p1_W_E.24,81.0,43.97,14.0,1,287.49
p1_W_E.25,84.0,50.02,14.0,1,299.74
p1_E_W.14,101.0,32.52,16.0,1,282.22
p1_W_E.26,87.0,48.77,13.0,1,325.76
p1_E_W.15,108.0,27.28,8.0,1,268.54
p1_E_W.16,116.0,21.08,3.0,1,247.84
p1_W_E.27,90.0,44.94,13.0,1,300.31
p1_W_E.28,93.0,42.76,11.0,1,301.64
p1_W_E.29,96.0,45.16,11.0,1,305.38
p1_E_N1.4,120.0,14.57,0.0,0,229.75
p1_E_W.17,123.0,16.69,0.0,0,235.79
p1_W_E.30,99.0,32.87,11.0,1,246.72
p1_E_W.18,130.0,17.16,0.0,0,255.48
p1_W_S2.3,102.0,36.32,11.0,1,278.4
p1_S1_E.2,63.0,85.3,55.0,2,372.52
p1_E_W.19,137.0,12.0,0.0,0,240.08
p1_N2_S2.11,110.0,63.11,48.0,1,259.24
p1_S2_N2.12,120.0,53.65,41.0,1,244.04
p1_S2_N2.13,130.0,44.73,33.0,1,233.72
p1_N2_S2.12,120.0,53.59,42.0,1,241.75
p1_S2_N2.14,140.0,35.85,24.0,1,202.81
p1_N2_S2.13,130.0,50.37,37.0,1,237.41
p1_S2_N2.15,150.0,27.16,16.0,1,199.59
p1_S2_N2.16,160.0,16.98,5.0,1,181.75
p1_S2_N2.17,170.0,17.6,0.0,0,188.81
p1_E_W.20,144.0,8.18,0.0,0,197.53
p1_N2_S2.14,140.0,35.91,24.0,1,206.96
p1_E_N1.5,150.0,10.32,0.0,0,219.12
p1_E_W.21,153.0,15.16,0.0,0,218.84
p1_S2_N2.18,180.0,9.19,0.0,0,162.93
p1_N2_S2.15,150.0,36.57,19.0,1,219.05
p1_S1_E.3,93.0,76.09,47.0,3,372.68
p1_N1_S1.14,140.0,53.24,43.0,1,242.4
p1_S1_N1.14,140.0,53.01,42.0,1,247.65
p1_S1_E.4,123.0,47.11,18.0,1,321.88
p1_S1_N1.15,150.0,43.63,32.0,1,231.09
p1_N1_S1.15,150.0,41.63,30.0,1,219.14
