id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,33.85,24.0,1,208.55
p1_W_S2.0,3.0,15.12,0.0,0,210.7
p1_N1_S1.1,10.0,29.49,16.0,1,206.81
p1_N1_S1.2,20.0,21.31,8.0,1,204.64
p1_W_E.0,0.0,7.6,0.0,0,195.43
p1_S1_N1.0,0.0,29.88,20.0,1,196.79
p1_N1_S1.3,30.0,9.84,0.0,0,167.91
p1_S1_N1.1,10.0,28.81,16.0,1,194.15
p1_N2_S2.0,0.0,45.1,34.0,1,228.2
p1_S1_N1.2,20.0,26.49,10.0,1,206.83
p1_S2_N2.0,0.0,45.3,35.0,1,233.26
p1_S2_N2.1,10.0,39.74,27.0,1,223.27
p1_N2_S2.1,10.0,40.18,29.0,1,223.29
p1_N2_S2.2,20.0,31.89,21.0,1,211.63
p1_S2_N2.2,20.0,26.66,15.0,1,190.18
p1_E_W.0,0.0,17.87,7.0,1,228.77
p1_N2_S2.3,30.0,23.01,9.0,1,190.74
p1_E_N1.0,3.0,19.55,6.0,1,241.98
p1_S2_N2.3,30.0,25.94,11.0,1,203.74
p1_E_W.1,8.0,27.43,6.0,1,252.18
p1_S2_N2.4,40.0,17.61,2.0,1,202.46
p1_E_W.2,15.0,17.62,2.0,1,234.0
p1_W_E.1,6.0,32.24,13.0,1,267.71
p1_E_W.3,22.0,16.82,1.0,1,235.36
p1_W_E.2,9.0,31.04,11.0,1,264.14
p1_E_W.4,29.0,11.58,0.0,0,221.14
p1_W_E.3,12.0,29.25,10.0,1,256.53
p1_W_E.4,15.0,28.84,10.0,1,257.34
p1_W_E.5,18.0,27.99,9.0,2,248.14
p1_W_E.6,21.0,26.8,8.0,1,237.31
p1_N2_W.0,3.0,46.48,32.0,1,274.55
p1_W_E.7,24.0,25.57,8.0,1,242.6
p1_E_N1.1,32.0,9.29,0.0,0,207.29
p1_S1_E.0,3.0,44.26,21.0,2,292.82
p1_W_E.8,27.0,20.38,8.0,1,231.31
p1_W_E.9,30.0,23.57,8.0,1,249.57
p1_W_S2.1,36.0,23.84,6.0,1,254.57
p1_N1_S1.4,40.0,42.35,30.0,1,225.77
p1_W_E.10,33.0,28.41,6.0,1,269.33
p1_S1_N1.3,30.0,52.17,35.0,2,254.92
p1_N1_S1.5,50.0,34.61,23.0,1,208.87
p1_W_E.11,39.0,17.99,2.0,1,242.29
p1_S1_N1.4,40.0,46.53,31.0,1,227.0
p1_W_E.12,42.0,20.51,2.0,1,254.99
p1_W_E.13,45.0,21.42,1.0,1,271.1
p1_W_E.14,48.0,22.14,1.0,1,269.63
p1_N1_S1.6,60.0,18.93,8.0,1,182.24
p1_S1_N1.5,50.0,33.57,21.0,1,202.19
p1_N1_S1.7,70.0,25.73,6.0,1,205.33
p1_S1_N1.6,60.0,36.66,18.0,1,217.47
p1_N1_S1.8,80.0,17.51,0.0,0,201.86
p1_W_E.15,51.0,10.52,0.0,0,214.08
