id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,35.45,24.0,1,210.07
p1_S2_N2.0,0.0,35.22,25.0,1,213.89
p1_S2_N2.1,10.0,29.58,17.0,1,206.71
p1_N2_S2.1,10.0,30.56,19.0,1,207.76
p1_N2_S2.2,20.0,22.32,11.0,1,193.29
p1_S2_N2.2,20.0,17.01,5.0,1,175.37
p1_E_W.0,0.0,7.76,0.0,0,204.49
p1_E_N1.0,3.0,10.37,0.0,0,217.65
p1_S2_N2.3,30.0,16.19,1.0,1,177.85
p1_N1_S1.0,0.0,43.87,34.0,1,227.0
p1_N1_S1.1,10.0,39.53,26.0,1,220.5
p1_W_S2.0,3.0,26.42,7.0,1,243.77
p1_N1_S1.2,20.0,31.32,18.0,1,225.09
p1_S1_N1.0,0.0,39.55,30.0,1,216.6
p1_W_E.0,0.0,19.16,7.0,1,222.26
p1_N1_S1.3,30.0,20.29,9.0,1,186.8
p1_S1_N1.1,10.0,38.63,26.0,1,215.25
p1_W_E.1,6.0,28.66,7.0,1,273.66
p1_N1_S1.4,40.0,16.31,1.0,1,189.45
p1_S1_N1.2,20.0,36.29,20.0,1,225.5
p1_W_E.2,9.0,27.18,6.0,1,270.84
p1_S1_N1.3,30.0,27.96,12.0,1,219.84
p1_N1_S1.5,50.0,7.89,0.0,0,155.05
p1_W_E.3,12.0,24.91,6.0,1,273.61
p1_W_E.4,15.0,24.32,5.0,1,267.86
p1_W_E.5,18.0,23.61,5.0,1,253.22
p1_E_W.1,8.0,35.11,17.0,1,255.36
p1_W_E.6,21.0,22.32,5.0,1,252.89
p1_W_E.7,24.0,20.99,3.0,1,247.63
p1_E_W.2,15.0,27.11,15.0,1,245.57
p1_E_W.3,22.0,26.4,13.0,1,239.0
p1_N2_W.0,3.0,46.61,24.0,2,292.62
p1_W_E.8,27.0,12.52,0.0,0,222.78
p1_W_E.9,30.0,15.77,0.0,0,237.6
p1_E_W.4,29.0,22.88,10.0,1,246.02
p1_W_E.10,33.0,20.52,0.0,0,246.72
p1_S1_E.0,3.0,46.19,29.0,1,268.81
p1_E_N1.1,32.0,18.45,4.0,1,245.75
p1_S2_N2.4,40.0,42.6,31.0,1,226.42
p1_N2_S2.3,30.0,50.91,34.0,1,246.4
p1_E_W.5,36.0,13.73,0.0,0,221.55
p1_N2_S2.4,40.0,47.22,28.0,1,223.19
p1_E_W.6,44.0,22.48,0.0,0,257.03
p1_S2_N2.5,50.0,30.65,19.0,1,203.63
p1_E_W.7,51.0,17.27,0.0,0,250.31
p1_S2_N2.6,60.0,30.59,15.0,1,208.58
p1_E_W.8,58.0,11.91,0.0,0,233.82
p1_S2_N2.7,70.0,22.45,5.0,1,209.2
p1_N2_S2.5,50.0,35.17,20.0,1,217.42
p1_S2_N2.8,80.0,12.02,0.0,0,190.57
p1_N2_S2.6,60.0,36.03,19.0,1,214.67
p1_S2_N2.9,90.0,6.38,0.0,0,151.93
p1_E_N1.2,61.0,8.73,0.0,0,211.45
p1_E_W.9,65.0,11.55,0.0,0,208.71
