id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,5.14,0.0,0,151.33
p1_S1_N1.0,0.0,6.1,0.0,0,154.47
p1_N1_S1.1,10.0,22.1,11.0,1,185.96
p1_N1_S1.2,20.0,14.5,2.0,1,175.52
p1_S1_N1.1,10.0,18.94,8.0,1,181.46
p1_S1_N1.2,20.0,16.54,2.0,1,194.35
p1_S1_N1.3,30.0,8.36,0.0,0,168.21
p1_N1_S1.3,30.0,5.78,0.0,0,148.16
p1_S1_E.0,3.0,12.5,0.0,0,216.63
p1_N2_S2.0,0.0,45.25,34.0,1,229.52
p1_S2_N2.0,0.0,45.3,35.0,1,233.26
p1_S2_N2.1,10.0,39.74,27.0,1,223.27
p1_N2_S2.1,10.0,40.27,29.0,1,221.57
p1_E_W.0,0.0,13.92,3.0,1,224.14
p1_E_N1.0,3.0,15.91,2.0,1,238.48
p1_N2_S2.2,20.0,32.15,21.0,1,212.68
p1_E_W.1,8.0,23.46,2.0,1,245.56
p1_S2_N2.2,20.0,26.66,15.0,1,190.18
p1_E_W.2,15.0,13.72,0.0,0,230.58
p1_N2_S2.3,30.0,22.66,9.0,1,190.89
p1_E_W.3,22.0,12.93,0.0,0,223.26
p1_S2_N2.3,30.0,25.94,11.0,1,203.74
p1_S2_N2.4,40.0,17.61,2.0,1,202.46
p1_N1_S1.4,40.0,18.6,6.0,1,189.04
p1_S1_N1.4,40.0,18.15,7.0,1,188.55
p1_N1_S1.5,50.0,10.55,0.0,0,170.39
p1_W_S2.0,3.0,41.38,16.0,2,276.11
p1_S1_N1.5,50.0,6.48,0.0,0,149.28
p1_W_E.0,0.0,34.2,18.0,2,264.25
p1_S1_N1.6,60.0,9.75,0.0,0,159.03
p1_W_E.1,6.0,43.93,14.0,2,278.28
p1_E_W.4,29.0,20.96,9.0,1,234.64
p1_W_E.2,9.0,42.41,13.0,2,279.49
p1_W_E.3,12.0,40.21,12.0,2,284.77
p1_N2_W.0,3.0,51.54,32.0,1,300.15
p1_S1_E.1,33.0,19.06,2.0,1,254.78
p1_W_E.4,15.0,41.46,13.0,2,304.2
p1_E_N1.1,32.0,14.56,1.0,1,222.21
p1_W_E.5,18.0,40.78,11.0,1,302.34
p1_W_E.6,21.0,39.56,10.0,1,307.05
p1_W_E.7,24.0,38.36,10.0,1,300.21
p1_N2_S2.4,40.0,47.19,25.0,1,235.32
p1_S2_N2.5,50.0,33.26,24.0,1,205.97
p1_S2_N2.6,60.0,33.11,18.0,1,219.17
p1_N2_S2.5,50.0,35.18,23.0,1,201.85
p1_S2_N2.7,70.0,24.95,9.0,1,212.83
