id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,14.04,4.0,1,181.12
p1_N1_S1.1,10.0,9.74,0.0,0,172.21
p1_S1_N1.0,0.0,8.22,0.0,0,165.82
p1_S1_N1.1,10.0,7.18,0.0,0,164.02
p1_N2_S2.0,0.0,35.59,24.0,1,216.78
p1_S2_N2.0,0.0,35.07,25.0,1,215.62
p1_S2_N2.1,10.0,29.54,17.0,1,207.62
p1_N2_S2.1,10.0,30.37,19.0,1,208.06
p1_N2_S2.2,20.0,22.22,11.0,1,197.37
p1_S2_N2.2,20.0,17.13,5.0,1,176.6
p1_E_W.0,0.0,7.88,0.0,0,203.77
p1_N2_S2.3,30.0,12.93,0.0,0,178.48
p1_E_N1.0,3.0,10.0,0.0,0,218.81
p1_S2_N2.3,30.0,16.25,1.0,1,182.22
p1_N1_S1.2,20.0,27.65,16.0,1,199.13
p1_S1_N1.2,20.0,26.95,16.0,1,200.31
p1_S2_N2.4,40.0,7.93,0.0,0,164.32
p1_S1_N1.3,30.0,18.67,8.0,1,193.3
p1_N1_S1.3,30.0,17.34,5.0,1,182.81
p1_N1_S1.4,40.0,13.31,0.0,0,178.9
p1_S1_N1.4,40.0,14.07,2.0,1,179.87
p1_W_S2.0,3.0,33.12,12.0,1,266.0
p1_W_E.0,0.0,24.18,12.0,1,234.22
p1_E_W.1,8.0,30.98,13.0,1,245.12
p1_S1_E.0,3.0,30.13,9.0,1,265.39
p1_W_E.1,6.0,35.43,12.0,1,280.71
p1_E_W.2,15.0,22.99,11.0,1,242.07
p1_W_E.2,9.0,34.01,12.0,1,290.11
p1_E_W.3,22.0,22.13,9.0,1,237.84
p1_W_E.3,12.0,31.76,8.0,1,276.86
p1_N2_W.0,3.0,42.41,22.0,1,287.07
p1_W_E.4,15.0,31.22,7.0,1,280.48
p1_W_E.5,18.0,30.51,7.0,1,283.99
p1_N2_S2.4,40.0,34.52,16.0,1,210.16
p1_S2_N2.5,50.0,18.47,9.0,1,184.6
p1_E_W.4,29.0,26.44,15.0,1,245.16
p1_S2_N2.6,60.0,18.34,2.0,1,186.34
p1_S2_N2.7,70.0,9.97,0.0,0,169.41
p1_N2_S2.5,50.0,21.97,10.0,1,190.33
p1_N1_S1.5,50.0,33.63,21.0,1,211.36
p1_N2_S2.6,60.0,23.02,7.0,1,205.82
p1_W_E.6,21.0,43.35,15.0,2,291.74
p1_S1_E.1,33.0,30.95,11.0,2,255.77
p1_S1_N1.5,50.0,28.17,17.0,1,199.06
p1_W_E.7,24.0,44.75,18.0,2,305.67
p1_S1_N1.6,60.0,31.3,14.0,1,210.22
p1_N1_S1.6,60.0,18.41,8.0,1,175.7
p1_S1_N1.7,70.0,23.06,6.0,1,200.94
p1_W_E.8,27.0,36.07,12.0,2,271.71
p1_N1_S1.7,70.0,25.17,5.0,1,195.64
p1_S1_N1.8,80.0,14.91,0.0,0,197.75
p1_W_E.9,30.0,39.3,10.0,1,273.34
p1_W_S2.1,36.0,40.12,8.0,1,298.18
p1_N1_S1.8,80.0,17.02,0.0,0,191.85
p1_W_E.10,33.0,44.16,10.0,1,289.68
p1_E_N1.1,32.0,36.52,18.0,2,268.02
p1_E_W.5,36.0,31.93,13.0,2,264.17
p1_N2_S2.7,70.0,34.83,17.0,1,222.23
p1_S2_N2.8,80.0,22.63,10.0,1,200.04
p1_E_W.6,44.0,40.67,9.0,2,280.95
p1_S2_N2.9,90.0,16.49,3.0,1,200.69
p1_N2_S2.8,80.0,25.93,15.0,1,197.18
p1_E_W.7,51.0,35.44,5.0,1,277.49
p1_E_W.8,58.0,30.15,5.0,1,262.0
p1_N2_S2.9,90.0,19.05,7.0,1,195.98
p1_S2_N2.10,100.0,6.24,0.0,0,156.25
p1_E_N1.2,61.0,25.01,11.0,1,255.78
p1_N2_W.1,33.0,32.49,17.0,1,262.97
p1_W_E.11,39.0,50.76,20.0,3,321.41
p1_S1_N1.9,90.0,29.61,19.0,1,202.7
p1_E_W.9,65.0,33.97,11.0,1,263.29
p1_N1_S1.9,90.0,28.67,19.0,1,200.77
p1_W_E.12,42.0,53.29,18.0,2,320.78
p1_N1_S1.10,100.0,21.63,10.0,1,191.67
p1_W_E.13,45.0,54.22,17.0,2,322.3
p1_N1_S1.11,110.0,13.23,2.0,1,189.34
p1_W_E.14,48.0,55.06,17.0,2,316.47
p1_S1_N1.10,100.0,22.07,10.0,1,200.54
p1_N1_S1.12,120.0,5.58,0.0,0,147.55
p1_N2_S2.10,100.0,29.01,12.0,1,210.39
p1_S2_N2.11,110.0,19.75,9.0,1,186.55
p1_W_E.15,51.0,42.8,17.0,2,270.65
p1_N2_S2.11,110.0,21.01,11.0,1,199.49
p1_E_W.10,72.0,39.0,17.0,2,277.99
p1_S1_N1.11,110.0,9.6,0.0,0,164.7
p1_S2_N2.12,120.0,11.95,0.0,0,187.61
p1_E_W.11,80.0,32.83,11.0,1,278.62
p1_S1_N1.12,120.0,14.32,0.0,0,166.53
p1_N2_S2.12,120.0,11.82,0.0,0,177.31
p1_E_W.12,87.0,27.99,11.0,1,253.92
p1_S2_N2.13,130.0,6.34,0.0,0,154.72
p1_N2_W.2,63.0,57.04,31.0,3,316.04
p1_E_N1.3,90.0,25.13,10.0,1,244.44
p1_S1_E.2,63.0,58.73,30.0,3,319.27
p1_N2_W.3,93.0,28.94,4.0,2,274.64
p1_W_E.16,54.0,69.53,28.0,4,337.18
p1_E_W.13,94.0,29.73,12.0,1,273.34
p1_E_W.14,101.0,24.65,7.0,1,260.67
p1_E_W.15,108.0,19.56,0.0,0,248.65
p1_W_E.17,57.0,64.0,26.0,3,328.97
p1_W_E.18,60.0,70.13,24.0,3,349.15
p1_E_W.16,116.0,13.29,0.0,0,232.92
p1_N2_S2.13,130.0,25.37,13.0,1,192.97
p1_S2_N2.14,140.0,14.06,3.0,1,174.59
p1_S2_N2.15,150.0,5.85,0.0,0,154.12
p1_N2_S2.14,140.0,11.3,0.0,0,175.05
p1_N1_S1.13,130.0,35.26,25.0,1,206.89
p1_N2_S2.15,150.0,11.98,0.0,0,165.17
p1_S1_N1.13,130.0,37.68,26.0,1,219.84
p1_N1_S1.14,140.0,27.78,16.0,1,198.71
p1_S1_N1.14,140.0,29.65,19.0,1,203.63
p1_S1_N1.15,150.0,20.21,7.0,1,190.8
p1_W_E.19,63.0,75.93,35.0,4,354.91
p1_W_S2.2,70.0,80.7,28.0,4,362.48
p1_N1_S1.15,150.0,15.76,4.0,1,184.23
p1_W_E.20,67.0,84.11,31.0,4,366.93
p1_N1_S1.16,160.0,15.62,0.0,0,184.23
p1_W_E.21,73.0,82.06,25.0,4,365.96
p1_W_E.22,76.0,80.84,21.0,3,363.51
p1_W_E.23,79.0,79.49,20.0,3,374.41
p1_N2_W.4,123.0,27.08,11.0,1,257.02
p1_W_E.24,82.0,72.23,18.0,3,335.53
p1_S1_E.3,93.0,68.43,29.0,3,329.83
p1_E_N1.4,120.0,33.13,15.0,2,256.02
p1_E_W.17,123.0,34.43,13.0,2,276.17
p1_W_E.25,85.0,79.97,27.0,3,375.7
p1_E_W.18,130.0,34.97,10.0,2,286.96
p1_W_E.26,88.0,78.79,23.0,3,388.35
p1_E_W.19,137.0,29.76,6.0,1,293.63
p1_W_E.27,91.0,75.06,23.0,3,384.67
p1_N2_W.5,153.0,15.4,0.0,0,252.93
p1_W_E.28,94.0,72.95,21.0,4,365.27
p1_W_E.29,97.0,75.33,21.0,4,368.31
p1_W_E.30,100.0,63.33,20.0,3,330.86
p1_W_S2.3,103.0,67.35,17.0,3,348.28
p1_E_W.20,144.0,21.05,8.0,1,235.35
p1_S1_N1.16,160.0,40.88,21.0,2,227.32
p1_S1_N1.17,170.0,33.28,20.0,1,205.42
p1_N1_S1.17,170.0,29.11,18.0,1,205.76
p1_S1_N1.18,180.0,25.17,13.0,1,198.45
p1_N1_S1.18,180.0,21.06,10.0,1,187.48
p1_W_E.31,106.0,58.71,17.0,4,312.18
p1_W_E.32,109.0,79.6,16.0,3,339.14
p1_N1_S1.19,190.0,11.48,0.0,0,175.86
p1_N1_S1.20,200.0,11.55,0.0,0,176.6
p1_W_E.33,112.0,64.14,15.0,3,335.12
p1_W_E.34,115.0,77.24,13.0,3,360.16
p1_W_E.35,118.0,66.99,10.0,2,348.92
p1_E_N1.5,150.0,37.87,19.0,2,278.88
p1_E_W.21,153.0,41.91,19.0,2,281.69
p1_W_E.36,121.0,74.72,10.0,2,363.36
p1_W_E.37,124.0,69.93,9.0,2,369.74
p1_E_W.22,159.0,37.23,14.0,2,280.82
p1_W_E.38,127.0,72.32,8.0,2,365.44
p1_S1_E.4,123.0,74.55,34.0,3,349.59
p1_W_S2.4,136.0,66.07,13.0,3,356.94
p1_E_W.23,166.0,29.06,11.0,1,262.99
p1_S1_E.5,153.0,49.35,11.0,2,323.04
p1_E_W.24,173.0,29.97,10.0,1,254.37
p1_W_E.39,130.0,66.25,18.0,3,360.37
p1_E_W.25,180.0,18.14,4.0,1,233.89
p1_W_E.40,133.0,70.18,13.0,4,371.46
p1_E_W.26,188.0,19.61,0.0,0,235.73
